No,STOCKsSecurityCode,STOCKsName,STOCKsNumberofTradingAccounts,ETFsSecurityCode,ETFsName,ETFsNumberofTradingAccounts,date
1,2330,台積電,202626,0050,元大台灣50,1008911,2026-05-15
2,2884,玉山金,28559,0056,元大高股息,296845,2026-05-15
3,2886,兆豐金,24331,00878,國泰永續高股息,274724,2026-05-15
4,2317,鴻海,23054,006208,富邦台50,240992,2026-05-15
5,2891,中信金,19239,00919,群益台灣精選高息,141410,2026-05-15
6,2412,中華電,15854,00981A,主動統一台股增長,103034,2026-05-15
7,2881,富邦金,14893,0052,富邦科技,68412,2026-05-15
8,2892,第一金,14013,00713,元大台灣高息低波,65842,2026-05-15
9,2308,台達電,13864,00881,國泰台灣科技龍頭,47918,2026-05-15
10,2885,元大金,12712,009816,凱基台灣TOP50,47471,2026-05-15
11,2890,永豐金,11357,00646,元大S&P500,40045,2026-05-15
12,2454,聯發科,10646,00922,國泰台灣領袖50,29627,2026-05-15
13,5880,合庫金,10203,00692,富邦公司治理,28529,2026-05-15
14,2887,台新新光金,10051,00662,富邦NASDAQ,27853,2026-05-15
15,2882,國泰金,8766,00830,國泰費城半導體,27818,2026-05-15
16,2603,長榮,5622,00929,復華台灣科技優息,24596,2026-05-15
17,2880,華南金,5244,00757,統一FANG+,24239,2026-05-15
18,2834,臺企銀,4989,00850,元大臺灣ESG永續,21878,2026-05-15
19,2002,中鋼,4227,00924,復華S&P500成長,16521,2026-05-15
20,2382,廣達,4178,00982A,主動群益台灣強棒,15160,2026-05-15
1,2330,台積電,202626,0050,元大台灣50,1008911,2026-05-15
2,2884,玉山金,28559,0056,元大高股息,296845,2026-05-15
3,2886,兆豐金,24331,00878,國泰永續高股息,274724,2026-05-15
4,2317,鴻海,23054,006208,富邦台50,240992,2026-05-15
5,2891,中信金,19239,00919,群益台灣精選高息,141410,2026-05-15
6,2412,中華電,15854,00981A,主動統一台股增長,103034,2026-05-15
7,2881,富邦金,14893,0052,富邦科技,68412,2026-05-15
8,2892,第一金,14013,00713,元大台灣高息低波,65842,2026-05-15
9,2308,台達電,13864,00881,國泰台灣科技龍頭,47918,2026-05-15
10,2885,元大金,12712,009816,凱基台灣TOP50,47471,2026-05-15
11,2890,永豐金,11357,00646,元大S&P500,40045,2026-05-15
12,2454,聯發科,10646,00922,國泰台灣領袖50,29627,2026-05-15
13,5880,合庫金,10203,00692,富邦公司治理,28529,2026-05-15
14,2887,台新新光金,10051,00662,富邦NASDAQ,27853,2026-05-15
15,2882,國泰金,8766,00830,國泰費城半導體,27818,2026-05-15
16,2603,長榮,5622,00929,復華台灣科技優息,24596,2026-05-15
17,2880,華南金,5244,00757,統一FANG+,24239,2026-05-15
18,2834,臺企銀,4989,00850,元大臺灣ESG永續,21878,2026-05-15
19,2002,中鋼,4227,00924,復華S&P500成長,16521,2026-05-15
20,2382,廣達,4178,00982A,主動群益台灣強棒,15160,2026-05-15
1,2330,台積電,202626,0050,元大台灣50,1008911,2026-05-17
2,2884,玉山金,28559,0056,元大高股息,296845,2026-05-17
3,2886,兆豐金,24331,00878,國泰永續高股息,274724,2026-05-17
4,2317,鴻海,23054,006208,富邦台50,240992,2026-05-17
5,2891,中信金,19239,00919,群益台灣精選高息,141410,2026-05-17
6,2412,中華電,15854,00981A,主動統一台股增長,103034,2026-05-17
7,2881,富邦金,14893,0052,富邦科技,68412,2026-05-17
8,2892,第一金,14013,00713,元大台灣高息低波,65842,2026-05-17
9,2308,台達電,13864,00881,國泰台灣科技龍頭,47918,2026-05-17
10,2885,元大金,12712,009816,凱基台灣TOP50,47471,2026-05-17
11,2890,永豐金,11357,00646,元大S&P500,40045,2026-05-17
12,2454,聯發科,10646,00922,國泰台灣領袖50,29627,2026-05-17
13,5880,合庫金,10203,00692,富邦公司治理,28529,2026-05-17
14,2887,台新新光金,10051,00662,富邦NASDAQ,27853,2026-05-17
15,2882,國泰金,8766,00830,國泰費城半導體,27818,2026-05-17
16,2603,長榮,5622,00929,復華台灣科技優息,24596,2026-05-17
17,2880,華南金,5244,00757,統一FANG+,24239,2026-05-17
18,2834,臺企銀,4989,00850,元大臺灣ESG永續,21878,2026-05-17
19,2002,中鋼,4227,00924,復華S&P500成長,16521,2026-05-17
20,2382,廣達,4178,00982A,主動群益台灣強棒,15160,2026-05-17
1,2330,台積電,202626,0050,元大台灣50,1008911,2026-05-17
2,2884,玉山金,28559,0056,元大高股息,296845,2026-05-17
3,2886,兆豐金,24331,00878,國泰永續高股息,274724,2026-05-17
4,2317,鴻海,23054,006208,富邦台50,240992,2026-05-17
5,2891,中信金,19239,00919,群益台灣精選高息,141410,2026-05-17
6,2412,中華電,15854,00981A,主動統一台股增長,103034,2026-05-17
7,2881,富邦金,14893,0052,富邦科技,68412,2026-05-17
8,2892,第一金,14013,00713,元大台灣高息低波,65842,2026-05-17
9,2308,台達電,13864,00881,國泰台灣科技龍頭,47918,2026-05-17
10,2885,元大金,12712,009816,凱基台灣TOP50,47471,2026-05-17
11,2890,永豐金,11357,00646,元大S&P500,40045,2026-05-17
12,2454,聯發科,10646,00922,國泰台灣領袖50,29627,2026-05-17
13,5880,合庫金,10203,00692,富邦公司治理,28529,2026-05-17
14,2887,台新新光金,10051,00662,富邦NASDAQ,27853,2026-05-17
15,2882,國泰金,8766,00830,國泰費城半導體,27818,2026-05-17
16,2603,長榮,5622,00929,復華台灣科技優息,24596,2026-05-17
17,2880,華南金,5244,00757,統一FANG+,24239,2026-05-17
18,2834,臺企銀,4989,00850,元大臺灣ESG永續,21878,2026-05-17
19,2002,中鋼,4227,00924,復華S&P500成長,16521,2026-05-17
20,2382,廣達,4178,00982A,主動群益台灣強棒,15160,2026-05-17
1,2330,台積電,202626,0050,元大台灣50,1008911,2026-05-18
2,2884,玉山金,28559,0056,元大高股息,296845,2026-05-18
3,2886,兆豐金,24331,00878,國泰永續高股息,274724,2026-05-18
4,2317,鴻海,23054,006208,富邦台50,240992,2026-05-18
5,2891,中信金,19239,00919,群益台灣精選高息,141410,2026-05-18
6,2412,中華電,15854,00981A,主動統一台股增長,103034,2026-05-18
7,2881,富邦金,14893,0052,富邦科技,68412,2026-05-18
8,2892,第一金,14013,00713,元大台灣高息低波,65842,2026-05-18
9,2308,台達電,13864,00881,國泰台灣科技龍頭,47918,2026-05-18
10,2885,元大金,12712,009816,凱基台灣TOP50,47471,2026-05-18
11,2890,永豐金,11357,00646,元大S&P500,40045,2026-05-18
12,2454,聯發科,10646,00922,國泰台灣領袖50,29627,2026-05-18
13,5880,合庫金,10203,00692,富邦公司治理,28529,2026-05-18
14,2887,台新新光金,10051,00662,富邦NASDAQ,27853,2026-05-18
15,2882,國泰金,8766,00830,國泰費城半導體,27818,2026-05-18
16,2603,長榮,5622,00929,復華台灣科技優息,24596,2026-05-18
17,2880,華南金,5244,00757,統一FANG+,24239,2026-05-18
18,2834,臺企銀,4989,00850,元大臺灣ESG永續,21878,2026-05-18
