出表日期,證券商代號,男性員工人數,女性員工人數,總人數,date
1150515,1020,67,106,173,2026-05-15
1150515,1021,12,35,47,2026-05-15
1150515,1022,7,28,35,2026-05-15
1150515,1023,18,29,47,2026-05-15
1150515,1024,8,19,27,2026-05-15
1150515,1025,11,12,23,2026-05-15
1150515,1028,12,28,40,2026-05-15
1150515,1029,20,35,55,2026-05-15
1150515,102A,5,23,28,2026-05-15
1150515,102C,16,25,41,2026-05-15
1150515,102E,11,32,43,2026-05-15
1150515,102F,14,35,49,2026-05-15
1150515,102G,12,20,32,2026-05-15
1150515,102Q,0,1,1,2026-05-15
1150515,102T,17,12,29,2026-05-15
1150515,1030,21,43,64,2026-05-15
1150515,1031,3,10,13,2026-05-15
1150515,1032,4,5,9,2026-05-15
1150515,1033,6,3,9,2026-05-15
1150515,1034,6,3,9,2026-05-15
1150515,1035,6,8,14,2026-05-15
1150515,1036,3,6,9,2026-05-15
1150515,1037,4,6,10,2026-05-15
1150515,1038,4,5,9,2026-05-15
1150515,1039,6,2,8,2026-05-15
1150515,103A,7,3,10,2026-05-15
1150515,103B,7,3,10,2026-05-15
1150515,103C,5,4,9,2026-05-15
1150515,103F,7,6,13,2026-05-15
1150515,1040,59,66,125,2026-05-15
1150515,1042,12,32,44,2026-05-15
1150515,1043,28,28,56,2026-05-15
1150515,1045,13,37,50,2026-05-15
1150515,104A,29,47,76,2026-05-15
1150515,104C,38,51,89,2026-05-15
1150515,104D,24,30,54,2026-05-15
1150515,104T,8,4,12,2026-05-15
1150515,1110,15,35,50,2026-05-15
1150515,1111,2,11,13,2026-05-15
1150515,1112,1,10,11,2026-05-15
1150515,1113,4,15,19,2026-05-15
1150515,1114,3,10,13,2026-05-15
1150515,1115,2,13,15,2026-05-15
1150515,1116,1,10,11,2026-05-15
1150515,1117,1,12,13,2026-05-15
1150515,1118,2,8,10,2026-05-15
1150515,1119,2,9,11,2026-05-15
1150515,111A,1,9,10,2026-05-15
1150515,111B,2,10,12,2026-05-15
1150515,111E,4,8,12,2026-05-15
1150515,111F,0,11,11,2026-05-15
1150515,111G,3,6,9,2026-05-15
1150515,1230,20,30,50,2026-05-15
1150515,1232,2,9,11,2026-05-15
1150515,1233,3,13,16,2026-05-15
1150515,1260,59,109,168,2026-05-15
1150515,1261,7,15,22,2026-05-15
1150515,1262,4,12,16,2026-05-15
1150515,126D,5,21,26,2026-05-15
1150515,126H,11,15,26,2026-05-15
1150515,126L,13,20,33,2026-05-15
1150515,126Q,12,25,37,2026-05-15
1150515,126T,8,8,16,2026-05-15
1150515,126U,14,36,50,2026-05-15
1150515,126X,5,11,16,2026-05-15
1150515,126i,3,13,16,2026-05-15
1150515,1360,6,12,18,2026-05-15
1150515,1440,13,22,35,2026-05-15
1150515,1470,21,26,47,2026-05-15
1150515,1480,12,16,28,2026-05-15
1150515,1560,10,21,31,2026-05-15
1150515,1590,20,31,51,2026-05-15
1150515,1650,12,33,45,2026-05-15
1150515,165T,1,0,1,2026-05-15
1150515,2180,19,42,61,2026-05-15
1150515,2181,4,9,13,2026-05-15
1150515,2184,1,7,8,2026-05-15
1150515,2185,1,5,6,2026-05-15
1150515,2186,3,10,13,2026-05-15
1150515,2187,5,8,13,2026-05-15
1150515,218T,8,7,15,2026-05-15
1150515,2200,9,12,21,2026-05-15
1150515,220T,4,0,4,2026-05-15
1150515,221T,11,16,27,2026-05-15
1150515,2300,0,3,3,2026-05-15
1150515,230T,1,1,2,2026-05-15
1150515,5050,20,20,40,2026-05-15
1150515,5058,5,11,16,2026-05-15
1150515,505T,9,4,13,2026-05-15
1150515,5110,2,6,8,2026-05-15
1150515,511T,3,1,4,2026-05-15
1150515,5260,26,47,73,2026-05-15
1150515,5261,6,23,29,2026-05-15
1150515,5262,5,16,21,2026-05-15
1150515,5263,2,10,12,2026-05-15
1150515,5264,1,7,8,2026-05-15
1150515,5265,1,13,14,2026-05-15
1150515,5266,5,11,16,2026-05-15
1150515,5267,2,8,10,2026-05-15
1150515,5268,4,3,7,2026-05-15
1150515,526A,3,12,15,2026-05-15
1150515,526K,6,22,28,2026-05-15
1150515,526M,8,10,18,2026-05-15
1150515,526T,3,2,5,2026-05-15
1150515,5320,6,29,35,2026-05-15
1150515,5321,2,13,15,2026-05-15
1150515,5322,0,8,8,2026-05-15
1150515,5323,2,12,14,2026-05-15
1150515,5380,65,123,188,2026-05-15
1150515,5381,6,12,18,2026-05-15
1150515,5382,7,13,20,2026-05-15
1150515,5383,7,14,21,2026-05-15
1150515,5384,7,19,26,2026-05-15
1150515,5385,11,20,31,2026-05-15
1150515,5386,4,13,17,2026-05-15
1150515,5387,2,8,10,2026-05-15
1150515,5389,7,13,20,2026-05-15
1150515,538A,7,17,24,2026-05-15
1150515,538B,8,15,23,2026-05-15
1150515,538C,8,18,26,2026-05-15
1150515,538D,7,14,21,2026-05-15
1150515,538E,6,22,28,2026-05-15
1150515,538F,9,8,17,2026-05-15
1150515,538I,3,12,15,2026-05-15
1150515,538M,6,15,21,2026-05-15
1150515,538N,3,20,23,2026-05-15
1150515,538P,6,21,27,2026-05-15
1150515,538T,11,16,27,2026-05-15
1150515,538W,21,26,47,2026-05-15
1150515,538Y,3,16,19,2026-05-15
1150515,538j,12,10,22,2026-05-15
1150515,5460,3,16,19,2026-05-15
1150515,5600,9,20,29,2026-05-15
1150515,5602,6,15,21,2026-05-15
1150515,5603,7,15,22,2026-05-15
1150515,5604,5,9,14,2026-05-15
1150515,5660,5,12,17,2026-05-15
1150515,5850,149,251,400,2026-05-15
1150515,5851,9,21,30,2026-05-15
1150515,5852,38,29,67,2026-05-15
1150515,5853,6,19,25,2026-05-15
1150515,5854,14,25,39,2026-05-15
1150515,5855,12,20,32,2026-05-15
1150515,5856,21,26,47,2026-05-15
1150515,5857,10,21,31,2026-05-15
1150515,5858,9,10,19,2026-05-15
1150515,5859,7,12,19,2026-05-15
1150515,585A,6,17,23,2026-05-15
1150515,585B,4,13,17,2026-05-15
1150515,585D,13,23,36,2026-05-15
1150515,585E,8,14,22,2026-05-15
1150515,585F,9,16,25,2026-05-15
1150515,585H,14,23,37,2026-05-15
1150515,585I,5,15,20,2026-05-15
1150515,585J,12,24,36,2026-05-15
1150515,585M,17,25,42,2026-05-15
1150515,585P,9,23,32,2026-05-15
1150515,585Q,6,13,19,2026-05-15
1150515,585R,10,17,27,2026-05-15
1150515,585S,7,11,18,2026-05-15
1150515,585T,69,34,103,2026-05-15
1150515,585U,6,24,30,2026-05-15
1150515,585W,6,10,16,2026-05-15
1150515,585Y,11,14,25,2026-05-15
1150515,585Z,10,18,28,2026-05-15
1150515,585b,12,20,32,2026-05-15
1150515,585c,12,19,31,2026-05-15
1150515,585g,4,15,19,2026-05-15
1150515,585m,6,13,19,2026-05-15
1150515,585s,0,1,1,2026-05-15
1150515,5860,1,9,10,2026-05-15
1150515,5861,1,6,7,2026-05-15
1150515,5862,2,4,6,2026-05-15
1150515,5960,3,26,29,2026-05-15
1150515,5961,2,6,8,2026-05-15
1150515,5962,2,8,10,2026-05-15
1150515,6010,18,23,41,2026-05-15
1150515,6012,2,7,9,2026-05-15
1150515,601T,0,3,3,2026-05-15
1150515,601d,11,14,25,2026-05-15
1150515,6110,98,159,257,2026-05-15
1150515,6114,10,10,20,2026-05-15
1150515,6115,7,8,15,2026-05-15
1150515,6116,7,6,13,2026-05-15
1150515,611A,6,18,24,2026-05-15
1150515,611T,4,2,6,2026-05-15
1150515,6160,109,188,297,2026-05-15
1150515,6161,24,59,83,2026-05-15
1150515,6162,32,65,97,2026-05-15
1150515,6163,26,62,88,2026-05-15
1150515,6164,27,66,93,2026-05-15
1150515,6165,18,57,75,2026-05-15
1150515,6167,18,64,82,2026-05-15
1150515,6168,17,25,42,2026-05-15
1150515,616A,18,52,70,2026-05-15
1150515,616K,21,80,101,2026-05-15
1150515,616T,34,18,52,2026-05-15
1150515,6210,14,19,33,2026-05-15
1150515,6380,6,36,42,2026-05-15
1150515,6381,0,10,10,2026-05-15
1150515,6382,0,8,8,2026-05-15
1150515,6383,1,9,10,2026-05-15
1150515,6385,1,8,9,2026-05-15
1150515,638A,3,17,20,2026-05-15
1150515,638D,1,15,16,2026-05-15
1150515,6450,4,8,12,2026-05-15
1150515,6451,1,10,11,2026-05-15
1150515,6452,0,10,10,2026-05-15
1150515,6460,10,29,39,2026-05-15
1150515,6461,1,13,14,2026-05-15
1150515,6462,1,10,11,2026-05-15
1150515,6463,3,10,13,2026-05-15
1150515,6464,10,25,35,2026-05-15
1150515,6465,3,9,12,2026-05-15
1150515,6480,55,79,134,2026-05-15
1150515,6489,8,10,18,2026-05-15
1150515,648T,3,3,6,2026-05-15
1150515,6620,21,20,41,2026-05-15
1150515,6910,21,36,57,2026-05-15
1150515,6912,12,24,36,2026-05-15
1150515,6913,5,14,19,2026-05-15
1150515,6915,5,17,22,2026-05-15
1150515,691T,3,2,5,2026-05-15
1150515,6950,3,26,29,2026-05-15
1150515,7000,104,188,292,2026-05-15
1150515,7001,8,26,34,2026-05-15
1150515,7003,8,19,27,2026-05-15
1150515,7005,8,21,29,2026-05-15
1150515,7006,7,21,28,2026-05-15
1150515,7007,6,23,29,2026-05-15
1150515,7008,7,13,20,2026-05-15
1150515,700B,9,14,23,2026-05-15
1150515,700C,11,20,31,2026-05-15
1150515,700D,3,8,11,2026-05-15
1150515,700F,3,12,15,2026-05-15
1150515,700G,4,15,19,2026-05-15
1150515,700H,12,10,22,2026-05-15
1150515,700I,7,21,28,2026-05-15
1150515,700J,3,17,20,2026-05-15
1150515,700K,11,17,28,2026-05-15
1150515,700L,6,17,23,2026-05-15
1150515,700M,8,19,27,2026-05-15
1150515,700N,5,12,17,2026-05-15
1150515,700P,10,19,29,2026-05-15
1150515,700R,3,13,16,2026-05-15
1150515,700S,9,12,21,2026-05-15
1150515,700T,27,33,60,2026-05-15
1150515,700U,6,17,23,2026-05-15
1150515,700V,12,21,33,2026-05-15
1150515,700W,10,24,34,2026-05-15
1150515,700X,5,19,24,2026-05-15
1150515,700Z,10,27,37,2026-05-15
1150515,700a,20,33,53,2026-05-15
1150515,700b,6,10,16,2026-05-15
1150515,700c,10,17,27,2026-05-15
1150515,700d,6,13,19,2026-05-15
1150515,700f,8,17,25,2026-05-15
1150515,700g,13,22,35,2026-05-15
1150515,700h,9,19,28,2026-05-15
1150515,700i,12,13,25,2026-05-15
1150515,700j,9,13,22,2026-05-15
1150515,700k,8,18,26,2026-05-15
1150515,700m,1,0,1,2026-05-15
1150515,700p,8,15,23,2026-05-15
1150515,700r,5,25,30,2026-05-15
1150515,700s,4,14,18,2026-05-15
1150515,700w,6,15,21,2026-05-15
1150515,7030,22,50,72,2026-05-15
1150515,7031,6,8,14,2026-05-15
1150515,7032,1,16,17,2026-05-15
1150515,7033,4,14,18,2026-05-15
1150515,7034,3,11,14,2026-05-15
1150515,7035,6,13,19,2026-05-15
1150515,7036,5,12,17,2026-05-15
