出表日期,證券商代號,證券商名稱,開業日,地址,電話,date
1150515,1021,合庫- 台中,1001202,台中市西區民權路91號6樓,04-22255141,2026-05-15
1150515,1022,合庫-台南,1001202,台南市北區成功路48號3樓,06-2260148,2026-05-15
1150515,1023,合庫-高雄,1001202,高雄市大勇路97號5樓,07-5319755,2026-05-15
1150515,1024,合庫-嘉義,1001202,嘉義市國華街279號2樓,05-2220016,2026-05-15
1150515,1025,合庫-基隆,1001202,基隆市仁二路255號3樓,02-24288468,2026-05-15
1150515,1028,合庫 - 彰化,1010516,彰化縣彰化市民生路279號5樓,04-7295528,2026-05-15
1150515,1029,合庫 - 鳳山,1010518,高雄市鳳山區鳳松路3號,07-7905555,2026-05-15
1150515,102A,合庫-新竹,1001202,新竹市東區東門街60號5樓,03-5262711,2026-05-15
1150515,102C,合庫-自強,1001202,台北市中山區南京東路2段85、87號3樓,02-25218815,2026-05-15
1150515,102E,合庫-桃園,1001202,桃園市桃園區中華路12號3樓,03-347-3456,2026-05-15
1150515,102F,合庫-西台中,1050204,台中市西屯區漢口路二段151號3樓,04-2316-6368,2026-05-15
1150515,102G,合庫-三重,1050307,新北市三重區正義南路17號1樓,02-2977-9588,2026-05-15
1150515,102Q,合庫-國際證券,1061101,台北市松山區長安東路二段225號5樓、6樓,02-27319987,2026-05-15
1150515,102T,合庫-自營,1001202,,02-27312798,2026-05-15
1150515,1031,土銀-台中,530420,台中市自由路2段1號4樓,04-22266845,2026-05-15
1150515,1032,土銀-台南,640819,台南市中正路26號4樓,06-2200558,2026-05-15
1150515,1033,土銀-高雄,530420,高雄市大勇路131號,07-5319591,2026-05-15
1150515,1034,土銀-嘉義,640409,嘉義市中山路309號3樓,05-2224930,2026-05-15
1150515,1035,土銀-新竹,630612,新竹市中央路1號4、5樓,03-5213211,2026-05-15
1150515,1036,土銀-玉里,890418,花蓮縣玉里鎮中山路二段五十五號一、 二樓,03-8884900,2026-05-15
1150515,1037,土銀-花蓮,670216,花蓮縣花蓮市中山路356號3樓,038-330723,2026-05-15
1150515,1038,土銀-和平,890622,台北市和平東路3段15號3樓部分,02-27001555,2026-05-15
1150515,1039,土銀-士林,890627,台北市中山北路五段六八九號三樓,02-28323842,2026-05-15
1150515,103A,土銀-建國,890612,高雄市建國一路458號3樓,07-2224911,2026-05-15
1150515,103B,土銀-彰化,910730,彰化市光復路九十八號六樓,04-7201777,2026-05-15
1150515,103C,土銀-白河,910716,台南市白河區三民路三九五號三樓,06-6852888,2026-05-15
1150515,103F,土銀-南港,990927,台北市南港區南港路1段364號5樓,02-26539955,2026-05-15
1150515,1042,臺銀-臺南,970102,臺南市中正路240 號4樓,06-2202507,2026-05-15
1150515,1043,臺銀-民權,970102,臺北市承德路2段239號3樓,02-25529458,2026-05-15
1150515,1045,臺銀-新竹,1010305,新竹市林森路29號5樓,03-5266799,2026-05-15
1150515,104A,臺銀-臺中,970102,台中市民權路95號3樓,04-22238370,2026-05-15
1150515,104C,臺銀-高雄,970102,高雄市苓雅區成功一路261號3樓,07-2711434,2026-05-15
1150515,104D,臺銀-金山,970102,台北市金山南路2段189號3樓,02-23418678,2026-05-15
1150515,104T,臺銀-自營,970102,,02-23882188,2026-05-15
1150515,1111,台灣企銀-台中,650701,台中市臺灣大道1段400號三樓,04-2270160,2026-05-15
1150515,1112,台灣企銀-台南,831101,台南市中正路一八五號四樓,06-2238967,2026-05-15
