SecuritiesFirmCode,Name,BrokerageBusinessStartingDate,WealthManagementBusinessStartingDate,date
1020,合庫,1100701,,2026-05-15
1030,土銀,1070103,,2026-05-15
1040,臺銀證券,1100726,,2026-05-15
1230,彰銀,1130318,,2026-05-15
1260,宏遠,1120502,,2026-05-15
2180,亞東,1110211,,2026-05-15
5380,第一金,1060918,,2026-05-15
6110,台中銀,1080102,,2026-05-15
6380,光和,1150402,,2026-05-15
7000,兆豐,1060801,,2026-05-15
7790,國票,1091015,,2026-05-15
8560,新光,1100923,,2026-05-15
8580,聯邦,1120914,,2026-05-15
8880,國泰,1060428,,2026-05-15
9100,群益金鼎,1100104,1070501,2026-05-15
9200,凱基,1060424,1060116,2026-05-15
9300,華南永昌,1060329,,2026-05-15
9600,富邦,1060116,,2026-05-15
9800,元大,1060221,,2026-05-15
9A00,永豐金,1060418,,2026-05-15
9B00,台新,1150202,,2026-05-15
1020,合庫,1100701,,2026-05-15
1030,土銀,1070103,,2026-05-15
1040,臺銀證券,1100726,,2026-05-15
1230,彰銀,1130318,,2026-05-15
1260,宏遠,1120502,,2026-05-15
2180,亞東,1110211,,2026-05-15
5380,第一金,1060918,,2026-05-15
6110,台中銀,1080102,,2026-05-15
6380,光和,1150402,,2026-05-15
7000,兆豐,1060801,,2026-05-15
7790,國票,1091015,,2026-05-15
8560,新光,1100923,,2026-05-15
8580,聯邦,1120914,,2026-05-15
8880,國泰,1060428,,2026-05-15
9100,群益金鼎,1100104,1070501,2026-05-15
9200,凱基,1060424,1060116,2026-05-15
9300,華南永昌,1060329,,2026-05-15
9600,富邦,1060116,,2026-05-15
9800,元大,1060221,,2026-05-15
9A00,永豐金,1060418,,2026-05-15
9B00,台新,1150202,,2026-05-15
1020,合庫,1100701,,2026-05-17
1030,土銀,1070103,,2026-05-17
1040,臺銀證券,1100726,,2026-05-17
1230,彰銀,1130318,,2026-05-17
1260,宏遠,1120502,,2026-05-17
2180,亞東,1110211,,2026-05-17
5380,第一金,1060918,,2026-05-17
6110,台中銀,1080102,,2026-05-17
6380,光和,1150402,,2026-05-17
7000,兆豐,1060801,,2026-05-17
7790,國票,1091015,,2026-05-17
8560,新光,1100923,,2026-05-17
8580,聯邦,1120914,,2026-05-17
8880,國泰,1060428,,2026-05-17
9100,群益金鼎,1100104,1070501,2026-05-17
9200,凱基,1060424,1060116,2026-05-17
9300,華南永昌,1060329,,2026-05-17
9600,富邦,1060116,,2026-05-17
9800,元大,1060221,,2026-05-17
9A00,永豐金,1060418,,2026-05-17
9B00,台新,1150202,,2026-05-17
1020,合庫,1100701,,2026-05-17
1030,土銀,1070103,,2026-05-17
1040,臺銀證券,1100726,,2026-05-17
1230,彰銀,1130318,,2026-05-17
1260,宏遠,1120502,,2026-05-17
2180,亞東,1110211,,2026-05-17
5380,第一金,1060918,,2026-05-17
6110,台中銀,1080102,,2026-05-17
6380,光和,1150402,,2026-05-17
7000,兆豐,1060801,,2026-05-17
7790,國票,1091015,,2026-05-17
8560,新光,1100923,,2026-05-17
8580,聯邦,1120914,,2026-05-17
8880,國泰,1060428,,2026-05-17
9100,群益金鼎,1100104,1070501,2026-05-17
9200,凱基,1060424,1060116,2026-05-17
9300,華南永昌,1060329,,2026-05-17
9600,富邦,1060116,,2026-05-17
9800,元大,1060221,,2026-05-17
9A00,永豐金,1060418,,2026-05-17
9B00,台新,1150202,,2026-05-17
1020,合庫,1100701,,2026-05-18
1030,土銀,1070103,,2026-05-18
1040,臺銀證券,1100726,,2026-05-18
1230,彰銀,1130318,,2026-05-18
1260,宏遠,1120502,,2026-05-18
2180,亞東,1110211,,2026-05-18
5380,第一金,1060918,,2026-05-18
6110,台中銀,1080102,,2026-05-18
6380,光和,1150402,,2026-05-18
7000,兆豐,1060801,,2026-05-18
7790,國票,1091015,,2026-05-18
8560,新光,1100923,,2026-05-18
8580,聯邦,1120914,,2026-05-18
8880,國泰,1060428,,2026-05-18
9100,群益金鼎,1100104,1070501,2026-05-18
9200,凱基,1060424,1060116,2026-05-18
9300,華南永昌,1060329,,2026-05-18
9600,富邦,1060116,,2026-05-18
9800,元大,1060221,,2026-05-18
9A00,永豐金,1060418,,2026-05-18
9B00,台新,1150202,,2026-05-18
