出表日期,職位,受託買賣,受託買賣（衍生性商品銷售）,內部稽核,融資融券,證券借貸,自行買賣,其他人員,結算交割,股務人員,承銷人員,法令遵循,風險管理-模型管理,驗證人員-模型管理,內部稽核-模型管理,共同行銷,合作推廣,開戶,徵信,營業櫃檯輸單,主辦會計,財富管理,風險管理-其他,公司治理人員,受託管理私募股權基金人員,基金買賣及互易,數位服務（數位體驗專區）,數位服務（客戶服務中心）,合計,date
1150501,高級業務員,2131,7989,916,3481,2925,1699,4338,733,283,1323,203,102,95,53,1709,100,4252,3990,2431,84,9000,104,7,0,0,6,5,22841,2026-05-15
1150501,業務員,4373,1783,111,1060,884,156,1839,267,209,72,63,5,4,1,12785,236,3024,2034,1304,8,3888,14,0,0,0,1,9,23029,2026-05-15
1150501,事務員,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,554,2026-05-15
1150501,合計,6504,9772,1027,4541,3809,1855,6603,1000,492,1395,266,107,99,54,14494,336,7276,6024,3949,92,12888,118,7,0,0,7,14,46424,2026-05-15
1150501,高級業務員,2131,7989,916,3481,2925,1699,4338,733,283,1323,203,102,95,53,1709,100,4252,3990,2431,84,9000,104,7,0,0,6,5,22841,2026-05-15
1150501,業務員,4373,1783,111,1060,884,156,1839,267,209,72,63,5,4,1,12785,236,3024,2034,1304,8,3888,14,0,0,0,1,9,23029,2026-05-15
1150501,事務員,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,554,2026-05-15
1150501,合計,6504,9772,1027,4541,3809,1855,6603,1000,492,1395,266,107,99,54,14494,336,7276,6024,3949,92,12888,118,7,0,0,7,14,46424,2026-05-15
1150501,高級業務員,2131,7989,916,3481,2925,1699,4338,733,283,1323,203,102,95,53,1709,100,4252,3990,2431,84,9000,104,7,0,0,6,5,22841,2026-05-17
1150501,業務員,4373,1783,111,1060,884,156,1839,267,209,72,63,5,4,1,12785,236,3024,2034,1304,8,3888,14,0,0,0,1,9,23029,2026-05-17
1150501,事務員,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,554,2026-05-17
1150501,合計,6504,9772,1027,4541,3809,1855,6603,1000,492,1395,266,107,99,54,14494,336,7276,6024,3949,92,12888,118,7,0,0,7,14,46424,2026-05-17
1150501,高級業務員,2131,7989,916,3481,2925,1699,4338,733,283,1323,203,102,95,53,1709,100,4252,3990,2431,84,9000,104,7,0,0,6,5,22841,2026-05-17
1150501,業務員,4373,1783,111,1060,884,156,1839,267,209,72,63,5,4,1,12785,236,3024,2034,1304,8,3888,14,0,0,0,1,9,23029,2026-05-17
1150501,事務員,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,554,2026-05-17
1150501,合計,6504,9772,1027,4541,3809,1855,6603,1000,492,1395,266,107,99,54,14494,336,7276,6024,3949,92,12888,118,7,0,0,7,14,46424,2026-05-17
1150501,高級業務員,2131,7989,916,3481,2925,1699,4338,733,283,1323,203,102,95,53,1709,100,4252,3990,2431,84,9000,104,7,0,0,6,5,22841,2026-05-18
1150501,業務員,4373,1783,111,1060,884,156,1839,267,209,72,63,5,4,1,12785,236,3024,2034,1304,8,3888,14,0,0,0,1,9,23029,2026-05-18
1150501,事務員,0,0,0,0,0,0,426,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,554,2026-05-18
1150501,合計,6504,9772,1027,4541,3809,1855,6603,1000,492,1395,266,107,99,54,14494,336,7276,6024,3949,92,12888,118,7,0,0,7,14,46424,2026-05-18
