出表日期,證券代號,券商(證券IB)簡稱,登記資本額（仟元）,實收資本額（仟元）,指撥營運金（仟元）,營利事業統一編號,變更日期,區域代碼,融資融券開辦日期,設立日期,開業日期,電話,傳真,交割金融機構,交割專戶帳號,違約專戶,錯帳專戶帳號,權證履約專戶帳號,代辦交割證券商(證券IB)代號,營業保證金保管銀行,發行狀況,業務種類,負責人,總經理,營業部經理,財務部經理,行政部門地址,營業處所－經,營業處所－經代表號,營業廳,營業處所－自,營業處所－自代表號,營業處所－承,營業處所－承代表號,股務代理商地址,備註,營業項目1,營業項目2,營業項目3,營業項目4,營業項目5,營業項目6,營業項目7,營業項目8,營業項目9,營業項目10,營業項目11,營業項目12,營業項目13,營業項目14,營業項目15,營業項目16,營業項目17,營業項目18,營業項目19,營業項目20,營業項目21,營業項目22,營業項目23,營業項目24,營業項目25,營業項目26,營業項目27,營業項目28,營業項目29,營業項目30,營業項目31,date
1150504,1020,合庫,3000000,5206132,0,53021481,1140210,2　台北市,1001202,1001202,1001202,02-27528000,02-27526060,合作金庫商業銀行東台北分行,0796717078399,1030--630106,15155,0796717080610,1030土銀1110台灣企銀,華南銀行信託部,,經紀、自營、承銷,袁中越,翁國梁,,,台北市松山區長安東路二段225號5樓、6樓；台&#63843;市中山區南京東&#63799;二段85、87號7&#63820;(部分),台北市大安區忠孝東路四段285號1樓(部分),台北市大安區忠孝東路四段285號1樓(部分),台北市大安區忠孝東路四段285號1樓(部分),台北市松山區長安東路二段225號5樓,台北市松山區長安東路二段225號5樓,台北市松山區長安東路二段225號5樓(部分),台北市松山區長安東路二段225號5樓(部分),,該公司於100年12月2日分割設立完成,101--在集中交易市場受託買賣有價證券,102--在其營業處所受託買賣有價證券,103--有價證券買賣融資融券,107--受託買賣外國有價證券(複委託),119--有價證券借貸(除中央登錄公債外),121--經營不限用途款項借貸業務,123--有價證券借貸-限中央登錄公債,129--經營股權性質群眾募資業務,201--在集中交易市場自行買賣有價證券,202--在其營業處所自行買賣有價證券,212--衍生性金融商品業務,301--承銷有價證券,701--期貨商(H401011),702--期貨交易輔助人(H408011),999--其他經本會核准業務(務必點選),,,,,,,,,,,,,,,,,2026-05-15
1150504,1030,土銀,50000000,86200000,2000000,25617024,1131106,2　台北市,800710,350901,510209,02-23483948,02-23310764,土銀營業部,345-001-65888-1,1020--71814,510705,345001665917,1020合庫1110台灣企銀,合作金庫信託部,公開發行,經紀、自營、承銷,何英明,張志堅,,,,台北市延平南路八十一號,台北市延平南路八十一號,台北市延平南路八十一號,台北市懷寧街五十三號二樓,台北市懷寧街五十三號二樓,台北市延平南路八十一號,台北市延平南路八十一號,台北市延平南路八十一號,非公開發行,101--在集中交易市場受託買賣有價證券,102--在其營業處所受託買賣有價證券,103--有價證券買賣融資融券,203--自行買賣政府債券,301--承銷有價證券,702--期貨交易輔助人(H408011),999--其他經本會核准業務(務必點選),,,,,,,,,,,,,,,,,,,,,,,,,2026-05-15
1150504,1040,臺銀證券,3000000,3000000,0,28428390,1140210,2　台北市,970102,970102,970102,02-23882188,02-23822045,臺灣銀行營業部,004003001264929,1110--3050001,8139,0,888A國泰-館前102C合庫-自強,台灣企銀信託部,公開發行,經紀、自營、承銷,李樹森,張正康,,,台北市重慶南路1段58號9樓,台北市重慶南路1段58號4樓、5樓部分,台北市重慶南路1段58號4樓,台北市重慶南路1段58號4樓,台北市重慶南路1段58號6樓部分及8樓部分,台北市重慶南路1段58號8樓部分,台北市重慶南路1段58號6樓部分,台北市重慶南路1段58號6樓部分,台北市重慶南路1段58號4樓、5樓部分,原臺銀證券業務部門於97.1.2分割設立,101--在集中交易市場受託買賣有價證券,102--在其營業處所受託買賣有價證券,103--有價證券買賣融資融券,121--經營不限用途款項借貸業務,201--在集中交易市場自行買賣有價證券,202--在其營業處所自行買賣有價證券,301--承銷有價證券,702--期貨交易輔助人(H408011),999--其他經本會核准業務(務必點選),,,,,,,,,,,,,,,,,,,,,,,2026-05-15
1150504,1110,台灣企銀,130000000,97180618,2200000,14329223,1140930,2　台北市,820816,650701,650701,02-25597171,02-27314281,台灣企銀證券部,01012238211,5510--76668,10015,01012238191,1030土銀1020合庫,臺灣土地銀行信託部,上市,經自,李嘉祥,李國忠,,,,台北市塔城街30號4樓,台北市塔城街30號4樓,台北市塔城街30號4樓,台北市塔城街30號1、5樓,台北市塔城街30號1、5樓,,,台北市塔城街30號4樓,,101--在集中交易市場受託買賣有價證券,102--在其營業處所受託買賣有價證券,103--有價證券買賣融資融券,209--在其營業處所自行買賣各種債券及證券化商品,702--期貨交易輔助人(H408011),999--其他經本會核准業務(務必點選),,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-15
1150504,1230,彰銀,80000000,112057583,2000000,36504700,1141028,2　台北市,800814,630413,630413,02-23619654,02-23113726,彰化商業銀行股份有限公司,30100108339320,888A--88082,3274,30100108339330,538C第一金-光復9359華南永昌-中正,台灣銀行信託部,上市,經紀、自營、承銷,胡光華,簡志光,,,,台北市衡陽路68號3樓,台北市衡陽路68號3樓,台北市衡陽路68號3樓,台北市中山北路2段57號5樓部分,台北市中山北路2段57號5樓部分,台北市中山北路2段57號5樓部分及8樓部分,台北市中山北路2段57號5樓部分,台北市衡陽路68號3樓,,101--在集中交易市場受託買賣有價證券,102--在其營業處所受託買賣有價證券,103--有價證券買賣融資融券,204--在其營業處所自行買賣政府債券,209--在其營業處所自行買賣各種債券及證券化商品,215--在其營業處所自行買賣各類債券(高資產客戶),283--國際證券業務-辦理外幣有價證券或其他外幣金融商品之買賣(高資產客戶),301--承銷有價證券,999--其他經本會核准業務(務必點選),,,,,,,,,,,,,,,,,,,,,,,2026-05-15
1150504,1260,宏遠,6000000,3915817,0,03027502,1141030,2　台北市,0,501208,510209,02-27008899,02-27849633,世華銀行營業部,01030983889,984K--1174031,38387,0,779Z國票-安和9291凱基-大安,世華銀行信託部,上櫃,經紀、自營、承銷,姜克勤,林禎民,,,台北市信義路4段236號3至5樓及7樓,台北市信義路4段236號4樓部分、5樓部分、7樓部分及台北市信義路五段7號46樓之1部分,台北市信義路4段236號4樓,台北市信義路4段236號4樓部分,台北市信義路4段236號3樓部分及5樓部分,台北市信義路4段236號5樓,台北市信義路4段236號3樓部分,台北市信義路4段236號3樓,台北市信義路4段236號3樓部分,"890502總公司與信義分公司1268互調,891201自辦融資融券停止",101--在集中交易市場受託買賣有價證券,102--在其營業處所受託買賣有價證券,107--受託買賣外國有價證券(複委託),119--有價證券借貸(除中央登錄公債外),120--證券業務借貸款項,121--經營不限用途款項借貸業務,123--有價證券借貸-限中央登錄公債,151--財富管理業務--顧問諮詢或金融商品銷售服務,201--在集中交易市場自行買賣有價證券,202--在其營業處所自行買賣有價證券,301--承銷有價證券,401--有價證券股務事項之代理(限綜合證券商),701--期貨商(H401011),703--期貨顧問業務(H405011),999--其他經本會核准業務(務必點選),,,,,,,,,,,,,,,,,2026-05-15
1150504,1360,港商麥格理,0,0,0,89407381,1131021,2　台北市,0,841216,850325,02-27347500,02-87721497,匯豐(台灣)商業銀行,001601392033,1210--600590,11,001601392034,9800元大1650新加坡商瑞銀,一銀信託部,,經紀、承銷,,柳志達,,,台北市復興南路1段2號5樓及5樓之1,台北市復興南路1段2號5樓及5樓之1,台北市復興南路1段2號5樓及5樓之1,台北市復興南路1段2號5樓及5樓之1,,,台北市復興南路1段2號5樓,台北市復興南路1段2號5樓部分,台北市復興南路1段2號5樓及5樓之1,,110--在集中交易市場受託買賣有價證券(不接受客戶當面委託免設營業廳),111--在其營業處所受託買賣有價證券(不接受客戶當面委託免設營業廳),112--受託買賣外國有價證券(不接受客戶當面委託免設營業廳),301--承銷有價證券,999--其他經本會核准業務(務必點選),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-15
1150504,1440,美林,3600000,3600000,0,28438670,1130614,2　台北市,0,970901,970901,02-23763766,02-23763740,匯豐銀行,001091511031,527U--301084,12,001091511032,9100群益金鼎9600富邦,匯豐銀行,,經紀、承銷,鄭勝榮,陳守輝,,,台北市信義路五段7號48樓部分及48樓之1部分,台北市信義路五段7號48樓部分及48樓之1部分,台北市信義路五段7號48樓部分及48樓之1部分,台北市信義路五段7號48樓部分,,,台北市信義路五段7號48樓(部分),台北市信義路五段7號48樓(部分),,美商美林分割設立，970830分割基準日,110--在集中交易市場受託買賣有價證券(不接受客戶當面委託免設營業廳),111--在其營業處所受託買賣有價證券(不接受客戶當面委託免設營業廳),301--承銷有價證券,701--期貨商(H401011),999--其他經本會核准業務(務必點選),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-15
1150504,1470,台灣摩根士丹利,3608210,3928210,0,27946368,1140325,2　台北市,0,951002,951002,02-27302888,02-27302990,中國信託商業銀行敦南分行,163118278810,9676--533944,11,,9600富邦5510,中國信託商業銀行,,經紀、承銷,李迎春,謝嘉豪,,,臺北市信義區信義路5段7號83樓及83樓之1(A/C/D/E室),臺北市信義區信義路5段7號83樓,臺北市信義區信義路5段7號83樓,無,,,臺北市信義區信義路5段7號83樓A室部分,臺北市信義區信義路5段7號83樓,臺北市信義區信義路5段7號83樓,,110--在集中交易市場受託買賣有價證券(不接受客戶當面委託免設營業廳),111--在其營業處所受託買賣有價證券(不接受客戶當面委託免設營業廳),112--受託買賣外國有價證券(不接受客戶當面委託免設營業廳),301--承銷有價證券,701--期貨商(H401011),999--其他經本會核准業務(務必點選),,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-15
1150504,1480,美商高盛,0,0,0,70753158,1061108,2　台北市,0,881026,890717,02-27304000,02-27304204,香港商匯豐台北分行,001450006035,9887--1264263,14,00000000,9800元大9676富邦-仁愛,花旗銀行台北分行,,經紀、承銷,,柳志華,,,台北市敦化南路2段207號11樓,台北市敦化南路2段207號11樓,台北市敦化南路2段207號11樓,台北市敦化南路2段207號11樓,,,台北市敦化南路2段207號11樓,台北市敦化南路2段207號11樓,台北市敦化南路2段207號11樓,美商高盛亞洲證券有限公司台北分公司,110--在集中交易市場受託買賣有價證券(不接受客戶當面委託免設營業廳),111--在其營業處所受託買賣有價證券(不接受客戶當面委託免設營業廳),112--受託買賣外國有價證券(不接受客戶當面委託免設營業廳),301--承銷有價證券,999--其他經本會核准業務(務必點選),,,,,,,,,,,,,,,,,,,,,,,,,,,2026-05-15
