Code,Company,ApplicationDate,Chairman,AmountofCapital ,CommitteeDate,ApprovedDate,AgreementDate,ListingDate,ApprovedListingDate,Underwriter,UnderwritingPrice,Note,date
4195,基米-創,1141223,周孟賢,724481,1150203,1150224,1150309,,1150511,台中銀,22.06,創新板,2026-05-15
7768,頌勝科技,1141027,朱明癸,600000,1141204,1141216,1141223,,1150507,元大,258.00,,2026-05-15
4178,永笙-KY,1141030,王嘉宗,1924750,1141217,1150120,1150204,,1150430,元富,19.15,科技事業,2026-05-15
7760,享溫馨,1141216,李東和,600000,1150127,1150224,1150306,,1150428,台新,30.00,,2026-05-15
7821,神數,1141028,何繼武,1094133,1141205,1141216,1141223,,1150420,元大,38.50,,2026-05-15
4169,泰宗,1141014,徐煥清,590486,1141120,1141216,1141223,,1150408,元大,102.00,科技事業,2026-05-15
7822,倍利科,1140930,林坤禧,415608,1141110,1141216,1141223,,1150330,凱基,780.00,科技事業,2026-05-15
2072,世紀風電,1140425,賴文祥,1700000,1140923,1141028,1141104,,1150326,永豐金,186.00,,2026-05-15
6908,宏碁遊戲-創,1141017,高樹國,350000,1141126,1141216,1141223,,1150325,富邦,38.66,創新板,2026-05-15
7823,奧義賽博-KY創,1140828,吳明蔚,316289,1141014,1141028,1141104,,1150205,元大,90.00,創新板,2026-05-15
6934,心誠鎂,1140901,鄭傑升,327168,1141009,1141028,1141104,,1150202,元大,48.00,科技事業,2026-05-15
4590,富田-創,1140915,張金鋒,511941,1141023,1141118,1141126,,1150129,中信,60.00,創新板,2026-05-15
1623,大東電,1140930,林志明,600000,1141107,1141118,1141127,,1150122,國泰,188.00,,2026-05-15
6722,輝創,1140528,江義行,780000,1140708,1140826,1140902,,1150116,富邦,40.00,,2026-05-15
7795,長廣,1140721,毛惠寬,708285,1140827,1140916,1140925,,1150116,元大,125.00,,2026-05-15
6921,嘉雨思-創,1140827,朱德祥,300679,1141002,1141028,1141104,,1141223,華南永昌,35.00,創新板,2026-05-15
6272,驊陞,1140610,陳宏欽,726639,1140718,1140826,1140902,,1141222,宏遠,40.00,,2026-05-15
7769,鴻勁,1140711,謝旼達,1616000,1140821,1140916,1140924,,1141127,元大,1495.00,,2026-05-15
6831,邁科,1140425,趙元山,600000,1140603,1140617,1140623,,1141125,宏遠,120.00,,2026-05-15
6614,資拓宏宇,1140626,吳麗秀,729355,1140806,1140826,1140902,,1141125,台新,46.00,,2026-05-15
7711,永擎,1140721,許隆倫,623947,1140827,1140916,1140925,,1141119,元大,268.00,,2026-05-15
7786,東方風能,1140708,陳柏霖,1565614,1140819,1140916,1140925,,1141118,永豐金,168.00,,2026-05-15
7730,暉盛-創,1140626,宋俊毅,288598,1140806,1140826,1140902,,1141104,福邦,72.00,創新板,2026-05-15
7791,皇家可口,1140625,周明芬,700000,1140805,1140826,1140902,,1141028,凱基,72.00,,2026-05-15
7788,松川精密,1140508,王傳世,726160,1140617,1140715,1140722,,1141016,元大,95.00,,2026-05-15
4585,達明,1140425,何世池,900000,1140604,1140617,1140620,,1140926,元大,238.00,科技事業,2026-05-15
7750,新代,1131226,蔡尤鏗,655230,1140227,1140328,1140410,,1140917,台新,630.00,,2026-05-15
7799,禾榮科,1140528,許金榮,1406895,1140703,1140715,1140723,,1140915,富邦,600.00,科技事業,2026-05-15
7610,聯友金屬-創,1140425,顏文良,346639,1140606,1140625,1140701,,1140909,福邦,50.00,創新板,2026-05-15
