DelistingDate,Company,Code,date
115/03/27,晶睿,3454,2026-05-15
115/01/22,億而得-創,6423,2026-05-15
114/10/01,京城銀,2809,2026-05-15
114/08/15,聯嘉光電,6288,2026-05-15
114/07/24,新光金,2888,2026-05-15
113/11/19,昶虹,2443,2026-05-15
113/11/19,廷鑫,2358,2026-05-15
113/09/02,中化,1701,2026-05-15
112/12/15,亞太電,3682,2026-05-15
112/06/26,誠創,3536,2026-05-15
111/12/21,泰昇-KY,8480,2026-05-15
111/09/26,新世紀,3383,2026-05-15
111/09/26,華上,6289,2026-05-15
111/08/25,定穎,6251,2026-05-15
111/08/04,台開,2841,2026-05-15
111/06/29,互億,6172,2026-05-15
111/06/27,客思達-KY,2936,2026-05-15
111/05/03,龍燈-KY,4141,2026-05-15
111/04/21,永大,1507,2026-05-15
111/03/18,精熙-DR,9188,2026-05-15
111/03/03,基勝-KY,8427,2026-05-15
111/01/27,英瑞-KY,1592,2026-05-15
111/01/05,奇力新,2456,2026-05-15
110/12/30,中壽,2823,2026-05-15
110/12/13,友佳-DR,912398,2026-05-15
110/11/01,台硝,1724,2026-05-15
110/08/31,杜康-DR,911616,2026-05-15
110/07/05,鈞泰,6131,2026-05-15
110/04/01,康友-KY,6452,2026-05-15
110/01/18,信昌化,4725,2026-05-15
110/01/15,鎧勝-KY,5264,2026-05-15
110/01/06,晶電,2448,2026-05-15
110/01/06,隆達,3698,2026-05-15
109/11/30,敦南,5305,2026-05-15
109/11/10,東貝,2499,2026-05-15
109/10/30,康聯-KY,4144,2026-05-15
109/10/30,格威傳媒,8497,2026-05-15
109/06/15,聖馬丁-DR,910482,2026-05-15
109/06/01,台紙,1902,2026-05-15
109/01/09,奕智博,5259,2026-05-15
108/11/12,陽光能源-DR,9157,2026-05-15
108/10/14,綠悅-KY,1262,2026-05-15
108/08/19,耀傑-DR,911619,2026-05-15
108/06/26,尚志,3579,2026-05-15
108/06/10,恒大健-DR,910708,2026-05-15
108/05/13,華映,2475,2026-05-15
108/05/02,綠能,3519,2026-05-15
108/01/30,榮化,1704,2026-05-15
107/10/01,昇陽光電,3561,2026-05-15
107/10/01,昱晶,3514,2026-05-15
107/10/01,勁永,6145,2026-05-15
107/10/01,元富證券,2856,2026-05-15
107/09/28,君耀-KY,6422,2026-05-15
107/09/01,科納-KY,4984,2026-05-15
107/07/11,理隆纖維,1469,2026-05-15
107/04/30,日月光,2311,2026-05-15
107/04/30,矽品,2325,2026-05-15
107/01/02,必翔實業,1729,2026-05-15
106/12/13,金衛-DR,910801,2026-05-15
106/11/21,台一,1613,2026-05-15
106/10/25,萬洲化學,1715,2026-05-15
106/10/01,宣昶,3315,2026-05-15
106/08/30,全智科,3559,2026-05-15
106/06/30,旺詮,2437,2026-05-15
106/06/27,新焦點-DR,9106,2026-05-15
106/02/02,興航,6702,2026-05-15
105/12/06,華亞科,3474,2026-05-15
105/11/29,中泰山-DR,911611,2026-05-15
105/11/01,MSH-DR,911626,2026-05-15
105/08/31,上緯,4733,2026-05-15
105/08/03,介面,3584,2026-05-15
105/07/01,穎台,3573,2026-05-15
105/06/01,奕力,3598,2026-05-15
105/04/29,立錡,6286,2026-05-15
105/03/22,大眾銀行,2847,2026-05-15
105/01/26,滬安電力,911612,2026-05-15
104/12/29,大成糖,913889,2026-05-15
104/12/28,	鴻友科技,2361,2026-05-15
104/10/15,台灣人壽,2833,2026-05-15
104/07/07,勝華科技,2384,2026-05-15
104/06/17,揚子江,911609,2026-05-15
104/05/13,新曄科技,910069,2026-05-15
104/03/01,融達,910948,2026-05-15
104/01/02,F-敦泰,5280,2026-05-15
103/12/30,僑威集團,911201,2026-05-15
103/12/30,璨圓,3061,2026-05-15
103/09/15,萬泰銀行,2837,2026-05-15
103/09/10,F-IML,3638,2026-05-15
103/02/27,華寶,8078,2026-05-15
103/02/01,F-晨星,3697,2026-05-15
103/01/28,聯合環境,911610,2026-05-15
102/12/03,華豐泰國,911602,2026-05-15
102/10/15,旺旺,9151,2026-05-15
102/09/12,神達電腦,2315,2026-05-15
102/07/30,歐聖集團,910579,2026-05-15
102/07/12,建興電,8008,2026-05-15
102/05/31,旺能,3599,2026-05-15
102/02/01,威力盟,3080,2026-05-15
101/12/28,廣鎵,8199,2026-05-15
101/11/30,思源,2473,2026-05-15
101/11/06,超級集團,911606,2026-05-15
101/08/28,萬宇科,9104,2026-05-15
101/03/28,爾必達,916665,2026-05-15
101/03/01,大傳,6119,2026-05-15
100/12/01,合庫,5854,2026-05-15
100/10/07,英華達,3367,2026-05-15
100/10/03,寶來證,2854,2026-05-15
100/10/01,雷凌,3534,2026-05-15
100/06/01,研揚,2463,2026-05-15
100/05/02,金鼎證,6012,2026-05-15
100/01/17,東亞科,9102,2026-05-15
100/01/03,永信藥品,1716,2026-05-15
099/11/15,友尚,2403,2026-05-15
099/10/16,英群,2341,2026-05-15
099/10/01,誠致,3614,2026-05-15
099/09/15,奈普,6255,2026-05-15
099/09/01,臺灣開億,1523,2026-05-15
099/08/16,合勤科技,2391,2026-05-15
099/06/21,優美,9922,2026-05-15
099/06/17,環電,2350,2026-05-15
099/04/08,大陸工程,2526,2026-05-15
099/04/01,飛信,3063,2026-05-15
099/03/31,乾坤,2452,2026-05-15
099/03/18,奇美,3009,2026-05-15
098/12/01,全懋,2446,2026-05-15
098/07/12,華宇光能,2381,2026-05-15
