出表日期,公司代號,公司名稱,公司簡稱,外國企業註冊地國,產業別,住址,營利事業統一編號,董事長,總經理,發言人,發言人職稱,代理發言人,總機電話,成立日期,上市日期,普通股每股面額,實收資本額,私募股數,特別股,編制財務報表類型,股票過戶機構,過戶電話,過戶地址,簽證會計師事務所,簽證會計師1,簽證會計師2,英文簡稱,英文通訊地址,傳真機號碼,電子郵件信箱,網址,已發行普通股數或TDR原股發行股數,date
1150514,000104,臺銀綜合證券股份有限公司,臺銀證券,－ ,XX,臺北市重慶南路1段58號4~9樓,28428390,李樹森,張正康,梁文奎,副總經理,會計部連宏銘經理,(02)2388-2188,20080102,20131021,新台幣                 10.0000元,3000000000,0,0,2,,,,安侯建業聯合會計師事務所,陳奕任,蕭雅文,BankTaiwan Sec.,"4~9F., No.58, Sec. 1, Chongching S. Rd., Jhongjheng DistrictTaipei City 100, Taiwan (R.O.C.)",(02)2371-7121,sec00301@twfhcsec.com.tw,http://www.twfhcsec.com.tw,0,2026-05-15
1150514,000218,亞東證券股份有限公司,亞東證券,－ ,XX,新北市板橋區新站路16號13、14樓,36552651,杜金森,王珮恩,王珮恩,總經理,譚紘富,(02)77531899,19790524,19840822,新台幣                 10.0000元,4222789020,0,0,1,亞東證券股務代理部,(02)77531699,新北市板橋區新站路16號13樓,勤業眾信聯合會計師事務所,張正修,陳俊宏,　OSC　,"13、14F,NO 16, Xinzhan Rd.,Banqiao Dist.New Taipei City, Taiwan, R.O.C　",(02)77531845,admin@osc.com.tw　,http://www.osc.com.tw　,422278902,2026-05-15
1150514,000511,富隆證券股份有限公司,富隆,－ ,XX,北市南京東路三段287號3樓,22956788,鄭淑華,宋世敏,宋世敏,總經理,鄭誠棋,27182788,19880704,19880704,新台幣                 10.0000元,738680030,0,0,2,富隆證券股份有限公司,27182788,台北市南京東路三段287號3樓,群智聯合會計師事務所,呂亞哲,吳小菁,FULLONG　,"3F.,No.287,Sec.3,Nanjing E.Rd.,Sungshan Chiu,Taipei,Taiwan 105, R.O.C　　3F.,No.287,Sec.3,Nanjing E.Rd.,Sungshan",27139123,webadmin@fullong.com.tw,http://www.fullong.com.tw　,73868003,2026-05-15
1150514,000532,高橋證券股份有限公司,高橋,－ ,XX,桃園市中壢區中和路９６號,22958842,藍宇墾,陳家儀,藍宇墾,董事長,陳家儀,03-4224243,19880806,19891005,新台幣                 10.0000元,478555090,0,0,2,自辦,03-4224243,桃園市中壢區中和路９６號,安貞聯合會計師事務所,顏國隆,周桂棻,Golden Gate　　,"No.96, Zhonghe Rd.,Zhongli Dist.,Taoyuan City 320, Taiwan　",03-4225738,service@mail.easytrade.com.tw,HTTP://www.EASYTRADE.COM.TW　　,47855509,2026-05-15
1150514,000538,第一金證券股份有限公司,第一金證,－ ,XX,台北市長安東路一段22號4樓,22959223,陳致全,張煥政(代理),曾淑貞,協理,劉博志,2563-6262,19880815,19890104,新台幣                 10.0000元,6700000000,331733755,0,1,第一金證券(股)公司股務代理部,2563-5711,台北市大安區安和路一段27號6樓,資誠聯合會計師事務所,吳尚燉,羅蕉森,FSI　　,"4F,No.22, Sec.1, Chang-an E. Road,Taipei, Taiwan, R.O.C.　　同上　　",5589-0079,vivian.wu@firstsec.com.tw,http://www.firstsec.com.tw　　,670000000,2026-05-15
1150514,000546,寶盛證券股份有限公司,寶盛,－ ,XX,台中市北屯區北興街43號一樓及二樓,23111648,虞金榜,虞金榜,虞源洝,行政經理,葉琇惠,0422309377,19880909,19940617,新台幣                 10.0000元,312000000,0,0,2,寶盛證券股份有限公司,0422309377,台中市北屯區北興街43號一樓,安永聯合會計師事務所,黃子評,黃靖雅,Pao Shin　,"1F, No.43, Beiximg St, Beitun Dist, Taichung City 406, Taiwan (RＯC )　　",0422371684,paoshin.mis@msa.hinet.net,無　　,31200000,2026-05-15
1150514,000560,永興證券股份有限公司,永興,－ ,XX,台北市中正區南海路20號2樓,22957745,吳壽祿,林秉憲,吳壽祿,董事長,蘇陳成,23218200,19880720,19880720,新台幣                 10.0000元,297000000,0,0,2,永豐金證券股份有限公司,0223816288,台北巿中正區博愛路17號3樓,安貞聯合會計師事務所,黃文和,李厚康,YUNG SHIN　,"2nd Fl., 20 Nan Hai Road　Taipei, Taiwan, R.O.C.　　",23216305,servies@yss.com.tw,www.yss.com.tw　,29700000,2026-05-15
1150514,000601,(牛牛牛)亞證券股份有限公司,牛牛牛亞,－ ,XX,台北市復興北路99號三樓,23226260,董磊,李藩,董磊,董事長,李藩,02-2718-0101,19890626,19910826,新台幣                 10.0000元,1137554000,0,0,2,兆豐證券股份有限公司股務代理部,02-3393-0898,台北市中正區忠孝東路二段95號1樓,資誠聯合會計師事務所,吳尚燉,羅蕉森,Primasia,"3/F, 99 Fu-Hsin N. Rd.Taipei, Taiwan, R. O. C.",02-2718-0202,feedback@Primasia.com,https://www.estockking.com/index.aspx,113755400,2026-05-15
1150514,000616,中國信託綜合證券股份有限公司,中信證券,－ ,XX,台北市南港區經貿二路168號3樓,23416851,謝載祥,林佳興,林佳興,副總經理,許文義,66392000,19890705,19950701,新台幣                 10.0000元,7904542390,134708529,0,1,中信銀代理部,6636-5566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,陳奕任,吳政諺,CTBC Securities,"3F., No.168, Jingmao 2nd Rd., Nangang Dist.,Taipei,Taiwan",66392339,無,http://www.ctbcsec.com,790454239,2026-05-15
1150514,000638,光和證券股份有限公司,光和,－ ,XX,彰化縣北斗鎮光復路166號3.4樓,23417015,詹正恩,陳耀長,詹正恩,董事長,詹哲欣,04-8886500,19890706,19910128,新台幣                 10.0000元,440783130,0,0,2,本公司,04-8886500,彰化縣北斗鎮光復路166號3.4樓,國富浩華聯合會計師事務所,黃勝義,吳麗容,KUANZ HO　　,"3-4F, 166 KWANGFU RD.,PEI-TOU CHEN,CHANGHUA, TAIWAN, ROC.",04-8886572,kh638@kuanzho.com.tw,WWW.KUANZHO.COM.TW,44078313,2026-05-15
1150514,000646,大昌證券股份有限公司,大昌證券,－ ,XX,新北市板橋區東門街三十之二號二樓之一至八十五及九樓之一、二,23469771,鄭立雄,林玴緯,鄭立雄,董事長,林玴緯,29689685,19890930,19920728,新台幣                 10.0000元,900000000,0,0,1,大昌證券,29689685,新北市板橋區東門街三十之二號二樓之一至八十五及九樓之一、二,安侯建業會計師事務所,陳富仁,蕭雅文,DCSC,"9F-1 , 30-2   TUNG-MEN   STREETPANCHIAO ,TAIPEI ,  TAIWAN",29658473,service@mail.twinsun.com.tw,www.dcn.com.tw,90000000,2026-05-15
