出表日期,發言日期,發言時間,公司代號,公司名稱,主旨 ,符合條款,事實發生日,說明,date
1150515,1150514,63014,2882,國泰金,"代子公司國泰綜合證券(股)公司公告擬取得國泰人壽保險(股)公司十年(含)期以上
累積次順位普通公司債",第20款,1150513,"1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
國泰人壽保險(股)公司十年(含)期以上累積次順位普通公司債
2.事實發生日:115/5/13~115/5/13
3.董事會通過日期: 民國115年5月13日
4.其他核決日期: 不適用
5.交易單位數量、每單位價格及交易總金額:
交易單位數量：視市場狀況決定之
每單位價格：依票面金額十足發行
交易總金額：上限5億美元(含等值新台幣)
6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
交易相對人：國泰人壽保險(股)公司
與公司之關係：同為國泰金融控股(股)公司之子公司
7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
擔任國泰人壽保險(股)公司十年(含)期以上累積次順位普通公司債募集與發行之承銷商
8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
9.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
10.處分利益（或損失）（取得有價證券者不適用）（遞延者應列表說明
認列情形）:
不適用
11.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
交付或付款條件：於交割日一次付清
契約限制條款及其他重要約定事項：無
12.本次交易之決定方式、價格決定之參考依據及決策單位:
本次交易之決定方式：議價
價格決定之參考依據：依市價結果
決策單位：依本公司核決權限核決
13.取得或處分有價證券標的公司每股淨值:
不適用
14.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
無
15.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額:
佔總資產比例：67%
佔股東權益比例：343%
營運資金：新台幣 13,322,211,000 元
16.經紀人及經紀費用:
不適用
17.取得或處分之具體目的或用途:
因擔任公司債之承銷商而協助銷售及交割事宜
18.本次交易表示異議董事之意見:
無
19.本次交易為關係人交易:是
20.監察人承認或審計委員會同意日期:
民國115年05月13日
21.本次交易會計師出具非合理性意見:否
22.會計師事務所名稱:
碩昇會計師事務所
23.會計師姓名:
林琇瑩
24.會計師開業證書字號:
金管會證字第7397號
25.是否涉及營運模式變更:否
26.營運模式變更說明:
不適用
27.過去一年及預計未來一年內與交易相對人交易情形:
不適用
28.資金來源:
借款
29.前已就同一件事件發布重大訊息日期: 不適用
30.其他敘明事項:
無",2026-05-15
1150515,1150514,95447,6579,研揚,澄清媒體有關本公司之報導,第51款,1150514,"1.事實發生日:115/05/14
2.公司名稱:研揚科技股份有公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.傳播媒體名稱:工商時報
6.報導內容:摘錄媒體報導如下：
「法人估，研揚今年營收將有雙位數成長， 挑戰百億新高，且毛利率持穩向上，
  在規模擴增下，獲利增幅有望更勝營收。」
7.發生緣由:該報導所提為媒體自行推估，本公司並未提供財務預測或預測性財務
資訊，有關本公司資訊，悉以公開資訊觀測站公佈之資料為準，特此澄清。
8.因應措施:發佈重大訊息說明。
9.其他應敘明事項:無。",2026-05-15
1150515,1150514,95711,6873,泓德能源,澄清媒體報導,第51款,1150514,"1.事實發生日:115/05/14
2.公司名稱:泓德能源科技股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.傳播媒體名稱:工商時報
6.報導內容:
...總經理周仕昌表示...預估今年恢復成長，營收可望破百億元...
7.發生緣由:澄清媒體報導
8.因應措施:
關於上述報導，係媒體推測並非本公司發佈之訊息，謹此澄清。有關本公司
財務及業務資訊，皆以公開資訊觀測站公告為主，特此說明。
9.其他應敘明事項:無",2026-05-15
1150515,1150514,113207,1531,高林股,公告本公司董事會重大決議事項,第51款,1150514,"1.事實發生日:115/05/14
2.公司名稱:高林股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:本公司召開董事會
6.因應措施:無
7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
  符合證券交易法施行細則第7條第9款所定對股東權益或證券價格有重大影響之事項):
董事會重要決議事項如下：
(1)通過本公司民國115年第1季合併財務報表提請審議案。
(2)通過本公司2025年度永續報告書提請審議案。
(3)通過本公司115年股東常會股東提名董事(含獨立董事)候選人資格審查案。",2026-05-15
1150515,1150514,113948,1531,高林股,公告本公司董事會決議通過民國115年第1季合併財務報告,第31款,1150514,"1.提報董事會或經董事會決議日期:115/05/14
2.審計委員會通過日期:115/05/14
3.財務報告或年度自結財務資訊報導期間
起訖日期(XXX/XX/XX~XXX/XX/XX):115/01/01~115/03/31
4.1月1日累計至本期止營業收入(仟元):347486
5.1月1日累計至本期止營業毛利(毛損) (仟元):51055
6.1月1日累計至本期止營業利益(損失) (仟元):-22632
7.1月1日累計至本期止稅前淨利(淨損) (仟元):5448
8.1月1日累計至本期止本期淨利(淨損) (仟元):5391
9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):5391
10.1月1日累計至本期止基本每股盈餘(損失) (元):0.03
11.期末總資產(仟元):4442757
12.期末總負債(仟元):787712
13.期末歸屬於母公司業主之權益(仟元):3655045
14.其他應敘明事項:無",2026-05-15
1150515,1150514,114151,6869,雲豹能源,澄清媒體報導,第51款,1150514,"1.事實發生日:115/05/14
2.公司名稱:雲豹能源科技股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.傳播媒體名稱:經濟日報
6.報導內容:
經濟日報：
雲豹能源(6869)昨(13)日宣布，已與全球最大資產管理公司
貝萊德旗下基金GIP簽署協議，擬收購在台已商轉太陽光電
案場群，總裝置容量達187MW(百萬瓦)。雲豹並未揭露投資
金額，業界以裝置容量推估，整體案場價值可望達上百億元
，為近年國內最具指標性的大型太陽光電交易案。
7.發生緣由:澄清媒體報導
8.因應措施:
上述有關整體案場價值可望達上百億元之報導係屬媒體臆測，
並非本公司發佈之訊息，謹此澄清。有關本公司之財務及業務
資訊，請以本公司於公開資訊觀測站之公告為準。
9.其他應敘明事項:無",2026-05-15
1150515,1150514,121726,1531,高林股,"更正公告本公司董事會決議召開115年股東常會
(因應電子投票自動轉入格式規定，故配合重新上傳)",第17款,1150312,"1.董事會決議日期：115/03/12
2.股東會召開日期：115/06/26
3.股東會召開地點：台北市敦化南路一段108號地下二樓 (國際會議中心) C區
4.股東會召開方式(實體股東會/視訊輔助股東會/視訊股東會)：實體股東會
5.召集事由一：報告事項
(1)：114年度營業報告。
(2)：114年度審計委員會查核報告。
6.召集事由二：承認事項
(1)：承認本公司114年度營業報告書及財務報表案。
(2)：承認本公司114年度盈虧撥補案。
7.召集事由三：討論事項(1)
(1)：114年度資本公積配發現金股利案。
(2)：修訂本公司「公司章程」部分條文案。
8.召集事由四：選舉事項
(1)：選舉本公司董事七人(含獨立董事四人)案。
9.召集事由五：討論事項(2)
(1)：解除本公司新任董事競業禁止案。
10.臨時動議：
11.停止過戶起始日期：115/04/28
12.停止過戶截止日期：115/06/26
13.其他應敘明事項：",2026-05-15
1150515,1150514,132708,9905,大華,代孫公司濟南聯合製罐有限公司公告處分理財商品,第20款,1150514,"1.標的物之名稱及性質（屬特別股者，並應標明特別股約定發行條件，如股息率等）:
光大銀行""光銀現金A""
2.事實發生日:114/12/12~115/5/14
3.董事會通過日期: 不適用
4.其他核決日期:
核決層級:總經理核決
民國115年5月14日
5.交易數量、每單位價格及交易總金額:
人民幣66,300,000元
6.交易相對人及其與公司之關係（交易相對人如屬自然人，且非公司之
關係人者，得免揭露其姓名）:
光大銀行-濟南分行章丘支行；無
7.交易相對人為關係人者，並應公告選定關係人為交易對象之原因及前次移
轉之所有人、前次移轉之所有人與公司及交易相對人間相互之關係、前次
移轉日期及移轉金額:
不適用
8.交易標的最近五年內所有權人曾為公司之關係人者，尚應公告關係人之取
得及處分日期、價格及交易當時與公司之關係:
不適用
9.本次係處分債權之相關事項（含處分之債權附隨擔保品種類、處分債權
如有屬對關係人債權者尚需公告關係人名稱及本次處分該關係人之債權
帳面金額:
不適用
10.處分利益（或損失）（取得有價證券者不適用）（原遞延者應列表說明
認列情形）:
累計處分利益人民幣165,085.12元
11.交付或付款條件（含付款期間及金額）、契約限制條款及其他重要約定
事項:
一次性付清
12.本次交易之決定方式、價格決定之參考依據及決策單位:
依公司核定權限辦理
13.取得或處分有價證券標的公司每股淨值:
不適用
14.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
濟南聯合製罐有限公司: 人民幣17,100,000元
15.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列
之有價證券投資（含本次交易）占公司最近期財務報表中總資產及歸屬
於母公司業主之權益之比例暨最近期財務報表中營運資金數額（註二）:
占總資產之比例:3.76%
占業主之權益之比例:3.98%
營運資金:新台幣:3,687,872仟元
16.經紀人及經紀費用:
無
17.取得或處分之具體目的或用途:
投資理財獲利
18.本次交易表示異議董事之意見:
無
19.本次交易為關係人交易:否
20.監察人承認或審計委員會同意日期:
不適用
21.本次交易會計師出具非合理性意見:不適用
22.會計師事務所名稱:
不適用
23.會計師姓名:
不適用
24.會計師開業證書字號:
不適用
25.是否涉及營運模式變更:否
26.營運模式變更說明:
無
27.過去一年及預計未來一年內與交易相對人交易情形:
自114年5月15日起一年內，於114年12月9日及115年5月14日做處分公告，
於114年9月12日及115年4月2日做取得公告。未來將視本公司理財操作需求，
繼續交易或不交易。
28.資金來源:
自有資金
29.前已就同一件事件發布重大訊息日期: 不適用
30.其他敘明事項:
無",2026-05-15
1150515,1150514,133312,2540,愛山林,公告本公司董事會通過115年第1季合併財務報告,第31款,1150514,"1.提報董事會或經董事會決議日期:115/05/14
2.審計委員會通過日期:115/05/14
3.財務報告或年度自結財務資訊報導期間
起訖日期(XXX/XX/XX~XXX/XX/XX):115/01/01~115/3/31
4.1月1日累計至本期止營業收入(仟元):1,723,776
5.1月1日累計至本期止營業毛利(毛損) (仟元):287,120
6.1月1日累計至本期止營業利益(損失) (仟元):16,711
7.1月1日累計至本期止稅前淨利(淨損) (仟元):-23,679
8.1月1日累計至本期止本期淨利(淨損) (仟元):-11,300
9.1月1日累計至本期止歸屬於母公司業主淨利(損) (仟元):-11,300
10.1月1日累計至本期止基本每股盈餘(損失) (元):-0.01
11.期末總資產(仟元):62,395,605
12.期末總負債(仟元):45,980,107
13.期末歸屬於母公司業主之權益(仟元):16,415,498
14.其他應敘明事項:無。",2026-05-15
1150515,1150514,133641,3023,信邦,"代本公司之重要子公司北京信邦同安新能源科技股份
有限公司公告董事會決議發放現金股利",第14款,1150514,"1.董事會決議日期:115/05/14
2.發放股利種類及金額:現金股利人民幣100,000,000元
3.其他應敘明事項:無",2026-05-15
