出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註,date
1150514,11504,000104,臺銀證券,證券,257219,173091,25153,48.603335817575726,922.6175804079036,784851,251440,212.1424594336621,-,2026-05-15
1150514,11504,000218,亞東證券,證券,379676,-74463,19710,609.8854464633442,1826.3115169964485,641036,63379,911.4328089745815,-,2026-05-15
1150514,11504,000511,富隆,證券,16255,-29911,-509,154.34455551469358,3293.516699410609,37510,-9194,507.9834674787905,-,2026-05-15
1150514,11504,000532,高橋,證券,52004,47361,17241,9.803424758767763,201.62983585638884,173805,72585,139.45029964868775,-,2026-05-15
1150514,11504,000538,第一金證,證券,706845,444615,169299,58.97911676394184,317.51280279269224,2125987,851485,149.67991215347305,-,2026-05-15
1150514,11504,000546,寶盛,證券,4027,3362,1914,19.779892920880428,110.39707419017763,13312,7015,89.7647897362794,-,2026-05-15
1150514,11504,000560,永興,證券,32083,29968,12187,7.057528029898559,163.2559284483466,107088,50217,113.25049286098333,-,2026-05-15
1150514,11504,000596,日茂,證券,20598,17765,6233,15.947086968758795,230.46686988609017,65853,29096,126.33007973604619,-,2026-05-15
1150514,11504,000601,牛牛牛亞,證券,314893,-372488,42559,184.53775692102832,639.8975539838812,133602,253265,-47.24813930073243,-,2026-05-15
1150514,11504,000616,中信證券,證券,1247686,464427,53756,168.6506167815394,2221.017188778927,3459678,1013785,241.26348288838363,-,2026-05-15
1150514,11504,000638,光和,證券,57029,55521,20059,2.7160894076115345,184.30629642554464,198077,87302,126.88712744267028,-,2026-05-15
1150514,11504,000646,大昌證券,證券,89621,85292,37970,5.075505322890775,136.03107716618382,306993,176422,74.01061092154039,-,2026-05-15
1150514,11504,000662,口袋證券,證券,28546,24290,7319,17.521613832853024,290.02595983057796,89420,38047,135.0251005335506,-,2026-05-15
1150514,11504,000695,福勝證券,證券,19355,17741,5812,9.097570599177047,233.01789401238815,65099,25193,158.40114317469138,-,2026-05-15
1150514,11504,000700,兆豐證券,證券,1955915,1194891,184470,63.68982610129292,960.2889358703312,5212711,1863313,179.75498480394867,-,2026-05-15
1150514,11504,000708,石橋,證券,3267,2956,1190,10.520974289580515,174.53781512605042,10777,5191,107.60932382970526,-,2026-05-15
1150514,11504,000775,北城,證券,13963,12248,4258,14.002286087524494,227.92390793799905,45029,18984,137.1944795617362,-,2026-05-15
1150514,11504,000779,國票綜合,證券,1112042,526000,-77564,111.41482889733841,1533.7089371357847,2751435,957000,187.50626959247649,-,2026-05-15
1150514,11504,000815,台新證券,證券,4021140,832175,145573,383.2084597590651,2662.2842147925785,7264695,1261786,475.74699671735146,-,2026-05-15
1150514,11504,000838,安泰證券,證券,28112,26586,10582,5.73986308583465,165.65866565866565,94559,40122,135.67868002592095,-,2026-05-15
1150514,11504,000849,京城證券,證券,22189,20468,7821,8.408247019738127,183.71052295102928,72593,38871,86.7536209513519,-,2026-05-15
1150514,11504,000852,中農證券,證券,10197,10137,4601,0.5918910920390648,121.62573353618778,37080,19116,93.97363465160075,-,2026-05-15
1150514,11504,000856,新光證券,證券,482224,431076,207178,11.865193144596313,132.75830445317553,1597263,919159,73.77439594237777,-,2026-05-15
1150514,11504,000888,國泰證,證券,2221635,1697435,713732,30.881889439065414,211.2701966564481,6719939,3403938,97.41660982074292,-,2026-05-15
1150514,11504,000930,華南永昌,證券,1539605,1037600,439968,48.381360832690824,249.93567714015566,4468190,1857869,140.5008103370044,-,2026-05-15
1150514,11504,000960,富邦證券,證券,5053096,3694511,1493140,36.77306685512643,238.4207776899688,15093491,7212763,109.26087547864806,-,2026-05-15
1150514,11504,000980,元大證券,證券,15909974,11348536,6406083,40.19406556052692,148.35728790900774,47867122,24463814,95.66500137713604,-,2026-05-15
1150514,11504,0009A0,永豐金證,證券,3487899,2738254,1023917,27.376751754950416,240.64274741019048,10968463,5494231,99.63600001528876,-,2026-05-15
1150514,11504,1111,欣欣水泥,水泥工業,50021,42941,46656,16.48773899070818,7.212362825788752,159500,178086,-10.436530664959626,-,2026-05-15
1150514,11504,1237,台糖公司,食品工業,2360242,3106041,3033010,-24.01124131973789,-22.181529239929972,9941767,10068841,-1.2620519084569912,-,2026-05-15
1150514,11504,1242,新東陽,食品工業,267104,298835,268877,-10.618234142587047,-0.6594093209906389,1344535,1306731,2.893020828311259,-,2026-05-15
1150514,11504,1246,中聯油脂,食品工業,801033,903908,749230,-11.381136133323302,6.914165209615205,3087077,3106445,-0.6234779627516341,-,2026-05-15
1150514,11504,1267,京華堂,食品工業,633,678,601,-6.6371681415929205,5.324459234608985,5478,4914,11.477411477411477,-,2026-05-15
1150514,11504,1328,中油,塑膠工業,114400747,94783595,87926275,20.696779859426094,30.109852828406527,367726596,350503267,4.913885438905195,-,2026-05-15
1150514,11504,1408,中興紡織,紡織纖維,391505,374284,398946,4.60105160786996,-1.8651647090082366,1309817,1727671,-24.185970592780684,-,2026-05-15
1150514,11504,1550,台全電機,電機機械,1139897,1075576,1048923,5.9801445922928735,8.673086585001949,4175703,4144742,0.7469946259622432,-,2026-05-15
1150514,11504,1557,金豐機器,電機機械,408458,501499,481489,-18.55257936705756,-15.167740072981937,1793081,2042776,-12.223317681429585,-,2026-05-15
1150514,11504,1585,鎧鉅,其他,18882,16307,10075,15.790764702275096,87.41439205955335,63893,39675,61.04095778197858,-,2026-05-15
1150514,11504,1602,太電,電器電纜,3509338,4414836,3451289,-20.51034285305275,1.6819512941396677,13869995,13270279,4.519241833574109,-,2026-05-15
1150514,11504,1613,台一,電器電纜,570759,671991,582964,-15.064487470814342,-2.0936112693065096,2284095,2345125,-2.6024199136506585,-,2026-05-15
1150514,11504,1619,大展電線,電器電纜,426068,416022,395701,2.4147761416463553,7.674228773745833,1548070,1297635,19.299340723701196,-,2026-05-15
1150514,11504,1716,永信藥品,化學生技醫療,398106,405390,382555,-1.7967882779545623,4.065036399994772,1582009,1736186,-8.880212143168992,-,2026-05-15
1150514,11504,1739,欣雲天然,化學生技醫療,217304,196592,253382,10.535525351998047,-14.23858048322296,802685,874456,-8.207502721692116,-,2026-05-15
1150514,11504,1740,欣桃天然,化學生技醫療,464019,470235,438289,-1.3218922453666784,5.870555729210635,1897375,1743320,8.836874469403208,-,2026-05-15
1150514,11504,1745,欣嘉公司,化學生技醫療,64686,56948,62776,13.587834515698532,3.0425640372116733,247488,259801,-4.739396692083556,-,2026-05-15
1150514,11504,1763,奇美實業,化學生技醫療,9473150,11228861,10588564,-15.635699827435747,-10.53413852907722,37715275,41626496,-9.395989035445117,-,2026-05-15
1150514,11504,1764,長春石化,化學生技醫療,11492253,10300750,9952671,11.567148023202193,15.469033388122646,39232548,36570338,7.279697551605894,-,2026-05-15
1150514,11504,1765,長春樹脂,化學生技醫療,11280392,10465523,10438373,7.78622339275352,8.066573210211974,39730414,39096685,1.6209277078094984,-,2026-05-15
1150514,11504,1766,大連化工,化學生技醫療,4142104,3629039,3468051,14.137764846285751,19.43607519035908,13521189,12340794,9.56498423035017,-,2026-05-15
1150514,11504,1767,陽瓦,化學生技醫療,69998,78664,74018,-11.01647513475033,-5.4311113512929285,304244,316846,-3.9773265245576717,-,2026-05-15
