出表日期,公司代號,公司名稱,已發行股份總額,全體董事應持有股數,全體董事本人實際持有股數,全體董事法人代表人分戶集保股數,全體董事保留運用決定權信託股數,全體董事不足股數,全體監察人應持有股數,全體監察人本人實際持有股數,全體監察人法人代表人分戶集保股數,全體監察人保留運用決定權信託股數,全體監察人不足股數,持股不足已通知其董監,date
1100427,1232,大統益,159974915,9598494,107898921,0,0,,959849,59131,0,0,900718,O.K,2026-05-15
1100427,1418,東華,56834309,5683430,25558311,0,0,,568343,361230,0,0,207113,O.K,2026-05-15
1100427,1472,三洋紡,86052851,6884228,6142225,0,0,742003,0,0,0,0,,O.K,2026-05-15
1100427,1506,正道,163161751,9789705,8000000,0,0,1789705,0,0,0,0,,O.K,2026-05-15
1100427,1515,力山,181473500,10888410,3237269,0,0,7651141,0,0,0,0,,O.K,2026-05-15
1100427,1538,正峰,26410551,3169266,2054580,0,0,1114686,316926,20605,0,0,296321,O.K,2026-05-15
1100427,2329,華泰,827131033,26468193,7871108,0,0,18597085,0,0,0,0,,O.K,2026-05-15
1100427,2375,凱美,135844168,10188312,8194144,0,0,1994168,1018831,815387,0,0,203444,O.K,2026-05-15
1100427,2417,圓剛,192892330,11573539,9762545,0,1000000,810994,0,0,0,0,,O.K,2026-05-15
1100427,2427,三商電,184314463,11058867,98504890,0,0,,1105886,46763,0,0,1059123,O.K,2026-05-15
1100427,2434,統懋,37000000,3600000,5667165,0,0,,360000,0,0,0,360000,O.K,2026-05-15
1100427,2444,兆勁,105557573,8000000,59000,0,0,7941000,0,0,0,0,,O.K,2026-05-15
1100427,2465,麗臺,53587301,4286984,923116,0,0,3363868,0,0,0,0,,O.K,2026-05-15
1100427,2612,中航,197484593,11849075,42924297,0,0,,1184907,770,0,0,1184137,O.K,2026-05-15
1100427,3018,同開,73147132,5851770,5372992,0,0,478778,0,0,0,0,,O.K,2026-05-15
1100427,3043,科風,194878166,11692689,1426479,0,0,10266210,0,0,0,0,,O.K,2026-05-15
1100427,3494,誠研,179450634,13458797,29237535,0,0,,1345879,1085000,0,0,260879,O.K,2026-05-15
1100427,3535,晶彩科,79052356,6324188,13936963,0,0,,632418,142894,0,0,489524,O.K,2026-05-15
1100427,3545,敦泰,210527942,12000000,5707362,0,610846,5681792,0,0,0,0,,O.K,2026-05-15
1100427,4956,光鋐,100408236,8000000,10071481,0,0,,800000,584259,0,0,215741,O.K,2026-05-15
1100427,4960,誠美材,665728500,21303312,4866313,0,0,16436999,0,0,0,0,,O.K,2026-05-15
1100427,4967,十銓,81499008,6519920,5895589,0,0,624331,0,0,0,0,,O.K,2026-05-15
1100427,4968,立積,63192078,5055366,4939076,0,0,116290,0,0,0,0,,O.K,2026-05-15
1100427,5258,虹堡,89542579,7163406,14534036,0,0,,716340,408000,0,0,308340,O.K,2026-05-15
1100427,6131,鈞泰,37000000,3600000,3641193,0,0,,360000,5588,0,0,354412,O.K,2026-05-15
1100427,6165,浪凡,53242403,4259392,38000,0,0,4221392,0,0,0,0,,O.K,2026-05-15
1100427,6230,尼得科超眾,86343396,6907471,69756982,0,0,,690747,0,0,0,690747,O.K,2026-05-15
1100427,6243,迅杰,74976693,5998135,5375145,0,0,622990,0,0,0,0,,O.K,2026-05-15
1100427,8011,台通,147642417,8858545,29885282,0,0,,885854,873206,0,0,12648,O.K,2026-05-15
1100427,8033,雷虎,112629775,8000000,3013380,0,0,4986620,800000,2730041,0,0,,O.K,2026-05-15
1100427,1232,大統益,159974915,9598494,107898921,0,0,,959849,59131,0,0,900718,O.K,2026-05-15
1100427,1418,東華,56834309,5683430,25558311,0,0,,568343,361230,0,0,207113,O.K,2026-05-15
1100427,1472,三洋紡,86052851,6884228,6142225,0,0,742003,0,0,0,0,,O.K,2026-05-15
1100427,1506,正道,163161751,9789705,8000000,0,0,1789705,0,0,0,0,,O.K,2026-05-15
1100427,1515,力山,181473500,10888410,3237269,0,0,7651141,0,0,0,0,,O.K,2026-05-15
1100427,1538,正峰,26410551,3169266,2054580,0,0,1114686,316926,20605,0,0,296321,O.K,2026-05-15
1100427,2329,華泰,827131033,26468193,7871108,0,0,18597085,0,0,0,0,,O.K,2026-05-15
1100427,2375,凱美,135844168,10188312,8194144,0,0,1994168,1018831,815387,0,0,203444,O.K,2026-05-15
1100427,2417,圓剛,192892330,11573539,9762545,0,1000000,810994,0,0,0,0,,O.K,2026-05-15
1100427,2427,三商電,184314463,11058867,98504890,0,0,,1105886,46763,0,0,1059123,O.K,2026-05-15
1100427,2434,統懋,37000000,3600000,5667165,0,0,,360000,0,0,0,360000,O.K,2026-05-15
1100427,2444,兆勁,105557573,8000000,59000,0,0,7941000,0,0,0,0,,O.K,2026-05-15
1100427,2465,麗臺,53587301,4286984,923116,0,0,3363868,0,0,0,0,,O.K,2026-05-15
1100427,2612,中航,197484593,11849075,42924297,0,0,,1184907,770,0,0,1184137,O.K,2026-05-15
1100427,3018,同開,73147132,5851770,5372992,0,0,478778,0,0,0,0,,O.K,2026-05-15
1100427,3043,科風,194878166,11692689,1426479,0,0,10266210,0,0,0,0,,O.K,2026-05-15
1100427,3494,誠研,179450634,13458797,29237535,0,0,,1345879,1085000,0,0,260879,O.K,2026-05-15
1100427,3535,晶彩科,79052356,6324188,13936963,0,0,,632418,142894,0,0,489524,O.K,2026-05-15
1100427,3545,敦泰,210527942,12000000,5707362,0,610846,5681792,0,0,0,0,,O.K,2026-05-15
1100427,4956,光鋐,100408236,8000000,10071481,0,0,,800000,584259,0,0,215741,O.K,2026-05-15
1100427,4960,誠美材,665728500,21303312,4866313,0,0,16436999,0,0,0,0,,O.K,2026-05-15
1100427,4967,十銓,81499008,6519920,5895589,0,0,624331,0,0,0,0,,O.K,2026-05-15
1100427,4968,立積,63192078,5055366,4939076,0,0,116290,0,0,0,0,,O.K,2026-05-15
1100427,5258,虹堡,89542579,7163406,14534036,0,0,,716340,408000,0,0,308340,O.K,2026-05-15
1100427,6131,鈞泰,37000000,3600000,3641193,0,0,,360000,5588,0,0,354412,O.K,2026-05-15
1100427,6165,浪凡,53242403,4259392,38000,0,0,4221392,0,0,0,0,,O.K,2026-05-15
1100427,6230,尼得科超眾,86343396,6907471,69756982,0,0,,690747,0,0,0,690747,O.K,2026-05-15
1100427,6243,迅杰,74976693,5998135,5375145,0,0,622990,0,0,0,0,,O.K,2026-05-15
1100427,8011,台通,147642417,8858545,29885282,0,0,,885854,873206,0,0,12648,O.K,2026-05-15
1100427,8033,雷虎,112629775,8000000,3013380,0,0,4986620,800000,2730041,0,0,,O.K,2026-05-15
1100427,1232,大統益,159974915,9598494,107898921,0,0,,959849,59131,0,0,900718,O.K,2026-05-17
1100427,1418,東華,56834309,5683430,25558311,0,0,,568343,361230,0,0,207113,O.K,2026-05-17
1100427,1472,三洋紡,86052851,6884228,6142225,0,0,742003,0,0,0,0,,O.K,2026-05-17
1100427,1506,正道,163161751,9789705,8000000,0,0,1789705,0,0,0,0,,O.K,2026-05-17
1100427,1515,力山,181473500,10888410,3237269,0,0,7651141,0,0,0,0,,O.K,2026-05-17
1100427,1538,正峰,26410551,3169266,2054580,0,0,1114686,316926,20605,0,0,296321,O.K,2026-05-17
