出表日期,連續不足達3個月,連續不足達4個月,連續不足達5個月,連續不足達6個月,連續不足達7個月,連續不足達8個月,連續不足達9個月,連續不足達10個月,連續不足達11個月,連續不足達12個月,連續不足逾1年以上,date
1100427,2375,2329,,,5258,2434,,1472,3545,1506,1232,2026-05-15
1100427,4968,3494,,,,,,,4956,,1418,2026-05-15
1100427,6230,4967,,,,,,,4960,,1538,2026-05-15
1100427,8011,,,,,,,,,,2427,2026-05-15
1100427,,,,,,,,,,,2444,2026-05-15
1100427,,,,,,,,,,,2465,2026-05-15
1100427,,,,,,,,,,,2612,2026-05-15
1100427,,,,,,,,,,,3018,2026-05-15
1100427,,,,,,,,,,,3043,2026-05-15
1100427,,,,,,,,,,,3535,2026-05-15
1100427,,,,,,,,,,,6131,2026-05-15
1100427,,,,,,,,,,,6165,2026-05-15
1100427,,,,,,,,,,,6243,2026-05-15
1100427,,,,,,,,,,,8033,2026-05-15
1100427,2375,2329,,,5258,2434,,1472,3545,1506,1232,2026-05-15
1100427,4968,3494,,,,,,,4956,,1418,2026-05-15
1100427,6230,4967,,,,,,,4960,,1538,2026-05-15
1100427,8011,,,,,,,,,,2427,2026-05-15
1100427,,,,,,,,,,,2444,2026-05-15
1100427,,,,,,,,,,,2465,2026-05-15
1100427,,,,,,,,,,,2612,2026-05-15
1100427,,,,,,,,,,,3018,2026-05-15
1100427,,,,,,,,,,,3043,2026-05-15
1100427,,,,,,,,,,,3535,2026-05-15
1100427,,,,,,,,,,,6131,2026-05-15
1100427,,,,,,,,,,,6165,2026-05-15
1100427,,,,,,,,,,,6243,2026-05-15
1100427,,,,,,,,,,,8033,2026-05-15
1100427,2375,2329,,,5258,2434,,1472,3545,1506,1232,2026-05-17
1100427,4968,3494,,,,,,,4956,,1418,2026-05-17
1100427,6230,4967,,,,,,,4960,,1538,2026-05-17
1100427,8011,,,,,,,,,,2427,2026-05-17
1100427,,,,,,,,,,,2444,2026-05-17
1100427,,,,,,,,,,,2465,2026-05-17
1100427,,,,,,,,,,,2612,2026-05-17
1100427,,,,,,,,,,,3018,2026-05-17
1100427,,,,,,,,,,,3043,2026-05-17
1100427,,,,,,,,,,,3535,2026-05-17
1100427,,,,,,,,,,,6131,2026-05-17
1100427,,,,,,,,,,,6165,2026-05-17
1100427,,,,,,,,,,,6243,2026-05-17
1100427,,,,,,,,,,,8033,2026-05-17
1100427,2375,2329,,,5258,2434,,1472,3545,1506,1232,2026-05-17
1100427,4968,3494,,,,,,,4956,,1418,2026-05-17
1100427,6230,4967,,,,,,,4960,,1538,2026-05-17
1100427,8011,,,,,,,,,,2427,2026-05-17
1100427,,,,,,,,,,,2444,2026-05-17
1100427,,,,,,,,,,,2465,2026-05-17
1100427,,,,,,,,,,,2612,2026-05-17
1100427,,,,,,,,,,,3018,2026-05-17
1100427,,,,,,,,,,,3043,2026-05-17
1100427,,,,,,,,,,,3535,2026-05-17
1100427,,,,,,,,,,,6131,2026-05-17
1100427,,,,,,,,,,,6165,2026-05-17
1100427,,,,,,,,,,,6243,2026-05-17
1100427,,,,,,,,,,,8033,2026-05-17
1100427,2375,2329,,,5258,2434,,1472,3545,1506,1232,2026-05-18
1100427,4968,3494,,,,,,,4956,,1418,2026-05-18
1100427,6230,4967,,,,,,,4960,,1538,2026-05-18
1100427,8011,,,,,,,,,,2427,2026-05-18
1100427,,,,,,,,,,,2444,2026-05-18
1100427,,,,,,,,,,,2465,2026-05-18
1100427,,,,,,,,,,,2612,2026-05-18
1100427,,,,,,,,,,,3018,2026-05-18
1100427,,,,,,,,,,,3043,2026-05-18
1100427,,,,,,,,,,,3535,2026-05-18
1100427,,,,,,,,,,,6131,2026-05-18
1100427,,,,,,,,,,,6165,2026-05-18
1100427,,,,,,,,,,,6243,2026-05-18
1100427,,,,,,,,,,,8033,2026-05-18
