出表日期,公司代號,公司名稱,申報人身分,姓名,預定轉讓方式及股數-轉讓方式,預定轉讓方式及股數-轉讓股數,每日於盤中交易最大得轉讓股數,受讓人,目前持有股數-自有持股,目前持有股數-保留運用決定權信託股數,預定轉讓總股數-自有持股,預定轉讓總股數-保留運用決定權信託股數,預定轉讓後持股-自有持股,預定轉讓後持股-保留運用決定權信託股數,有效轉讓期間,date
1150514,5215,科嘉-KY,董事本人,林志峰,贈與,,,林上誠,1579000,0,66000,0,1513000,0,1150514~1150516,2026-05-15
1150514,5215,科嘉-KY,董事本人,林志峰,贈與,,,李靜宜,1513000,0,66000,0,1447000,0,1150514~1150516,2026-05-15
1150514,6658,聯策,董事本人,林文彬, 一般交易(每日得轉讓股數限制), 200000,66370,,2250337,0,200000,0,2050337,0,1150517~1150616,2026-05-15
1150514,6994,富威電力,董事本人,森崴能源股份有限公司,鉅額逐筆交易,710000,,,29551000,0,710000,0,28841000,0,1150517~1150616,2026-05-15
1150514,5215,科嘉-KY,董事本人,林志峰,贈與,,,林上誠,1579000,0,66000,0,1513000,0,1150514~1150516,2026-05-15
1150514,5215,科嘉-KY,董事本人,林志峰,贈與,,,李靜宜,1513000,0,66000,0,1447000,0,1150514~1150516,2026-05-15
1150514,6658,聯策,董事本人,林文彬, 一般交易(每日得轉讓股數限制), 200000,66370,,2250337,0,200000,0,2050337,0,1150517~1150616,2026-05-15
1150514,6994,富威電力,董事本人,森崴能源股份有限公司,鉅額逐筆交易,710000,,,29551000,0,710000,0,28841000,0,1150517~1150616,2026-05-15
1150515,2330,台積電,經理人本人,莊子壽, 一般交易(每日得轉讓股數限制), 200000,25962524,,2695165,0,200000,0,2495165,0,1150518~1150617,2026-05-17
1150515,2945,三商家購,董事本人,三商投資控股股份有限公司,鉅額逐筆交易,5122000,,,41018951,0,5122000,0,35896951,0,1150518~1150617,2026-05-17
1150515,3535,晶彩科,董事本人,由田新技股份有限公司, 一般交易(每日得轉讓股數限制), 3000000,477240,,8971272,0,3000000,0,5971272,0,1150518~1150617,2026-05-17
1150515,2330,台積電,經理人本人,莊子壽, 一般交易(每日得轉讓股數限制), 200000,25962524,,2695165,0,200000,0,2495165,0,1150518~1150617,2026-05-17
1150515,2945,三商家購,董事本人,三商投資控股股份有限公司,鉅額逐筆交易,5122000,,,41018951,0,5122000,0,35896951,0,1150518~1150617,2026-05-17
1150515,3535,晶彩科,董事本人,由田新技股份有限公司, 一般交易(每日得轉讓股數限制), 3000000,477240,,8971272,0,3000000,0,5971272,0,1150518~1150617,2026-05-17
1150515,2330,台積電,經理人本人,莊子壽, 一般交易(每日得轉讓股數限制), 200000,25962524,,2695165,0,200000,0,2495165,0,1150518~1150617,2026-05-18
1150515,2945,三商家購,董事本人,三商投資控股股份有限公司,鉅額逐筆交易,5122000,,,41018951,0,5122000,0,35896951,0,1150518~1150617,2026-05-18
1150515,3535,晶彩科,董事本人,由田新技股份有限公司, 一般交易(每日得轉讓股數限制), 3000000,477240,,8971272,0,3000000,0,5971272,0,1150518~1150617,2026-05-18
