出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利,date
1150515,115,1,1101,臺灣水泥股份有限公司,水泥工業,0.10,新台幣                 10.0000元,33168148.00,2792191.00,-659456.00,1204739.00,2026-05-15
1150515,115,1,1102,亞洲水泥股份有限公司,水泥工業,0.56,新台幣                 10.0000元,14829491.00,1184173.00,957154.00,1791302.00,2026-05-15
1150515,115,1,1103,嘉新水泥股份有限公司,水泥工業,0.08,新台幣                 10.0000元,688370.00,15792.00,52601.00,51325.00,2026-05-15
1150515,115,1,1108,幸福水泥股份有限公司,水泥工業,0.17,新台幣                 10.0000元,980706.00,88910.00,-2779.00,68889.00,2026-05-15
1150515,115,1,1109,信大水泥股份有限公司,水泥工業,0.01,新台幣                 10.0000元,855342.00,-15946.00,3794.00,-15757.00,2026-05-15
1150515,115,1,1201,味全食品工業股份有限公司,食品工業,0.20,新台幣                 10.0000元,5001067.00,39544.00,76137.00,101752.00,2026-05-15
1150515,115,1,1203,味王股份有限公司,食品工業,0.49,新台幣                 10.0000元,1323768.00,208493.00,40849.00,180764.00,2026-05-15
1150515,115,1,1213,大西洋飲料股份有限公司,食品工業,-0.37,新台幣                 10.0000元,77083.00,-12546.00,-7779.00,-21106.00,2026-05-15
1150515,115,1,1215,台灣卜蜂企業股份有限公司,食品工業,1.26,新台幣                 10.0000元,7176319.00,573563.00,-62820.00,373172.00,2026-05-15
1150515,115,1,1216,統一企業股份有限公司,食品工業,1.15,新台幣                 10.0000元,175017371.00,10253052.00,3033138.00,9763840.00,2026-05-15
1150515,115,1,1217,愛之味股份有限公司,食品工業,-0.13,新台幣                 10.0000元,1166163.00,21356.00,-78544.00,-63994.00,2026-05-15
1150515,115,1,1219,福壽實業股份有限公司,食品工業,0.11,新台幣                 10.0000元,3634112.00,2863.00,6579.00,-3775.00,2026-05-15
1150515,115,1,1220,台榮產業股份有限公司,食品工業,-0.17,新台幣                 10.0000元,695415.00,-26741.00,-4158.00,-24887.00,2026-05-15
1150515,115,1,1231,聯華食品工業股份有限公司,食品工業,1.00,新台幣                 10.0000元,3348538.00,318581.00,36070.00,297044.00,2026-05-15
1150515,115,1,1232,大統益股份有限公司,食品工業,2.33,新台幣                 10.0000元,5894059.00,480031.00,7235.00,389810.00,2026-05-15
1150515,115,1,1233,天仁茶業股份有限公司,食品工業,0.34,新台幣                 10.0000元,568211.00,36343.00,1994.00,30405.00,2026-05-15
1150515,115,1,1234,黑松股份有限公司,食品工業,0.29,新台幣                 10.0000元,2328332.00,46713.00,114516.00,115795.00,2026-05-15
1150515,115,1,1236,宏亞食品股份有限公司,食品工業,0.23,新台幣                 10.0000元,545487.00,25153.00,2025.00,19977.00,2026-05-15
1150515,115,1,1256,鮮活控股股份有限公司,食品工業,3.24,新台幣                 10.0000元,1141779.00,151285.00,22921.00,115999.00,2026-05-15
1150515,115,1,1301,台灣塑膠工業股份有限公司,塑膠工業,0.51,新台幣                 10.0000元,41985122.00,-1301844.00,4680560.00,3268627.00,2026-05-15
1150515,115,1,1303,南亞塑膠工業股份有限公司,塑膠工業,1.80,新台幣                 10.0000元,68596393.00,3741833.00,12338333.00,14674818.00,2026-05-15
1150515,115,1,1304,台灣聚合化學品股份有限公司,塑膠工業,-0.41,新台幣                 10.0000元,10746648.00,-629024.00,-459322.00,-971660.00,2026-05-15
1150515,115,1,1305,華夏海灣塑膠股份有限公司,塑膠工業,-0.21,新台幣                 10.0000元,2673905.00,-175550.00,7988.00,-135159.00,2026-05-15
1150515,115,1,1307,三芳化學工業股份有限公司,塑膠工業,0.97,新台幣                 10.0000元,2952809.00,410564.00,87866.00,386040.00,2026-05-15
1150515,115,1,1308,亞洲聚合股份有限公司,塑膠工業,-0.20,新台幣                 10.0000元,1301918.00,13526.00,-129302.00,-120235.00,2026-05-15
1150515,115,1,1309,台達化學工業股份有限公司,塑膠工業,-0.53,新台幣                 10.0000元,3333032.00,-275206.00,12866.00,-212196.00,2026-05-15
1150515,115,1,1310,台灣苯乙烯工業股份有限公司,塑膠工業,-0.94,新台幣                 10.0000元,2184647.00,155538.00,-620634.00,-495637.00,2026-05-15
1150515,115,1,1313,聯成化學科技股份有限公司,塑膠工業,0.08,新台幣                 10.0000元,14431164.00,195198.00,-22507.00,102340.00,2026-05-15
1150515,115,1,1315,達新工業股份有限公司,塑膠工業,0.15,新台幣                 10.0000元,400564.00,-40608.00,63278.00,14551.00,2026-05-15
1150515,115,1,1316,上曜建設開發股份有限公司,建材營造,-0.19,新台幣                 10.0000元,1897267.00,55716.00,23767.00,40968.00,2026-05-15
1150515,115,1,1319,東陽實業廠股份有限公司,汽車工業,1.62,新台幣                 10.0000元,5630744.00,887491.00,300926.00,942021.00,2026-05-15
1150515,115,1,1321,大洋塑膠工業股份有限公司,塑膠工業,0.16,新台幣                 10.0000元,880894.00,20883.00,72276.00,35116.00,2026-05-15
1150515,115,1,1323,永裕塑膠工業股份有限公司,塑膠工業,0.36,新台幣                 10.0000元,530894.00,23645.00,14511.00,32509.00,2026-05-15
1150515,115,1,1324,地球綜合工業股份有限公司,塑膠工業,-0.06,新台幣                 10.0000元,169793.00,-5261.00,1604.00,-4503.00,2026-05-15
1150515,115,1,1325,恒大股份有限公司,塑膠工業,-0.08,新台幣                 10.0000元,57239.00,-21793.00,13325.00,-7618.00,2026-05-15
1150515,115,1,1326,台灣化學纖維股份有限公司,塑膠工業,1.07,新台幣                 10.0000元,81749811.00,3120431.00,4174071.00,6534544.00,2026-05-15
1150515,115,1,1337,亞洲塑膠再生資源控股有限公司,塑膠工業,-0.43,新台幣                 10.0000元,152344.00,-98278.00,-16677.00,-114955.00,2026-05-15
1150515,115,1,1338,廣華控股有限公司,汽車工業,-1.15,新台幣                 10.0000元,1155491.00,-54159.00,-23618.00,-85547.00,2026-05-15
1150515,115,1,1339,昭輝實業股份有限公司,汽車工業,2.78,新台幣                 10.0000元,394676.00,-1039.00,240329.00,223783.00,2026-05-15
1150515,115,1,1340,勝悅新材料有限公司,塑膠工業,-0.30,新台幣                 10.0000元,11435.00,-43109.00,-2531.00,-45640.00,2026-05-15
1150515,115,1,1341,富林塑膠工業(開曼)控股(股)公司,塑膠工業,1.62,新台幣                 10.0000元,680910.00,103167.00,1556.00,85775.00,2026-05-15
1150515,115,1,1342,八貫企業股份有限公司,其他,2.08,新台幣                 10.0000元,917285.00,186743.00,16045.00,162191.00,2026-05-15
1150515,115,1,1409,新光合成纖維股份有限公司,紡織纖維,0.39,新台幣                 10.0000元,10013245.00,--,--,888313.00,2026-05-15
1150515,115,1,1410,南洋染整股份有限公司,紡織纖維,0.03,新台幣                 10.0000元,49535.00,-1046.00,3414.00,402.00,2026-05-15
1150515,115,1,1413,宏洲纖維工業股份有限公司,紡織纖維,-0.13,新台幣                 10.0000元,437912.00,-14752.00,-2219.00,-16971.00,2026-05-15
