出表日期,發函日期,股票代號,公司名稱,違規事由,違反資訊申報作業辦法條款,違反重大訊息之查證暨公開處理程序條款,裁罰金額(萬),date
1150514,1150508,4989,榮科,"李長榮科技股份有限公司（公司代號：4989，下稱榮科公司）辦理 115 年度第1季財務報告董事會召集
通知乙案，經查符合證交所「對有價證券上市公司重大訊息之查證暨公開處理程序」第 4 條第 1 項第 
31 款情事，惟榮科公司延遲輸入公開資訊觀測站重大訊息畫面，已違反前述處理程序之規定，故證交
所處以違約金新台幣 3 萬元，並函知榮科公司嗣後應確實依規定辦理。",,"4條1項31款
",3.0,2026-05-15
1150514,1150506,3055,蔚華科,"該公司115年4月28日辦理115年度第一季合併財務報告董事會召集通知乙案，經查符合本公司「對有價證券上
市公司重大訊息之查證暨公開處理程序」第4條第1項第31款情事，惟貴公司遲至115年5月4日9時23分始輸入
公開資訊觀測站重大訊息畫面，已違反前揭處理程序之規定，處違約金新台幣三萬元，嗣後請注意改進並確
實依規定辦理。",,"4條1項31款
",3.0,2026-05-15
1150514,1150505,3432,台端,"台端興業股份有限公司（公司代號：3432）於集中交易市場達公布注意交易資訊標準，經證交所於115
年4月29日依證交所「對有價證券上市公司重大訊息之查證暨公開處理程序」第10條規定通知須公布財
務業務等重大訊息，惟台端公司延遲輸入公開資訊觀測站重大訊息畫面，已違反前述處理程序之規定，
故證交所處以違約金新台幣3萬元，並函知台端公司嗣後應確實依規定辦理。",,"4條1項51款
",3.0,2026-05-15
1150514,1150430,6830,汎銓,"該公司115年4月28日辦理115年度第一季合併財務報告董事會召集通知乙案，經查符合本公司「對有價
證券上市公司重大訊息之查證暨公開處理程序」第4條第1項第31款情事，惟貴公司遲至115年4月29日
15時33分始輸入公開資訊觀測站重大訊息畫面，已違反前揭處理程序之規定，處違約金新台幣三萬元，
嗣後請注意改進並確實依規定辦理。",,"4條1項31款
",3.0,2026-05-15
1150514,1150428,2424,隴華,"該公司115年4月23日董事會決議增加股東常會其他事項乙案，經查符合本公司「對有價證券上市公司
重大訊息之查證暨公開處理程序」第4條第1項第17款情事，惟貴公司遲至115年4月24日15時32分始輸
入公開資訊觀測站重大訊息畫面，已違反前揭處理程序之規定，處違約金新台幣三萬元，嗣後請注意改
進並確實依規定辦理。",,"4條1項17款
",3.0,2026-05-15
1150514,1150420,2466,冠西電,"冠西電子企業股份有限公司(代號:2466)對子公司監督與管理之執行經核有缺失，證交所依「對上市公
司內部控制制度查核作業程序」第9條第2項規定，對冠西公司處以違約金新臺幣10萬元，並函知冠西
公司嗣後應確實依規定辦理。",,,10.0,2026-05-15
1150514,1150402,2601,益航,"益航股份有限公司（公司代號：2601）115年3月30日董事會通過子公司薪昇暘開發股份有限公司建案
工程發包乙案，經查符合證交所「對有價證券上市公司重大訊息之查證暨公開處理程序」第4條第1項第 
20款情事，惟益航公司延遲輸入公開資訊觀測站重大訊息畫面，已違反前述處理程序之規定，故證交所
處以違約金新台幣3萬元，並函知益航公司嗣後應確實依規定辦理。",,"4條1項20款
",3.0,2026-05-15
1150514,1150401,5434,崇越,"該公司115年3月10日董事會決議對關係人捐贈乙案，經查符合證交所「對有價證券上市公司重大訊息之
查證暨公開處理程序」第4條第1項第43款情事，惟該公司延遲輸入公開資訊觀測站重大訊息畫面，已違
反前揭處理程序之規定。",,"4條1項43款
",3.0,2026-05-15
1150514,1150318,2429,銘旺科,"該公司115年3月12日董事會決議不分派股利乙案，經查符合本公司「對有價證券上市公司重大訊息之
查證暨公開處理程序」第4條第1項第14款情事，惟該公司遲至115年3月13日17時24分始輸入公開資訊
觀測站重大訊息畫面",,"4條1項14款
",3.0,2026-05-15
1150514,1150317,2929,淘帝-KY,"該公司之子公司淘帝兒童服飾有限公司及淘帝(中國)服飾有限公司115年3月13日資金貸與等案，核有前
揭處理程序第4條第1項第23款情事，應於次一營業日交易時間開始前二小時將重大訊息內容或說明輸入
本公司指定之網際網路資訊申報系統，惟該公司遲至115年3月16日始代子公司發布該則重大訊息，已違
反前揭處理程序之規定。",,"4條1項23款
",3.0,2026-05-15
