出表日期,公司代號,公司名稱,經營權異動日期,經營權異動說明,date
1150514,1225,福懋油,1150416,股東臨時會解任4席董事、補選1席獨立董事並選舉新任董事長後，原經營階層已喪失董事會之控制力。,2026-05-15
1150514,2371,大同,1141230,該公司114年12月30日股東臨時會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事盛譽資本股份有限公司(指派代表人:張榮華)為董事長，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-15
1150514,8114,振樺電,1140730,114年7月30日股東臨時會全面改選董事，新選任9席董事中有4席為代表人代表宏碁股份有限公司控股之雲川興業股份有限公司(下稱雲川興業)當選，且董事長由代表雲川興業之董事郭劍成擔任。經考量雲川興業持有全數已發行特別股，佔流通在外之表決權約29.18%並為單一最大股東，核有經營權異動之情事。,2026-05-15
1150514,3041,揚智,1140630,改選後七席董事及董事長皆已發生變動，原經營階層喪失控制力,2026-05-15
1150514,3593,力銘,1140627,該公司114年6月27日股東常會改選結果，原經營階層喪失控制權，而有經營權異動情事。,2026-05-15
1150514,6431,光麗-KY,1140529,"該公司114年5月29日股東會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事TEC INNOVATION CO., LTD.(指派代表人:王嘉瑋)為董事長，核有經營權異動情事。",2026-05-15
1150514,3040,遠見,1140224,該公司114年2月24日股東臨時會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-15
1150514,2025,千興,1131125,113年6月14日股東常會全面改選董事，暨千興建設股份有限公司及千興投資股份有限公司之法人代表人董事於113年11月25日辭任，致原經營階層喪失控制權。,2026-05-15
1150514,2939,永邑-KY,1130924,該公司113年9月24日股東臨時會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事何孟弘為董事長，核有經營權異動情事。,2026-05-15
1150514,1538,正峰,1130628,該公司113年6月28日股東常會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-15
1150514,2929,淘帝-KY,1130624,"原董事長周訓財於112年8月31日辭任後，餘4席董事（含3席獨立董事），並推舉連之騏擔任董事長。
113年6月24日股東常會改選董事，5席董事全數異動（含3席獨立董事），由原始最大股東Topwealth公司以法人董事身分當選董事指派代表人周志鴻（淘帝-KY總經理）擔任董事長。
經綜合考量原周訓財持有之Topwealth公司股權92.53%已移轉其子周夏韌持有，且獨立董事以外之兩席董事均有異動，包括獨立董事已異動超過二分之一，原經營階層疑已喪失控制權，故將該公司列為經營權已異動公司。",2026-05-15
1150514,3338,泰碩,1130524,該公司113年5月24日股東常會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。。,2026-05-15
1150514,1225,福懋油,1150416,股東臨時會解任4席董事、補選1席獨立董事並選舉新任董事長後，原經營階層已喪失董事會之控制力。,2026-05-15
1150514,2371,大同,1141230,該公司114年12月30日股東臨時會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事盛譽資本股份有限公司(指派代表人:張榮華)為董事長，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-15
1150514,8114,振樺電,1140730,114年7月30日股東臨時會全面改選董事，新選任9席董事中有4席為代表人代表宏碁股份有限公司控股之雲川興業股份有限公司(下稱雲川興業)當選，且董事長由代表雲川興業之董事郭劍成擔任。經考量雲川興業持有全數已發行特別股，佔流通在外之表決權約29.18%並為單一最大股東，核有經營權異動之情事。,2026-05-15
1150514,3041,揚智,1140630,改選後七席董事及董事長皆已發生變動，原經營階層喪失控制力,2026-05-15
1150514,3593,力銘,1140627,該公司114年6月27日股東常會改選結果，原經營階層喪失控制權，而有經營權異動情事。,2026-05-15
1150514,6431,光麗-KY,1140529,"該公司114年5月29日股東會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事TEC INNOVATION CO., LTD.(指派代表人:王嘉瑋)為董事長，核有經營權異動情事。",2026-05-15
1150514,3040,遠見,1140224,該公司114年2月24日股東臨時會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-15
1150514,2025,千興,1131125,113年6月14日股東常會全面改選董事，暨千興建設股份有限公司及千興投資股份有限公司之法人代表人董事於113年11月25日辭任，致原經營階層喪失控制權。,2026-05-15
1150514,2939,永邑-KY,1130924,該公司113年9月24日股東臨時會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事何孟弘為董事長，核有經營權異動情事。,2026-05-15
1150514,1538,正峰,1130628,該公司113年6月28日股東常會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-15
1150514,2929,淘帝-KY,1130624,"原董事長周訓財於112年8月31日辭任後，餘4席董事（含3席獨立董事），並推舉連之騏擔任董事長。
113年6月24日股東常會改選董事，5席董事全數異動（含3席獨立董事），由原始最大股東Topwealth公司以法人董事身分當選董事指派代表人周志鴻（淘帝-KY總經理）擔任董事長。
經綜合考量原周訓財持有之Topwealth公司股權92.53%已移轉其子周夏韌持有，且獨立董事以外之兩席董事均有異動，包括獨立董事已異動超過二分之一，原經營階層疑已喪失控制權，故將該公司列為經營權已異動公司。",2026-05-15
1150514,3338,泰碩,1130524,該公司113年5月24日股東常會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。。,2026-05-15
1150516,6962,奕力-KY,1150515,"TPK&#8194;Holding&#8194;Co.,&#8194;Ltd.（「TPK公司」）於114年11月6日經董事會決議取得奕力-KY23.83%股權並於115年1月全部支付完成股權交割，復於115年第1季將該公司納入合併財務報告編製個體。",2026-05-17
1150516,1225,福懋油,1150416,股東臨時會解任4席董事、補選1席獨立董事並選舉新任董事長後，原經營階層已喪失董事會之控制力。,2026-05-17
1150516,2371,大同,1141230,該公司114年12月30日股東臨時會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事盛譽資本股份有限公司(指派代表人:張榮華)為董事長，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-17
1150516,8114,振樺電,1140730,114年7月30日股東臨時會全面改選董事，新選任9席董事中有4席為代表人代表宏碁股份有限公司控股之雲川興業股份有限公司(下稱雲川興業)當選，且董事長由代表雲川興業之董事郭劍成擔任。經考量雲川興業持有全數已發行特別股，佔流通在外之表決權約29.18%並為單一最大股東，核有經營權異動之情事。,2026-05-17
1150516,3041,揚智,1140630,改選後七席董事及董事長皆已發生變動，原經營階層喪失控制力,2026-05-17
1150516,3593,力銘,1140627,該公司114年6月27日股東常會改選結果，原經營階層喪失控制權，而有經營權異動情事。,2026-05-17
1150516,6431,光麗-KY,1140529,"該公司114年5月29日股東會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事TEC INNOVATION CO., LTD.(指派代表人:王嘉瑋)為董事長，核有經營權異動情事。",2026-05-17
1150516,3040,遠見,1140224,該公司114年2月24日股東臨時會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-17
1150516,2025,千興,1131125,113年6月14日股東常會全面改選董事，暨千興建設股份有限公司及千興投資股份有限公司之法人代表人董事於113年11月25日辭任，致原經營階層喪失控制權。,2026-05-17
1150516,2939,永邑-KY,1130924,該公司113年9月24日股東臨時會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事何孟弘為董事長，核有經營權異動情事。,2026-05-17
1150516,1538,正峰,1130628,該公司113年6月28日股東常會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-17
1150516,2929,淘帝-KY,1130624,"原董事長周訓財於112年8月31日辭任後，餘4席董事（含3席獨立董事），並推舉連之騏擔任董事長。
113年6月24日股東常會改選董事，5席董事全數異動（含3席獨立董事），由原始最大股東Topwealth公司以法人董事身分當選董事指派代表人周志鴻（淘帝-KY總經理）擔任董事長。
經綜合考量原周訓財持有之Topwealth公司股權92.53%已移轉其子周夏韌持有，且獨立董事以外之兩席董事均有異動，包括獨立董事已異動超過二分之一，原經營階層疑已喪失控制權，故將該公司列為經營權已異動公司。",2026-05-17
1150516,3338,泰碩,1130524,該公司113年5月24日股東常會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。。,2026-05-17
1150516,6962,奕力-KY,1150515,"TPK&#8194;Holding&#8194;Co.,&#8194;Ltd.（「TPK公司」）於114年11月6日經董事會決議取得奕力-KY23.83%股權並於115年1月全部支付完成股權交割，復於115年第1季將該公司納入合併財務報告編製個體。",2026-05-17
1150516,1225,福懋油,1150416,股東臨時會解任4席董事、補選1席獨立董事並選舉新任董事長後，原經營階層已喪失董事會之控制力。,2026-05-17
1150516,2371,大同,1141230,該公司114年12月30日股東臨時會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事盛譽資本股份有限公司(指派代表人:張榮華)為董事長，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-17
1150516,8114,振樺電,1140730,114年7月30日股東臨時會全面改選董事，新選任9席董事中有4席為代表人代表宏碁股份有限公司控股之雲川興業股份有限公司(下稱雲川興業)當選，且董事長由代表雲川興業之董事郭劍成擔任。經考量雲川興業持有全數已發行特別股，佔流通在外之表決權約29.18%並為單一最大股東，核有經營權異動之情事。,2026-05-17
1150516,3041,揚智,1140630,改選後七席董事及董事長皆已發生變動，原經營階層喪失控制力,2026-05-17
1150516,3593,力銘,1140627,該公司114年6月27日股東常會改選結果，原經營階層喪失控制權，而有經營權異動情事。,2026-05-17
1150516,6431,光麗-KY,1140529,"該公司114年5月29日股東會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事TEC INNOVATION CO., LTD.(指派代表人:王嘉瑋)為董事長，核有經營權異動情事。",2026-05-17
1150516,3040,遠見,1140224,該公司114年2月24日股東臨時會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-17
1150516,2025,千興,1131125,113年6月14日股東常會全面改選董事，暨千興建設股份有限公司及千興投資股份有限公司之法人代表人董事於113年11月25日辭任，致原經營階層喪失控制權。,2026-05-17
1150516,2939,永邑-KY,1130924,該公司113年9月24日股東臨時會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事何孟弘為董事長，核有經營權異動情事。,2026-05-17
1150516,1538,正峰,1130628,該公司113年6月28日股東常會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-17
1150516,2929,淘帝-KY,1130624,"原董事長周訓財於112年8月31日辭任後，餘4席董事（含3席獨立董事），並推舉連之騏擔任董事長。
113年6月24日股東常會改選董事，5席董事全數異動（含3席獨立董事），由原始最大股東Topwealth公司以法人董事身分當選董事指派代表人周志鴻（淘帝-KY總經理）擔任董事長。
經綜合考量原周訓財持有之Topwealth公司股權92.53%已移轉其子周夏韌持有，且獨立董事以外之兩席董事均有異動，包括獨立董事已異動超過二分之一，原經營階層疑已喪失控制權，故將該公司列為經營權已異動公司。",2026-05-17
1150516,3338,泰碩,1130524,該公司113年5月24日股東常會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。。,2026-05-17
1150517,6962,奕力-KY,1150515,"TPK&#8194;Holding&#8194;Co.,&#8194;Ltd.（「TPK公司」）於114年11月6日經董事會決議取得奕力-KY23.83%股權並於115年1月全部支付完成股權交割，復於115年第1季將該公司納入合併財務報告編製個體。",2026-05-18
1150517,1225,福懋油,1150416,股東臨時會解任4席董事、補選1席獨立董事並選舉新任董事長後，原經營階層已喪失董事會之控制力。,2026-05-18
1150517,2371,大同,1141230,該公司114年12月30日股東臨時會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事盛譽資本股份有限公司(指派代表人:張榮華)為董事長，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-18
1150517,8114,振樺電,1140730,114年7月30日股東臨時會全面改選董事，新選任9席董事中有4席為代表人代表宏碁股份有限公司控股之雲川興業股份有限公司(下稱雲川興業)當選，且董事長由代表雲川興業之董事郭劍成擔任。經考量雲川興業持有全數已發行特別股，佔流通在外之表決權約29.18%並為單一最大股東，核有經營權異動之情事。,2026-05-18
1150517,3041,揚智,1140630,改選後七席董事及董事長皆已發生變動，原經營階層喪失控制力,2026-05-18
1150517,3593,力銘,1140627,該公司114年6月27日股東常會改選結果，原經營階層喪失控制權，而有經營權異動情事。,2026-05-18
1150517,6431,光麗-KY,1140529,"該公司114年5月29日股東會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事TEC INNOVATION CO., LTD.(指派代表人:王嘉瑋)為董事長，核有經營權異動情事。",2026-05-18
1150517,3040,遠見,1140224,該公司114年2月24日股東臨時會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-18
1150517,2025,千興,1131125,113年6月14日股東常會全面改選董事，暨千興建設股份有限公司及千興投資股份有限公司之法人代表人董事於113年11月25日辭任，致原經營階層喪失控制權。,2026-05-18
1150517,2939,永邑-KY,1130924,該公司113年9月24日股東臨時會改選董事，全體董事變動達二分之一以上，並於同日董事會推舉新任董事何孟弘為董事長，核有經營權異動情事。,2026-05-18
1150517,1538,正峰,1130628,該公司113年6月28日股東常會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。,2026-05-18
1150517,2929,淘帝-KY,1130624,"原董事長周訓財於112年8月31日辭任後，餘4席董事（含3席獨立董事），並推舉連之騏擔任董事長。
113年6月24日股東常會改選董事，5席董事全數異動（含3席獨立董事），由原始最大股東Topwealth公司以法人董事身分當選董事指派代表人周志鴻（淘帝-KY總經理）擔任董事長。
經綜合考量原周訓財持有之Topwealth公司股權92.53%已移轉其子周夏韌持有，且獨立董事以外之兩席董事均有異動，包括獨立董事已異動超過二分之一，原經營階層疑已喪失控制權，故將該公司列為經營權已異動公司。",2026-05-18
1150517,3338,泰碩,1130524,該公司113年5月24日股東常會改選結果，原經營階層未能掌握董事會過半數表決權致喪失控制權，而有經營權異動情事。。,2026-05-18
