出表日期,公司代號,公司名稱,董事長,總經理,董事長是否兼任總經理,date
1150514,1101,台泥,張安平,程耀輝,未兼任,2026-05-15
1150514,1102,亞泥,徐旭東,李坤炎,未兼任,2026-05-15
1150514,1103,嘉泥,張剛綸,王立心,未兼任,2026-05-15
1150514,1104,環泥,博智投資股份有限公司,侯智升,未兼任,2026-05-15
1150514,1108,幸福,陳韻如,陳明賢,未兼任,2026-05-15
1150514,1109,信大,楊智雄,楊大寬,未兼任,2026-05-15
1150514,1110,東泥,陳敏斷,吳炎輝,未兼任,2026-05-15
1150514,1201,味全,徐文芳,滕以勇,未兼任,2026-05-15
1150514,1203,味王,陳清福,陳恭平,未兼任,2026-05-15
1150514,1210,大成,韓家宇,韓芳豪,未兼任,2026-05-15
1150514,1213,大飲,蘇芸樂,洪松輝,未兼任,2026-05-15
1150514,1215,卜蜂,鄭武樾,許瑞通,未兼任,2026-05-15
1150514,1216,統一,羅智先,郭慶峰,未兼任,2026-05-15
1150514,1217,愛之味,陳冠翰,陳冠豪,未兼任,2026-05-15
1150514,1218,泰山,劉偉龍,沈怡君,未兼任,2026-05-15
1150514,1219,福壽,洪堯昆,趙文強,未兼任,2026-05-15
1150514,1220,台榮,倍安利投資有限公司,陳英凱,未兼任,2026-05-15
1150514,1225,福懋油,晉懋投資股份有限公司(代表人吳星澄),張志賓,未兼任,2026-05-15
1150514,1227,佳格,曹德風,邱子權,未兼任,2026-05-15
1150514,1229,聯華,苗豐強,林信宏,未兼任,2026-05-15
1150514,1231,聯華食,李開源,扶兆民,未兼任,2026-05-15
1150514,1232,大統益,羅智先,陳昭良,未兼任,2026-05-15
1150514,1233,天仁,李建德,陳中智,未兼任,2026-05-15
1150514,1234,黑松,張斌堂,張智鈞,未兼任,2026-05-15
1150514,1235,興泰,美安生化科技股份有限公司(代表人楊淑樺),葉文籐,未兼任,2026-05-15
1150514,1236,宏亞,張云綺,張云綺,兼任,2026-05-15
1150514,1256,鮮活果汁-KY,黃國晃,黃薰毅,未兼任,2026-05-15
1150514,1301,台塑,郭文筆,林勝冠,未兼任,2026-05-15
1150514,1303,南亞,吳嘉昭,鄒明仁,未兼任,2026-05-15
1150514,1304,台聚,吳亦圭,吳培基,未兼任,2026-05-15
1150514,1305,華夏,吳亦圭,胡吉宏,未兼任,2026-05-15
1150514,1307,三芳,林孟經,林至逸,未兼任,2026-05-15
1150514,1308,亞聚,吳亦圭,吳培基,未兼任,2026-05-15
1150514,1309,台達化,吳亦圭,吳培基,未兼任,2026-05-15
1150514,1310,台苯,林文淵,仲崇國,未兼任,2026-05-15
1150514,1312,國喬,邱德馨,曾嘉雄,未兼任,2026-05-15
1150514,1313,聯成,苗豐強,畢淑蒨,未兼任,2026-05-15
1150514,1314,中石化,陳瑞隆,陳穎俊(代理),未兼任,2026-05-15
1150514,1315,達新,吳子聰,陳以千,未兼任,2026-05-15
1150514,1316,上曜,張祐銘,曾鵬光,未兼任,2026-05-15
1150514,1319,東陽,吳永茂,吳永祥,未兼任,2026-05-15
1150514,1321,大洋,陳欽明,陳欽明,兼任,2026-05-15
1150514,1323,永裕,王威程,王威程,兼任,2026-05-15
1150514,1324,地球,鈞鼎投資股份有限公司(代表人張德照),黃林慶,未兼任,2026-05-15
1150514,1325,恆大,黃美慧,黃美慧,兼任,2026-05-15
1150514,1326,台化,洪福源,呂文進,未兼任,2026-05-15
1150514,1337,再生-KY,丁金山,丁金礦,未兼任,2026-05-15
1150514,1338,廣華-KY,余澤民,黃建中,未兼任,2026-05-15
1150514,1339,昭輝,禾翰投資股份有限公司,林睿澤,未兼任,2026-05-15
1150514,1340,勝悅-KY,莊國清,莊輝煌,未兼任,2026-05-15
1150514,1341,富林-KY,王源林,王源林(暫代),未兼任,2026-05-15
1150514,1342,八貫,劉宗熹,劉宗熹,兼任,2026-05-15
1150514,1402,遠東新,徐旭東,"吳高山,鄭澄宇,范欽智,李源珍",未兼任,2026-05-15
1150514,1409,新纖,吳東昇,歐金達,未兼任,2026-05-15
1150514,1410,南染,何  鈞,何承榮,未兼任,2026-05-15
1150514,1413,宏洲,詹正田,蕭尚祐,未兼任,2026-05-15
1150514,1414,東和,蔡淑櫻,張嘉亨,未兼任,2026-05-15
1150514,1416,廣豐,賀錫敬,劉家丞,未兼任,2026-05-15
1150514,1417,嘉裕,陳陞,陳盈璋,未兼任,2026-05-15
1150514,1418,東華,林壯儒,林壯燁,未兼任,2026-05-15
1150514,1419,新紡,吳昕恩,張淑娣,未兼任,2026-05-15
1150514,1423,利華,應柔爾,洪志成,未兼任,2026-05-15
1150514,1432,大魯閣,林曼麗,王盈之,未兼任,2026-05-15
1150514,1434,福懋,王文淵,李敏章,未兼任,2026-05-15
1150514,1435,中福,陳建,陸榮木,未兼任,2026-05-15
1150514,1436,華友聯,陸炤廷,陸炤廷,兼任,2026-05-15
1150514,1437,勤益控,顧立楷,顧立楷,兼任,2026-05-15
1150514,1438,三地開發,鍾育霖,莊峻宇,未兼任,2026-05-15
1150514,1439,雋揚,侯嘉騏,游文玉(代理),未兼任,2026-05-15
1150514,1440,南紡,侯博明,江俊謀,未兼任,2026-05-15
1150514,1441,大東,陳修忠,陳建州,未兼任,2026-05-15
1150514,1442,名軒,吳泓瑩,吳勝利,未兼任,2026-05-15
1150514,1443,立益物流,蘇東榮,蘇慶源,未兼任,2026-05-15
1150514,1444,力麗,郭紹儀,陳漢卿,未兼任,2026-05-15
1150514,1445,大宇,陳曜銘,楊任凱,未兼任,2026-05-15
1150514,1446,宏和,黃大功,何天明,未兼任,2026-05-15
1150514,1447,力鵬,郭紹儀,童敏雄,未兼任,2026-05-15
1150514,1449,佳和,翁偉翔,翁偉翔,兼任,2026-05-15
1150514,1451,年興,陳威翰,蔡樹軒,未兼任,2026-05-15
1150514,1452,宏益,施淑賢,王慶榮,未兼任,2026-05-15
1150514,1453,大將,葉義雄,林靜怡,未兼任,2026-05-15
1150514,1454,台富,莊燿銘,莊燿銘,兼任,2026-05-15
1150514,1455,集盛,蘇百煌,葉必祿,未兼任,2026-05-15
1150514,1456,怡華,黃士豪,黃士豪,兼任,2026-05-15
1150514,1457,宜進,詹正田,翁茂誠(原名:林鏡地),未兼任,2026-05-15
1150514,1459,聯發,葉清澤,王豐岳,未兼任,2026-05-15
1150514,1460,宏遠,席家宜,暫缺,未兼任,2026-05-15
1150514,1463,強盛新,成漢傑,張士志,未兼任,2026-05-15
1150514,1464,得力,葉家銘,游逸能,未兼任,2026-05-15
1150514,1465,偉全,陳建柱,陳建柱,兼任,2026-05-15
1150514,1466,聚隆,周文東,周文東,兼任,2026-05-15
1150514,1467,南緯,林瑞岳,林宗頤,未兼任,2026-05-15
1150514,1468,昶和,陳明澤,陳明澤,兼任,2026-05-15
1150514,1470,大統新創,葉泉發,葉柏亮,未兼任,2026-05-15
1150514,1471,首利,鄭傑,鄭翔,未兼任,2026-05-15
1150514,1472,三洋實業,蔣玉蓮,徐正哲,未兼任,2026-05-15
1150514,1473,台南,楊青&#23791;,蘇炯忠,未兼任,2026-05-15
1150514,1474,弘裕,葉博宇,郭正沛,未兼任,2026-05-15
1150514,1475,業旺,陳清土,陳坤木,未兼任,2026-05-15
1150514,1476,儒鴻,王樹文,洪瑞廷,未兼任,2026-05-15
1150514,1477,聚陽,周理平,周心鵬,未兼任,2026-05-15
1150514,1503,士電,許育瑞,郭約瑟、程相智,未兼任,2026-05-15
1150514,1504,東元,利明&#29486;,高飛鳶,未兼任,2026-05-15
1150514,1506,正道,謝麗雲,羅仕溢,未兼任,2026-05-15
1150514,1512,瑞利,吳明燦,林維輝,未兼任,2026-05-15
1150514,1513,中興電,江馥年,郭慧娟,未兼任,2026-05-15
1150514,1514,亞力,慧德實業有限公司代表人宋和業,鄭朝彬,未兼任,2026-05-15
1150514,1515,力山,王冠祥,羅政洲,未兼任,2026-05-15
1150514,1516,川飛,Fang Jason Kin Hoi,陳郁嵐,未兼任,2026-05-15
1150514,1517,利奇,林育新,林宜賢,未兼任,2026-05-15
1150514,1519,華城,許邦福,許逸德/許逸晟(執行長),未兼任,2026-05-15
1150514,1521,大億,吳俊億,莊智清,未兼任,2026-05-15
1150514,1522,堤維西,吳國禎,蘇彥碩,未兼任,2026-05-15
1150514,1524,耿鼎,李茂源,李茂源,兼任,2026-05-15
1150514,1525,江申,熊東台,曾火冏誌,未兼任,2026-05-15
1150514,1526,日馳,徐義雄,徐義雄,兼任,2026-05-15
1150514,1527,鑽全,賴伯彥先生,賴伯峰先生,未兼任,2026-05-15
1150514,1528,恩德,廖文嘉,李明哲,未兼任,2026-05-15
1150514,1529,樂事綠能,陳介仁,陳連聰,未兼任,2026-05-15
1150514,1530,亞崴,楊丞鈞,楊尚儒,未兼任,2026-05-15
1150514,1531,高林股,林陳雅子,林培嘉,未兼任,2026-05-15
1150514,1532,勤美,林廷芳,林靖誼/麥聖偉,未兼任,2026-05-15
1150514,1533,車王電,蔡裕慶,蔡裕慶,兼任,2026-05-15
1150514,1535,中宇,謝英斌,余政典,未兼任,2026-05-15
1150514,1536,和大,沈千慈,陳俊智,未兼任,2026-05-15
1150514,1537,廣隆,李瑞勳,楊瑞祥,未兼任,2026-05-15
