出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,是否選任董監事,董監事選任方式,是否採候選人提名制選任董監事,採候選人提名制選任董監事相關公告-提名受理期間,提名受理處所,候選人類別,候選人姓名,是否當選,date
1150514,1101,台泥,常會,1150522,否,累積投票制,,,,,,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,董事,徐旭東,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,董事,席家宜,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,董事,陳瑞隆,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,董事,李冠軍,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,董事,李光燾,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,董事,吳玲綾,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,董事,陳長文,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,董事,李坤炎,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,董事,徐旭平,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,董事,張振崑,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,獨立董事,薛 琦,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,獨立董事,陳 樹,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,獨立董事,張昌邦,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,獨立董事,張家宜,,2026-05-15
1150514,1102,亞泥,常會,1150528,是,累積投票制,是,1150321~1150330,亞東證券股份有限公司股務代理部（地址：22041新北市板橋區新站路16號13樓）,獨立董事,林 桓,,2026-05-15
1150514,1103,嘉泥,常會,1150522,否,累積投票制,,,,,,,2026-05-15
1150514,1104,環泥,常會,1150526,是,累積投票制,是,1150320~1150330,台北市南京東路二段125號10樓(本公司管理部股務課),董事,侯博義,,2026-05-15
1150514,1104,環泥,常會,1150526,是,累積投票制,是,1150320~1150330,台北市南京東路二段125號10樓(本公司管理部股務課),董事,侯智升,,2026-05-15
1150514,1104,環泥,常會,1150526,是,累積投票制,是,1150320~1150330,台北市南京東路二段125號10樓(本公司管理部股務課),董事,侯智元,,2026-05-15
