出表日期,公司代號,公司名稱,召開股東會日期,股東依公司法第172條之1行使提案權-提案受理期間,提案受理處所,提案內容,date
1150514,1101,台泥,1150522,1150309~1150319,臺灣水泥股份有限公司董事會秘書室(地址：臺北市中山區中山北路二段113號 電話:02-25317099分機20206),,2026-05-15
1150514,1102,亞泥,1150528,1150321~1150330,亞東證券股份有限公司股務代理部，新北市板橋區新站路16號13樓,,2026-05-15
1150514,1103,嘉泥,1150522,1150306~1150316,嘉新水泥股份有限公司 (地址：10449台北市中山北路二段96號),,2026-05-15
1150514,1104,環泥,1150526,1150320~1150330,環球水泥股份有限公司管理部股務課（地址：台北市南京東路二段125 號10樓）,,2026-05-15
1150514,1108,幸福,1150629,1150424~1150504,幸福水泥股份有限公司(台北市松江路237號14樓公司治理單位),,2026-05-15
1150514,1109,信大,1150616,1150401~1150413,信大水泥股份有限公司(台北市中正區寶慶路37號7樓),,2026-05-15
1150514,1110,東泥,1150618,1150411~1150421,東南水泥股份有限公司財務部，高雄市前金區五福三路21號6樓，電話：(07)271-1121。,,2026-05-15
1150514,1201,味全,1150623,1150417~1150427,味全食品工業股份有限公司股務單位(台北市中山區松江路125號10樓)。,,2026-05-15
1150514,1203,味王,1150624,1150417~1150427,104414台北市中山區中山北路2段79號6樓。,,2026-05-15
1150514,1210,大成,1150529,1150316~1150326,大成長城企業股份有限公司 財務處 台北市內湖區文湖街20號8樓,,2026-05-15
1150514,1213,大飲,1150609,1150331~1150410,大西洋飲料股份有限公司股務課(新北市三重區重陽路3段99號10樓),,2026-05-15
1150514,1215,卜蜂,1150527,1150313~1150326,台灣卜蜂企業股份有限公司股務室(台北市中山區松江路87號17樓，電話：02-25077071)。(例假日除外),,2026-05-15
1150514,1216,統一,1150528,1150320~1150330,統一企業股份有限公司(臺南市永康區鹽行里中正路301號),,2026-05-15
1150514,1217,愛之味,1150626,1150420~1150430,愛之味股份有限公司股務室(地址：嘉義縣&#11936;雄鄉&#12079;業&#12038;路11號),,2026-05-15
1150514,1218,泰山,1150529,1150322~1150401,泰山企業股份有限公司董事會（台北市中正區忠孝西路一段50號6樓）,,2026-05-15
1150514,1219,福壽,1150521,1150309~1150318,福壽實業股份有限公司 財務課 ，台中市沙鹿區沙田路45號。,,2026-05-15
1150514,1220,台榮,1150624,1150410~1150420,台榮產業股份有有限公司，台北市南京東路2段206號6樓,,2026-05-15
1150514,1225,福懋油,1150626,1150420~1150430,福懋油脂股份有限公司(台中市大肚區沙田路一段453號),,2026-05-15
1150514,1227,佳格,1150617,1150402~1150413,佳格食品股份有限公司股務單位(地址:台北市內湖區瑞光路610號10樓),,2026-05-15
1150514,1229,聯華,1150528,1150320~1150330,聯華實業控股(股)公司股務室【地址：台北市南港路一段209號A棟10樓】,,2026-05-15
1150514,1231,聯華食,1150624,1150417~1150427,聯華食品工業股份有限公司(地址：台北市大同區延平北路二段96號8樓),,2026-05-15
1150514,1232,大統益,1150522,1150313~1150323,本公司財務部(台南市官田區二鎮里工業西路32號),,2026-05-15
1150514,1233,天仁,1150609,1150320~1150330,天仁茶業股份有限公司公司治理室。(地址：台北市忠孝東路4段107號6樓，電話：02-27765580分機650),,2026-05-15
1150514,1234,黑松,1150609,1150402~1150413,黑松股份有限公司總務處（臺北市大安區信義路4段296號3樓，電話：02-2706-2191）,,2026-05-15
1150514,1235,興泰,1150629,1150420~1150430,高雄市仁武區高楠公路10號,,2026-05-15
1150514,1236,宏亞,1150617,1150407~1150417,宏亞食品股份有限公司財務部，新北市新店區北新路一段86號20樓之6,,2026-05-15
1150514,1256,鮮活果汁-KY,1150527,1150320~1150330,鮮活控股股份有限公司（訴訟代理人：黃薰毅先生，地址：台北市基隆路二段190號2樓之一)。,,2026-05-15
1150514,1301,台塑,1150528,1150323~1150401,114030台北市內湖區南京東路六段380號10樓，本公司股務組。,,2026-05-15
1150514,1303,南亞,1150529,1150330~1150408,114030台北市內湖區南京東路六段380號10樓，本公司股務組。,,2026-05-15
1150514,1304,台聚,1150529,1150321~1150331,台灣聚合化學品股份有限公司董事會秘書室，台北市內湖區基湖路37號12樓，聯絡電話：02-8751-6888，分機3235。,,2026-05-15
1150514,1305,華夏,1150526,1150319~1150329,台北市內湖區基湖路37號12樓，華夏海灣塑膠股份有限公司董事會秘書室，聯絡電話：02-8751-6888，分機3235。,,2026-05-15
1150514,1307,三芳,1150609,1150325~1150407,三芳化學工業股份有限公司 財務室 住址:高雄市仁武區鳳仁路402號 電話:07-3712111,,2026-05-15
1150514,1308,亞聚,1150528,1150320~1150330,亞洲聚合股份有限公司董事會秘書室，台北市內湖區基湖路37號12樓，聯絡電話：02-8751-6888，分機3235。,,2026-05-15
1150514,1309,台達化,1150528,1150320~1150330,台達化學工業股份有限公司董事會秘書室，台北市內湖區基湖路37號12樓，聯絡電話：02-8751-6888，分機3235。,,2026-05-15
1150514,1310,台苯,1150525,1150318~1150327,100台北市羅斯福路一段6號8樓之1 台灣苯乙烯工業股份有限公司 財會處收,,2026-05-15
1150514,1312,國喬,1150529,1150324~1150402,國喬石油化學股份有限公司(地址：臺北市松山區敦化北路135號8樓，電話：(02)2175-4567),,2026-05-15
1150514,1313,聯成,1150526,1150320~1150330,聯成化學科技(股)公司財務行政部股務收，台北市南港區南港路一段209號A棟9樓,,2026-05-15
1150514,1314,中石化,1150522,1150305~1150316,本公司股務室（105412台北市松山區東興路12號3樓）（電話：02-89782589、02-87871762）,,2026-05-15
1150514,1315,達新,1150626,1150413~1150423,達新工業股份有限公司財務部股務課（台中市西屯區工業35路51號),,2026-05-15
1150514,1316,上曜,1150624,1150417~1150427,台南市安平區永華路二段248號20樓之6(本公司財務部),,2026-05-15
1150514,1319,東陽,1150617,1150313~1150323,東陽實業廠股份有限公司財務管理事業本部-地址：709台南市安南區安和路二段98號,,2026-05-15
1150514,1321,大洋,1150604,1150327~1150407,本公司管理部(地址：台北市莒光路310號5樓)，聯絡人：邱先生，電話：23062131分機1536。,,2026-05-15
1150514,1323,永裕,1150601,1150331~1150410,地址：台南市仁德區新田里勝利路88號,,2026-05-15
1150514,1324,地球,1150611,1150327~1150407,地球綜合工業股份有限公司股務室，地址：(104)台北市中山區南京東路三段61號7樓，電話：(02)2506-6666轉302。,,2026-05-15
1150514,1325,恆大,1150626,1150413~1150423,台北巿林森北路372號10樓 總經理室文書組,,2026-05-15
1150514,1326,台化,1150527,1150323~1150401,114030台北市南京東路六段380號(台塑企業內湖大樓A5棟)10樓，本公司股務組。,,2026-05-15
1150514,1337,再生-KY,1150612,1150405~1150415,亞洲塑膠再生資源控股有限公司（802高雄市苓雅區四維四路190號12樓之2),,2026-05-15
1150514,1338,廣華-KY,1150522,1150316~1150325,廣華控股有限公司（訴訟代理人地址：新竹縣新埔鎮關埔路內立段101號),,2026-05-15
1150514,1339,昭輝,1150529,1150316~1150326,(昭輝實業股份有限公司（彰化縣鹿港鎮興業路八號）聯絡單位:財務部，電話04-7810781#435。,,2026-05-15
1150514,1340,勝悅-KY,1150608,1150331~1150410,新北市中和區保健路26巷2號5樓,,2026-05-15
1150514,1341,富林-KY,1150529,1150316~1150326,富林塑膠工業(開曼)控股股份有限公司(高雄市苓雅區新光路38號19樓之一),,2026-05-15
1150514,1342,八貫,1150514,1150309~1150318,八 貫企業股份有限公司（宜蘭縣冬山鄉德興四路6號）,,2026-05-15
1150514,1402,遠東新,1150529,1150323~1150401,亞東證券股份有限公司股務代理部(新北市板橋區新站路16號13樓),,2026-05-15
