出表日期,公司代號,公司名稱,股東常(臨時)會日期-常或臨時,股東常(臨時)會日期-日期,停止過戶起訖日期-起,停止過戶起訖日期-訖,預擬配發現金(股利)(元/股)-盈餘,預擬配發現金(股利)(元/股)-法定盈餘公積、資本公積,預擬配股(元/股)-盈餘,預擬配股(元/股)-法定盈餘公積、資本公積,擬現金增資金額(元),現金增資認購率(%),員工紅利-現金紅利(元),員工紅利-股票紅利(股),特別股股利(元/股),董監酬勞(元),公告日期,公告時間,種類,date
1150514,1101,台泥,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150312,112347,,2026-05-15
1150514,1102,亞泥,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150312,94632,,2026-05-15
1150514,1103,嘉泥,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150410,173858,,2026-05-15
1150514,1104,環泥,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150401,92541,,2026-05-15
1150514,1108,幸福,常會,1150629,1150501,1150629,,,,,,,0,0,,0,1150416,141719,,2026-05-15
1150514,1109,信大,常會,1150616,1150418,1150616,,,,,,,0,0,,0,1150318,164042,,2026-05-15
1150514,1110,東泥,常會,1150618,1150420,1150618,,,,,,,0,0,,0,1150507,175717,,2026-05-15
1150514,1201,味全,常會,1150623,1150425,1150623,,,,,,,0,0,,0,1150427,100211,,2026-05-15
1150514,1203,味王,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150424,161817,,2026-05-15
1150514,1210,大成,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150402,141840,,2026-05-15
1150514,1213,大飲,常會,1150609,1150411,1150609,,,,,,,0,0,,0,1150317,141523,,2026-05-15
1150514,1215,卜蜂,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150305,161627,,2026-05-15
1150514,1216,統一,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150309,140912,,2026-05-15
1150514,1217,愛之味,常會,1150626,1150428,1150626,,,,,,,0,0,,0,1150320,92716,,2026-05-15
1150514,1218,泰山,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150331,180112,,2026-05-15
1150514,1219,福壽,常會,1150521,1150323,1150521,,,,,,,0,0,,0,1150409,174334,,2026-05-15
1150514,1220,台榮,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150320,150327,,2026-05-15
1150514,1225,福懋油,常會,1150626,1150428,1150626,,,,,,,0,0,,0,1150506,160401,,2026-05-15
1150514,1225,福懋油,臨時會,1150416,1150318,1150416,,,,,,,0,0,,0,1150319,90130,,2026-05-15
1150514,1227,佳格,常會,1150617,1150419,1150617,,,,,,,0,0,,0,1150326,111543,,2026-05-15
1150514,1229,聯華,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150311,165802,,2026-05-15
1150514,1231,聯華食,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150325,103927,,2026-05-15
1150514,1232,大統益,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150304,145937,,2026-05-15
1150514,1233,天仁,常會,1150609,1150411,1150609,,,,,0,0.00,0,0,,0,1150312,172543,,2026-05-15
1150514,1234,黑松,常會,1150609,1150411,1150609,,,,,,,0,0,,0,1150319,175124,,2026-05-15
1150514,1235,興泰,常會,1150629,1150501,1150629,,,,,,,0,0,,0,1150316,92147,,2026-05-15
1150514,1235,興泰,臨時會,1150206,1150108,1150206,,,,,,,0,0,,0,1150108,102238,,2026-05-15
1150514,1236,宏亞,常會,1150617,1150419,1150617,,,,,,,0,0,,0,1150330,170616,,2026-05-15
1150514,1256,鮮活果汁-KY,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150311,152954,,2026-05-15
1150514,1301,台塑,常會,1150528,1150330,1150528,,,,,0,0.00,0,0,,0,1150312,112235,,2026-05-15
1150514,1303,南亞,常會,1150529,1150331,1150529,,,,,0,0.00,0,0,,0,1150312,171003,,2026-05-15
1150514,1304,台聚,常會,1150529,1150331,1150529,,,,,0,0.00,0,0,,0,1150401,141636,,2026-05-15
1150514,1305,華夏,常會,1150526,1150328,1150526,,,,,0,0.00,0,0,,0,1150331,143136,,2026-05-15
1150514,1307,三芳,常會,1150609,1150411,1150609,,,,,,,0,0,,0,1150316,135908,,2026-05-15
1150514,1308,亞聚,常會,1150528,1150330,1150528,,,,,0,0.00,0,0,,0,1150401,174158,,2026-05-15
1150514,1309,台達化,常會,1150528,1150330,1150528,,,,,0,0.00,0,0,,0,1150401,180450,,2026-05-15
1150514,1310,台苯,常會,1150525,1150327,1150525,,,,,,,0,0,,0,1150309,165724,,2026-05-15
1150514,1312,國喬,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150410,170803,,2026-05-15
1150514,1313,聯成,常會,1150526,1150328,1150526,,,,,,,0,0,,0,1150311,152829,,2026-05-15
1150514,1314,中石化,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150410,171836,,2026-05-15
1150514,1315,達新,常會,1150626,1150428,1150626,,,,,,,0,0,,0,1150313,100504,,2026-05-15
1150514,1316,上曜,常會,1150624,1150426,1150624,,,,,,,0,0,,0,1150408,95753,,2026-05-15
1150514,1319,東陽,常會,1150617,1150419,1150617,,,,,,,0,0,,0,1150306,154049,,2026-05-15
1150514,1321,大洋,常會,1150604,1150406,1150604,,,,,0,0.00,0,0,,0,1150317,93954,,2026-05-15
1150514,1323,永裕,常會,1150601,1150403,1150601,,,,,,,0,0,,0,1150402,145108,,2026-05-15
1150514,1324,地球,常會,1150611,1150413,1150611,,,,,,,0,0,,0,1150316,173315,,2026-05-15
1150514,1325,恆大,常會,1150626,1150428,1150626,,,,,,,0,0,,0,1150430,114552,,2026-05-15
1150514,1326,台化,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150311,164533,,2026-05-15
1150514,1337,再生-KY,常會,1150612,1150414,1150612,,,,,,,0,0,,0,1150416,161839,,2026-05-15
1150514,1338,廣華-KY,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150313,162301,,2026-05-15
1150514,1339,昭輝,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150306,145643,,2026-05-15
1150514,1340,勝悅-KY,常會,1150608,1150410,1150608,,,,,,,0,0,,0,1150317,91704,,2026-05-15
1150514,1341,富林-KY,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150312,153209,,2026-05-15
1150514,1342,八貫,常會,1150514,1150316,1150514,,,,,,,0,0,,0,1150223,93520,,2026-05-15
1150514,1402,遠東新,常會,1150529,1150331,1150529,,,,,,,0,0,,0,1150312,143124,,2026-05-15
1150514,1409,新纖,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150313,173337,,2026-05-15
1150514,1410,南染,常會,1150611,1150413,1150611,,,,,,,0,0,,0,1150316,104557,,2026-05-15
1150514,1413,宏洲,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150303,93644,,2026-05-15
1150514,1414,東和,常會,1150615,1150417,1150615,,,,,,,0,0,,0,1150417,93432,,2026-05-15
1150514,1416,廣豐,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150409,162133,,2026-05-15
1150514,1417,嘉裕,常會,1150522,1150324,1150522,,,,,,,0,0,,0,1150305,85842,,2026-05-15
1150514,1418,東華,常會,1150608,1150410,1150608,,,,,,,0,0,,0,1150320,94121,,2026-05-15
1150514,1419,新紡,常會,1150612,1150414,1150612,,,,,0,0.00,0,0,,0,1150504,91138,,2026-05-15
1150514,1423,利華,常會,1150618,1150420,1150618,,,,,,,0,0,,0,1150327,145334,,2026-05-15
1150514,1432,大魯閣,常會,1150528,1150330,1150528,,,,,,,0,0,,0,1150313,90444,,2026-05-15
1150514,1434,福懋,常會,1150626,1150428,1150626,,,,,0,0.00,0,0,,0,1150513,91330,,2026-05-15
1150514,1435,中福,常會,1150618,1150420,1150618,,,,,,,0,0,,0,1150505,165647,,2026-05-15
1150514,1436,華友聯,常會,1150527,1150329,1150527,,,,,,,0,0,,0,1150302,141242,,2026-05-15
