出表日期,公司代號,公司名稱,公司地址,股東常(臨時)會,開會日期,開會地點,是否改選董監,聯絡電話,股務單位,股務單位電話,是否採電子投票,date
1150514,1101,台泥,台北市中山北路2段113號,常會,1150522,臺北市中山區中山北路二段113號3樓(台泥大樓3樓士敏廳),否,(02)2531-7099,中國信託商業銀行代理部,66365566,強制,2026-05-15
1150514,1102,亞泥,台北市大安區敦化南路2段207號30、31樓,常會,1150528,台北市中正區杭州南路一段24號5F(集思交通部國際會議中心集會堂),是,02-2733-8000,亞東證券股份有限公司,02-7753-1699,強制,2026-05-15
1150514,1103,嘉泥,台北市中山北路二段96號,常會,1150522,新北市新莊區五工路66號7樓(新莊頤品大飯店-香蘊廳),否,(02)2551-5211,群益金鼎證券股份有限公司股代部,(02)2702-3999,強制,2026-05-15
1150514,1104,環泥,台北市南京東路二段125號10樓,常會,1150526,桃園市蘆竹區海湖里海山中街18號(環球水泥海湖石膏板廠),是,02-25077801,永豐金證券股份有限公司,02-23816288,強制,2026-05-15
1150514,1108,幸福,台北市松江路237號15樓,常會,1150629,台北市內湖區環山路一段56號(德明財經科技大學綜合大樓5樓國際會議廳),否,25092188,永豐金證券股務代理,2381-6288,--,2026-05-15
1150514,1109,信大,台北市寶慶路37號7樓,常會,1150616,台北市中正區衡陽路51號6樓之6（台北金融園區6樓願景廳）,否,(02)23816731,中國信託商業銀行代理部,(02)6636-5566,強制,2026-05-15
1150514,1110,東泥,高雄市前金區五福三路21號4樓之1,常會,1150618,高雄市前金區五福三路 21 號地下一樓,是,07-2711121,元大證券股份有限公司,02-25865859,強制,2026-05-15
1150514,1201,味全,台北市松江路125號,常會,1150623,台北市進出口商業同業公會1樓演講廳(台北市松江路350號),否,(02)25065020,元大證券股務代理部,(02)25865859,強制,2026-05-15
1150514,1203,味王,台北市中山北路二段79號5樓,常會,1150624,台北市中山北路二段39巷3號晶華酒店四樓,否,(02)25717271,群益金鼎證券股份有限公司,27023999,強制,2026-05-15
1150514,1210,大成,台南市永康區蔦松二街三號,常會,1150529,台南市永康區蔦松二街三號(總公司禮堂),否,06-2531111,中國信託商業銀行代理部,02-66365566,強制,2026-05-15
1150514,1213,大飲,桃園市平鎮區南勢里2鄰南東路410號,常會,1150609,新北市三重區新北大道一段9號7樓,否,(02)2982-0061,大西洋飲料股份有限公司,(02)2982-0061,強制,2026-05-15
1150514,1215,卜蜂,台北市松江路八十七號十七樓,常會,1150527,本公司南投廠會議室(地址：南投市南崗工業區工業東路17號),是,02-25077071,中國信託商業銀行代理部,02-66365566,強制,2026-05-15
1150514,1216,統一,71001台南市永康區中正路301號,常會,1150528,臺南市永康區鹽行里中正路301號(統一企業總公司教育訓練中心一樓),否,(06)253-2121,統一綜合證券(股)公司股務代理部,(02)2746-3797,強制,2026-05-15
1150514,1217,愛之味,嘉義縣民雄鄉工業二路11號,常會,1150626,耐斯王&#12070;&#12068;飯店五樓阿&#12197;&#12077;會議廳(嘉義市忠孝路600號5F),否,05-2211521-4,群益金鼎證券股份有限公司,02-27023999,強制,2026-05-15
1150514,1218,泰山,彰化縣田中鎮興工路6號,常會,1150529,台北市中正區忠孝西路一段50號11樓,否,04-8742211,元大證券股份有限公司,(02)25863117,強制,2026-05-15
1150514,1219,福壽,台中市沙鹿區沙田路45號,常會,1150521,台中市沙鹿區中山路658號 (台中市沙鹿區勞工服務中心),是,04-26362111,凱基證券股份有限公司,02-23892999,強制,2026-05-15
1150514,1220,台榮,台北市中山區南京東路二段206號6樓,常會,1150624,台北市大安區忠孝東路三段一號三樓(台北科技大學億光大樓),否,(02)2506-9521,中國信託商業銀行代理部,(02)66365566,強制,2026-05-15
1150514,1225,福懋油,台中市大肚區沙田路一段453號,常會,1150626,台中市大肚區沙田路一段453號(本公司辦公大樓會議室),是,25073121,群益金鼎證券股份有限公司,02-27023999,強制,2026-05-15
1150514,1225,福懋油,台中市大肚區沙田路一段453號,臨時會,1150416,IEAT 進出口商業公會大樓會議室 (臺北市中山區松江路350號),是,25073121,群益金鼎證券股份有限公司,02-27023999,強制,2026-05-15
1150514,1227,佳格,台北市內湖區瑞光路610號10樓,常會,1150617,桃園市大園區和平西路一段369號(本公司大園廠員工交誼廳),否,2709-2323,中國信託商業銀行代理部,(02)6636-5566,強制,2026-05-15
1150514,1229,聯華,臺北市南港區南港路一段209號10樓,常會,1150528,台北市南港區南港路一段209號1樓,否,(02)2786-1188,中國信託商業銀行代理部,(02)6636-5566,強制,2026-05-15
1150514,1231,聯華食,台北市迪化街一段148號,常會,1150624,桃園市龜山區復興一路二號(福容大飯店),否,(02)25534546,永豐金證券股份有限公司,(02)23816288,強制,2026-05-15
1150514,1232,大統益,台南市官田區二鎮里工業西路32號,常會,1150522,台南市官田區二鎮里工業西路32號本公司辦公大樓,否,06-698-4500,統一綜合證券股份有限公司,02-2746-3797,強制,2026-05-15
1150514,1233,天仁,台北市忠孝東路4段107號6樓,常會,1150609,苗栗縣竹南鎮中華路422號(天仁茶園銘峰館),否,02-27765580,元大證券股份有限公司,02-25865859,強制,2026-05-15
1150514,1234,黑松,台北市大安區信義路四段296號3樓,常會,1150609,桃園市中壢區中園路178號(本公司中壢廠),否,(02)2706-2191,宏遠證券股份有限公司股務代理部,(02)7719-8899,強制,2026-05-15
