出表日期,報告年度,公司代號,公司名稱,範疇一排放量(噸CO2e),範疇一資料邊界,範疇一取得驗證,範疇二排放量(噸CO2e),範疇二資料邊界,範疇二取得驗證,範疇三排放量(噸CO2e),範疇三資料邊界,範疇三取得驗證,溫室氣體排放密集度(噸CO2e/單位),date
1150513,113,1101,台泥,39544430.9992,已完成合併財務報表之母子公司,是,1518976.1776,已完成合併財務報表之母子公司,是,19338064.3996,已完成母公司,是,227.2668,2026-05-15
1150513,113,1102,亞泥,21078502.0000,已完成合併財務報表之母子公司,是,964217.0000,已完成合併財務報表之母子公司,是,98847.0000,已完成母公司,是,288.9100,2026-05-15
1150513,113,1103,嘉泥,952.4150,已完成合併財務報表之母子公司,是,6824.9074,已完成合併財務報表之母子公司,是,2557.1492,已完成合併財務報表之母子公司,是,2.6055,2026-05-15
1150513,113,1104,環泥,40126.4734,已完成合併財務報表之母子公司,是,21193.0224,已完成合併財務報表之母子公司,是,13078.4135,已完成母公司,否,7.7092,2026-05-15
1150513,113,1108,幸福,552149.5000,已完成母公司,是,43194.7500,已完成母公司,是,37121.5900,已完成母公司,是,122.5240,2026-05-15
1150513,113,1109,信大,1201276.8550,已完成合併財務報表之母子公司,是,70550.2344,已完成合併財務報表之母子公司,是,27567.3000,已完成母公司,是,279.0622,2026-05-15
1150513,113,1110,東泥,530.4001,已完成合併財務報表之母子公司,是,988.2296,已完成合併財務報表之母子公司,是,379.0222,已完成合併財務報表之母子公司,是,0.3800,2026-05-15
1150513,113,1201,味全,14182.2196,已完成母公司,否,20787.3110,已完成母公司,否,N/A,N/A,否,4.1997,2026-05-15
1150513,113,1203,味王,6211.0060,已完成母公司,否,4195.0170,已完成母公司,否,N/A,N/A,否,4.6770,2026-05-15
1150513,113,1210,大成,40278.4728,已完成母公司,否,79001.8860,已完成母公司,否,1396771.6870,已完成母公司,否,66.0811,2026-05-15
1150513,113,1213,大飲,N/A,N/A,否,N/A,N/A,否,N/A,N/A,否,N/A,2026-05-15
1150513,113,1215,卜蜂,27623.2300,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,否,41125.1000,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,否,N/A,N/A,否,4.0120,2026-05-15
1150513,113,1216,統一,996809.1979,已完成合併財務報表之母子公司,是,2130298.7554,已完成合併財務報表之母子公司,是,1481601.1068,已完成母公司,是,3.3201,2026-05-15
1150513,113,1217,愛之味,1693.3526,已完成母公司,否,5441.8816,已完成母公司,否,1784.4304,已完成母公司,否,1.7000,2026-05-15
1150513,113,1218,泰山,6429.8985,已完成母公司,否,5765.9902,已完成母公司,否,36915.3776,已完成母公司,否,1.3438,2026-05-15
1150513,113,1219,福壽,7892.1675,母公司四大主要生產廠(沙鹿廠、台中港廠、鹿港廠與高雄廠),是,12609.1602,母公司四大主要生產廠(沙鹿廠、台中港廠、鹿港廠與高雄廠),是,4611.0538,母公司四大主要生產廠(沙鹿廠、台中港廠、鹿港廠與高雄廠),是,1.7500,2026-05-15
