出表日期,報告年度,公司代號,公司名稱,消耗燃料總量(十億焦耳(GJ)),煤炭百分比,天然氣百分比,再生燃料百分比,date
1150513,113,1101,台泥,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1102,亞泥,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1103,嘉泥,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1104,環泥,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1109,信大,1646451.2923,100.00%,0.00%,0.00%,2026-05-15
1150513,113,1110,東泥,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1201,味全,173570.9613,0.00%,100.00%,0.00%,2026-05-15
1150513,113,1203,味王,145305.0460,0.00%,71.98%,0.00%,2026-05-15
1150513,113,1210,大成,19324.1118,0.00%,33.18%,0.00%,2026-05-15
1150513,113,1213,大飲,N/A,0.00%,100.00%,0.00%,2026-05-15
1150513,113,1215,卜蜂,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1216,統一,1705790.0038,0.00%,55.11%,0.00%,2026-05-15
1150513,113,1217,愛之味,21772.5700,0.00%,100.00%,0.00%,2026-05-15
1150513,113,1219,福壽,236676.1300,0.00%,54.05%,0.00%,2026-05-15
1150513,113,1220,台榮,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1227,佳格,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1229,聯華,138871.0346,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1231,聯華食,167640.4700,0.00%,0.98%,0.00%,2026-05-15
1150513,113,1233,天仁,18975.1160,N/A,49.72%,N/A,2026-05-15
1150513,113,1234,黑松,151467.0000,0.00%,99.60%,0.00%,2026-05-15
1150513,113,1236,宏亞,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1303,南亞,15908867.8845,53.82%,24.43%,0.00%,2026-05-15
1150513,113,1304,台聚,244068.0000,0.00%,99.64%,0.00%,2026-05-15
1150513,113,1305,華夏,2283793.0000,0.00%,90.13%,0.00%,2026-05-15
1150513,113,1308,亞聚,72844.0000,0.00%,0.14%,0.00%,2026-05-15
1150513,113,1309,台達化,257982.0000,0.00%,97.61%,0.00%,2026-05-15
1150513,113,1310,台苯,2483997.6157,60.07%,37.01%,0.00%,2026-05-15
1150513,113,1312,國喬,5224706.0000,9.58%,90.42%,0.00%,2026-05-15
1150513,113,1314,中石化,1516536.1720,11.88%,86.56%,0.00%,2026-05-15
1150513,113,1315,達新,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1319,東陽,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1321,大洋,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1323,永裕,1220.5603,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1326,台化,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1338,廣華-KY,12647.3712,0.00%,100.00%,0.00%,2026-05-15
1150513,113,1339,昭輝,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1340,勝悅-KY,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1341,富林-KY,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1342,八貫,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1413,宏洲,216078.1281,0.00%,99.20%,0.00%,2026-05-15
1150513,113,1414,東和,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1417,嘉裕,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1418,東華,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1419,新紡,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1423,利華,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1432,大魯閣,357.4177,0.00%,85.24%,0.00%,2026-05-15
1150513,113,1435,中福,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1436,華友聯,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1439,雋揚,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1440,南紡,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1441,大東,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1442,名軒,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1443,立益物流,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1445,大宇,1098.8000,0.00%,0.30%,0.00%,2026-05-15
1150513,113,1449,佳和,140585.0567,0.00%,100.00%,0.00%,2026-05-15
1150513,113,1451,年興,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1455,集盛,428986.9371,40.06%,58.76%,0.00%,2026-05-15
1150513,113,1456,怡華,112397.7718,N/A,100.00%,0.00%,2026-05-15
1150513,113,1457,宜進,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1459,聯發,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1460,宏遠,620016.6806,88.17%,0.00%,2.29%,2026-05-15
1150513,113,1465,偉全,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1466,聚隆,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1468,昶和,14833.0730,0.00%,95.06%,0.00%,2026-05-15
1150513,113,1470,大統新創,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1472,三洋實業,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1474,弘裕,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1475,業旺,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1504,東元,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1513,中興電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1514,亞力,3209.0894,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1515,力山,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1516,川飛,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1519,華城,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1524,耿鼎,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1526,日馳,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1527,鑽全,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1530,亞崴,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1531,高林股,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1532,勤美,62961.0000,0.00%,90.53%,0.00%,2026-05-15
1150513,113,1533,車王電,190.1735,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1536,和大,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1537,廣隆,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1538,正峰,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1540,喬福,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1558,伸興,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1568,倉佑,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1582,信錦,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1583,程泰,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1589,永冠-KY,54627.9600,0.00%,50.32%,0.00%,2026-05-15
1150513,113,1590,亞德客-KY,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1597,直得,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1598,岱宇,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1603,華電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1604,聲寶,12579.4837,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1605,華新,347939.9900,0.00%,100.00%,0.00%,2026-05-15
1150513,113,1608,華榮,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1609,大亞,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1611,中電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1612,宏泰,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1614,三洋電,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1616,億泰,164000.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1617,榮星,0.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1618,合機,17068.0000,0.00%,0.00%,0.00%,2026-05-15
1150513,113,1626,艾美特-KY,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1702,南僑,1917225.7500,39.45%,10.76%,0.00%,2026-05-15
1150513,113,1707,葡萄王,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1708,東鹼,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1709,和益,1084706.0000,0.00%,66.66%,0.00%,2026-05-15
1150513,113,1710,東聯,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1711,永光,556308.6000,0.00%,27.10%,0.00%,2026-05-15
1150513,113,1712,興農,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1713,國化,61468.8700,N/A,36.18%,N/A,2026-05-15
1150513,113,1714,和桐,351530.7500,0.00%,91.54%,0.00%,2026-05-15
1150513,113,1717,長興,1042527.8230,0.00%,97.61%,0.00%,2026-05-15
1150513,113,1718,中纖,3414559.0000,87.48%,6.77%,0.00%,2026-05-15
1150513,113,1720,生達,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1721,三晃,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1725,元禎,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1726,永記,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1727,中華化,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1730,花仙子,N/A,N/A,N/A,N/A,2026-05-15
