出表日期,報告年度,公司代號,公司名稱,為改善食品衛生、安全與品質，而針對其從業人員、作業場所、設施衛生管理及其品保制度等方面進行之評估與改進及所影響之百分比,違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之事件類別與次數,違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之產品下架次數(次),違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之下架產品總重量(公噸(t)),經獨立第三方驗證符合國際認證之食品安全管理系統標準之廠房所生產產品之百分比,依法規要求或自願進行產品追溯與追蹤管理之相關產品占所有產品之百分比,依法規要求或自願設置食品安全實驗室之相關支出(仟元),依法規要求或自願設置食品安全實驗室之相關支出占營業收入淨額之百分比,date
1150513,113,1101,台泥,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1102,亞泥,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1103,嘉泥,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1104,環泥,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1108,幸福,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1109,信大,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1110,東泥,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1201,味全,100.00%,113年未有因違反健康與安全法規、資訊與標示及行銷傳播相關法規，而罰款或違規事件。,0,0.000,100.00%,100.00%,128120.000,1.54%,2026-05-15
1150513,113,1203,味王,100.00%,無,0,0.000,100.00%,1.11%,32800.000,1.47%,2026-05-15
1150513,113,1210,大成,100.00%,無,0,0.000,61.06%,100.00%,50832.299,0.05%,2026-05-15
1150513,113,1213,大飲,100.00%,0,0,0.000,100.00%,100.00%,6805.000,8.00%,2026-05-15
1150513,113,1215,卜蜂,100.00%,113年度無相關事件,0,0.000,90.91%,99.63%,24779.525,0.09%,2026-05-15
1150513,113,1216,統一,100.00%,0,1,5.847,99.98%,100.00%,342720.885,0.67%,2026-05-15
1150513,113,1217,愛之味,100.00%,2024年發生違反行銷廣告與標示共計有2件。,2,0.000,100.00%,100.00%,23921654.000,0.57%,2026-05-15
1150513,113,1218,泰山,100.00%,2024年期間，並無違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之事件,0,0.000,100.00%,100.00%,31428.000,0.84%,2026-05-15
1150513,113,1219,福壽,100.00%,本公司無違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規之事件類別。,0,0.000,100.00%,100.00%,19989.660,0.26%,2026-05-15
1150513,113,1220,台榮,N/A,0,0,0.000,100.00%,99.79%,3158.000,0.18%,2026-05-15
1150513,113,1225,福懋油,100.00%,無發生違反相關法令之事件,0,0.000,100.00%,100.00%,11659.000,0.12%,2026-05-15
1150513,113,1227,佳格,100.00%,共5件違反「食品安全衛生管理法」第28條第1項及1件違反「食品安全衛生管理法」第22條，已於期限內完成改善及繳納裁罰金共24萬元。,0,0.010,100.00%,100.00%,198913.000,1.23%,2026-05-15
1150513,113,1229,聯華,100.00%,在嚴謹控管下，聯華製粉廠區相關管理作為，均符合《食品安全衛生管理法》、《食品良好衛生規範準則》及《食品衛生標準》等法令規定無發生任何違反衛生主管機關公告或法規之狀況，且無因食品標示及說明不符規範違法之情事。,0,0.000,100.00%,100.00%,35848.000,0.70%,2026-05-15
1150513,113,1231,聯華食,100.00%,"產品健康與安全:0件
產品資訊與標示:1件",0,0.000,100.00%,100.00%,51646.000,0.42%,2026-05-15
1150513,113,1232,大統益,66.67%,113年大統益未有違反健康與安全法規之情事,0,0.000,47.57%,50.68%,14714.000,0.09%,2026-05-15
1150513,113,1233,天仁,43.52%,"一、2024年6月，本公司收到臺北市政府產業發展局來函，指出「優選烏龍茶、精選烏龍茶」包裝，未依農產品生產及驗證管理法之公告方式標示溯源資訊，經查為人為疏失，本公司已深刻檢討，調整生產作業流程避免再犯，並派員全面清點產品包裝標示，不符規定之產品立即下架回收，安排人員進行溯源資訊QR code貼標作業。違反法規：農產品生產及驗證管理法。

二、2024年8月，本公司收到農業部農糧署來函，指出2024年6月5日出口至日本的24公斤烏龍茶含微量加保利農藥殘留，雖符合台灣標準，仍違反日本食品衛生法。該批茶葉在採購檢驗時未檢出問題，但可能因採樣不均造成誤差。公司已檢討並改善抽樣流程，落實相關改善措施。違反法規：日本食品衛生法。

三、2024年12月，本公司收到臺北市政府衛生局來函，指出「普洱半筋半肉牛肉麵」包裝未依規定標示過敏原資訊及牛肉產地。公司已立即下架停售該產品，並於2024年1月4日完成標示修正。對於標示問題，公司已進行內部檢討並加強教育訓練，未來將遵循法規確保標示正確。2025年裁罰金額為3萬元。違反法規：食品安全衛生管理法。

本公司對上述違規事件已深入檢討並改進相關作業流程，確保未來符合食品安全規範，並向員工加強宣導相關法規，降低再犯機率。",2,N/A,43.52%,47.73%,6145.000,0.28%,2026-05-15
1150513,113,1234,黑松,100.00%,無違反有關產品與服務之健康與安全法規及未遵循產品與服務之資訊與標示法規。,0,0.000,100.00%,100.00%,10706.000,0.12%,2026-05-15
1150513,113,1235,興泰,80.00%,0,0,0.000,N/A,N/A,1.000,0.00%,2026-05-15
1150513,113,1236,宏亞,100.00%,無,0,0.000,100.00%,100.00%,7340.000,0.37%,2026-05-15
1150513,113,1256,鮮活果汁-KY,100.00%,無,0,0.000,100.00%,100.00%,18481.000,0.46%,2026-05-15
1150513,113,1303,南亞,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1304,台聚,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1305,華夏,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1308,亞聚,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1309,台達化,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1310,台苯,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1314,中石化,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1315,達新,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1319,東陽,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1321,大洋,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1326,台化,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1338,廣華-KY,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1339,昭輝,100.00%,0,0,0.000,100.00%,100.00%,N/A,N/A,2026-05-15
1150513,113,1340,勝悅-KY,N/A,N/A,N/A,N/A,N/A,N/A,0.000,0.00%,2026-05-15
1150513,113,1342,八貫,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1409,新纖,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1413,宏洲,N/A,本公司為紡織業，非屬食品相關行業,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1414,東和,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1417,嘉裕,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1418,東華,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1419,新紡,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1423,利華,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1432,大魯閣,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1435,中福,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1436,華友聯,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1439,雋揚,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1440,南紡,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1441,大東,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1442,名軒,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1443,立益物流,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1445,大宇,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1449,佳和,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1451,年興,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1455,集盛,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1456,怡華,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1457,宜進,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
1150513,113,1459,聯發,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-15
