出表日期,報告年度,公司代號,公司名稱,售出產品重量(公噸(t)),生產設施場所數量(座),依產品類別之產品產量,date
1150513,113,1101,台泥,N/A,59,熟料29837522噸、水泥31189537噸、膠結材料36417004噸、280規格混凝土6262643噸、350規格混凝土2062133噸、420規格混凝土1031822噸,2026-05-15
1150513,113,1102,亞泥,3182000.000,2,"水泥產量3,109,000噸、熟料產量2,942.000噸",2026-05-15
1150513,113,1103,嘉泥,N/A,N/A,無,2026-05-15
1150513,113,1104,環泥,N/A,N/A,"水泥372,746噸、預拌混凝土1,501,765立方公尺、石膏板16,074,007平方公尺",2026-05-15
1150513,113,1108,幸福,N/A,N/A,"水泥+爐石粉：741仟噸
石材：1,534仟噸",2026-05-15
1150513,113,1109,信大,632576.000,1,"水泥及熟料 586,427噸",2026-05-15
1150513,113,1110,東泥,648691.750,1,"卜特蘭水泥:487,127.95公噸、爐石粉:161,563.80公噸",2026-05-15
1150513,113,1201,味全,139199.000,3,"乳品：88,027噸。飲料：34,718噸。方便食品：8,925噸。其他：7,530噸。",2026-05-15
1150513,113,1203,味王,36609.000,1,本公司在113年度內外銷產品生產總品項，分別為味精61項、醬油109項、速食麵112項及調理快餐78項，共計360項。,2026-05-15
1150513,113,1210,大成,4216660.000,66,"飼料4,038,320t 大宗物資581,891t 肉品474,960t 食品182,450t",2026-05-15
1150513,113,1213,大飲,N/A,2,N/A,2026-05-15
1150513,113,1215,卜蜂,588656.000,5,N/A,2026-05-15
1150513,113,1216,統一,1435841.499,24,"單位：公噸。肉品：5,401、飲料罐頭：420,901、果汁：5,179、乳品：238,272、多多：10,952、豆米漿：78,865、布丁：7,434、沙拉油：338、芥花油：269、飼料：169,158、麵包：24,072、蛋糕：4,731、冷凍麵團：1,950、冷調食品：4,919、冰品：43,464、麵粉：83,644、麩皮：35,805、麥片：1,202、速食麵：34,302、速食米冬粉：708、麵條：2,594。",2026-05-15
1150513,113,1217,愛之味,117425.130,3,N/A,2026-05-15
1150513,113,1218,泰山,418013.267,2,N/A,2026-05-15
1150513,113,1219,福壽,669447.000,12,"單位：公噸(四捨五入)
配合飼料244,510
油脂產品75,286
單味產品186,092
食品287
肥料48,044
原料101,625
其他98
加工收入29
畜產品8,958
蛋品 2,301
豬隻 2,218
以上銷售數量包括福壽與萬集盛",2026-05-15
1150513,113,1220,台榮,149469.000,2,"飼料產品45,122
果糖產品55,736
澱粉及副產品48,611",2026-05-15
1150513,113,1225,福懋油,258712.000,1,N/A,2026-05-15
1150513,113,1227,佳格,206715.000,3,N/A,2026-05-15
1150513,113,1229,聯華,346719.124,2,"麵粉產量 255,513公噸、麩皮產量 88,161公噸、義大利麵產量 5,045公噸",2026-05-15
1150513,113,1231,聯華食,54133.000,5,0,2026-05-15
1150513,113,1232,大統益,572334.000,1,N/A,2026-05-15
1150513,113,1233,天仁,1118.000,1,2024年度產品生產量：不發酵茶247.6千台斤、半發酵茶612.6千台斤、全發酵茶491.9千台斤、花茶248.8千台斤、其他203.4千台斤。,2026-05-15
1150513,113,1234,黑松,237009.340,2,N/A,2026-05-15
1150513,113,1235,興泰,1527.185,1,N/A,2026-05-15
1150513,113,1236,宏亞,6371.000,494,N/A,2026-05-15
1150513,113,1256,鮮活果汁-KY,89391.000,4,N/A,2026-05-15
1150513,113,1301,台塑,N/A,N/A,"聚氯乙烯 (PVC)1,718,544公噸、氯乙烯(VCM)1,606,582公噸、液碱 1,401,718公噸、丙烯酸酯(AE)613,163公噸、正丁醇(NBA)246,479公噸、高吸水性樹脂(SAP)202,410公噸、丙烯腈(AN)284,090公噸、乙烯醋酸乙烯酯共聚物(EVA)314,070公噸、高密度聚乙烯(HDPE)272,968公噸。",2026-05-15
1150513,113,1303,南亞,2581795.000,101,"一、主要產品產量統計如下：
1.塑膠製品：硬質膠布86,389公噸、塑膠門窗25,465公噸、硬質管136,446公噸。
2.化工產品：丙二酚571,109公噸、乙二醇1,272,940公噸，可塑劑及硬化劑212,337公噸。
3.電子材料：電路板11,571千平方英呎、銅箔75,351公噸、銅箔基板54,588千張。
4.聚酯產品：聚酯纖維1,297,200公噸、聚酯薄膜56,916公噸。

二、本項目係以合併財報基礎進行揭露。

三、本項目之「售出產品產量」欄位，考量資料範圍一致性，僅將此欄位之以公噸計價之售出產品產量進行加總。",2026-05-15
1150513,113,1304,台聚,203916.000,N/A,"乙烯醋酸乙烯酯 110,189噸
高密度聚乙烯 69,581噸
線型低密度聚乙烯 8,797噸
其他化學品 422噸
加總=188,989噸

",2026-05-15
1150513,113,1305,華夏,403449.000,N/A,"113 年度產量：
PVC粉(噸)：300,474、
化學品(噸)：62,799、
氯乙烯單體(噸)：319,081、
塑膠布(噸)：16,473、
建材產品(噸)：17,484、
塑膠皮(仟碼)：4,674、
其他(噸)：465、
合計(噸)：721,450
註：仟碼約等於1噸。",2026-05-15
1150513,113,1308,亞聚,132904.000,N/A,"2024年產品總產量：131,105公噸。
包含：
低密度聚乙烯樹脂(LDPE)：43,479公噸
乙烯醋酸乙烯酯共聚合樹脂(EVA)：87,626公噸",2026-05-15
1150513,113,1309,台達化,430720.000,N/A,"林園廠ABS：86,741
前鎮廠EPS：59,751
前鎮廠GPS：94,641
頭份廠GW：8,998
中山廠EPS：162,204
",2026-05-15
1150513,113,1310,台苯,N/A,N/A,"苯乙烯年產量292,539.233噸",2026-05-15
1150513,113,1312,國喬,N/A,N/A,"銷售產品      2024年產量
苯乙烯          258,409公噸
ABS塑膠      56,959公噸
PS塑膠	       29,142公噸
尼龍              18,602公噸
總銷售量     363,112公噸
",2026-05-15
1150513,113,1313,聯成,N/A,N/A,"酸酐 750.5仟噸
可塑劑 3188.4仟噸
聚氯乙烯 665.6仟噸
其他化學品 60.39仟噸",2026-05-15
1150513,113,1314,中石化,606994.000,5,"己內醯胺(CPL)：155,865 公噸
尼龍粒(PA6)：58,675 公噸
丙烯腈(AN)：185,897 公噸
鄰苯基苯酚(OPP)：5,315 公噸
硫酸銨(AS)：260,969 公噸",2026-05-15
1150513,113,1315,達新,N/A,N/A,N/A,2026-05-15
1150513,113,1319,東陽,N/A,N/A,N/A,2026-05-15
1150513,113,1321,大洋,N/A,N/A,"塑膠粉/粒：106,025噸            塑膠管材：14,899噸              塑膠布：9,148噸                   合成皮：659仟碼                  雅纖新木(微晶木)：47噸",2026-05-15
1150513,113,1326,台化,N/A,N/A,"塑膠製品
ABS278,953公噸
PS 285,761公噸
PP335,619公噸
PC133,828公噸",2026-05-15
1150513,113,1337,再生-KY,N/A,N/A,N/A,2026-05-15
1150513,113,1338,廣華-KY,27391.000,4,53872659pcs,2026-05-15
1150513,113,1339,昭輝,N/A,N/A,N/A,2026-05-15
1150513,113,1340,勝悅-KY,N/A,N/A,N/A,2026-05-15
1150513,113,1342,八貫,N/A,N/A,N/A,2026-05-15
1150513,113,1410,南染,N/A,N/A,N/A,2026-05-15
1150513,113,1413,宏洲,66090.000,1,"聚酯粒74,814公噸 聚酯絲56,916公噸 其他343公噸 合計129,073公噸",2026-05-15
1150513,113,1414,東和,N/A,N/A,N/A,2026-05-15
1150513,113,1417,嘉裕,N/A,N/A,N/A,2026-05-15
1150513,113,1418,東華,N/A,N/A,N/A,2026-05-15
1150513,113,1419,新紡,N/A,N/A,N/A,2026-05-15
1150513,113,1423,利華,N/A,N/A,N/A,2026-05-15
1150513,113,1432,大魯閣,N/A,N/A,N/A,2026-05-15
1150513,113,1435,中福,N/A,N/A,N/A,2026-05-15
1150513,113,1436,華友聯,N/A,N/A,N/A,2026-05-15
1150513,113,1439,雋揚,N/A,N/A,N/A,2026-05-15
1150513,113,1440,南紡,N/A,N/A,N/A,2026-05-15
1150513,113,1441,大東,5475.000,1,"本公司113年度紗產品約5,037公噸；布品約438公噸",2026-05-15
1150513,113,1442,名軒,N/A,N/A,N/A,2026-05-15
1150513,113,1443,立益物流,N/A,N/A,N/A,2026-05-15
1150513,113,1445,大宇,N/A,N/A,N/A,2026-05-15
1150513,113,1449,佳和,N/A,N/A,N/A,2026-05-15
