出表日期,報告年度,公司代號,公司名稱,對促進小型企業及社區發展的貸放件數(件),對促進小型企業及社區發展的貸放餘額(仟元),對缺少銀行服務之弱勢族群提供金融教育之參與人數(人),date
1150513,113,1101,台泥,N/A,N/A,N/A,2026-05-15
1150513,113,1102,亞泥,N/A,N/A,N/A,2026-05-15
1150513,113,1103,嘉泥,N/A,N/A,N/A,2026-05-15
1150513,113,1104,環泥,N/A,N/A,N/A,2026-05-15
1150513,113,1109,信大,N/A,N/A,N/A,2026-05-15
1150513,113,1110,東泥,0,0.000,0,2026-05-15
1150513,113,1201,味全,N/A,N/A,N/A,2026-05-15
1150513,113,1203,味王,0,0.000,0,2026-05-15
1150513,113,1210,大成,0,0.000,0,2026-05-15
1150513,113,1215,卜蜂,N/A,N/A,N/A,2026-05-15
1150513,113,1216,統一,N/A,N/A,N/A,2026-05-15
1150513,113,1219,福壽,N/A,N/A,N/A,2026-05-15
1150513,113,1220,台榮,0,N/A,N/A,2026-05-15
1150513,113,1227,佳格,0,0.000,0,2026-05-15
1150513,113,1229,聯華,N/A,N/A,N/A,2026-05-15
1150513,113,1231,聯華食,0,0.000,N/A,2026-05-15
1150513,113,1233,天仁,0,0.000,0,2026-05-15
1150513,113,1234,黑松,N/A,N/A,N/A,2026-05-15
1150513,113,1236,宏亞,N/A,N/A,N/A,2026-05-15
1150513,113,1303,南亞,N/A,N/A,N/A,2026-05-15
1150513,113,1304,台聚,N/A,N/A,N/A,2026-05-15
1150513,113,1305,華夏,N/A,N/A,N/A,2026-05-15
1150513,113,1308,亞聚,N/A,N/A,N/A,2026-05-15
1150513,113,1309,台達化,N/A,N/A,N/A,2026-05-15
1150513,113,1310,台苯,N/A,N/A,N/A,2026-05-15
1150513,113,1314,中石化,N/A,N/A,N/A,2026-05-15
1150513,113,1315,達新,N/A,N/A,N/A,2026-05-15
1150513,113,1319,東陽,N/A,N/A,N/A,2026-05-15
1150513,113,1321,大洋,N/A,N/A,N/A,2026-05-15
1150513,113,1326,台化,N/A,N/A,N/A,2026-05-15
1150513,113,1338,廣華-KY,N/A,N/A,N/A,2026-05-15
1150513,113,1339,昭輝,0,0.000,0,2026-05-15
1150513,113,1340,勝悅-KY,0,0.000,N/A,2026-05-15
1150513,113,1342,八貫,N/A,N/A,N/A,2026-05-15
1150513,113,1413,宏洲,N/A,N/A,N/A,2026-05-15
1150513,113,1414,東和,N/A,N/A,N/A,2026-05-15
1150513,113,1417,嘉裕,N/A,N/A,N/A,2026-05-15
1150513,113,1418,東華,N/A,N/A,N/A,2026-05-15
1150513,113,1419,新紡,N/A,N/A,N/A,2026-05-15
1150513,113,1423,利華,N/A,N/A,N/A,2026-05-15
1150513,113,1432,大魯閣,N/A,N/A,N/A,2026-05-15
1150513,113,1435,中福,0,0.000,0,2026-05-15
1150513,113,1436,華友聯,N/A,N/A,N/A,2026-05-15
1150513,113,1439,雋揚,N/A,N/A,N/A,2026-05-15
1150513,113,1440,南紡,N/A,N/A,N/A,2026-05-15
1150513,113,1441,大東,N/A,N/A,N/A,2026-05-15
1150513,113,1442,名軒,N/A,N/A,N/A,2026-05-15
1150513,113,1443,立益物流,0,0.000,N/A,2026-05-15
1150513,113,1445,大宇,N/A,N/A,N/A,2026-05-15
1150513,113,1449,佳和,N/A,N/A,N/A,2026-05-15
1150513,113,1451,年興,N/A,N/A,N/A,2026-05-15
1150513,113,1455,集盛,N/A,N/A,N/A,2026-05-15
1150513,113,1456,怡華,N/A,N/A,N/A,2026-05-15
1150513,113,1457,宜進,N/A,N/A,N/A,2026-05-15
1150513,113,1459,聯發,N/A,N/A,N/A,2026-05-15
1150513,113,1460,宏遠,N/A,N/A,N/A,2026-05-15
1150513,113,1465,偉全,N/A,N/A,N/A,2026-05-15
1150513,113,1468,昶和,N/A,N/A,N/A,2026-05-15
1150513,113,1470,大統新創,N/A,N/A,N/A,2026-05-15
1150513,113,1474,弘裕,N/A,N/A,N/A,2026-05-15
1150513,113,1475,業旺,N/A,N/A,N/A,2026-05-15
1150513,113,1504,東元,N/A,N/A,N/A,2026-05-15
1150513,113,1513,中興電,N/A,N/A,N/A,2026-05-15
1150513,113,1514,亞力,N/A,N/A,N/A,2026-05-15
1150513,113,1515,力山,N/A,N/A,N/A,2026-05-15
1150513,113,1516,川飛,N/A,N/A,N/A,2026-05-15
1150513,113,1519,華城,N/A,N/A,N/A,2026-05-15
1150513,113,1524,耿鼎,N/A,N/A,N/A,2026-05-15
1150513,113,1526,日馳,N/A,N/A,N/A,2026-05-15
1150513,113,1527,鑽全,N/A,N/A,N/A,2026-05-15
1150513,113,1530,亞崴,N/A,N/A,N/A,2026-05-15
1150513,113,1531,高林股,N/A,N/A,N/A,2026-05-15
1150513,113,1532,勤美,N/A,N/A,N/A,2026-05-15
1150513,113,1533,車王電,N/A,N/A,N/A,2026-05-15
1150513,113,1535,中宇,0,0.000,N/A,2026-05-15
1150513,113,1536,和大,N/A,N/A,N/A,2026-05-15
1150513,113,1537,廣隆,N/A,N/A,N/A,2026-05-15
1150513,113,1538,正峰,N/A,N/A,N/A,2026-05-15
1150513,113,1540,喬福,N/A,N/A,N/A,2026-05-15
1150513,113,1558,伸興,N/A,N/A,N/A,2026-05-15
1150513,113,1568,倉佑,N/A,N/A,N/A,2026-05-15
1150513,113,1582,信錦,N/A,N/A,N/A,2026-05-15
1150513,113,1583,程泰,N/A,N/A,N/A,2026-05-15
1150513,113,1589,永冠-KY,N/A,N/A,N/A,2026-05-15
1150513,113,1597,直得,N/A,N/A,N/A,2026-05-15
1150513,113,1598,岱宇,N/A,N/A,N/A,2026-05-15
1150513,113,1603,華電,N/A,N/A,N/A,2026-05-15
1150513,113,1604,聲寶,N/A,N/A,N/A,2026-05-15
1150513,113,1608,華榮,N/A,N/A,N/A,2026-05-15
1150513,113,1609,大亞,0,0.000,0,2026-05-15
1150513,113,1611,中電,N/A,N/A,N/A,2026-05-15
1150513,113,1612,宏泰,N/A,N/A,N/A,2026-05-15
1150513,113,1614,三洋電,0,0.000,0,2026-05-15
1150513,113,1616,億泰,N/A,N/A,N/A,2026-05-15
1150513,113,1617,榮星,N/A,N/A,N/A,2026-05-15
1150513,113,1618,合機,0,0.000,0,2026-05-15
1150513,113,1626,艾美特-KY,N/A,N/A,N/A,2026-05-15
1150513,113,1702,南僑,N/A,N/A,N/A,2026-05-15
1150513,113,1707,葡萄王,N/A,N/A,N/A,2026-05-15
1150513,113,1708,東鹼,N/A,N/A,N/A,2026-05-15
1150513,113,1709,和益,N/A,N/A,N/A,2026-05-15
1150513,113,1710,東聯,N/A,N/A,N/A,2026-05-15
1150513,113,1711,永光,N/A,N/A,N/A,2026-05-15
1150513,113,1712,興農,N/A,N/A,N/A,2026-05-15
1150513,113,1713,國化,N/A,N/A,N/A,2026-05-15
1150513,113,1714,和桐,N/A,N/A,N/A,2026-05-15
1150513,113,1717,長興,N/A,N/A,N/A,2026-05-15
1150513,113,1718,中纖,N/A,N/A,N/A,2026-05-15
1150513,113,1720,生達,N/A,N/A,N/A,2026-05-15
1150513,113,1721,三晃,N/A,N/A,N/A,2026-05-15
1150513,113,1725,元禎,N/A,N/A,N/A,2026-05-15
1150513,113,1726,永記,N/A,N/A,N/A,2026-05-15
1150513,113,1727,中華化,N/A,N/A,N/A,2026-05-15
1150513,113,1730,花仙子,N/A,N/A,N/A,2026-05-15
1150513,113,1731,美吾華,N/A,N/A,N/A,2026-05-15
1150513,113,1732,毛寶,N/A,N/A,N/A,2026-05-15
1150513,113,1736,喬山,N/A,N/A,N/A,2026-05-15
1150513,113,1752,南光,N/A,N/A,N/A,2026-05-15
1150513,113,1760,寶齡富錦,N/A,N/A,N/A,2026-05-15
1150513,113,1762,中化生,N/A,N/A,N/A,2026-05-15
1150513,113,1776,展宇,N/A,N/A,N/A,2026-05-15
1150513,113,1783,和康生,N/A,N/A,N/A,2026-05-15
1150513,113,1786,科妍,N/A,N/A,N/A,2026-05-15
1150513,113,1789,神隆,N/A,N/A,N/A,2026-05-15
1150513,113,1795,美時,N/A,N/A,N/A,2026-05-15
1150513,113,1802,台玻,N/A,N/A,N/A,2026-05-15
1150513,113,1806,冠軍,N/A,N/A,N/A,2026-05-15
1150513,113,1809,中釉,N/A,N/A,N/A,2026-05-15
1150513,113,1810,和成,N/A,N/A,N/A,2026-05-15
1150513,113,1903,士紙,N/A,N/A,N/A,2026-05-15
1150513,113,1904,正隆,N/A,N/A,N/A,2026-05-15
1150513,113,1905,華紙,N/A,N/A,N/A,2026-05-15
1150513,113,1907,永豐餘,N/A,N/A,N/A,2026-05-15
1150513,113,2006,東和鋼鐵,N/A,N/A,N/A,2026-05-15
1150513,113,2009,第一銅,N/A,N/A,N/A,2026-05-15
1150513,113,2010,春源,N/A,N/A,N/A,2026-05-15
1150513,113,2012,春雨,N/A,N/A,N/A,2026-05-15
1150513,113,2013,中鋼構,N/A,N/A,N/A,2026-05-15
1150513,113,2014,中鴻,N/A,N/A,N/A,2026-05-15
1150513,113,2015,豐興,N/A,N/A,N/A,2026-05-15
1150513,113,2017,官田鋼,N/A,N/A,N/A,2026-05-15
1150513,113,2020,美亞,0,0.000,0,2026-05-15
1150513,113,2023,燁輝,N/A,N/A,N/A,2026-05-15
1150513,113,2025,千興,0,0.000,0,2026-05-15
1150513,113,2027,大成鋼,N/A,N/A,N/A,2026-05-15
1150513,113,2029,盛餘,N/A,N/A,N/A,2026-05-15
1150513,113,2030,彰源,N/A,N/A,N/A,2026-05-15
1150513,113,2031,新光鋼,0,0.000,0,2026-05-15
1150513,113,2034,允強,N/A,N/A,N/A,2026-05-15
1150513,113,2069,運錩,N/A,N/A,N/A,2026-05-15
1150513,113,2103,台橡,N/A,N/A,N/A,2026-05-15
1150513,113,2105,正新,0,0.000,0,2026-05-15
1150513,113,2107,厚生,N/A,N/A,N/A,2026-05-15
1150513,113,2108,南帝,N/A,N/A,N/A,2026-05-15
1150513,113,2114,鑫永銓,N/A,N/A,N/A,2026-05-15
1150513,113,2115,六暉-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2201,裕隆,N/A,N/A,N/A,2026-05-15
1150513,113,2206,三陽工業,N/A,N/A,N/A,2026-05-15
1150513,113,2208,台船,N/A,N/A,N/A,2026-05-15
1150513,113,2211,長榮鋼,N/A,N/A,N/A,2026-05-15
1150513,113,2227,裕日車,N/A,N/A,N/A,2026-05-15
1150513,113,2228,劍麟,N/A,N/A,N/A,2026-05-15
1150513,113,2231,為升,N/A,N/A,N/A,2026-05-15
1150513,113,2233,宇隆,N/A,N/A,N/A,2026-05-15
1150513,113,2236,百達-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2241,艾姆勒,0,0.000,0,2026-05-15
1150513,113,2243,宏旭-KY,N/A,N/A,N/A,2026-05-15
1150513,113,2247,汎德永業,N/A,N/A,N/A,2026-05-15
1150513,113,2254,巨鎧精密-創,N/A,N/A,N/A,2026-05-15
1150513,113,2258,鴻華先進-創,N/A,N/A,N/A,2026-05-15
1150513,113,2301,光寶科,N/A,N/A,N/A,2026-05-15
1150513,113,2302,麗正,N/A,N/A,N/A,2026-05-15
1150513,113,2303,聯電,N/A,N/A,N/A,2026-05-15
1150513,113,2305,全友,N/A,N/A,N/A,2026-05-15
1150513,113,2313,華通,N/A,N/A,N/A,2026-05-15
1150513,113,2314,台揚,N/A,N/A,N/A,2026-05-15
1150513,113,2316,楠梓電,N/A,N/A,N/A,2026-05-15
1150513,113,2317,鴻海,N/A,N/A,N/A,2026-05-15
1150513,113,2321,東訊,N/A,N/A,N/A,2026-05-15
1150513,113,2327,國巨,N/A,N/A,N/A,2026-05-15
1150513,113,2328,廣宇,0,0.000,0,2026-05-15
1150513,113,2329,華泰,N/A,N/A,N/A,2026-05-15
1150513,113,2331,精英,N/A,N/A,N/A,2026-05-15
1150513,113,2332,友訊,N/A,N/A,N/A,2026-05-15
1150513,113,2340,台亞,0,0.000,0,2026-05-15
1150513,113,2342,茂矽,N/A,N/A,N/A,2026-05-15
1150513,113,2344,華邦電,N/A,N/A,N/A,2026-05-15
1150513,113,2345,智邦,N/A,N/A,N/A,2026-05-15
1150513,113,2347,聯強,N/A,N/A,N/A,2026-05-15
1150513,113,2348,海悅,N/A,N/A,N/A,2026-05-15
1150513,113,2349,錸德,N/A,N/A,N/A,2026-05-15
1150513,113,2351,順德,N/A,N/A,N/A,2026-05-15
1150513,113,2352,佳世達,N/A,N/A,N/A,2026-05-15
1150513,113,2353,宏碁,0,0.000,0,2026-05-15
1150513,113,2354,鴻準,N/A,N/A,N/A,2026-05-15
1150513,113,2355,敬鵬,N/A,N/A,N/A,2026-05-15
1150513,113,2360,致茂,N/A,N/A,N/A,2026-05-15
1150513,113,2362,藍天,N/A,N/A,N/A,2026-05-15
1150513,113,2363,矽統,N/A,N/A,N/A,2026-05-15
1150513,113,2364,倫飛,N/A,N/A,N/A,2026-05-15
1150513,113,2365,昆盈,N/A,N/A,N/A,2026-05-15
1150513,113,2367,燿華,N/A,N/A,N/A,2026-05-15
1150513,113,2369,菱生,N/A,N/A,N/A,2026-05-15
1150513,113,2371,大同,N/A,N/A,N/A,2026-05-15
1150513,113,2373,震旦行,N/A,N/A,N/A,2026-05-15
1150513,113,2374,佳能,0,0.000,0,2026-05-15
1150513,113,2375,凱美,N/A,N/A,N/A,2026-05-15
1150513,113,2376,技嘉,N/A,N/A,N/A,2026-05-15
1150513,113,2377,微星,N/A,N/A,N/A,2026-05-15
1150513,113,2379,瑞昱,N/A,N/A,N/A,2026-05-15
1150513,113,2385,群光,0,0.000,0,2026-05-15
1150513,113,2387,精元,N/A,N/A,N/A,2026-05-15
1150513,113,2388,威盛,N/A,N/A,N/A,2026-05-15
1150513,113,2390,云辰,N/A,N/A,N/A,2026-05-15
1150513,113,2392,正崴,N/A,N/A,N/A,2026-05-15
1150513,113,2393,億光,N/A,N/A,N/A,2026-05-15
1150513,113,2395,研華,N/A,N/A,N/A,2026-05-15
1150513,113,2397,友通,N/A,N/A,N/A,2026-05-15
1150513,113,2399,映泰,N/A,N/A,N/A,2026-05-15
1150513,113,2401,凌陽,N/A,N/A,N/A,2026-05-15
1150513,113,2406,國碩,N/A,N/A,N/A,2026-05-15
1150513,113,2409,友達,N/A,N/A,N/A,2026-05-15
1150513,113,2412,中華電,N/A,N/A,N/A,2026-05-15
1150513,113,2414,精技,N/A,N/A,N/A,2026-05-15
1150513,113,2419,仲琦,N/A,N/A,N/A,2026-05-15
1150513,113,2423,固緯,N/A,N/A,N/A,2026-05-15
1150513,113,2424,隴華,N/A,N/A,N/A,2026-05-15
1150513,113,2426,鼎元,N/A,N/A,N/A,2026-05-15
1150513,113,2428,興勤,N/A,N/A,N/A,2026-05-15
