出表日期,報告年度,公司代號,公司名稱,前10大股東持股情形,date
1150513,113,1101,台泥,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1101_20250527F17.pdf,2026-05-15
1150513,113,1102,亞泥,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1102_20250528F17.pdf,2026-05-15
1150513,113,1103,嘉泥,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1103_20250516F17.pdf,2026-05-15
1150513,113,1104,環泥,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1104_20250526F17.pdf,2026-05-15
1150513,113,1108,幸福,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1108_20250627F17.pdf,2026-05-15
1150513,113,1109,信大,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1109_20250619F17.pdf,2026-05-15
1150513,113,1110,東泥,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1110_20250613F17.pdf,2026-05-15
1150513,113,1201,味全,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1201_20250623F17.pdf,2026-05-15
1150513,113,1203,味王,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1203_20250625F17.pdf,2026-05-15
1150513,113,1210,大成,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1210_20250617F17.pdf,2026-05-15
1150513,113,1213,大飲,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1213_20250611F17.pdf,2026-05-15
1150513,113,1215,卜蜂,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1215_20250528F17.pdf,2026-05-15
1150513,113,1216,統一,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1216_20250529F17.pdf,2026-05-15
1150513,113,1217,愛之味,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1217_20250625F17.pdf,2026-05-15
1150513,113,1218,泰山,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1218_20250529F17.pdf,2026-05-15
1150513,113,1219,福壽,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1219_20250523F17.pdf,2026-05-15
1150513,113,1220,台榮,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1220_20250625F17.pdf,2026-05-15
1150513,113,1225,福懋油,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1225_20250626F17.pdf,2026-05-15
1150513,113,1227,佳格,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1227_20250619F17.pdf,2026-05-15
1150513,113,1229,聯華,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1229_20250526F17.pdf,2026-05-15
1150513,113,1231,聯華食,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1231_20250619F17.pdf,2026-05-15
1150513,113,1232,大統益,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1232_20250520F17.pdf,2026-05-15
1150513,113,1233,天仁,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1233_20250613F17.pdf,2026-05-15
1150513,113,1234,黑松,https://doc.twse.com.tw/server-java/t144sb10?step=9&filename=2025_1234_20250616F17.pdf,2026-05-15
