出表日期,報告年度,公司代號,公司名稱,重大事件之風險管理政策,與使用關鍵材料相關的風險管理之描述,date
1150513,113,1101,台泥,台泥參考世界經濟論壇(WEF)《2025年全球風險報告》、水泥及能源同業風險報告、永續會計準則委員會(SASB)準則、台泥風險管理政策及國際趨勢，藉此鑑別營運相關面向（如：經營策略、市場營運、財務穩定）及地理位置（如：氣候變遷），共四大風險面向，同時考量可能導致公司蒙受重大損失之潛在風險，例如：生物多樣性風險、地緣政治風險、資訊安全風險等。並透過流程分析、情境分析、問卷調查等多元方式，納入內外部風險因子、利害關係人關注重點，以及兼採「由下而上」與「由上而下」之分析討論，系統性鑑別風險項目。針對所鑑別之風險，台泥依其性質及特徵深入分析其發生機率及影響程度，據以量化風險值，並以風險胃納（風險容忍值）的方式，研議各風險值所對應之風險等級，以及各風險等級之風險回應方式，作為後續風險評量及風險回應策略之依據。,"面對氣候變遷導致的極端氣候及淨零轉型可能帶來之營運影響，台泥已將氣候風險整合至整體風險管理政策，並依循氣候相關風險與機會辨識流程，鑑別出4項重大關鍵氣候相關風險，除了盤點既有的具體因應策略與調適措施，並依據風險與機會影響之範圍與時間長短，規劃出氣候行動，提高企業在淨零轉型中的韌性與調適能力，以展開轉型布局，強化公司的營運韌性。
台泥辨識具有高度影響程度與發生可能性之氣候相關風險與機會，進一步評估現行措施與策略是否足以因應，檢視台泥在不同氣候風險與機會下所展現的韌性。透過此流程，同步分析前述風險與機會對當前財務狀況之影響，作為強化風險管理與資源配置的決策依據。
其中與關鍵材料相關風險為替代原燃料/廢棄物資源循環運用不當。台泥策略及決策為：成立低碳研發中心進行替代原燃料開發與產業、公協會合作開發替代原燃料。",2026-05-15
1150513,113,1102,亞泥,"為強化公司治理，促進公司穩健經營與永續發展，亞洲水泥建立健全之風險管理機制，將可能產生之風險控制在可承受範圍内，董事會通過「內部控制制度」，並訂定「風險管理政策與程序」，由董事會、企業永續委員會及各權責單位據以執行。
亞洲水泥之風險管理程序包括風險辨識、風險衡量、風險回應、風險監控及風險報告，風險類型包含營運風險、財務風險、危害風險、資安風險、法遵風險、氣候及自然風險。每年定期執行風險審查，2024年度已統籌所有風險辨識及衡量結果，擇定重大風險議題至企業永續推行委員會進行審查。","本公司依據TCFD框架進行氣候風險評估，其中實體風險部分包括劇烈自然因子(極端氣候)對於關鍵原物料之衝擊影響評估，包括營運、供應鏈等面向，將造成生產力下降及營運損失。因應該風險亞泥之管理措施如下：
1. 強化緊急應變或調度程序，暴雨來襲前增加石灰石廠內庫存。
2. 評估東部地方之黏土供應來源，減少經蘇花公路的運輸。
3. 颱風登陸前，緊急發電機試運轉，確保台電供電中斷時可供電。",2026-05-15
1150513,113,1103,嘉泥,風險管理係指為合理確保本公司永續經營與策略目標之達成，進行辨識重大潛在風險並制定對應的風險控管措施及風險因應機制，將風險可能造成之衝擊與發生可能性控制在容忍範圍內，且不超出本公司之風險胃納，以合理確保各單位之可承受風險程度與公司策略目標一致。,N/A。 本集團目前並未採購對國家經濟和安全具重要意義之關鍵材料。 ,2026-05-15
1150513,113,1104,環泥,N/A,N/A,2026-05-15
1150513,113,1109,信大,本公司112年董事會通過「內部控制制度」，並訂定「風險管理政策與程序」，促進企業優化資源配置，達成風險最小化、效率最大化。 以本公司董事會作為風險管理最高治理單位，並由本公司永續發展委員會下，各部門主管組成之「盡責治理小組」負責推行，職責包含（一） 審查風險管理政策、程序與架構，並定期檢討其適用性與執行效能； （二） 整合及協調跨部門之共同風險管理議題、宣導與溝通重要風險管理事項，並導引資源分配； （三） 確保風險管理機制能充分處理公司所面臨之風險，並融合至日常營運作業流程中； （四） 核定風險控管的優先順序與風險等級； （五） 審查風險管理事項，對各部門執行提出必要之改善建議，並定期（至少一年一次）向董事會報告執行結果； （六） 執行董事會之風險管理決策，並督導建立信大水泥集團風險管理機制之架構檢視依內部分層負責呈報之風險控管報告與處理風險管理相關議題監督整體風險管理之執行與協調運作。 ,依據公司策略目標及盡責治理小組核定之風險管理政策與程序，就其所屬單位之短、中、長程目標與業務執掌進行風險辨識。 風險辨識宜採用各種可行之分析工具及方法（如：流程分析、情境分析、問卷調查、PESTLE分析等），依據以往經驗及資訊，並考量內、外部風險因子、利害關係者關注重點等，透過「由下而上」及「由上而下」的分析討論，結合策略風險與營運風險，全面辨識可能導致公司目標無法達成、造成公司損失或負面影響之潛在風險事件。 ,2026-05-15
1150513,113,1110,東泥,"本公司建立風險管理機制，以強化公司治理、穩健經營及永續發展，將風險控制在可承受範圍內，涵蓋營運、財務、危害、資安、法遵、氣候變遷及其他重大風險。董事會為最高決策單位，永續發展委員會負責審查，權責單位監督管控，並依循風險辨識、衡量、回應、監控、報告及提升風險意識的管理程序運作，確保風險管理的有效性。此外，本公司依主管機關規範揭露風險管理資訊，並於年報公開相關內容。
",N/A,2026-05-15
1150513,113,1201,味全,本公司於112年8月4日董事會通過修訂風險管理政策及程序，用以制定策略、辨識風險事件並加以管理，使其在可控範圍內不超出本公司之風險胃納。各風險事項由各權責單位依其職權進行分析、評估、及擬定後續因應措施，呈報核定後據以執行，並將重大事件提報至風險管理委員會討論後，提出建議事項至董事會決議。,"(1)本公司各功能單位依據公司策略目標及董事會核定之風險管理政策與程序，就其所屬單位之短、中、長程目標與業務執掌進行風險辨識。
(2)並依實務狀況，針對已辨識風險事件之性質及特徵進行瞭解，並運用各項資訊來分析已辨識風險事件之發生機率及其結果之影響程度，據以計算風險值。
(3)依據風險分析結果，對照經風險管理委員會核定之風險胃納，以研判風險等級並決定需優先處理之風險事件。相關風險分析與評量結果確實記錄，並提報風險管理委員會進行核定。
(4)各功能單位應依據風險等級，規劃與執行後續風險回應方案及相關處理計畫，並持續監控相關處理計畫之執行情形，以確保相關人員充分理解與執行。
(5)風險管理推動與執行單位審查風險管理程序之有效運作與風險回應方案及相關處理計畫之執行進度，並將相關審查結果納入績效衡量與報告事項中。風險管理推動與執行單位檢討修訂相關管理辦法及程序，將風險管理與組織中關鍵流程進行連結，以有效監督與提升風險管理落實實施之效益。
",2026-05-15
1150513,113,1203,味王,於企業經營面臨之各項風險，組織依據各類型風險特性採取對應管理機制，確保能有效控制相關風險，同時達成營運策略目標。在風險管理方面，依各相關單位潛在之風險進行辨認、分析與衡量，進而透過適當管理方法加以應對，監督並改進風險管理計劃，依風險的特性與影響層級，予以集中管理與分層執行，使所有風險均能隨時有效掌控。,"1.本公司對所有產品均會進行風險管理，經由風險分析評估出需監測之原料、半成品及成品。而於製程監測上，則藉由風險分析判定是否可透過前提方案予以排除或降低風險等級，如無法有效排除則建立品質管制點予以監控，以降低風險。
2.有鑑於食品之「有效日期」會受到原料、製造過程、運輸、儲藏、包材及販售等環境因素影響。因此，針對有效日期之評估將以新、舊產品分別進行簡述：(1)新開發使用原料確實執行原材料調查，予以風險分析與評估確保品質符合法規及製程要求、(2)針對舊有產品之有效日期評估會因為法規、原料、製程、包材變更等因素而重新評估。",2026-05-15
1150513,113,1210,大成,董事會負責發展及控管本公司之風險管理政策，本公司風險管理政策之建置係為辨識及分析本公司所面臨之風險，及設定適當風險限額及控制，並監督風險與風險限額之遵循，內部稽核人員協助董事會監督角色，該等人員進行定期例外覆核風險管理控制及程序 ，並將覆核結果報告予董事會。,"在原料方面，亦需以全世界為供應來源，以期取得成本最低之原料與服務。面對這樣的競爭環境，以公司的營運規模，發揮全球統籌採購優勢，降低原物料採購成本，進而提升產品品質及售後服務。
面對食品安全的問題層出不窮，整個環境狀況對禽流感、農畜產品藥物殘留疑慮並未消除，因此公司為維持穩定獲利，將在產品結構上進行上下游整合，分散飼料經營風險。",2026-05-15
1150513,113,1216,統一,本公司無訂定重大事件之風險管理政策,本公司無使用關鍵材料相關的風險管理,2026-05-15
