出表日期,報告年度,公司代號,公司名稱,使用率(再生能源/總能源),資料範圍,取得驗證,date
1150513,113,1101,台泥,2.0512%,台灣與中國大陸水泥事業，包含台泥水泥廠、製品廠及轄下發貨站、粉磨站、辦公室，以及子公司萬青水泥、鳳勝實業、Hong Kong Cement、礦業公司、環保科技公司100%營運據點,ISO 50001,2026-05-15
1150513,113,1102,亞泥,0.1100%,母公司,ISO 50001,2026-05-15
1150513,113,1103,嘉泥,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1104,環泥,0.3007%,合併財務報表之母子公司,N/A,2026-05-15
1150513,113,1108,幸福,N/A,N/A,N/A,2026-05-15
1150513,113,1109,信大,N/A,N/A,N/A,2026-05-15
1150513,113,1110,東泥,N/A,N/A,N/A,2026-05-15
1150513,113,1201,味全,0.0000%,僅母公司,ISO 50001,2026-05-15
1150513,113,1203,味王,N/A,N/A,N/A,2026-05-15
1150513,113,1210,大成,0.0000%,大成長城母公司與台灣子公司,N/A,2026-05-15
1150513,113,1213,大飲,N/A,N/A,N/A,2026-05-15
1150513,113,1215,卜蜂,0.1200%,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,N/A,2026-05-15
1150513,113,1216,統一,0.0018%,永康總廠、新市總廠(含冰品廠、冷調食品廠)、台中總廠、楊梅總廠(含瑞芳礦泉水廠)及中壢總廠 (含麻豆麵包廠)、TMR、物流倉庫、台北分公司、高雄辦公室、內湖辦公室、五股辦公室、湖口園區(含冰塊廠)等廠區,ISO 50001,2026-05-15
1150513,113,1217,愛之味,N/A,N/A,N/A,2026-05-15
1150513,113,1218,泰山,55.1800%,泰山食品廠，油脂廠，以北斗牧場,N/A,2026-05-15
1150513,113,1219,福壽,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1220,台榮,N/A,N/A,N/A,2026-05-15
1150513,113,1225,福懋油,0.0000%,母公司,N/A,2026-05-15
1150513,113,1227,佳格,N/A,N/A,N/A,2026-05-15
1150513,113,1229,聯華,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1231,聯華食,0.6000%,總公司、各辦事處及各廠區，共計12處,ISO 50001,2026-05-15
1150513,113,1232,大統益,0.3500%,僅母公司,N/A,2026-05-15
1150513,113,1233,天仁,N/A,N/A,N/A,2026-05-15
1150513,113,1234,黑松,1.4800%,母公司(含台北總公司、中壢廠、斗六廠),ISO 50001,2026-05-15
1150513,113,1235,興泰,N/A,N/A,N/A,2026-05-15
1150513,113,1236,宏亞,4.0000%,全體公司,N/A,2026-05-15
1150513,113,1256,鮮活果汁-KY,N/A,N/A,N/A,2026-05-15
1150513,113,1301,台塑,0.0270%,僅母公司。,ISO 50001,2026-05-15
1150513,113,1303,南亞,0.3221%,南亞母公司+台灣子公司,ISO 50001,2026-05-15
1150513,113,1304,台聚,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1305,華夏,0.0097%,華夏頭份總廠、台氯林園廠、華聚林園廠,ISO 50001,2026-05-15
1150513,113,1307,三芳,2.5000%,合併財務報表之母子公司,N/A,2026-05-15
1150513,113,1308,亞聚,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1309,台達化,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1310,台苯,1.5421%,台苯高雄廠總用電量,N/A,2026-05-15
1150513,113,1312,國喬,N/A,N/A,N/A,2026-05-15
1150513,113,1313,聯成,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1314,中石化,1.2296%,主要生產工廠,ISO 50001,2026-05-15
1150513,113,1315,達新,6.7400%,母公司,N/A,2026-05-15
1150513,113,1316,上曜,N/A,N/A,N/A,2026-05-15
1150513,113,1319,東陽,N/A,N/A,N/A,2026-05-15
1150513,113,1321,大洋,N/A,N/A,N/A,2026-05-15
1150513,113,1323,永裕,1.3632%,已完成母公司,N/A,2026-05-15
1150513,113,1324,地球,N/A,N/A,N/A,2026-05-15
1150513,113,1325,恆大,N/A,N/A,N/A,2026-05-15
1150513,113,1326,台化,0.6549%,2024年台化及台醋公司之台灣廠區資料,N/A,2026-05-15
1150513,113,1337,再生-KY,N/A,N/A,N/A,2026-05-15
1150513,113,1338,廣華-KY,N/A,N/A,N/A,2026-05-15
1150513,113,1339,昭輝,N/A,N/A,N/A,2026-05-15
1150513,113,1340,勝悅-KY,N/A,N/A,N/A,2026-05-15
1150513,113,1341,富林-KY,2.8146%,越南子公司,N/A,2026-05-15
1150513,113,1342,八貫,N/A,N/A,N/A,2026-05-15
1150513,113,1402,遠東新,7.0000%,本公司生產事業主要據點,ISO 50001,2026-05-15
1150513,113,1409,新纖,N/A,N/A,ISO 50001,2026-05-15
1150513,113,1410,南染,N/A,N/A,N/A,2026-05-15
1150513,113,1413,宏洲,N/A,N/A,N/A,2026-05-15
1150513,113,1414,東和,N/A,N/A,N/A,2026-05-15
1150513,113,1416,廣豐,N/A,N/A,N/A,2026-05-15
