出表日期,報告年度,公司代號,公司名稱,職業災害人數及比率-人數,職業災害人數及比率-比率,火災件數(件),火災死傷人數(人),火災死傷人數占員工總人數比率,date
1150513,113,1101,台泥,18,0.21%,0,0,0,2026-05-15
1150513,113,1102,亞泥,2,0.40%,1,0,0.00%,2026-05-15
1150513,113,1103,嘉泥,2,0.47%,0,0,0.00%,2026-05-15
1150513,113,1104,環泥,3,0.61%,0,0,0,2026-05-15
1150513,113,1108,幸福,1,2.78%,0,0,0,2026-05-15
1150513,113,1109,信大,0,0.00%,0,0,0,2026-05-15
1150513,113,1110,東泥,0,0.00%,0,0,0,2026-05-15
1150513,113,1201,味全,2,0.14%,0,0,0,2026-05-15
1150513,113,1203,味王,6,3.12%,0,0,0,2026-05-15
1150513,113,1210,大成,14,0.49%,0,0,0,2026-05-15
1150513,113,1213,大飲,0,0.00%,0,0,0,2026-05-15
1150513,113,1215,卜蜂,16,0.65%,0,0,0,2026-05-15
1150513,113,1216,統一,5,0.08%,0,0,0,2026-05-15
1150513,113,1217,愛之味,6,4.53%,1,0,0.00%,2026-05-15
1150513,113,1218,泰山,0,0.00%,0,0,0,2026-05-15
1150513,113,1219,福壽,6,0.92%,1,0,0.00%,2026-05-15
1150513,113,1220,台榮,1,0.42%,0,0,0,2026-05-15
1150513,113,1225,福懋油,1,0.42%,0,0,0,2026-05-15
1150513,113,1227,佳格,18,1.75%,0,0,0,2026-05-15
1150513,113,1229,聯華,1,0.00%,0,0,0,2026-05-15
1150513,113,1231,聯華食,27,0.01%,0,0,0,2026-05-15
1150513,113,1232,大統益,0,0.00%,0,0,0,2026-05-15
1150513,113,1233,天仁,15,1.06%,0,0,0,2026-05-15
1150513,113,1234,黑松,1,0.17%,0,0,0,2026-05-15
1150513,113,1235,興泰,0,0.00%,0,0,0,2026-05-15
1150513,113,1236,宏亞,15,13.70%,0,0,0,2026-05-15
1150513,113,1256,鮮活果汁-KY,9,0.99%,0,0,0,2026-05-15
1150513,113,1301,台塑,5,0.42%,0,0,0,2026-05-15
1150513,113,1303,南亞,9,0.04%,2,0,0.00%,2026-05-15
1150513,113,1304,台聚,0,0.00%,0,0,0,2026-05-15
1150513,113,1305,華夏,0,0.00%,2,0,0.00%,2026-05-15
1150513,113,1307,三芳,1,1.02%,0,0,0,2026-05-15
1150513,113,1308,亞聚,0,0.00%,0,0,0,2026-05-15
1150513,113,1309,台達化,0,0.00%,0,0,0,2026-05-15
1150513,113,1310,台苯,0,0.00%,0,0,0,2026-05-15
1150513,113,1312,國喬,1,0.27%,0,0,0,2026-05-15
1150513,113,1313,聯成,5,4.27%,0,0,0,2026-05-15
1150513,113,1314,中石化,1,0.09%,0,0,0,2026-05-15
1150513,113,1315,達新,0,0.00%,0,0,0,2026-05-15
1150513,113,1316,上曜,0,0.00%,0,0,0,2026-05-15
1150513,113,1319,東陽,0,0.00%,0,0,0,2026-05-15
1150513,113,1321,大洋,6,1.35%,0,0,0,2026-05-15
1150513,113,1323,永裕,4,0.57%,0,0,0,2026-05-15
1150513,113,1324,地球,0,0.00%,0,0,0,2026-05-15
1150513,113,1325,恆大,0,0.00%,0,0,0,2026-05-15
1150513,113,1326,台化,4,0.10%,0,0,0,2026-05-15
1150513,113,1337,再生-KY,0,0.00%,0,0,0,2026-05-15
1150513,113,1338,廣華-KY,0,0.00%,0,0,0,2026-05-15
1150513,113,1339,昭輝,0,0.00%,0,0,0.00%,2026-05-15
1150513,113,1340,勝悅-KY,0,0.00%,0,0,0,2026-05-15
1150513,113,1341,富林-KY,7,0.66%,0,0,0,2026-05-15
1150513,113,1342,八貫,0,0.00%,0,0,0,2026-05-15
1150513,113,1402,遠東新,27,0.13%,1,0,0.00%,2026-05-15
1150513,113,1409,新纖,1,0.05%,0,0,0,2026-05-15
1150513,113,1410,南染,2,2.08%,0,0,0,2026-05-15
1150513,113,1413,宏洲,0,0.00%,0,0,0,2026-05-15
1150513,113,1414,東和,0,0.00%,0,0,0,2026-05-15
1150513,113,1416,廣豐,0,0.00%,0,0,0,2026-05-15
1150513,113,1417,嘉裕,3,1.11%,0,0,0,2026-05-15
1150513,113,1418,東華,0,0.00%,0,0,0,2026-05-15
1150513,113,1419,新紡,0,0.00%,0,0,0,2026-05-15
1150513,113,1423,利華,0,0.00%,0,0,0,2026-05-15
1150513,113,1432,大魯閣,10,0.01%,0,0,0,2026-05-15
1150513,113,1434,福懋,9,1.73%,0,0,0,2026-05-15
1150513,113,1435,中福,0,0.00%,0,0,0,2026-05-15
1150513,113,1436,華友聯,0,0.00%,0,0,0,2026-05-15
1150513,113,1437,勤益控,0,0.00%,0,0,0,2026-05-15
1150513,113,1438,三地開發,0,0.00%,0,0,0,2026-05-15
1150513,113,1439,雋揚,0,0.00%,0,0,0,2026-05-15
1150513,113,1440,南紡,5,0.60%,0,0,0,2026-05-15
1150513,113,1441,大東,0,0.00%,0,0,0,2026-05-15
1150513,113,1442,名軒,0,0.00%,0,0,0,2026-05-15
1150513,113,1443,立益物流,0,0.00%,0,0,0,2026-05-15
1150513,113,1444,力麗,7,0.36%,1,3,0.16%,2026-05-15
1150513,113,1445,大宇,2,2.00%,0,0,0,2026-05-15
1150513,113,1446,宏和,0,0.00%,0,0,0,2026-05-15
1150513,113,1447,力鵬,5,0.38%,1,0,0.00%,2026-05-15
1150513,113,1449,佳和,6,0.79%,0,0,0,2026-05-15
1150513,113,1451,年興,54,0.68%,0,0,0,2026-05-15
1150513,113,1452,宏益,10,4.41%,0,0,0,2026-05-15
1150513,113,1453,大將,0,0.00%,0,0,0,2026-05-15
1150513,113,1454,台富,0,0.00%,0,0,0,2026-05-15
1150513,113,1455,集盛,6,0.56%,2,0,0.00%,2026-05-15
1150513,113,1456,怡華,0,0.00%,0,0,0,2026-05-15
1150513,113,1457,宜進,0,0.00%,0,0,0,2026-05-15
1150513,113,1459,聯發,0,0.00%,0,0,0,2026-05-15
1150513,113,1460,宏遠,16,1.13%,0,0,0,2026-05-15
1150513,113,1463,強盛新,0,0.00%,0,0,0,2026-05-15
1150513,113,1464,得力,12,1.67%,0,0,0,2026-05-15
1150513,113,1465,偉全,0,0.00%,0,0,0,2026-05-15
1150513,113,1466,聚隆,3,0.88%,1,0,0.00%,2026-05-15
1150513,113,1467,南緯,1,0.58%,0,0,0,2026-05-15
1150513,113,1468,昶和,0,0.00%,0,0,0,2026-05-15
1150513,113,1470,大統新創,0,0.00%,0,0,0,2026-05-15
1150513,113,1471,首利,0,0.00%,0,0,0,2026-05-15
1150513,113,1472,三洋實業,0,0.00%,0,0,0,2026-05-15
1150513,113,1473,台南,5,0.02%,0,0,0,2026-05-15
1150513,113,1474,弘裕,4,0.90%,0,0,0,2026-05-15
1150513,113,1475,業旺,0,0.00%,0,0,0,2026-05-15
1150513,113,1476,儒鴻,36,0.17%,0,0,0,2026-05-15
1150513,113,1477,聚陽,420,1.08%,0,0,0,2026-05-15
1150513,113,1503,士電,0,0.00%,0,0,0,2026-05-15
1150513,113,1504,東元,24,2.57%,1,0,0.00%,2026-05-15
1150513,113,1506,正道,8,2.13%,0,0,0,2026-05-15
1150513,113,1512,瑞利,1,0.85%,0,0,0,2026-05-15
1150513,113,1513,中興電,8,0.28%,0,0,0,2026-05-15
1150513,113,1514,亞力,0,0.00%,0,0,0,2026-05-15
1150513,113,1515,力山,8,1.04%,0,0,0,2026-05-15
1150513,113,1516,川飛,0,0.00%,0,0,0,2026-05-15
1150513,113,1517,利奇,0,0.00%,0,0,0,2026-05-15
1150513,113,1519,華城,10,4.55%,0,0,0,2026-05-15
1150513,113,1521,大億,0,0.00%,0,0,0,2026-05-15
1150513,113,1522,堤維西,9,0.51%,0,0,0,2026-05-15
1150513,113,1524,耿鼎,5,1.05%,0,0,0,2026-05-15
1150513,113,1525,江申,4,1.25%,0,0,0,2026-05-15
1150513,113,1526,日馳,0,0.00%,0,0,0,2026-05-15
1150513,113,1527,鑽全,5,0.73%,0,0,0,2026-05-15
1150513,113,1528,恩德,0,0.00%,0,0,0,2026-05-15
1150513,113,1529,樂事綠能,2,2.22%,0,0,0,2026-05-15
1150513,113,1530,亞崴,0,0.00%,0,0,0,2026-05-15
1150513,113,1531,高林股,0,0.00%,0,0,0,2026-05-15
1150513,113,1532,勤美,0,0.00%,0,0,0,2026-05-15
1150513,113,1533,車王電,0,0.00%,0,0,0,2026-05-15
1150513,113,1535,中宇,1,0.09%,0,0,0,2026-05-15
1150513,113,1536,和大,6,6.60%,0,0,0,2026-05-15
1150513,113,1537,廣隆,0,0.00%,0,0,0,2026-05-15
1150513,113,1538,正峰,0,0.00%,0,0,0,2026-05-15
1150513,113,1539,巨庭,0,0.00%,0,0,0,2026-05-15
1150513,113,1540,喬福,0,0.00%,0,0,0,2026-05-15
1150513,113,1541,錩泰,1,0.00%,0,0,0,2026-05-15
1150513,113,1558,伸興,5,0.21%,0,0,0,2026-05-15
1150513,113,1560,中砂,7,0.41%,0,0,0,2026-05-15
1150513,113,1563,巧新,1,0.07%,0,0,0,2026-05-15
1150513,113,1568,倉佑,2,2.68%,0,0,0,2026-05-15
1150513,113,1582,信錦,0,0.00%,0,0,0,2026-05-15
1150513,113,1583,程泰,0,0.00%,0,0,0,2026-05-15
1150513,113,1587,吉茂,0,0.00%,0,0,0,2026-05-15
1150513,113,1589,永冠-KY,56,2.56%,0,0,0,2026-05-15
1150513,113,1590,亞德客-KY,53,0.61%,0,0,0,2026-05-15
1150513,113,1597,直得,1,0.00%,0,0,0,2026-05-15
1150513,113,1598,岱宇,0,0.00%,0,0,0,2026-05-15
1150513,113,1603,華電,8,1.36%,0,0,0,2026-05-15
1150513,113,1604,聲寶,6,0.54%,0,0,0,2026-05-15
1150513,113,1605,華新,109,1.02%,0,0,0,2026-05-15
1150513,113,1608,華榮,0,0.00%,0,0,0,2026-05-15
