出表日期,報告年度,公司代號,公司名稱,有害廢棄物量-數據(公噸) ,有害廢棄物量-資料範圍,非有害廢棄物量-數據(公噸),非有害廢棄物量-資料範圍,總重量(有害+非有害)-數據(公噸),總重量(有害+非有害)-資料範圍,廢棄物密集度-密集度(公噸/單位) ,廢棄物密集度-單位,取得驗證,date
1150513,113,1101,台泥,557.6000,台灣與中國大陸水泥事業，包含台泥水泥廠、製品廠及轄下發貨站、粉磨站、辦公室，以及子公司萬青水泥、鳳勝實業、Hong Kong Cement、礦業公司、環保科技公司100%營運據點,34371.8400,台灣與中國大陸水泥事業，包含台泥水泥廠、製品廠及轄下發貨站、粉磨站、辦公室，以及子公司萬青水泥、鳳勝實業、Hong Kong Cement、礦業公司、環保科技公司100%營運據點,34929.4400,台灣與中國大陸水泥事業，包含台泥水泥廠、製品廠及轄下發貨站、粉磨站、辦公室，以及子公司萬青水泥、鳳勝實業、Hong Kong Cement、礦業公司、環保科技公司100%營運據點,0.5520,公噸/百萬元營業額,ISO 14001,2026-05-15
1150513,113,1102,亞泥,0.0000,母公司,3461.0000,母公司,3461.0000,母公司,0.3150,公噸/百萬元營業額,"ISO 9001,ISO 14001",2026-05-15
1150513,113,1103,嘉泥,0.0000,已完成合併財務報表之母子公司。,414.4800,已完成合併財務報表之母子公司。,414.4800,已完成合併財務報表之母子公司。,0.1388,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1104,環泥,0.0000,母公司,6359.0000,母公司,N/A,母公司,1.0358,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1108,幸福,0.0000,本公司東澳廠、埔心廠及和仁廠,300.9300,本公司東澳廠、埔心廠及和仁廠,300.9300,本公司東澳廠、埔心廠及和仁廠,N/A,N/A,N/A,2026-05-15
1150513,113,1109,信大,0.0000,母公司,104.4050,母公司,104.4050,母公司,0.0002,公噸/產品,N/A,2026-05-15
1150513,113,1110,東泥,0.0000,母公司。,7.6100,母公司。,7.6100,母公司。,0.0000,公噸/千元營業額,N/A,2026-05-15
1150513,113,1201,味全,0.7000,母公司6大單位:總部 中研所 營業所 台中廠 斗六廠 高雄廠,12056.2000,母公司6大單位:總部 中研所 營業所 台中廠 斗六廠 高雄廠,12056.9000,母公司6大單位:總部 中研所 營業所 台中廠 斗六廠 高雄廠,0.0866,公噸/產品,N/A,2026-05-15
1150513,113,1203,味王,3.0000,母公司,938.7000,母公司,941.7000,母公司,0.4200,公噸/百萬元營業額,N/A,2026-05-15
1150513,113,1210,大成,0.0000,大成長城母公司與台灣子公司,116217.9905,大成長城母公司與台灣子公司,116217.9905,大成長城母公司與台灣子公司,0.0690,公噸/產品,N/A,2026-05-15
