出表日期,報告年度,公司代號,公司名稱,員工福利平均數(仟元/人),員工薪資平均數(仟元/人) ,非擔任主管職務之全時員工薪資平均數(仟元/人) ,非擔任主管職務之全時員工薪資平均數變動百分比,非擔任主管之全時員工薪資中位數(仟元/人) ,非擔任主管職務之全時員工薪資中位數變動百分比,管理職女性主管佔比,新進員工年齡分布,離職員工年齡分布,高齡員工晉用政策及培訓計畫,date
1150513,113,1101,台泥,1185,1045,1003,0.91%,877,0.69%,19.00%,,,,2026-05-15
1150513,113,1102,亞泥,1349,1248,1132,4.52%,988,4.99%,22.00%,,,,2026-05-15
1150513,113,1103,嘉泥,1509,1269,1099,26.47%,1023,27.88%,34.71%,,,,2026-05-15
1150513,113,1104,環泥,996,847,850,4.42%,792,6.31%,2.44%,,,,2026-05-15
1150513,113,1108,幸福,718,574,595,0.34%,523,1.36%,33.33%,,,,2026-05-15
1150513,113,1109,信大,823,676,681,-0.29%,651,0.15%,9.09%,,,,2026-05-15
1150513,113,1110,東泥,1081,880,768,0.66%,729,8.32%,4.00%,,,,2026-05-15
1150513,113,1201,味全,936,775,789,8.38%,729,8.32%,26.90%,,,,2026-05-15
1150513,113,1203,味王,689,598,620,3.33%,592,3.14%,27.30%,,,,2026-05-15
1150513,113,1210,大成,900,753,784,3.70%,666,5.05%,23.84%,,,,2026-05-15
1150513,113,1213,大飲,554,461,421,5.78%,398,3.92%,4.00%,,,,2026-05-15
1150513,113,1215,卜蜂,955,823,729,2.39%,507,-9.95%,33.76%,,,,2026-05-15
1150513,113,1216,統一,1365,1190,1220,3.21%,1041,3.48%,25.32%,,,,2026-05-15
1150513,113,1217,愛之味,795,662,699,2.49%,603,3.43%,33.72%,,,,2026-05-15
1150513,113,1218,泰山,878,726,641,7.73%,585,6.95%,33.00%,,,,2026-05-15
1150513,113,1219,福壽,784,643,665,0.00%,616,1.65%,7.50%,,,,2026-05-15
1150513,113,1220,台榮,919,782,682,9.82%,655,13.32%,7.17%,,,,2026-05-15
1150513,113,1225,福懋油,N/A,N/A,N/A,,N/A,,7.79%,,,,2026-05-15
1150513,113,1227,佳格,1182,983,897,8.20%,804,9.24%,42.22%,,,,2026-05-15
1150513,113,1229,聯華,3450,3142,802,4.02%,733,4.27%,16.67%,,,,2026-05-15
1150513,113,1231,聯華食,880,735,721,4.95%,630,5.88%,41.24%,,,,2026-05-15
1150513,113,1232,大統益,2041,1810,1630,3.43%,1422,2.16%,27.27%,,,,2026-05-15
1150513,113,1233,天仁,559,469,642,3.38%,553,4.34%,69.15%,,,,2026-05-15
1150513,113,1234,黑松,997,825,852,1.79%,759,0.40%,21.43%,,,,2026-05-15
1150513,113,1235,興泰,437,338,356,-17.97%,386,-15.90%,33.33%,,,,2026-05-15
1150513,113,1236,宏亞,653,529,532,0.95%,473,2.38%,50.92%,,,,2026-05-15
1150513,113,1256,鮮活果汁-KY,N/A,N/A,N/A,,N/A,,46.53%,,,,2026-05-15
1150513,113,1301,台塑,1342,1161,1382,1.32%,1262,1.94%,8.00%,,,,2026-05-15
1150513,113,1303,南亞,1221,1067,1229,3.45%,1139,3.08%,6.22%,,,,2026-05-15
1150513,113,1304,台聚,1239,1029,1038,-14.85%,958,-13.69%,0.90%,,,,2026-05-15
1150513,113,1305,華夏,1140,959,961,1.26%,907,0.11%,3.25%,,,,2026-05-15
1150513,113,1307,三芳,1314,1142,1014,19.58%,971,20.17%,8.00%,,,,2026-05-15
1150513,113,1308,亞聚,1317,1107,1094,-14.73%,1035,-13.68%,3.45%,,,,2026-05-15
1150513,113,1309,台達化,1241,1044,1031,0.00%,987,1.96%,20.34%,,,,2026-05-15
1150513,113,1310,台苯,1242,985,938,2.85%,849,6.26%,20.69%,,,,2026-05-15
1150513,113,1312,國喬,1188,1009,992,11.34%,887,11.15%,22.73%,,,,2026-05-15
