出表日期,報告年度,公司代號,公司名稱,董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,date
1150513,113,1101,台泥,15,5,5,33.33%,99.44%,100.00%,2026-05-15
1150513,113,1102,亞泥,15,5,2,13.33%,97.33%,100.00%,2026-05-15
1150513,113,1103,嘉泥,7,3,1,14.29%,95.92%,100.00%,2026-05-15
1150513,113,1104,環泥,7,4,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,1108,幸福,7,3,2,28.57%,100.00%,100.00%,2026-05-15
1150513,113,1109,信大,9,3,1,11.11%,95.56%,33.33%,2026-05-15
1150513,113,1110,東泥,11,3,3,27.00%,96.97%,100.00%,2026-05-15
1150513,113,1201,味全,9,3,0,0.00%,100.00%,95.00%,2026-05-15
1150513,113,1203,味王,14,3,0,0.00%,72.50%,100.00%,2026-05-15
1150513,113,1210,大成,11,3,0,0.00%,90.50%,100.00%,2026-05-15
1150513,113,1213,大飲,9,3,2,22.22%,88.88%,100.00%,2026-05-15
1150513,113,1215,卜蜂,8,3,0,0.00%,96.00%,100.00%,2026-05-15
1150513,113,1216,統一,14,4,2,14.28%,94.64%,100.00%,2026-05-15
1150513,113,1217,愛之味,9,3,0,0.00%,82.22%,100.00%,2026-05-15
1150513,113,1218,泰山,9,3,0,0.00%,99.00%,100.00%,2026-05-15
1150513,113,1219,福壽,9,3,2,22.22%,100.00%,100.00%,2026-05-15
1150513,113,1220,台榮,9,3,1,11.11%,97.00%,88.89%,2026-05-15
1150513,113,1225,福懋油,9,3,2,22.22%,89.03%,88.89%,2026-05-15
1150513,113,1227,佳格,8,4,1,12.50%,89.00%,100.00%,2026-05-15
1150513,113,1229,聯華,9,3,1,11.11%,93.00%,100.00%,2026-05-15
1150513,113,1231,聯華食,9,3,3,33.33%,98.15%,100.00%,2026-05-15
1150513,113,1232,大統益,11,3,2,18.18%,97.40%,100.00%,2026-05-15
1150513,113,1233,天仁,9,3,0,0.00%,100.00%,100.00%,2026-05-15
1150513,113,1234,黑松,13,3,1,7.69%,91.35%,100.00%,2026-05-15
1150513,113,1235,興泰,7,3,1,14.29%,94.64%,100.00%,2026-05-15
1150513,113,1236,宏亞,7,4,4,57.14%,100.00%,100.00%,2026-05-15
1150513,113,1256,鮮活果汁-KY,8,3,1,12.50%,98.00%,100.00%,2026-05-15
1150513,113,1301,台塑,12,4,2,16.67%,95.56%,100.00%,2026-05-15
1150513,113,1303,南亞,15,3,2,13.33%,94.44%,100.00%,2026-05-15
1150513,113,1304,台聚,9,4,0,0.00%,100.00%,100.00%,2026-05-15
1150513,113,1305,華夏,9,4,1,11.11%,95.24%,100.00%,2026-05-15
1150513,113,1307,三芳,7,3,1,14.29%,95.23%,100.00%,2026-05-15
1150513,113,1308,亞聚,9,4,1,11.11%,94.44%,100.00%,2026-05-15
1150513,113,1309,台達化,9,4,2,22.22%,94.12%,100.00%,2026-05-15
1150513,113,1310,台苯,11,4,2,18.18%,87.01%,100.00%,2026-05-15
1150513,113,1312,國喬,7,3,1,14.00%,98.40%,100.00%,2026-05-15
1150513,113,1313,聯成,9,3,1,11.11%,98.21%,100.00%,2026-05-15
1150513,113,1314,中石化,9,4,2,22.22%,94.44%,100.00%,2026-05-15
1150513,113,1315,達新,9,3,0,0.00%,91.11%,100.00%,2026-05-15
1150513,113,1316,上曜,7,4,3,42.86%,100.00%,100.00%,2026-05-15
1150513,113,1319,東陽,7,3,1,14.29%,92.86%,14.29%,2026-05-15
1150513,113,1321,大洋,10,4,2,20.00%,91.67%,100.00%,2026-05-15
1150513,113,1323,永裕,11,4,0,0.00%,98.48%,95.45%,2026-05-15
1150513,113,1324,地球,5,3,1,20.00%,100.00%,100.00%,2026-05-15
1150513,113,1325,恆大,7,4,3,42.86%,100.00%,28.57%,2026-05-15
1150513,113,1326,台化,12,4,1,8.33%,93.59%,91.67%,2026-05-15
1150513,113,1337,再生-KY,7,3,1,14.28%,100.00%,100.00%,2026-05-15
1150513,113,1338,廣華-KY,7,3,1,14.29%,98.41%,100.00%,2026-05-15
1150513,113,1339,昭輝,9,4,3,33.33%,93.33%,100.00%,2026-05-15
1150513,113,1340,勝悅-KY,7,3,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,1341,富林-KY,6,4,1,16.67%,100.00%,100.00%,2026-05-15
1150513,113,1342,八貫,8,4,3,37.50%,78.00%,100.00%,2026-05-15
1150513,113,1402,遠東新,15,5,2,13.00%,96.00%,100.00%,2026-05-15
1150513,113,1409,新纖,12,3,1,8.33%,85.19%,100.00%,2026-05-15
1150513,113,1410,南染,7,4,1,14.29%,96.43%,100.00%,2026-05-15
1150513,113,1413,宏洲,12,4,2,17.00%,87.50%,100.00%,2026-05-15
1150513,113,1414,東和,7,3,2,28.57%,100.00%,14.29%,2026-05-15
1150513,113,1416,廣豐,8,3,1,12.50%,95.31%,100.00%,2026-05-15
1150513,113,1417,嘉裕,7,3,2,28.57%,94.29%,100.00%,2026-05-15
1150513,113,1418,東華,8,3,0,0.00%,89.00%,37.50%,2026-05-15
1150513,113,1419,新紡,7,3,0,0.00%,97.62%,100.00%,2026-05-15
1150513,113,1423,利華,5,3,4,80.00%,100.00%,100.00%,2026-05-15
1150513,113,1432,大魯閣,9,4,2,22.22%,96.96%,100.00%,2026-05-15
1150513,113,1434,福懋,11,3,1,9.09%,100.00%,100.00%,2026-05-15
1150513,113,1435,中福,6,3,1,16.67%,93.59%,100.00%,2026-05-15
1150513,113,1436,華友聯,9,4,0,0.00%,87.04%,100.00%,2026-05-15
1150513,113,1437,勤益控,7,4,1,14.29%,100.00%,100.00%,2026-05-15
1150513,113,1438,三地開發,7,3,1,14.29%,96.83%,100.00%,2026-05-15
1150513,113,1439,雋揚,7,3,1,14.29%,96.43%,100.00%,2026-05-15
1150513,113,1440,南紡,20,4,5,25.00%,96.00%,100.00%,2026-05-15
1150513,113,1441,大東,8,4,1,12.50%,95.45%,100.00%,2026-05-15
1150513,113,1442,名軒,7,3,2,28.57%,100.00%,100.00%,2026-05-15
1150513,113,1443,立益物流,5,5,0,0.00%,93.33%,100.00%,2026-05-15
1150513,113,1444,力麗,9,3,1,11.11%,90.00%,100.00%,2026-05-15
1150513,113,1445,大宇,9,2,1,11.11%,97.47%,100.00%,2026-05-15
1150513,113,1446,宏和,9,3,1,11.11%,79.63%,55.56%,2026-05-15
1150513,113,1447,力鵬,9,3,2,22.22%,96.97%,100.00%,2026-05-15
1150513,113,1449,佳和,12,4,0,0.00%,100.00%,100.00%,2026-05-15
1150513,113,1451,年興,9,3,0,0.00%,93.94%,100.00%,2026-05-15
1150513,113,1452,宏益,8,3,1,12.50%,90.79%,100.00%,2026-05-15
1150513,113,1453,大將,7,3,1,14.29%,96.43%,28.57%,2026-05-15
1150513,113,1454,台富,9,4,2,22.22%,100.00%,100.00%,2026-05-15
1150513,113,1455,集盛,9,3,1,11.11%,93.75%,100.00%,2026-05-15
1150513,113,1456,怡華,12,4,3,25.00%,100.00%,100.00%,2026-05-15
1150513,113,1457,宜進,9,3,3,33.33%,83.30%,100.00%,2026-05-15
1150513,113,1459,聯發,9,3,1,11.11%,93.33%,100.00%,2026-05-15
1150513,113,1460,宏遠,11,3,1,9.09%,100.00%,100.00%,2026-05-15
1150513,113,1463,強盛新,11,3,2,18.18%,97.73%,36.00%,2026-05-15
1150513,113,1464,得力,7,4,2,28.57%,100.00%,100.00%,2026-05-15
1150513,113,1465,偉全,9,4,1,11.11%,100.00%,100.00%,2026-05-15
1150513,113,1466,聚隆,11,4,3,27.27%,93.93%,100.00%,2026-05-15
1150513,113,1467,南緯,11,4,1,9.09%,100.00%,81.82%,2026-05-15
1150513,113,1468,昶和,8,4,1,12.50%,95.00%,100.00%,2026-05-15
1150513,113,1470,大統新創,11,4,0,0.00%,92.73%,100.00%,2026-05-15
1150513,113,1471,首利,7,3,2,28.57%,100.00%,57.14%,2026-05-15
1150513,113,1472,三洋實業,6,3,1,16.70%,100.00%,100.00%,2026-05-15
1150513,113,1473,台南,11,3,5,45.45%,100.00%,100.00%,2026-05-15
1150513,113,1474,弘裕,11,3,1,9.09%,98.48%,78.57%,2026-05-15
1150513,113,1475,業旺,5,3,2,20.00%,100.00%,40.00%,2026-05-15
1150513,113,1476,儒鴻,13,5,3,23.08%,100.00%,100.00%,2026-05-15
1150513,113,1477,聚陽,15,4,5,33.33%,95.56%,100.00%,2026-05-15
1150513,113,1503,士電,15,3,0,0.00%,78.33%,100.00%,2026-05-15
1150513,113,1504,東元,11,4,3,27.27%,99.09%,100.00%,2026-05-15
1150513,113,1506,正道,9,3,1,11.11%,97.22%,100.00%,2026-05-15
