出表日期,報告年度,公司代號,公司名稱,公司年度召開法說會次數(次),date
1150513,113,1101,台泥,3,2026-05-15
1150513,113,1102,亞泥,3,2026-05-15
1150513,113,1103,嘉泥,4,2026-05-15
1150513,113,1104,環泥,2,2026-05-15
1150513,113,1108,幸福,1,2026-05-15
1150513,113,1109,信大,1,2026-05-15
1150513,113,1110,東泥,2,2026-05-15
1150513,113,1201,味全,1,2026-05-15
1150513,113,1203,味王,1,2026-05-15
1150513,113,1210,大成,4,2026-05-15
1150513,113,1213,大飲,1,2026-05-15
1150513,113,1215,卜蜂,2,2026-05-15
1150513,113,1216,統一,4,2026-05-15
1150513,113,1217,愛之味,2,2026-05-15
1150513,113,1218,泰山,2,2026-05-15
1150513,113,1219,福壽,1,2026-05-15
1150513,113,1220,台榮,2,2026-05-15
1150513,113,1225,福懋油,1,2026-05-15
1150513,113,1227,佳格,1,2026-05-15
1150513,113,1229,聯華,2,2026-05-15
1150513,113,1231,聯華食,1,2026-05-15
1150513,113,1232,大統益,1,2026-05-15
1150513,113,1233,天仁,1,2026-05-15
1150513,113,1234,黑松,2,2026-05-15
1150513,113,1235,興泰,1,2026-05-15
1150513,113,1236,宏亞,1,2026-05-15
1150513,113,1256,鮮活果汁-KY,2,2026-05-15
1150513,113,1301,台塑,4,2026-05-15
1150513,113,1303,南亞,4,2026-05-15
1150513,113,1304,台聚,4,2026-05-15
1150513,113,1305,華夏,4,2026-05-15
1150513,113,1307,三芳,1,2026-05-15
1150513,113,1308,亞聚,2,2026-05-15
1150513,113,1309,台達化,2,2026-05-15
1150513,113,1310,台苯,1,2026-05-15
1150513,113,1312,國喬,2,2026-05-15
1150513,113,1313,聯成,2,2026-05-15
1150513,113,1314,中石化,2,2026-05-15
1150513,113,1315,達新,1,2026-05-15
1150513,113,1316,上曜,2,2026-05-15
1150513,113,1319,東陽,7,2026-05-15
1150513,113,1321,大洋,1,2026-05-15
1150513,113,1323,永裕,1,2026-05-15
1150513,113,1324,地球,2,2026-05-15
1150513,113,1325,恆大,1,2026-05-15
1150513,113,1326,台化,2,2026-05-15
1150513,113,1337,再生-KY,1,2026-05-15
1150513,113,1338,廣華-KY,2,2026-05-15
1150513,113,1339,昭輝,2,2026-05-15
1150513,113,1340,勝悅-KY,1,2026-05-15
1150513,113,1341,富林-KY,1,2026-05-15
1150513,113,1342,八貫,1,2026-05-15
1150513,113,1402,遠東新,6,2026-05-15
1150513,113,1409,新纖,2,2026-05-15
1150513,113,1410,南染,1,2026-05-15
