出表日期,報告年度,公司代號,公司名稱,薪酬委員會席次,薪酬委員會獨立董事席次,薪酬委員會出席率,審計委員會席次,審計委員會出席率,date
1150513,113,1101,台泥,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1102,亞泥,3,2,100.00%,5,96.00%,2026-05-15
1150513,113,1103,嘉泥,3,2,88.89%,3,100.00%,2026-05-15
1150513,113,1104,環泥,4,3,100.00%,4,100.00%,2026-05-15
1150513,113,1108,幸福,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1109,信大,3,2,100.00%,3,83.33%,2026-05-15
1150513,113,1110,東泥,3,3,83.33%,3,94.44%,2026-05-15
1150513,113,1201,味全,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1203,味王,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1210,大成,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1213,大飲,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1215,卜蜂,3,3,100.00%,3,95.00%,2026-05-15
1150513,113,1216,統一,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1217,愛之味,3,3,88.89%,3,86.67%,2026-05-15
1150513,113,1218,泰山,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1219,福壽,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1220,台榮,2,1,100.00%,3,100.00%,2026-05-15
1150513,113,1225,福懋油,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1227,佳格,3,3,100.00%,4,96.00%,2026-05-15
1150513,113,1229,聯華,3,3,100.00%,3,91.75%,2026-05-15
1150513,113,1231,聯華食,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1232,大統益,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1233,天仁,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1234,黑松,3,3,89.00%,3,95.00%,2026-05-15
1150513,113,1235,興泰,3,3,83.33%,3,94.44%,2026-05-15
1150513,113,1236,宏亞,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1256,鮮活果汁-KY,3,3,100.00%,3,95.00%,2026-05-15
1150513,113,1301,台塑,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1303,南亞,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1304,台聚,4,4,92.00%,4,100.00%,2026-05-15
1150513,113,1305,華夏,3,3,88.89%,4,92.86%,2026-05-15
1150513,113,1307,三芳,3,2,100.00%,3,93.33%,2026-05-15
1150513,113,1308,亞聚,3,3,89.00%,4,94.00%,2026-05-15
1150513,113,1309,台達化,3,3,89.00%,4,100.00%,2026-05-15
1150513,113,1310,台苯,4,4,91.67%,4,100.00%,2026-05-15
1150513,113,1312,國喬,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1313,聯成,3,3,88.89%,3,100.00%,2026-05-15
1150513,113,1314,中石化,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1315,達新,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1316,上曜,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,1319,東陽,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1321,大洋,4,4,91.67%,4,87.50%,2026-05-15
1150513,113,1323,永裕,3,2,100.00%,4,100.00%,2026-05-15
1150513,113,1324,地球,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1325,恆大,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,1326,台化,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1337,再生-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1338,廣華-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1339,昭輝,4,4,100.00%,4,95.00%,2026-05-15
1150513,113,1340,勝悅-KY,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1341,富林-KY,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1342,八貫,4,4,86.00%,4,83.00%,2026-05-15
1150513,113,1402,遠東新,3,2,100.00%,5,100.00%,2026-05-15
1150513,113,1409,新纖,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1410,南染,3,3,100.00%,4,87.50%,2026-05-15
1150513,113,1413,宏洲,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,1414,東和,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1416,廣豐,3,3,100.00%,3,93.33%,2026-05-15
1150513,113,1417,嘉裕,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1418,東華,3,3,83.00%,3,86.00%,2026-05-15
1150513,113,1419,新紡,3,2,100.00%,3,100.00%,2026-05-15
1150513,113,1423,利華,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1432,大魯閣,3,3,100.00%,4,95.45%,2026-05-15
1150513,113,1434,福懋,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1435,中福,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1436,華友聯,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,1437,勤益控,4,3,100.00%,4,100.00%,2026-05-15
1150513,113,1438,三地開發,3,3,100.00%,3,95.83%,2026-05-15
1150513,113,1439,雋揚,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1440,南紡,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1441,大東,3,3,91.67%,4,95.00%,2026-05-15
1150513,113,1442,名軒,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1443,立益物流,3,2,100.00%,5,100.00%,2026-05-15
1150513,113,1444,力麗,3,3,100.00%,3,95.24%,2026-05-15
1150513,113,1445,大宇,3,2,83.33%,2,92.67%,2026-05-15
1150513,113,1446,宏和,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1447,力鵬,3,3,91.67%,3,96.30%,2026-05-15
1150513,113,1449,佳和,3,3,100.00%,4,100.00%,2026-05-15
1150513,113,1451,年興,3,2,100.00%,3,88.89%,2026-05-15
1150513,113,1452,宏益,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1453,大將,3,3,100.00%,3,94.44%,2026-05-15
1150513,113,1454,台富,4,4,100.00%,4,100.00%,2026-05-15
1150513,113,1455,集盛,3,3,100.00%,3,100.00%,2026-05-15
1150513,113,1456,怡華,3,3,100.00%,4,100.00%,2026-05-15
