出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註,date
1150514,11504,1101,台泥,水泥工業,12213195,12412837,12681318,-1.6083510965301486,-3.6914380666110573,45472613,47653544,-4.576639672381974,-,2026-05-15
1150514,11504,1102,亞泥,水泥工業,5694459,5349407,6276269,6.450285050286882,-9.269997828327625,20523945,22870976,-10.26205003232044,-,2026-05-15
1150514,11504,1103,嘉泥,水泥工業,207622,242715,271595,-14.458521311002617,-23.55455733721166,895991,1024049,-12.50506567556826,-,2026-05-15
1150514,11504,1104,環泥,水泥工業,635959,580759,698668,9.504803197195395,-8.975507680328855,2395006,2627322,-8.842311677061282,-,2026-05-15
1150514,11504,1108,幸福,水泥工業,322871,346885,410688,-6.92275538002508,-21.38289894031479,1303577,1623398,-19.700714180995664,-,2026-05-15
1150514,11504,1109,信大,水泥工業,340192,314014,434011,8.336570980911679,-21.616733216439215,1195533,1423922,-16.039431935176225,-,2026-05-15
1150514,11504,1110,東泥,水泥工業,237552,224535,264572,5.79731444986305,-10.212720922848979,820195,1005096,-18.396352189243615,-,2026-05-15
1150514,11504,1201,味全,食品工業,1793562,1684666,1856995,6.46395190500669,-3.415895034720072,6794629,7072364,-3.927046175790726,-,2026-05-15
1150514,11504,1203,味王,食品工業,437702,464822,498590,-5.834491482761143,-12.21203794701057,1750554,2031002,-13.808356663361238,-,2026-05-15
1150514,11504,1210,大成,食品工業,9098458,9209941,8722030,-1.2104637803868668,4.315830145046509,35663435,34264323,4.083290949597925,-,2026-05-15
1150514,11504,1213,大飲,食品工業,25400,23319,25157,8.924053347056049,0.9659339348888977,102483,91298,12.251089837674428,-,2026-05-15
1150514,11504,1215,卜蜂,食品工業,2316768,2511460,2386361,-7.752144171119588,-2.916281317034598,9493087,9083443,4.509787753388225,-,2026-05-15
1150514,11504,1216,統一,食品工業,57480106,57379159,56208747,0.17592973086273364,2.261852590309476,232496543,225474749,3.1142263296188433,-,2026-05-15
1150514,11504,1217,愛之味,食品工業,396666,384534,376794,3.1549875953751814,5.273969330721827,1562880,1562463,0.026688631986805447,-,2026-05-15
1150514,11504,1218,泰山,食品工業,844393,872329,793857,-3.2024614566293224,6.365882016534464,3497515,3293183,6.204696186030354,-,2026-05-15
1150514,11504,1219,福壽,食品工業,1221789,1303877,1207240,-6.295685866074791,1.205145621417448,4857167,4842721,0.2983033711832666,-,2026-05-15
1150514,11504,1220,台榮,食品工業,300795,260429,266521,15.499809929001762,12.859774651903603,1000312,1024770,-2.386681889594738,-,2026-05-15
1150514,11504,1225,福懋油,食品工業,1110177,1078686,1018583,2.919385252056669,8.992296160450351,4391360,4239335,3.58605771895828,-,2026-05-15
1150514,11504,1227,佳格,食品工業,1931499,2101944,2029826,-8.108922026466928,-4.844109790691419,9702002,8910137,8.887237087375873,-,2026-05-15
1150514,11504,1229,聯華,食品工業,604369,932321,1106918,-35.175867539184466,-45.40074332516049,3220582,3528873,-8.736245254504766,-,2026-05-15
1150514,11504,1231,聯華食,食品工業,1007987,973737,998002,3.51737686870274,1.000498996995998,4356525,4123897,5.640975029201748,-,2026-05-15
1150514,11504,1232,大統益,食品工業,1890202,2019725,1833047,-6.4129027466610555,3.1180324345202277,7784261,7230217,7.662895871590023,-,2026-05-15
1150514,11504,1233,天仁,食品工業,173250,175658,168871,-1.3708456204670438,2.593103611632548,747054,720009,3.7562030474619066,-,2026-05-15
1150514,11504,1234,黑松,食品工業,685646,728461,799538,-5.877459465915128,-14.244726329455261,3013978,3029309,-0.5060890123787306,-,2026-05-15
1150514,11504,1235,興泰,食品工業,14862,27060,14427,-45.07760532150776,3.0151798710750675,81632,42847,90.51975634233435,"泰宇網通累計1-4月營收較去年同期增加39,332仟元",2026-05-15
1150514,11504,1236,宏亞,食品工業,122248,103266,125303,18.381655143028684,-2.438090069671117,667735,641276,4.125992552348754,-,2026-05-15
1150514,11504,1256,鮮活果汁-KY,食品工業,455560,356169,291642,27.90557291622797,56.2052104978021,1596518,1027140,55.43333917479604,直飲產品銷量增加，致本月營收較去年同期成長。,2026-05-15
1150514,11504,1301,台塑,塑膠工業,18326272,17354391,16172957,5.600202277337188,13.314293731195848,60311394,63375161,-4.834334069778537,-,2026-05-15
1150514,11504,1303,南亞,塑膠工業,27681309,27167406,23176793,1.8916160048552297,19.435458564090382,96277702,88728424,8.508297183324252,-,2026-05-15
1150514,11504,1304,台聚,塑膠工業,4412977,4320562,3891027,2.1389578485391483,13.414196303443795,15160585,16038323,-5.472754227483759,-,2026-05-15
1150514,11504,1305,華夏,塑膠工業,1192324,1082256,831785,10.170236986443134,43.345215410232214,3866036,3293896,17.369704447256378,-,2026-05-15
1150514,11504,1307,三芳,塑膠工業,981256,1011105,904039,-2.952116743562736,8.541335053023156,3934066,3835053,2.5817896128163027,-,2026-05-15
1150514,11504,1308,亞聚,塑膠工業,512062,476656,440496,7.4279983887751335,16.246685554465873,1813928,1974892,-8.150521648778769,-,2026-05-15
1150514,11504,1309,台達化,塑膠工業,1262513,1376599,1375904,-8.287525997040532,-8.241199967439588,4598419,5608745,-18.013405851041544,-,2026-05-15
1150514,11504,1310,台苯,塑膠工業,891393,854539,846621,4.3127347025706255,5.288316732044208,3076040,3140333,-2.0473306493292274,-,2026-05-15
1150514,11504,1312,國喬,塑膠工業,2489487,3110910,2633140,-19.975601994271774,-5.455577751277942,9994986,8330586,19.97938680424162,-,2026-05-15
1150514,11504,1313,聯成,塑膠工業,5878672,6489125,5570919,-9.40732379172847,5.524277053750018,20352465,20073030,1.3920917768767347,-,2026-05-15
1150514,11504,1314,中石化,塑膠工業,1556459,1404411,1736545,10.826460345297779,-10.370361839169155,5648803,8239814,-31.445018055019204,-,2026-05-15
1150514,11504,1315,達新,塑膠工業,131514,127113,153227,3.462273724953388,-14.170479093110222,529191,694410,-23.79271611871949,-,2026-05-15
1150514,11504,1316,上曜,建材營造,683935,655761,317381,4.29638237101627,115.49336601749947,2571264,1092792,135.29308413677992,主因子公司營收上升，致本月及本年度營收較去年同期增加。,2026-05-15
1150514,11504,1319,東陽,汽車工業,2009033,2045347,2339128,-1.7754444600353876,-14.111882718688332,7639777,9629808,-20.66532375308002,-,2026-05-15
1150514,11504,1321,大洋,塑膠工業,352112,372645,317330,-5.510069905674301,10.960829420477106,1248766,1317241,-5.198365371257044,-,2026-05-15
1150514,11504,1323,永裕,塑膠工業,186584,203039,177544,-8.104354335866509,5.091695579687289,718177,704597,1.9273428640769121,-,2026-05-15
1150514,11504,1324,地球,塑膠工業,51218,72918,67590,-29.759455827093447,-24.222518123982837,221011,252354,-12.420250917362118,-,2026-05-15
1150514,11504,1325,恆大,塑膠工業,24465,18082,28246,35.30029863953103,-13.385966154499751,81704,110482,-26.0476819753444,-,2026-05-15
1150514,11504,1326,台化,塑膠工業,32101065,33728547,25033602,-4.825236023360271,28.231906059703274,113850876,103942991,9.532037614734408,-,2026-05-15
1150514,11504,1337,再生-KY,塑膠工業,42068,61900,61260,-32.03877221324717,-31.328762650995756,194412,243791,-20.254644347002145,-,2026-05-15
1150514,11504,1338,廣華-KY,汽車工業,458159,454244,408670,0.8618715932406372,12.109770719651552,1622827,1704158,-4.772503488526299,-,2026-05-15
1150514,11504,1339,昭輝,汽車工業,141125,139986,156836,0.8136527938508137,-10.017470478716621,535361,651656,-17.84607216077194,-,2026-05-15
1150514,11504,1340,勝悅-KY,塑膠工業,5277,3438,28106,53.49040139616056,-81.22464954102327,16712,89159,-81.2559584562411,由於受市場低迷影響，EVO膠粒銷售持續虧損，故公司調整營運，並暫停該車間生產營運，致營收下滑。,2026-05-15
1150514,11504,1341,富林-KY,塑膠工業,265857,308343,225185,-13.778811258890261,18.061593800652798,946768,915235,3.4453446382623043,-,2026-05-15
1150514,11504,1342,八貫,其他,349263,370828,241671,-5.815364535579837,44.520029296026415,1266547,1020561,24.10301784998643,-,2026-05-15
1150514,11504,1402,遠東新,紡織纖維,22888480,21386882,20017785,7.0211169631926715,14.340722512505755,84165299,83821334,0.41035495808262845,-,2026-05-15
