出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,date
1150515,115,1,2801,彰銀,7418906.00,4986671.00,699747.00,5492374.00,6213456.00,992320.00,5221136.00,,,5221136.00,428534.00,,5649670.00,5221136.00,,,5649670.00,,,0.44,2026-05-15
1150515,115,1,2812,台中銀,3375225.00,2123629.00,297426.00,2303656.00,2897772.00,471473.00,2426299.00,,,2426299.00,-590531.00,,1835768.00,2426299.00,,,1835768.00,,,0.40,2026-05-15
1150515,115,1,2820,華票,325602.00,768379.00,109702.00,183422.00,800857.00,160963.00,639894.00,,,639894.00,-595248.00,,44646.00,,,,,,,0.48,2026-05-15
1150515,115,1,2834,臺企銀,5508330.00,3328230.00,241993.00,4269907.00,4324660.00,886677.00,3437983.00,,,3437983.00,-1241064.00,,2196919.00,3437983.00,0.00,0.00,2196919.00,0.00,0.00,0.35,2026-05-15
1150515,115,1,2836,高雄銀,900701.00,345334.00,84074.00,694879.00,467082.00,96508.00,370574.00,,,370574.00,-51529.00,,319045.00,,,,,,,0.20,2026-05-15
1150515,115,1,2897,王道銀行,838622.00,2331593.00,259589.00,1369910.00,1540716.00,308566.00,1232150.00,,,1232150.00,-749807.00,,482343.00,766449.00,,465701.00,431574.00,,50769.00,0.28,2026-05-15
1150515,115,1,5876,上海商銀,9109948.00,4597150.00,721094.00,5185822.00,7800182.00,1276742.00,6523440.00,,,6523440.00,-887848.00,,5635592.00,5109024.00,,1414416.00,3472446.00,,2163146.00,1.05,2026-05-15
1150515,115,1,2801,彰銀,7418906.00,4986671.00,699747.00,5492374.00,6213456.00,992320.00,5221136.00,,,5221136.00,428534.00,,5649670.00,5221136.00,,,5649670.00,,,0.44,2026-05-15
1150515,115,1,2812,台中銀,3375225.00,2123629.00,297426.00,2303656.00,2897772.00,471473.00,2426299.00,,,2426299.00,-590531.00,,1835768.00,2426299.00,,,1835768.00,,,0.40,2026-05-15
1150515,115,1,2820,華票,325602.00,768379.00,109702.00,183422.00,800857.00,160963.00,639894.00,,,639894.00,-595248.00,,44646.00,,,,,,,0.48,2026-05-15
1150515,115,1,2834,臺企銀,5508330.00,3328230.00,241993.00,4269907.00,4324660.00,886677.00,3437983.00,,,3437983.00,-1241064.00,,2196919.00,3437983.00,0.00,0.00,2196919.00,0.00,0.00,0.35,2026-05-15
1150515,115,1,2836,高雄銀,900701.00,345334.00,84074.00,694879.00,467082.00,96508.00,370574.00,,,370574.00,-51529.00,,319045.00,,,,,,,0.20,2026-05-15
1150515,115,1,2897,王道銀行,838622.00,2331593.00,259589.00,1369910.00,1540716.00,308566.00,1232150.00,,,1232150.00,-749807.00,,482343.00,766449.00,,465701.00,431574.00,,50769.00,0.28,2026-05-15
1150515,115,1,5876,上海商銀,9109948.00,4597150.00,721094.00,5185822.00,7800182.00,1276742.00,6523440.00,,,6523440.00,-887848.00,,5635592.00,5109024.00,,1414416.00,3472446.00,,2163146.00,1.05,2026-05-15
1150517,115,1,2801,彰銀,7418906.00,4986671.00,699747.00,5492374.00,6213456.00,992320.00,5221136.00,,,5221136.00,428534.00,,5649670.00,5221136.00,,,5649670.00,,,0.44,2026-05-17
1150517,115,1,2812,台中銀,3375225.00,2123629.00,297426.00,2303656.00,2897772.00,471473.00,2426299.00,,,2426299.00,-590531.00,,1835768.00,2426299.00,,,1835768.00,,,0.40,2026-05-17
1150517,115,1,2820,華票,325602.00,768379.00,109702.00,183422.00,800857.00,160963.00,639894.00,,,639894.00,-595248.00,,44646.00,,,,,,,0.48,2026-05-17
1150517,115,1,2834,臺企銀,5508330.00,3328230.00,241993.00,4269907.00,4324660.00,886677.00,3437983.00,,,3437983.00,-1241064.00,,2196919.00,3437983.00,0.00,0.00,2196919.00,0.00,0.00,0.35,2026-05-17
1150517,115,1,2836,高雄銀,900701.00,345334.00,84074.00,694879.00,467082.00,96508.00,370574.00,,,370574.00,-51529.00,,319045.00,,,,,,,0.20,2026-05-17
1150517,115,1,2838,聯邦銀,2567362.00,2757774.00,350909.00,3188391.00,1785836.00,280906.00,1504930.00,,,1504930.00,-2725483.00,,-1220553.00,1507841.00,,-2911.00,-1217644.00,,-2909.00,0.35,2026-05-17
1150517,115,1,2845,遠東銀,1824214.00,1704598.00,135318.00,2028318.00,1365176.00,143704.00,1221472.00,,,1221472.00,131726.00,,1353198.00,1221472.00,,,1353198.00,,,0.25,2026-05-17
1150517,115,1,2849,安泰銀,873718.00,719602.00,85646.00,959183.00,548491.00,36199.00,512292.00,0.00,,512292.00,-149971.00,,362321.00,,,,,,,0.26,2026-05-17
1150517,115,1,2897,王道銀行,838622.00,2331593.00,259589.00,1369910.00,1540716.00,308566.00,1232150.00,,,1232150.00,-749807.00,,482343.00,766449.00,,465701.00,431574.00,,50769.00,0.28,2026-05-17
1150517,115,1,5876,上海商銀,9109948.00,4597150.00,721094.00,5185822.00,7800182.00,1276742.00,6523440.00,,,6523440.00,-887848.00,,5635592.00,5109024.00,,1414416.00,3472446.00,,2163146.00,1.05,2026-05-17
1150517,115,1,2801,彰銀,7418906.00,4986671.00,699747.00,5492374.00,6213456.00,992320.00,5221136.00,,,5221136.00,428534.00,,5649670.00,5221136.00,,,5649670.00,,,0.44,2026-05-17
1150517,115,1,2812,台中銀,3375225.00,2123629.00,297426.00,2303656.00,2897772.00,471473.00,2426299.00,,,2426299.00,-590531.00,,1835768.00,2426299.00,,,1835768.00,,,0.40,2026-05-17
1150517,115,1,2820,華票,325602.00,768379.00,109702.00,183422.00,800857.00,160963.00,639894.00,,,639894.00,-595248.00,,44646.00,,,,,,,0.48,2026-05-17
