出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,date
1150515,115,1,1101,台泥,33168148.00,26959758.00,,,6208390.00,,,6208390.00,3416199.00,,2792191.00,-659456.00,2132735.00,927996.00,1204739.00,,,1204739.00,11050466.00,,12255205.00,718189.00,,486550.00,9579999.00,,2675206.00,0.10,2026-05-15
1150515,115,1,1102,亞泥,14829491.00,12901356.00,,,1928135.00,,,1928135.00,743962.00,,1184173.00,957154.00,2141327.00,350025.00,1791302.00,,,1791302.00,3885773.00,,5677075.00,1887022.00,,-95720.00,5016509.00,,660566.00,0.56,2026-05-15
1150515,115,1,1103,嘉泥,688370.00,542788.00,,,145582.00,,,145582.00,129790.00,,15792.00,52601.00,68393.00,17068.00,51325.00,,,51325.00,-35675.00,,15650.00,51804.00,,-479.00,17445.00,,-1795.00,0.08,2026-05-15
1150515,115,1,1108,幸福,980706.00,822468.00,,,158238.00,,,158238.00,69301.00,-27.00,88910.00,-2779.00,86131.00,17242.00,68889.00,,,68889.00,1763.00,,70652.00,68889.00,,,70652.00,,,0.17,2026-05-15
1150515,115,1,1109,信大,855342.00,802033.00,,,53309.00,,,53309.00,69255.00,,-15946.00,3794.00,-12152.00,3605.00,-15757.00,,,-15757.00,140596.00,,124839.00,4151.00,,-19908.00,97866.00,,26973.00,0.01,2026-05-15
1150515,115,1,1201,味全,5001067.00,3630283.00,,,1370784.00,,,1370784.00,1331240.00,,39544.00,76137.00,115681.00,13929.00,101752.00,,,101752.00,117575.00,,219327.00,101516.00,,236.00,219091.00,,236.00,0.20,2026-05-15
1150515,115,1,1203,味王,1323768.00,867496.00,,,456272.00,0.00,0.00,456272.00,247779.00,,208493.00,40849.00,249342.00,68578.00,180764.00,,,180764.00,-12697.00,,168067.00,116595.00,,64169.00,130731.00,,37336.00,0.49,2026-05-15
1150515,115,1,1213,大飲,77083.00,78626.00,,,-1543.00,,,-1543.00,11003.00,,-12546.00,-7779.00,-20325.00,781.00,-21106.00,,,-21106.00,504.00,,-20602.00,-21106.00,,,-20602.00,,,-0.37,2026-05-15
1150515,115,1,1215,卜蜂,7176319.00,5902856.00,,,1273463.00,,,1273463.00,637013.00,-62887.00,573563.00,-62820.00,510743.00,137571.00,373172.00,,,373172.00,-159525.00,,213647.00,372755.00,,417.00,213230.00,,417.00,1.26,2026-05-15
1150515,115,1,1216,統一,175017371.00,115892133.00,,,59125238.00,,,59125238.00,48872186.00,,10253052.00,3033138.00,13286190.00,3522350.00,9763840.00,,,9763840.00,2995939.00,,12759779.00,6544541.00,,3219299.00,8932866.00,,3826913.00,1.15,2026-05-15
1150515,115,1,1217,愛之味,1166163.00,858865.00,,,307298.00,,,307298.00,285942.00,,21356.00,-78544.00,-57188.00,6806.00,-63994.00,,,-63994.00,-205558.00,,-269552.00,-62857.00,,-1137.00,-264316.00,,-5236.00,-0.13,2026-05-15
1150515,115,1,1219,福壽,3634112.00,3336631.00,,-13734.00,283747.00,1280.00,361.00,282828.00,279965.00,,2863.00,6579.00,9442.00,13217.00,-3775.00,,,-3775.00,4091.00,,316.00,36939.00,,-40714.00,40349.00,,-40033.00,0.11,2026-05-15
1150515,115,1,1220,台榮,695415.00,641251.00,,,54164.00,,,54164.00,80905.00,,-26741.00,-4158.00,-30899.00,-6012.00,-24887.00,,,-24887.00,-608.00,,-25495.00,-29267.00,,4380.00,-29484.00,,3989.00,-0.17,2026-05-15
1150515,115,1,1231,聯華食,3348538.00,2623181.00,,,725357.00,,,725357.00,406776.00,,318581.00,36070.00,354651.00,57607.00,297044.00,,,297044.00,7203.00,,304247.00,297767.00,,-723.00,304450.00,,-203.00,1.00,2026-05-15
1150515,115,1,1232,大統益,5894059.00,5087164.00,,,806895.00,,,806895.00,326864.00,,480031.00,7235.00,487266.00,97456.00,389810.00,,,389810.00,-965.00,,388845.00,372297.00,,17513.00,371332.00,,17513.00,2.33,2026-05-15
1150515,115,1,1233,天仁,568211.00,221165.00,,,347046.00,,,347046.00,310703.00,,36343.00,1994.00,38337.00,7932.00,30405.00,,,30405.00,29147.00,,59552.00,30405.00,,0.00,59482.00,,70.00,0.34,2026-05-15
1150515,115,1,1234,黑松,2328332.00,1770805.00,,,557527.00,,,557527.00,510814.00,,46713.00,114516.00,161229.00,45434.00,115795.00,,,115795.00,6520.00,,122315.00,115795.00,,,122315.00,,,0.29,2026-05-15
1150515,115,1,1236,宏亞,545487.00,392256.00,,,153231.00,,,153231.00,128078.00,,25153.00,2025.00,27178.00,7201.00,19977.00,,,19977.00,54698.00,,74675.00,19977.00,,,74675.00,,,0.23,2026-05-15
1150515,115,1,1256,鮮活果汁-KY,1141779.00,794831.00,,,346948.00,,,346948.00,195663.00,,151285.00,22921.00,174206.00,58207.00,115999.00,,,115999.00,111343.00,,227342.00,115743.00,,256.00,226875.00,,467.00,3.24,2026-05-15
1150515,115,1,1301,台塑,41985122.00,40429654.00,,,1555468.00,,,1555468.00,2857312.00,,-1301844.00,4680560.00,3378716.00,110089.00,3268627.00,,,3268627.00,26908885.00,,30177512.00,3268627.00,,,30177512.00,,,0.51,2026-05-15
1150515,115,1,1303,南亞,68596393.00,60407722.00,,,8188671.00,2074.00,,8186597.00,4444764.00,,3741833.00,12338333.00,16080166.00,1405348.00,14674818.00,,,14674818.00,17590918.00,,32265736.00,14254717.00,,420101.00,31660169.00,,605567.00,1.80,2026-05-15
1150515,115,1,1304,台聚,10746648.00,10439615.00,,,307033.00,,,307033.00,936057.00,,-629024.00,-459322.00,-1088346.00,-116686.00,-971660.00,,,-971660.00,557649.00,,-414011.00,-439887.00,,-531773.00,47403.00,,-461414.00,-0.41,2026-05-15
1150515,115,1,1305,華夏,2673905.00,2621262.00,,,52643.00,,,52643.00,228193.00,,-175550.00,7988.00,-167562.00,-32403.00,-135159.00,,,-135159.00,34146.00,,-101013.00,-120414.00,,-14745.00,-86356.00,,-14657.00,-0.21,2026-05-15
1150515,115,1,1307,三芳,2952809.00,1990414.00,,,962395.00,,,962395.00,551831.00,,410564.00,87866.00,498430.00,112390.00,386040.00,,,386040.00,182940.00,,568980.00,386040.00,,,568980.00,,,0.97,2026-05-15
1150515,115,1,1308,亞聚,1301918.00,1228207.00,,,73711.00,,,73711.00,60185.00,,13526.00,-129302.00,-115776.00,4459.00,-120235.00,,,-120235.00,916230.00,,795995.00,-120235.00,,,795995.00,,,-0.20,2026-05-15
1150515,115,1,1309,台達化,3333032.00,3391574.00,,,-58542.00,,,-58542.00,216664.00,,-275206.00,12866.00,-262340.00,-50144.00,-212196.00,,,-212196.00,221244.00,,9048.00,-212196.00,,,9048.00,,,-0.53,2026-05-15
1150515,115,1,1310,台苯,2184647.00,1989335.00,,,195312.00,,,195312.00,39774.00,,155538.00,-620634.00,-465096.00,30541.00,-495637.00,,,-495637.00,436782.00,,-58855.00,-495969.00,,332.00,-59189.00,,334.00,-0.94,2026-05-15
1150515,115,1,1313,聯成,14431164.00,13535009.00,,,896155.00,,,896155.00,700957.00,,195198.00,-22507.00,172691.00,70351.00,102340.00,,,102340.00,-866337.00,,-763997.00,102340.00,,,-763997.00,,,0.08,2026-05-15
1150515,115,1,1315,達新,400564.00,356517.00,,,44047.00,,,44047.00,84655.00,,-40608.00,63278.00,22670.00,8119.00,14551.00,,,14551.00,394570.00,,409121.00,13937.00,,614.00,407584.00,,1537.00,0.15,2026-05-15
1150515,115,1,1316,上曜,1897267.00,1287224.00,,,610043.00,,,610043.00,554327.00,,55716.00,23767.00,79483.00,38515.00,40968.00,,,40968.00,17367.00,,58335.00,-63701.00,,104669.00,-62204.00,,120539.00,-0.19,2026-05-15
1150515,115,1,1319,東陽,5630744.00,3800450.00,,,1830294.00,,,1830294.00,942803.00,,887491.00,300926.00,1188417.00,246396.00,942021.00,,,942021.00,146346.00,,1088367.00,956054.00,,-14033.00,1089772.00,,-1405.00,1.62,2026-05-15
1150515,115,1,1321,大洋,880894.00,775417.00,,,105477.00,,,105477.00,84594.00,,20883.00,72276.00,93159.00,58043.00,35116.00,,,35116.00,66801.00,,101917.00,35116.00,,,101917.00,,,0.16,2026-05-15
1150515,115,1,1323,永裕,530894.00,431978.00,,,98916.00,,,98916.00,75271.00,,23645.00,14511.00,38156.00,5647.00,32509.00,,,32509.00,62952.00,,95461.00,32509.00,,,95461.00,,,0.36,2026-05-15
1150515,115,1,1324,地球,169793.00,142376.00,,,27417.00,,,27417.00,32678.00,,-5261.00,1604.00,-3657.00,846.00,-4503.00,,,-4503.00,4021.00,,-482.00,-4503.00,,,-482.00,,,-0.06,2026-05-15
1150515,115,1,1325,恆大,57239.00,68693.00,,,-11454.00,,,-11454.00,10339.00,,-21793.00,13325.00,-8468.00,-850.00,-7618.00,,,-7618.00,10308.00,,2690.00,-6822.00,,-796.00,903.00,,1787.00,-0.08,2026-05-15
1150515,115,1,1326,台化,81749811.00,75422038.00,,,6327773.00,,,6327773.00,3207342.00,,3120431.00,4174071.00,7294502.00,759958.00,6534544.00,,,6534544.00,27374243.00,,33908787.00,6245039.00,,289505.00,31288970.00,,2619817.00,1.07,2026-05-15
1150515,115,1,1337,再生-KY,152344.00,165554.00,,,-13210.00,,,-13210.00,85068.00,,-98278.00,-16677.00,-114955.00,,-114955.00,,,-114955.00,106974.00,,-7981.00,-114955.00,,,-7981.00,,,-0.43,2026-05-15
1150515,115,1,1338,廣華-KY,1155491.00,865674.00,,,289817.00,,,289817.00,343976.00,,-54159.00,-23618.00,-77777.00,7770.00,-85547.00,,,-85547.00,146357.00,,60810.00,-93232.00,,7685.00,50653.00,,10157.00,-1.15,2026-05-15
1150515,115,1,1339,昭輝,394676.00,297520.00,,,97156.00,,,97156.00,98195.00,,-1039.00,240329.00,239290.00,15507.00,223783.00,,,223783.00,15510.00,,239293.00,206388.00,,17395.00,219264.00,,20029.00,2.78,2026-05-15
1150515,115,1,1340,勝悅-KY,11435.00,32163.00,,,-20728.00,,,-20728.00,22381.00,,-43109.00,-2531.00,-45640.00,0.00,-45640.00,0.00,,-45640.00,85964.00,,40324.00,-45640.00,,,40324.00,,,-0.30,2026-05-15
1150515,115,1,1341,富林-KY,680910.00,510287.00,,,170623.00,,,170623.00,67456.00,,103167.00,1556.00,104723.00,18948.00,85775.00,,,85775.00,21050.00,,106825.00,85775.00,,,106825.00,,,1.62,2026-05-15
1150515,115,1,1342,八貫,917285.00,667755.00,,,249530.00,,,249530.00,62787.00,,186743.00,16045.00,202788.00,40597.00,162191.00,,,162191.00,,,162191.00,,,,,,,2.08,2026-05-15
1150515,115,1,1410,南染,49535.00,33874.00,,,15661.00,,,15661.00,16707.00,,-1046.00,3414.00,2368.00,1966.00,402.00,,,402.00,0.00,,402.00,1801.00,,-1399.00,1801.00,,-1399.00,0.03,2026-05-15
1150515,115,1,1413,宏洲,437912.00,441716.00,,,-3804.00,,,-3804.00,10948.00,,-14752.00,-2219.00,-16971.00,0.00,-16971.00,,,-16971.00,0.00,,-16971.00,,,,,,,-0.13,2026-05-15
1150515,115,1,1414,東和,113452.00,100856.00,,,12596.00,,,12596.00,19629.00,,-7033.00,18410.00,11377.00,382.00,10995.00,,,10995.00,-12233.00,,-1238.00,10995.00,,,-1238.00,,,0.06,2026-05-15
