出表日期,年度,季別,公司代號,公司名稱,利息淨收益,利息以外淨損益,呆帳費用、承諾及保證責任準備提存,營業費用,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期稅後淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期稅後淨利（淨損）,其他綜合損益（稅後）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額（稅後）,淨利（損）歸屬於母公司業主,淨利（損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,date
1150515,115,1,2809,京城銀,1547136.00,813227.00,358029.00,631837.00,1370497.00,119521.00,1250976.00,287775.00,,1538751.00,-20225.00,,1518526.00,1538751.00,,,1518526.00,,,1.38,2026-05-15
1150515,115,1,2893,新光銀行,3595905.00,2448527.00,377380.00,2890824.00,2776228.00,538785.00,2237443.00,,,2237443.00,-1099332.00,,1138111.00,,,,,,,0.45,2026-05-15
1150515,115,1,5833,元大證金,278724.00,-65381.00,21815.00,54465.00,137063.00,25059.00,112004.00,,,112004.00,58533.00,,170537.00,,,,,,,0.28,2026-05-15
1150515,115,1,5835,國泰世華,18284240.00,13592566.00,1981594.00,14072599.00,15822613.00,2625983.00,13196630.00,,,13196630.00,183808.00,,13380438.00,13146998.00,,49632.00,13262446.00,,117992.00,1.03,2026-05-15
1150515,115,1,5838,華南銀行,7820450.00,7696095.00,557380.00,7466451.00,7492714.00,1348796.00,6143918.00,,,6143918.00,-312447.00,,5831471.00,6143918.00,,0.00,5831471.00,,0.00,0.58,2026-05-15
1150515,115,1,5840,國際票券,341443.00,729880.00,14977.00,185878.00,870468.00,162620.00,707848.00,,,707848.00,-587454.00,,120394.00,,,,,,,0.38,2026-05-15
1150515,115,1,5841,中信銀,26954003.00,21050385.00,3102943.00,24348492.00,20552953.00,3464772.00,17088181.00,,,17088181.00,3286464.00,,20374645.00,16585658.00,,502523.00,21230238.00,,-855593.00,0.97,2026-05-15
1150515,115,1,5842,兆豐票券,638780.00,706080.00,79935.00,229931.00,1034994.00,208003.00,826991.00,,,826991.00,-1120059.00,,-293068.00,,,,,,,0.55,2026-05-15
1150515,115,1,5843,兆豐銀行,10268097.00,5899716.00,328741.00,7322080.00,8516992.00,1436624.00,7080368.00,,,7080368.00,1440143.00,,8520511.00,7080368.00,,,8520511.00,,,0.71,2026-05-15
1150515,115,1,5847,玉山銀行,11836862.00,10578999.00,1006622.00,10505163.00,10904076.00,2140127.00,8763949.00,,,8763949.00,1301534.00,,10065483.00,8761509.00,,2440.00,10062983.00,,2500.00,0.60,2026-05-15
1150515,115,1,5849,永豐銀行,9853945.00,7215875.00,924535.00,7219771.00,8925514.00,1504297.00,7421217.00,,,7421217.00,-1340976.00,,6080241.00,7378170.00,,43047.00,5992539.00,,87702.00,0.67,2026-05-15
1150515,115,1,5852,元大銀行,5490273.00,4005669.00,365254.00,4585907.00,4544781.00,856365.00,3688416.00,,,3688416.00,855770.00,,4544186.00,3688416.00,,,4544186.00,,,0.42,2026-05-15
1150515,115,1,5854,合庫,8986171.00,5712723.00,1103081.00,7227667.00,6368146.00,1283127.00,5085019.00,,,5085019.00,-1513092.00,,3571927.00,5081317.00,,3702.00,3569081.00,,2846.00,0.39,2026-05-15
1150515,115,1,2809,京城銀,1547136.00,813227.00,358029.00,631837.00,1370497.00,119521.00,1250976.00,287775.00,,1538751.00,-20225.00,,1518526.00,1538751.00,,,1518526.00,,,1.38,2026-05-15
