出表日期,年度,季別,公司代號,公司名稱,收益,支出及費用,營業利益,營業外損益,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,本期其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,date
1150515,115,1,000538,第一金證,1419143.00,851494.00,567649.00,42165.00,609814.00,98844.00,510970.00,,,510970.00,197313.00,,708283.00,510970.00,,,708283.00,,,0.76,2026-05-15
1150515,115,1,000616,中信證券,2607938.00,1437966.00,1169972.00,44931.00,1214903.00,198096.00,1016807.00,,,1016807.00,154525.00,,1171332.00,1016807.00,,,1171332.00,,,1.29,2026-05-15
1150515,115,1,000700,兆豐證券,3256796.00,1846178.00,1410618.00,78289.00,1488907.00,143090.00,1345817.00,,,1345817.00,120200.00,,1466017.00,1345817.00,,,1466017.00,,,1.15,2026-05-15
1150515,115,1,000779,國票綜合,2029214.00,1519420.00,509794.00,135998.00,645792.00,45694.00,600098.00,,,600098.00,69869.00,,669967.00,600073.00,,25.00,669940.00,,27.00,0.52,2026-05-15
1150515,115,1,000815,台新證券,3251548.00,1591743.00,1659805.00,16931.00,1676736.00,107963.00,1568773.00,,,1568773.00,-16918.00,,1551855.00,1568773.00,,,1551855.00,,,2.27,2026-05-15
1150515,115,1,000888,國泰證,4498304.00,2592706.00,1905598.00,134302.00,2039900.00,501525.00,1538375.00,,,1538375.00,-40372.00,,1498003.00,1538367.00,,8.00,1497994.00,,9.00,2.00,2026-05-15
1150515,115,1,000930,華南永昌,2928588.00,1703648.00,1224940.00,106836.00,1331776.00,202022.00,1129754.00,,,1129754.00,166101.00,,1295855.00,1129697.00,,57.00,1295770.00,,85.00,1.73,2026-05-15
1150515,115,1,000980,元大證券,31957148.00,22073826.00,9883322.00,1049909.00,10933231.00,1601496.00,9331735.00,,,9331735.00,-2488392.00,,6843343.00,8735345.00,,596390.00,7085123.00,,-241780.00,1.33,2026-05-15
1150515,115,1,0009A0,永豐金證,7480224.00,4982008.00,2498216.00,493025.00,2991241.00,628187.00,2363054.00,,,2363054.00,251806.00,,2614860.00,2363054.00,0.00,0.00,2614860.00,0.00,0.00,1.40,2026-05-15
1150515,115,1,000538,第一金證,1419143.00,851494.00,567649.00,42165.00,609814.00,98844.00,510970.00,,,510970.00,197313.00,,708283.00,510970.00,,,708283.00,,,0.76,2026-05-15
1150515,115,1,000616,中信證券,2607938.00,1437966.00,1169972.00,44931.00,1214903.00,198096.00,1016807.00,,,1016807.00,154525.00,,1171332.00,1016807.00,,,1171332.00,,,1.29,2026-05-15
