出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,營業費用,營業利益（損失）,營業外收入及支出,繼續營業單位稅前純益（純損）,所得稅費用（利益）,繼續營業單位本期純益（純損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（稅後淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,date
1150515,115,1,2848,華南保,512986.00,131971.00,-45697.00,599260.00,643.00,599903.00,93960.00,505943.00,,,505943.00,-175968.00,,329975.00,,,,,,,2.53,2026-05-15
1150515,115,1,5834,兆豐保險,346560.00,19099.00,-79446.00,286213.00,5025.00,291238.00,58723.00,232515.00,,,232515.00,43269.00,,275784.00,,,,,,,0.71,2026-05-15
1150515,115,1,2848,華南保,512986.00,131971.00,-45697.00,599260.00,643.00,599903.00,93960.00,505943.00,,,505943.00,-175968.00,,329975.00,,,,,,,2.53,2026-05-15
1150515,115,1,5834,兆豐保險,346560.00,19099.00,-79446.00,286213.00,5025.00,291238.00,58723.00,232515.00,,,232515.00,43269.00,,275784.00,,,,,,,0.71,2026-05-15
1150517,115,1,2823,凱基人壽,4555134.00,1810080.00,-1518258.00,4846956.00,9605.00,4856561.00,60089.00,4796472.00,,,4796472.00,27992917.00,,32789389.00,,,,,,,0.92,2026-05-17
1150517,115,1,2833,台灣人壽,4392517.00,2390315.00,2772733.00,9555565.00,68432.00,9623997.00,1873782.00,7750215.00,,,7750215.00,30930321.00,,38680536.00,7752053.00,,-1838.00,38682374.00,,-1838.00,1.24,2026-05-17
1150517,115,1,2848,華南保,512986.00,131971.00,-45697.00,599260.00,643.00,599903.00,93960.00,505943.00,,,505943.00,-175968.00,,329975.00,,,,,,,2.53,2026-05-17
1150517,115,1,2877,國泰產險,1222645.00,302141.00,-243182.00,1281604.00,5483.00,1287087.00,229599.00,1057488.00,,,1057488.00,800437.00,,1857925.00,1057488.00,,,1857925.00,,,5.29,2026-05-17
1150517,115,1,5828,富邦保,2320714.00,603303.00,-214177.00,2709840.00,327187.00,3037027.00,424253.00,2612774.00,,,2612774.00,44961.00,,2657735.00,2585743.00,,27031.00,2600384.00,,57351.00,8.62,2026-05-17
1150517,115,1,5834,兆豐保險,346560.00,19099.00,-79446.00,286213.00,5025.00,291238.00,58723.00,232515.00,,,232515.00,43269.00,,275784.00,,,,,,,0.71,2026-05-17
1150517,115,1,5846,國泰人壽,11723142.00,11782411.00,-2707169.00,20798384.00,339376.00,21137760.00,3768496.00,17369264.00,,,17369264.00,103593936.00,,120963200.00,17356783.00,,12481.00,120949721.00,,13479.00,2.73,2026-05-17
1150517,115,1,5865,富邦人壽,8403725.00,12267649.00,-5315204.00,15356170.00,270788.00,15626958.00,506688.00,15120270.00,,,15120270.00,84444210.00,,99564480.00,15121360.00,,-1090.00,99609367.00,,-44887.00,1.28,2026-05-17
1150517,115,1,6985,新光人壽,7572308.00,9221426.00,-2040524.00,14753210.00,-44949.00,14708261.00,2830593.00,11877668.00,,,11877668.00,38308090.00,,50185758.00,11861683.00,,15985.00,50170266.00,,15492.00,1.29,2026-05-17
1150517,115,1,2823,凱基人壽,4555134.00,1810080.00,-1518258.00,4846956.00,9605.00,4856561.00,60089.00,4796472.00,,,4796472.00,27992917.00,,32789389.00,,,,,,,0.92,2026-05-17
1150517,115,1,2833,台灣人壽,4392517.00,2390315.00,2772733.00,9555565.00,68432.00,9623997.00,1873782.00,7750215.00,,,7750215.00,30930321.00,,38680536.00,7752053.00,,-1838.00,38682374.00,,-1838.00,1.24,2026-05-17
1150517,115,1,2848,華南保,512986.00,131971.00,-45697.00,599260.00,643.00,599903.00,93960.00,505943.00,,,505943.00,-175968.00,,329975.00,,,,,,,2.53,2026-05-17
1150517,115,1,2877,國泰產險,1222645.00,302141.00,-243182.00,1281604.00,5483.00,1287087.00,229599.00,1057488.00,,,1057488.00,800437.00,,1857925.00,1057488.00,,,1857925.00,,,5.29,2026-05-17
1150517,115,1,5828,富邦保,2320714.00,603303.00,-214177.00,2709840.00,327187.00,3037027.00,424253.00,2612774.00,,,2612774.00,44961.00,,2657735.00,2585743.00,,27031.00,2600384.00,,57351.00,8.62,2026-05-17
1150517,115,1,5834,兆豐保險,346560.00,19099.00,-79446.00,286213.00,5025.00,291238.00,58723.00,232515.00,,,232515.00,43269.00,,275784.00,,,,,,,0.71,2026-05-17
1150517,115,1,5846,國泰人壽,11723142.00,11782411.00,-2707169.00,20798384.00,339376.00,21137760.00,3768496.00,17369264.00,,,17369264.00,103593936.00,,120963200.00,17356783.00,,12481.00,120949721.00,,13479.00,2.73,2026-05-17
1150517,115,1,5865,富邦人壽,8403725.00,12267649.00,-5315204.00,15356170.00,270788.00,15626958.00,506688.00,15120270.00,,,15120270.00,84444210.00,,99564480.00,15121360.00,,-1090.00,99609367.00,,-44887.00,1.28,2026-05-17
1150517,115,1,6985,新光人壽,7572308.00,9221426.00,-2040524.00,14753210.00,-44949.00,14708261.00,2830593.00,11877668.00,,,11877668.00,38308090.00,,50185758.00,11861683.00,,15985.00,50170266.00,,15492.00,1.29,2026-05-17
1150518,115,1,2823,凱基人壽,4555134.00,1810080.00,-1518258.00,4846956.00,9605.00,4856561.00,60089.00,4796472.00,,,4796472.00,27992917.00,,32789389.00,,,,,,,0.92,2026-05-18
1150518,115,1,2833,台灣人壽,4392517.00,2390315.00,2772733.00,9555565.00,68432.00,9623997.00,1873782.00,7750215.00,,,7750215.00,30930321.00,,38680536.00,7752053.00,,-1838.00,38682374.00,,-1838.00,1.24,2026-05-18
1150518,115,1,2848,華南保,512986.00,131971.00,-45697.00,599260.00,643.00,599903.00,93960.00,505943.00,,,505943.00,-175968.00,,329975.00,,,,,,,2.53,2026-05-18
1150518,115,1,2877,國泰產險,1222645.00,302141.00,-243182.00,1281604.00,5483.00,1287087.00,229599.00,1057488.00,,,1057488.00,800437.00,,1857925.00,1057488.00,,,1857925.00,,,5.29,2026-05-18
1150518,115,1,5828,富邦保,2320714.00,603303.00,-214177.00,2709840.00,327187.00,3037027.00,424253.00,2612774.00,,,2612774.00,44961.00,,2657735.00,2585743.00,,27031.00,2600384.00,,57351.00,8.62,2026-05-18
1150518,115,1,5834,兆豐保險,346560.00,19099.00,-79446.00,286213.00,5025.00,291238.00,58723.00,232515.00,,,232515.00,43269.00,,275784.00,,,,,,,0.71,2026-05-18
1150518,115,1,5846,國泰人壽,11723142.00,11782411.00,-2707169.00,20798384.00,339376.00,21137760.00,3768496.00,17369264.00,,,17369264.00,103593936.00,,120963200.00,17356783.00,,12481.00,120949721.00,,13479.00,2.73,2026-05-18
1150518,115,1,5865,富邦人壽,8403725.00,12267649.00,-5315204.00,15356170.00,270788.00,15626958.00,506688.00,15120270.00,,,15120270.00,84444210.00,,99564480.00,15121360.00,,-1090.00,99609367.00,,-44887.00,1.28,2026-05-18
1150518,115,1,6985,新光人壽,7572308.00,9221426.00,-2040524.00,14753210.00,-44949.00,14708261.00,2830593.00,11877668.00,,,11877668.00,38308090.00,,50185758.00,11861683.00,,15985.00,50170266.00,,15492.00,1.29,2026-05-18
