出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數,待註銷股本股數,母公司暨子公司所持有之母公司庫藏股股數,每股參考淨值,date
1150515,115,1,2855,統一證,256323628.00,11346526.00,267670154.00,220745648.00,5044455.00,225790103.00,16014145.00,,91201.00,22444120.00,3155629.00,,41705095.00,,,174956.00,41880051.00,0.00,0.00,0.00,26.04,2026-05-15
1150515,115,1,2855,統一證,256323628.00,11346526.00,267670154.00,220745648.00,5044455.00,225790103.00,16014145.00,,91201.00,22444120.00,3155629.00,,41705095.00,,,174956.00,41880051.00,0.00,0.00,0.00,26.04,2026-05-15
1150517,115,1,2855,統一證,256323628.00,11346526.00,267670154.00,220745648.00,5044455.00,225790103.00,16014145.00,,91201.00,22444120.00,3155629.00,,41705095.00,,,174956.00,41880051.00,0.00,0.00,0.00,26.04,2026-05-17
1150517,115,1,6005,群益證,367374710.00,25865065.00,393239775.00,331735961.00,8611539.00,340347500.00,21709081.00,,2781067.00,20624438.00,2923501.00,,48038087.00,,,4854188.00,52892275.00,,0.00,0.00,22.13,2026-05-17
1150517,115,1,6024,群益期,83604913.00,927920.00,84532833.00,73607565.00,27983.00,73635548.00,2499376.00,,3358679.00,4947204.00,91057.00,,10896316.00,,,969.00,10897285.00,0.00,0.00,0.00,43.60,2026-05-17
1150517,115,1,2855,統一證,256323628.00,11346526.00,267670154.00,220745648.00,5044455.00,225790103.00,16014145.00,,91201.00,22444120.00,3155629.00,,41705095.00,,,174956.00,41880051.00,0.00,0.00,0.00,26.04,2026-05-17
1150517,115,1,6005,群益證,367374710.00,25865065.00,393239775.00,331735961.00,8611539.00,340347500.00,21709081.00,,2781067.00,20624438.00,2923501.00,,48038087.00,,,4854188.00,52892275.00,,0.00,0.00,22.13,2026-05-17
1150517,115,1,6024,群益期,83604913.00,927920.00,84532833.00,73607565.00,27983.00,73635548.00,2499376.00,,3358679.00,4947204.00,91057.00,,10896316.00,,,969.00,10897285.00,0.00,0.00,0.00,43.60,2026-05-17
1150518,115,1,2855,統一證,256323628.00,11346526.00,267670154.00,220745648.00,5044455.00,225790103.00,16014145.00,,91201.00,22444120.00,3155629.00,,41705095.00,,,174956.00,41880051.00,0.00,0.00,0.00,26.04,2026-05-18
1150518,115,1,6005,群益證,367374710.00,25865065.00,393239775.00,331735961.00,8611539.00,340347500.00,21709081.00,,2781067.00,20624438.00,2923501.00,,48038087.00,,,4854188.00,52892275.00,,0.00,0.00,22.13,2026-05-18
1150518,115,1,6024,群益期,83604913.00,927920.00,84532833.00,73607565.00,27983.00,73635548.00,2499376.00,,3358679.00,4947204.00,91057.00,,10896316.00,,,969.00,10897285.00,0.00,0.00,0.00,43.60,2026-05-18
