出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,預收股款（權益項下）之約當發行股數,待註銷股本股數,母公司暨子公司所持有之母公司庫藏股股數,每股參考淨值,date
1150515,115,1,1101,台泥,184722314.00,412892972.00,597615286.00,82516661.00,210353009.00,292869670.00,77231817.00,,74917132.00,60971176.00,29310808.00,-979439.00,241451494.00,,,63294122.00,304745616.00,,0.00,30000000.00,31.39,2026-05-15
1150515,115,1,1102,亞泥,94593171.00,235138085.00,329731256.00,73132379.00,55652518.00,128784897.00,35465629.00,,8245290.00,120372322.00,13057985.00,,177141226.00,,,23805133.00,200946359.00,,0.00,0.00,49.95,2026-05-15
1150515,115,1,1103,嘉泥,9362513.00,23394790.00,32757303.00,3870134.00,10147634.00,14017768.00,7902474.00,,1458525.00,10366146.00,-494270.00,-1079060.00,18153815.00,,,585720.00,18739535.00,,0.00,131491726.00,27.56,2026-05-15
1150515,115,1,1108,幸福,5834525.00,4510787.00,10345312.00,4480873.00,442758.00,4923631.00,4047380.00,,22.00,1401999.00,-27782.00,,5421619.00,,,62.00,5421681.00,,0.00,0.00,13.40,2026-05-15
1150515,115,1,1109,信大,5601241.00,5861789.00,11463030.00,928832.00,127413.00,1056245.00,3411589.00,,15962.00,5011389.00,23805.00,,8462745.00,,,1944040.00,10406785.00,0.00,0.00,0.00,24.81,2026-05-15
1150515,115,1,1201,味全,6636593.00,11804393.00,18440986.00,6226099.00,4431079.00,10657178.00,5060629.00,,49394.00,2728496.00,-63234.00,,7775285.00,,,8523.00,7783808.00,0.00,0.00,0.00,15.36,2026-05-15
1150515,115,1,1203,味王,5022031.00,5714889.00,10736920.00,1735171.00,1409205.00,3144376.00,2400000.00,,56781.00,3880899.00,212321.00,-38464.00,6511537.00,,,1081007.00,7592544.00,0.00,0.00,2293865.00,27.39,2026-05-15
1150515,115,1,1213,大飲,237574.00,520392.00,757966.00,72994.00,53320.00,126314.00,566226.00,,21938.00,43129.00,359.00,,631652.00,,,,631652.00,0.00,0.00,0.00,11.16,2026-05-15
1150515,115,1,1215,卜蜂,9174700.00,23361784.00,32536484.00,11730317.00,9769892.00,21500209.00,2947901.00,,36967.00,6535301.00,1070167.00,,10590336.00,,,445939.00,11036275.00,0.00,0.00,0.00,35.93,2026-05-15
1150515,115,1,1216,統一,241807588.00,507254461.00,749062049.00,273723981.00,251627812.00,525351793.00,56820154.00,,2613326.00,85921237.00,-661546.00,,144693171.00,,,79017085.00,223710256.00,0.00,0.00,0.00,25.47,2026-05-15
1150515,115,1,1217,愛之味,2601435.00,12666631.00,15268066.00,2999272.00,4074434.00,7073706.00,4945134.00,,266175.00,1197832.00,1010201.00,,7419342.00,,,775018.00,8194360.00,0.00,0.00,0.00,15.00,2026-05-15
1150515,115,1,1219,福壽,4766011.00,4780337.00,9546348.00,3014417.00,1934565.00,4948982.00,3412384.00,,61767.00,1155726.00,408.00,0.00,4630285.00,,,-32919.00,4597366.00,,0.00,0.00,13.57,2026-05-15
1150515,115,1,1220,台榮,2122787.00,1332219.00,3455006.00,742589.00,175591.00,918180.00,1770779.00,,24880.00,524454.00,-571.00,-10881.00,2308661.00,,,228165.00,2536826.00,,0.00,679000.00,13.09,2026-05-15
1150515,115,1,1231,聯華食,6292926.00,9149969.00,15442895.00,4427766.00,3442280.00,7870046.00,2984544.00,,93840.00,4453103.00,23660.00,,7555147.00,,,17702.00,7572849.00,,0.00,0.00,25.31,2026-05-15
1150515,115,1,1232,大統益,7651568.00,2854550.00,10506118.00,2814803.00,1179993.00,3994796.00,1599749.00,,23784.00,4655148.00,-3403.00,,6275278.00,,,236044.00,6511322.00,0.00,0.00,0.00,39.23,2026-05-15
1150515,115,1,1233,天仁,681747.00,1505600.00,2187347.00,542926.00,245494.00,788420.00,905919.00,,5501.00,524706.00,-38449.00,-1974.00,1395703.00,,,3224.00,1398927.00,0.00,0.00,43000.00,15.41,2026-05-15
1150515,115,1,1234,黑松,9159072.00,14921587.00,24080659.00,3415273.00,2357349.00,5772622.00,4018711.00,,186936.00,13998546.00,103844.00,,18308037.00,,,,18308037.00,,0.00,0.00,45.56,2026-05-15
1150515,115,1,1236,宏亞,655326.00,2725960.00,3381286.00,634194.00,292542.00,926736.00,866740.00,,34205.00,1386400.00,167205.00,,2454550.00,,,,2454550.00,,0.00,0.00,28.32,2026-05-15
1150515,115,1,1256,鮮活果汁-KY,2430207.00,2745962.00,5176169.00,781250.00,210144.00,991394.00,357722.00,,1402566.00,2301564.00,115423.00,,4177275.00,,,7500.00,4184775.00,,0.00,0.00,116.77,2026-05-15
1150515,115,1,1301,台塑,175217601.00,418310409.00,593528010.00,95826345.00,107485177.00,203311522.00,63657408.00,,11868759.00,197205474.00,117484847.00,,390216488.00,,,,390216488.00,0.00,0.00,0.00,61.30,2026-05-15
1150515,115,1,1303,南亞,193418745.00,454324878.00,647743623.00,131197270.00,115971662.00,247168932.00,79308216.00,,29975521.00,238072825.00,36469707.00,,383826269.00,,,16748422.00,400574691.00,0.00,0.00,0.00,48.40,2026-05-15
1150515,115,1,1304,台聚,24372900.00,40253986.00,64626886.00,13651252.00,15962906.00,29614158.00,11887635.00,,501450.00,5587575.00,57412.00,-475606.00,17558466.00,,,17454262.00,35012728.00,,0.00,116465574.00,16.37,2026-05-15
1150515,115,1,1305,華夏,4861099.00,13546137.00,18407236.00,4467737.00,5802223.00,10269960.00,5810505.00,,21024.00,1755059.00,52934.00,,7639522.00,,,497754.00,8137276.00,,0.00,0.00,13.15,2026-05-15
1150515,115,1,1307,三芳,9782836.00,8262851.00,18045687.00,5930220.00,2347664.00,8277884.00,3978181.00,,151079.00,5386754.00,251789.00,,9767803.00,,,,9767803.00,,0.00,0.00,24.55,2026-05-15
1150515,115,1,1308,亞聚,2732713.00,9804840.00,12537553.00,1008062.00,497094.00,1505156.00,5937438.00,,38964.00,4401712.00,654283.00,,11032397.00,,,,11032397.00,,0.00,0.00,18.58,2026-05-15
1150515,115,1,1309,台達化,5778535.00,3435571.00,9214106.00,2992941.00,458319.00,3451260.00,3975868.00,,3953.00,1532486.00,250539.00,,5762846.00,,,,5762846.00,,0.00,0.00,14.49,2026-05-15
1150515,115,1,1310,台苯,2264426.00,7744431.00,10008857.00,2298879.00,240897.00,2539776.00,5278698.00,,129762.00,729805.00,1203006.00,,7341271.00,,,127810.00,7469081.00,0.00,0.00,0.00,13.91,2026-05-15
1150515,115,1,1313,聯成,19273009.00,35313659.00,54586668.00,8329694.00,17584860.00,25914554.00,13308461.00,,1148974.00,1015686.00,13198993.00,0.00,28672114.00,,,,28672114.00,,0.00,0.00,21.54,2026-05-15
1150515,115,1,1315,達新,7354156.00,3961143.00,11315299.00,780905.00,214035.00,994940.00,990990.00,,256626.00,7581812.00,1540363.00,-83230.00,10286561.00,,,33798.00,10320359.00,0.00,0.00,3572068.00,107.68,2026-05-15
1150515,115,1,1316,上曜,17988375.00,8121088.00,26109463.00,10662365.00,1441220.00,12103585.00,3759462.00,,1038724.00,-546922.00,1570.00,-57448.00,4195386.00,,,9810492.00,14005878.00,0.00,0.00,38583058.00,12.44,2026-05-15
1150515,115,1,1319,東陽,13192166.00,25162305.00,38354471.00,5670104.00,2910693.00,8580797.00,5914771.00,,4152199.00,18867898.00,221153.00,,29156021.00,,,617653.00,29773674.00,,0.00,0.00,49.29,2026-05-15
1150515,115,1,1321,大洋,2103160.00,9461918.00,11565078.00,996940.00,4774340.00,5771280.00,2272283.00,,24018.00,3393988.00,139698.00,-36189.00,5793798.00,,,,5793798.00,0.00,0.00,6542716.00,26.25,2026-05-15
1150515,115,1,1323,永裕,2570405.00,2173945.00,4744350.00,691151.00,1476143.00,2167294.00,912745.00,,42557.00,1624550.00,-2796.00,,2577056.00,,,,2577056.00,0.00,0.00,0.00,28.23,2026-05-15
1150515,115,1,1324,地球,677160.00,419009.00,1096169.00,176792.00,27308.00,204100.00,751219.00,,867.00,153078.00,-13095.00,,892069.00,,,,892069.00,0.00,0.00,0.00,11.87,2026-05-15
1150515,115,1,1325,恆大,1666352.00,1091542.00,2757894.00,37109.00,52520.00,89629.00,852812.00,,3626.00,1708629.00,25078.00,,2590145.00,,,78120.00,2668265.00,0.00,0.00,0.00,30.37,2026-05-15
1150515,115,1,1326,台化,214839826.00,366325327.00,581165153.00,114054227.00,56143536.00,170197763.00,58611863.00,,9291703.00,185906528.00,120153293.00,-323952.00,373639435.00,,,37327955.00,410967390.00,0.00,0.00,12169610.00,63.88,2026-05-15
1150515,115,1,1337,再生-KY,1632849.00,4717874.00,6350723.00,2624744.00,65860.00,2690604.00,2689547.00,,1984504.00,-819751.00,-194181.00,,3660119.00,,,,3660119.00,,0.00,0.00,13.61,2026-05-15
1150515,115,1,1338,廣華-KY,5247393.00,8706023.00,13953416.00,3877475.00,3806194.00,7683669.00,838400.00,,2787090.00,2635593.00,-296108.00,-92080.00,5872895.00,,,396852.00,6269747.00,0.00,0.00,3081000.00,72.72,2026-05-15
1150515,115,1,1339,昭輝,1829193.00,3396533.00,5225726.00,837135.00,228944.00,1066079.00,741239.00,,1193369.00,2239577.00,-107867.00,,4066318.00,,,93329.00,4159647.00,0.00,0.00,0.00,54.86,2026-05-15
1150515,115,1,1340,勝悅-KY,785498.00,2281457.00,3066955.00,161902.00,257504.00,419406.00,1529229.00,,2540814.00,-978764.00,-443730.00,,2647549.00,0.00,,0.00,2647549.00,,0.00,0.00,17.31,2026-05-15
1150515,115,1,1341,富林-KY,1612072.00,583988.00,2196060.00,978823.00,30494.00,1009317.00,528506.00,,176616.00,813417.00,-331796.00,,1186743.00,,,,1186743.00,,0.00,0.00,22.45,2026-05-15
1150515,115,1,1342,八貫,2452379.00,1347980.00,3800359.00,1285713.00,422405.00,1708118.00,780009.00,,675754.00,643840.00,-7362.00,,,,,,2092241.00,,0.00,0.00,26.82,2026-05-15
1150515,115,1,1410,南染,653405.00,665903.00,1319308.00,61014.00,178580.00,239594.00,620000.00,,22967.00,405448.00,-3381.00,,1045034.00,,,34680.00,1079714.00,0.00,0.00,0.00,16.86,2026-05-15
1150515,115,1,1413,宏洲,825475.00,1785058.00,2610533.00,651436.00,843758.00,1495194.00,1321124.00,,0.00,-197082.00,-8703.00,,,,,,1115339.00,,0.00,0.00,8.44,2026-05-15
1150515,115,1,1414,東和,876335.00,3283385.00,4159720.00,611698.00,677776.00,1289474.00,1980000.00,,0.00,1049840.00,-159594.00,,2870246.00,,,,2870246.00,,0.00,0.00,14.50,2026-05-15
