出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,透過損益按公允價值衡量之金融資產,透過其他綜合損益按公允價值衡量之金融資產,按攤銷後成本衡量之債務工具投資,避險之金融資產,附賣回票券及債券投資,應收款項－淨額,本期所得稅資產,待出售資產－淨額,待分配予業主之資產－淨額,貼現及放款－淨額,再保險合約資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,投資性不動產－淨額,不動產及設備－淨額,使用權資產－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總計,央行及金融同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之金融負債,附買回票券及債券負債,應付商業本票－淨額,應付款項,本期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付債券,其他借款,特別股負債,負債準備,其他金融負債,租賃負債,遞延所得稅負債,其他負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,共同控制下前手權益,歸屬於母公司業主之權益,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,date
1150430,114,4,2880,華南金,41545842.00,263088193.00,203228059.00,409995430.00,819228514.00,,1449086.00,95583616.00,218046.00,,,2405636369.00,6175017.00,276675.00,,18413013.00,13889856.00,33664412.00,2308677.00,1027777.00,3871413.00,4486464.00,4324086459.00,260567938.00,,5930487.00,,87654599.00,54755562.00,54764344.00,2661998.00,,3414267655.00,71391561.00,3030000.00,,25351211.00,87727244.00,2368437.00,6169841.00,11085504.00,4087726381.00,139169651.00,17766839.00,79462691.00,-41633.00,,,236357548.00,2530.00,236360078.00,,0.00,0.00,16.98,2026-05-15
1150430,114,4,2881,富邦金,417429421.00,504756300.00,1793787041.00,1031225888.00,3871063738.00,8998259.00,135285278.00,417301468.00,3252724.00,4168387.00,,3469093531.00,42239274.00,63900871.00,,564981957.00,312265435.00,77403337.00,14064488.00,34500404.00,51806617.00,57953736.00,12875478154.00,259008296.00,256109.00,102085269.00,21028745.00,63807390.00,87852587.00,285867143.00,20914621.00,189870.00,4843406367.00,478228667.00,12889821.00,,4928081545.00,610963919.00,21673552.00,48269631.00,93146695.00,11877670227.00,156073549.00,155059332.00,705475148.00,-34026345.00,,,982581684.00,15226243.00,997807927.00,,0.00,0.00,62.96,2026-05-15
1150430,114,4,2882,國泰金,361911485.00,428777214.00,1997543473.00,1287714996.00,4777286517.00,36010.00,42827566.00,324847287.00,1905715.00,,,3308740819.00,28171081.00,80736244.00,,861044551.00,504777190.00,110058881.00,5785403.00,31483314.00,78667439.00,109303168.00,14341618353.00,178790871.00,,164077562.00,919871.00,14199142.00,85062693.00,114103621.00,23987999.00,,4331649468.00,288903582.00,47378891.00,,7155232073.00,916650273.00,20537826.00,41860708.00,23875683.00,13407230263.00,162025102.00,203119254.00,637808716.00,-74666564.00,0.00,0.00,928286508.00,6101582.00,934388090.00,,0.00,0.00,57.29,2026-05-15
1150430,114,4,2883,凱基金,65666234.00,57477139.00,694081941.00,262614523.00,1669911034.00,198294.00,68312726.00,207156715.00,933027.00,,,562242022.00,1208702.00,29857949.00,,229484981.00,55691700.00,30554642.00,12724671.00,16597957.00,20773973.00,134646566.00,4120134796.00,9772012.00,,89112122.00,889286.00,168586478.00,97640997.00,138103071.00,6684346.00,,645674883.00,113976559.00,30107304.00,,2100298607.00,277288840.00,5285906.00,20027529.00,89164358.00,3792612298.00,185569894.00,33758864.00,124067189.00,-16004202.00,,,327391745.00,130753.00,327522498.00,0.00,0.00,0.00,17.64,2026-05-15
1150430,114,4,2884,玉山金,43839304.00,362379636.00,277486959.00,414827421.00,523193098.00,49104.00,26783272.00,172188894.00,565115.00,,,2602659198.00,,,,11400183.00,1297218.00,34300791.00,8118590.00,7798332.00,3079968.00,26566120.00,4516533203.00,68251061.00,,83718947.00,2474393.00,35294971.00,28869614.00,51894531.00,2919364.00,,3778225398.00,46620000.00,329476.00,,1330262.00,130792836.00,5533787.00,2672730.00,4461843.00,4243389213.00,161740000.00,35432297.00,66891244.00,8680388.00,,,272743929.00,400061.00,273143990.00,,0.00,0.00,16.86,2026-05-15
1150430,114,4,2885,元大金,90359817.00,119491328.00,775873292.00,364181746.00,549296808.00,,57749967.00,437181167.00,2621142.00,0.00,,1495534208.00,1489606.00,2933780.00,7063274.00,173654655.00,20371654.00,30753064.00,10236137.00,30507768.00,6533130.00,116311728.00,4292144271.00,8538935.00,,206678102.00,,288865044.00,158925388.00,258283014.00,5582678.00,,1925745836.00,127629866.00,89879902.00,,405210217.00,209239009.00,6658905.00,6395648.00,226285203.00,3923917747.00,133311499.00,38341308.00,152120637.00,16643929.00,,,340417373.00,27809151.00,368226524.00,0.00,0.00,0.00,25.54,2026-05-15
1150430,114,4,2886,兆豐金,168055070.00,709445698.00,269201495.00,587669884.00,728597513.00,,5711060.00,132628590.00,1519661.00,,,2434663850.00,15235806.00,5140716.00,,8031465.00,1686729.00,23123633.00,2053165.00,1636766.00,6674072.00,10179971.00,5111255144.00,739867828.00,2178941.00,28598754.00,,329767072.00,51686929.00,103737545.00,7740480.00,,3325935975.00,50200000.00,4796947.00,,30615558.00,24458754.00,2114829.00,2282238.00,14904192.00,4718886042.00,148333783.00,76849829.00,149783398.00,17402092.00,,,392369102.00,,392369102.00,0.00,0.00,0.00,26.45,2026-05-15
1150430,114,4,2887,台新新光金,75873586.00,207851113.00,710743765.00,579747660.00,2711655457.00,,14772034.00,310060954.00,1516382.00,5272964.00,,2838237093.00,2604822.00,3006990.00,,167506565.00,229762102.00,86204326.00,6932645.00,674881130.00,75799329.00,73063275.00,8775492192.00,47884309.00,,95363679.00,,108170455.00,92136825.00,124574417.00,8401212.00,,3581227317.00,148689477.00,7858402.00,28322642.00,3666478458.00,310791976.00,9540928.00,40808731.00,21139584.00,8291388412.00,262610672.00,133732478.00,64159018.00,23225354.00,-89298.00,,483638224.00,465556.00,484103780.00,,0.00,1927518.00,18.42,2026-05-15
1150430,114,4,2889,國票金,3945079.00,177.00,187565167.00,152396275.00,699406.00,,278844.00,63381138.00,63071.00,,,,,5541474.00,,19558462.00,393501.00,6928941.00,152330.00,271376.00,373968.00,6910217.00,448459426.00,,24468025.00,3788704.00,,275133851.00,36999284.00,30604163.00,543075.00,,,,,,1843594.00,14564607.00,151051.00,62043.00,6199362.00,394357759.00,36335635.00,406050.00,5734634.00,3669000.00,0.00,,46145319.00,7956348.00,54101667.00,,0.00,0.00,12.70,2026-05-15
1150430,114,4,2890,永豐金,31877344.00,271089441.00,188872962.00,460376300.00,348958358.00,,102717175.00,179363016.00,290713.00,12258681.00,,1944987699.00,,1083769.00,,74791178.00,2345101.00,18831381.00,4501468.00,12988324.00,3834642.00,35066089.00,3694233641.00,136950871.00,,65538088.00,,54861519.00,124589433.00,88735403.00,3224237.00,10417272.00,2730043943.00,63932072.00,12108999.00,18437.00,2882572.00,121841920.00,4096634.00,2014725.00,14878453.00,3436134578.00,144923223.00,26827097.00,89926639.00,-6183655.00,,,255493304.00,2605759.00,258099063.00,,0.00,0.00,17.63,2026-05-15
