出表日期,年度,季別,公司代號,公司名稱,現金及約當現金,應收款項,本期所得稅資產,待出售資產,待分配予業主之資產（或處分群組）,投資,再保險合約資產,不動產及設備,使用權資產,無形資產,遞延所得稅資產,其他資產,分離帳戶保險商品資產,資產總計,短期債務,應付款項,本期所得稅負債,與待出售資產直接相關之負債,透過損益按公允價值衡量之金融負債,避險之金融負債,應付債券,特別股負債,其他金融負債,租賃負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,負債準備,遞延所得稅負債,其他負債,分離帳戶保險商品負債,負債總計,股本,權益─具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,負債及權益總計,待註銷股本股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值,date
1150430,114,4,2816,旺旺保,3316260.00,742188.00,0.00,,,12522057.00,6737972.00,1492418.00,20271.00,174478.00,,451179.00,,25456823.00,,1487952.00,135859.00,,,,,,,20455.00,15640017.00,,,42069.00,62700.00,18432.00,,17407484.00,2236080.00,,0.00,5854864.00,-41605.00,,,,,,8049339.00,25456823.00,,0.00,0.00,36.00,2026-05-15
1150430,114,4,2832,台產,3270250.00,703709.00,,,,14727578.00,3708800.00,2389880.00,46885.00,5755.00,15187.00,751641.00,,25619685.00,,1391980.00,191403.00,,,,,,,49060.00,11670021.00,,,40798.00,271860.00,163645.00,,13778767.00,2535403.00,,98964.00,8730960.00,475591.00,,,,,,11840918.00,25619685.00,,0.00,0.00,46.70,2026-05-15
1150430,114,4,2850,新產,12826413.00,3237752.00,0.00,,,30930381.00,13111609.00,1064203.00,25194.00,48358.00,171735.00,1011705.00,,62427350.00,,5859329.00,487940.00,,80758.00,,,,,25763.00,34961283.00,,,0.00,67925.00,201063.00,,41684061.00,3159633.00,,64839.00,16879617.00,639200.00,0.00,,,,,20743289.00,62427350.00,0.00,0.00,0.00,65.65,2026-05-15
1150430,114,4,2851,中再保,12487427.00,1724954.00,0.00,47009.00,,37032040.00,5839424.00,271027.00,445.00,18006.00,3847.00,2410995.00,,59835174.00,,929191.00,456713.00,,391179.00,,,,,463.00,36172160.00,,,,160413.00,19023.00,,38129142.00,8003888.00,,1560000.00,12038043.00,104101.00,,,,,,21706032.00,59835174.00,0.00,0.00,0.00,27.12,2026-05-15
1150430,114,4,2852,第一保,2086377.00,372778.00,,,,14267383.00,2248737.00,617658.00,3975.00,17340.00,12267.00,590456.00,,20216971.00,,670732.00,111896.00,,,,,,,4021.00,10016462.00,,,,92934.00,169654.00,,11065699.00,3011638.00,,0.00,5776906.00,362728.00,,,,,,9151272.00,20216971.00,,0.00,0.00,30.39,2026-05-15
1150430,114,4,2867,三商壽,77423282.00,14667846.00,834859.00,,,1234791026.00,3844571.00,9905666.00,519873.00,361002.00,25309255.00,46114946.00,245496227.00,1659268553.00,,11263218.00,430267.00,,6511763.00,,28530000.00,,,531114.00,1278128864.00,,36957218.00,249033.00,10214178.00,606382.00,245496227.00,1618918264.00,58995011.00,,0.00,-9407435.00,-9237287.00,,,,,,40350289.00,1659268553.00,,0.00,0.00,6.84,2026-05-15
1150430,114,4,2816,旺旺保,3316260.00,742188.00,0.00,,,12522057.00,6737972.00,1492418.00,20271.00,174478.00,,451179.00,,25456823.00,,1487952.00,135859.00,,,,,,,20455.00,15640017.00,,,42069.00,62700.00,18432.00,,17407484.00,2236080.00,,0.00,5854864.00,-41605.00,,,,,,8049339.00,25456823.00,,0.00,0.00,36.00,2026-05-15
1150430,114,4,2832,台產,3270250.00,703709.00,,,,14727578.00,3708800.00,2389880.00,46885.00,5755.00,15187.00,751641.00,,25619685.00,,1391980.00,191403.00,,,,,,,49060.00,11670021.00,,,40798.00,271860.00,163645.00,,13778767.00,2535403.00,,98964.00,8730960.00,475591.00,,,,,,11840918.00,25619685.00,,0.00,0.00,46.70,2026-05-15
1150430,114,4,2850,新產,12826413.00,3237752.00,0.00,,,30930381.00,13111609.00,1064203.00,25194.00,48358.00,171735.00,1011705.00,,62427350.00,,5859329.00,487940.00,,80758.00,,,,,25763.00,34961283.00,,,0.00,67925.00,201063.00,,41684061.00,3159633.00,,64839.00,16879617.00,639200.00,0.00,,,,,20743289.00,62427350.00,0.00,0.00,0.00,65.65,2026-05-15
1150430,114,4,2851,中再保,12487427.00,1724954.00,0.00,47009.00,,37032040.00,5839424.00,271027.00,445.00,18006.00,3847.00,2410995.00,,59835174.00,,929191.00,456713.00,,391179.00,,,,,463.00,36172160.00,,,,160413.00,19023.00,,38129142.00,8003888.00,,1560000.00,12038043.00,104101.00,,,,,,21706032.00,59835174.00,0.00,0.00,0.00,27.12,2026-05-15
