出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,權益－具證券性質之虛擬通貨,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,date
1150515,115,1,1409,新纖,169282176.00,69665558.00,238947734.00,165890727.00,19925661.00,185816388.00,16184093.00,,2159424.00,15408892.00,8011465.00,-134336.00,41629538.00,,11501808.00,53131346.00,,0.00,18492487.00,26.02,2026-05-15
1150515,115,1,2207,和泰車,371776395.00,153375470.00,525151865.00,369092964.00,39724833.00,408817797.00,5571028.00,,2919185.00,64624396.00,6107609.00,,79222218.00,,37111850.00,116334068.00,0.00,0.00,0.00,142.20,2026-05-15
1150515,115,1,1409,新纖,169282176.00,69665558.00,238947734.00,165890727.00,19925661.00,185816388.00,16184093.00,,2159424.00,15408892.00,8011465.00,-134336.00,41629538.00,,11501808.00,53131346.00,,0.00,18492487.00,26.02,2026-05-15
1150515,115,1,2207,和泰車,371776395.00,153375470.00,525151865.00,369092964.00,39724833.00,408817797.00,5571028.00,,2919185.00,64624396.00,6107609.00,,79222218.00,,37111850.00,116334068.00,0.00,0.00,0.00,142.20,2026-05-15
1150517,115,1,1409,新纖,169282176.00,69665558.00,238947734.00,165890727.00,19925661.00,185816388.00,16184093.00,,2159424.00,15408892.00,8011465.00,-134336.00,41629538.00,,11501808.00,53131346.00,,0.00,18492487.00,26.02,2026-05-17
1150517,115,1,1718,中纖,795306498.00,245138894.00,1040445392.00,911432986.00,35343746.00,946776732.00,16859057.00,,1751559.00,2967723.00,1885555.00,-1187969.00,22275925.00,,71392735.00,93668660.00,,0.00,352474645.00,16.71,2026-05-17
1150517,115,1,2207,和泰車,371776395.00,153375470.00,525151865.00,369092964.00,39724833.00,408817797.00,5571028.00,,2919185.00,64624396.00,6107609.00,,79222218.00,,37111850.00,116334068.00,0.00,0.00,0.00,142.20,2026-05-17
1150517,115,1,2905,三商,133124099.00,1484286418.00,1617410517.00,62246052.00,1468399841.00,1530645893.00,11103717.00,,4465609.00,40156228.00,-25645804.00,-592930.00,29486820.00,0.00,57277804.00,86764624.00,0.00,0.00,57093000.00,28.00,2026-05-17
1150517,115,1,1409,新纖,169282176.00,69665558.00,238947734.00,165890727.00,19925661.00,185816388.00,16184093.00,,2159424.00,15408892.00,8011465.00,-134336.00,41629538.00,,11501808.00,53131346.00,,0.00,18492487.00,26.02,2026-05-17
1150517,115,1,1718,中纖,795306498.00,245138894.00,1040445392.00,911432986.00,35343746.00,946776732.00,16859057.00,,1751559.00,2967723.00,1885555.00,-1187969.00,22275925.00,,71392735.00,93668660.00,,0.00,352474645.00,16.71,2026-05-17
1150517,115,1,2207,和泰車,371776395.00,153375470.00,525151865.00,369092964.00,39724833.00,408817797.00,5571028.00,,2919185.00,64624396.00,6107609.00,,79222218.00,,37111850.00,116334068.00,0.00,0.00,0.00,142.20,2026-05-17
1150517,115,1,2905,三商,133124099.00,1484286418.00,1617410517.00,62246052.00,1468399841.00,1530645893.00,11103717.00,,4465609.00,40156228.00,-25645804.00,-592930.00,29486820.00,0.00,57277804.00,86764624.00,0.00,0.00,57093000.00,28.00,2026-05-17
1150518,115,1,1409,新纖,169282176.00,69665558.00,238947734.00,165890727.00,19925661.00,185816388.00,16184093.00,,2159424.00,15408892.00,8011465.00,-134336.00,41629538.00,,11501808.00,53131346.00,,0.00,18492487.00,26.02,2026-05-18
1150518,115,1,1718,中纖,795306498.00,245138894.00,1040445392.00,911432986.00,35343746.00,946776732.00,16859057.00,,1751559.00,2967723.00,1885555.00,-1187969.00,22275925.00,,71392735.00,93668660.00,,0.00,352474645.00,16.71,2026-05-18
1150518,115,1,2207,和泰車,371776395.00,153375470.00,525151865.00,369092964.00,39724833.00,408817797.00,5571028.00,,2919185.00,64624396.00,6107609.00,,79222218.00,,37111850.00,116334068.00,0.00,0.00,0.00,142.20,2026-05-18
1150518,115,1,2905,三商,133124099.00,1484286418.00,1617410517.00,62246052.00,1468399841.00,1530645893.00,11103717.00,,4465609.00,40156228.00,-25645804.00,-592930.00,29486820.00,0.00,57277804.00,86764624.00,0.00,0.00,57093000.00,28.00,2026-05-18
