出表日期,資料年月,公司代號,公司名稱,職稱,姓名,選任時持股,目前持股,設質股數,設質股數佔持股比例,內部人關係人目前持股合計,內部人關係人設質股數,內部人關係人設質比例,date
1150515,11504,1111,欣欣水泥,董事長本人,國軍退除役官兵輔導委員會,37251235,37251235,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事長之法人代表人,郭先琛,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事本人,國軍退除役官兵輔導委員會,0,37251235,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事之法人代表人,池玉蘭,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事本人,中國鋼鐵股份有限公司,28658729,28658729,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事之法人代表人,周憲明,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事本人,國軍退除役官兵輔導委員會,0,37251235,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事之法人代表人,倪邦臣,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事本人,中國鋼鐵股份有限公司,0,28658729,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事之法人代表人,謝啟榮,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事本人,國軍退除役官兵輔導委員會,0,37251235,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事之法人代表人,林彥,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事本人,中國鋼鐵股份有限公司,0,28658729,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事之法人代表人,丁建豐,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事本人,中聯資源股份有限公司,9298583,9298583,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事之法人代表人,吳一民,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,董事本人,楊楨,358161,1318161,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,監察人本人,欣泉投資股份有限公司,2775752,2775752,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,監察人之法人代表人,郭峰鳴,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,監察人本人,楊朝然,1151,310434,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,總經理本人,謝啟榮,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,副總經理本人,孟慶凱,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,大股東本人,國軍退除役官兵輔導委員會,0,37251235,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,大股東本人,中國鋼鐵股份有限公司,0,28658729,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,財務部門主管本人,羅韻婷,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1111,欣欣水泥,會計部門主管本人,羅韻婷,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1237,台糖公司,董事長本人,經濟部,4855922552,4855922552,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1237,台糖公司,董事長之法人代表人,吳明昌,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1237,台糖公司,董事本人,經濟部,0,4855922552,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1237,台糖公司,董事之法人代表人,胡忠一,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1237,台糖公司,董事本人,經濟部,0,4855922552,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1237,台糖公司,董事之法人代表人,趙卿惠,0,0,0,0.00%,0,0,0.00%,2026-05-15
1150515,11504,1237,台糖公司,董事本人,經濟部,0,4855922552,0,0.00%,0,0,0.00%,2026-05-15
