出表日期,年度,季別,公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),date
1150515,115,1,1101,台泥,33168.15,18.72,8.42,6.43,3.63,2026-05-15
1150515,115,1,1102,亞泥,14829.49,13.00,7.99,14.44,12.08,2026-05-15
1150515,115,1,1103,嘉泥,688.37,21.15,2.29,9.94,7.46,2026-05-15
1150515,115,1,1108,幸福,980.71,16.14,9.07,8.78,7.02,2026-05-15
1150515,115,1,1109,信大,855.34,6.23,-1.86,-1.42,-1.84,2026-05-15
1150515,115,1,1201,味全,5001.07,27.41,0.79,2.31,2.03,2026-05-15
1150515,115,1,1203,味王,1323.77,34.47,15.75,18.84,13.66,2026-05-15
1150515,115,1,1213,大飲,77.08,-2.00,-16.28,-26.37,-27.38,2026-05-15
1150515,115,1,1215,卜蜂,7176.32,17.75,7.99,7.12,5.20,2026-05-15
1150515,115,1,1216,統一,175017.37,33.78,5.86,7.59,5.58,2026-05-15
1150515,115,1,1217,愛之味,1166.16,26.35,1.83,-4.90,-5.49,2026-05-15
1150515,115,1,1219,福壽,3634.11,7.78,0.08,0.26,-0.10,2026-05-15
1150515,115,1,1220,台榮,695.42,7.79,-3.85,-4.44,-3.58,2026-05-15
1150515,115,1,1231,聯華食,3348.54,21.66,9.51,10.59,8.87,2026-05-15
1150515,115,1,1232,大統益,5894.06,13.69,8.14,8.27,6.61,2026-05-15
1150515,115,1,1233,天仁,568.21,61.08,6.40,6.75,5.35,2026-05-15
1150515,115,1,1234,黑松,2328.33,23.95,2.01,6.92,4.97,2026-05-15
1150515,115,1,1236,宏亞,545.49,28.09,4.61,4.98,3.66,2026-05-15
1150515,115,1,1256,鮮活果汁-KY,1141.78,30.39,13.25,15.26,10.16,2026-05-15
1150515,115,1,1301,台塑,41985.12,3.70,-3.10,8.05,7.79,2026-05-15
1150515,115,1,1303,南亞,68596.39,11.93,5.45,23.44,21.39,2026-05-15
1150515,115,1,1304,台聚,10746.65,2.86,-5.85,-10.13,-9.04,2026-05-15
1150515,115,1,1305,華夏,2673.91,1.97,-6.57,-6.27,-5.05,2026-05-15
1150515,115,1,1307,三芳,2952.81,32.59,13.90,16.88,13.07,2026-05-15
1150515,115,1,1308,亞聚,1301.92,5.66,1.04,-8.89,-9.24,2026-05-15
1150515,115,1,1309,台達化,3333.03,-1.76,-8.26,-7.87,-6.37,2026-05-15
1150515,115,1,1310,台苯,2184.65,8.94,7.12,-21.29,-22.69,2026-05-15
1150515,115,1,1313,聯成,14431.16,6.21,1.35,1.20,0.71,2026-05-15
1150515,115,1,1315,達新,400.56,11.00,-10.14,5.66,3.63,2026-05-15
1150515,115,1,1316,上曜,1897.27,32.15,2.94,4.19,2.16,2026-05-15
1150515,115,1,1319,東陽,5630.74,32.51,15.76,21.11,16.73,2026-05-15
1150515,115,1,1321,大洋,880.89,11.97,2.37,10.58,3.99,2026-05-15
1150515,115,1,1323,永裕,530.89,18.63,4.45,7.19,6.12,2026-05-15
1150515,115,1,1324,地球,169.79,16.15,-3.10,-2.15,-2.65,2026-05-15
1150515,115,1,1325,恆大,57.24,-20.01,-38.07,-14.79,-13.31,2026-05-15
1150515,115,1,1326,台化,81749.81,7.74,3.82,8.92,7.99,2026-05-15
1150515,115,1,1337,再生-KY,152.34,-8.67,-64.51,-75.46,-75.46,2026-05-15
1150515,115,1,1338,廣華-KY,1155.49,25.08,-4.69,-6.73,-7.40,2026-05-15
1150515,115,1,1339,昭輝,394.68,24.62,-0.26,60.63,56.70,2026-05-15
1150515,115,1,1340,勝悅-KY,11.44,-181.27,-376.99,-399.13,-399.13,2026-05-15
1150515,115,1,1341,富林-KY,680.91,25.06,15.15,15.38,12.60,2026-05-15
1150515,115,1,1342,八貫,917.29,27.20,20.36,22.11,17.68,2026-05-15
1150515,115,1,1410,南染,49.54,31.62,-2.11,4.78,0.81,2026-05-15
1150515,115,1,1413,宏洲,437.91,-0.87,-3.37,-3.88,-3.88,2026-05-15
1150515,115,1,1414,東和,113.45,11.10,-6.20,10.03,9.69,2026-05-15
