出表日期,公司代號,公司名稱,是否設置審計委員會,出具本次財務報告審查報告書之監察人姓名,監察人實際在任席次,date
1150514,1101,台泥,是,註,註,2026-05-15
1150514,1102,亞泥,是,註,註,2026-05-15
1150514,1103,嘉泥,是,註,註,2026-05-15
1150514,1104,環泥,是,註,註,2026-05-15
1150514,1108,幸福,是,註,註,2026-05-15
1150514,1109,信大,是,註,註,2026-05-15
1150514,1110,東泥,是,註,註,2026-05-15
1150514,1201,味全,是,註,註,2026-05-15
1150514,1203,味王,是,註,註,2026-05-15
1150514,1210,大成,是,註,註,2026-05-15
1150514,1213,大飲,是,註,註,2026-05-15
1150514,1215,卜蜂,是,註,註,2026-05-15
1150514,1216,統一,是,註,註,2026-05-15
1150514,1217,愛之味,是,註,註,2026-05-15
1150514,1218,泰山,是,註,註,2026-05-15
1150514,1219,福壽,是,註,註,2026-05-15
1150514,1220,台榮,是,註,註,2026-05-15
1150514,1225,福懋油,是,註,註,2026-05-15
1150514,1227,佳格,是,註,註,2026-05-15
1150514,1229,聯華,是,註,註,2026-05-15
1150514,1231,聯華食,是,註,註,2026-05-15
1150514,1232,大統益,是,註,註,2026-05-15
1150514,1233,天仁,是,註,註,2026-05-15
1150514,1234,黑松,是,註,註,2026-05-15
1150514,1235,興泰,是,註,註,2026-05-15
1150514,1236,宏亞,是,註,註,2026-05-15
1150514,1256,鮮活果汁-KY,是,註,註,2026-05-15
1150514,1301,台塑,是,註,註,2026-05-15
1150514,1303,南亞,是,註,註,2026-05-15
1150514,1304,台聚,是,註,註,2026-05-15
1150514,1305,華夏,是,註,註,2026-05-15
1150514,1307,三芳,是,註,註,2026-05-15
1150514,1308,亞聚,是,註,註,2026-05-15
1150514,1309,台達化,是,註,註,2026-05-15
1150514,1310,台苯,是,註,註,2026-05-15
1150514,1312,國喬,是,註,註,2026-05-15
1150514,1313,聯成,是,註,註,2026-05-15
1150514,1314,中石化,是,註,註,2026-05-15
1150514,1315,達新,是,註,註,2026-05-15
1150514,1316,上曜,是,註,註,2026-05-15
1150514,1319,東陽,是,註,註,2026-05-15
1150514,1321,大洋,是,註,註,2026-05-15
1150514,1323,永裕,是,註,註,2026-05-15
1150514,1324,地球,是,註,註,2026-05-15
1150514,1325,恆大,是,註,註,2026-05-15
1150514,1326,台化,是,註,註,2026-05-15
1150514,1337,再生-KY,是,註,註,2026-05-15
1150514,1338,廣華-KY,是,註,註,2026-05-15
1150514,1339,昭輝,是,註,註,2026-05-15
1150514,1340,勝悅-KY,是,註,註,2026-05-15
1150514,1341,富林-KY,是,註,註,2026-05-15
1150514,1342,八貫,是,註,註,2026-05-15
1150514,1402,遠東新,是,註,註,2026-05-15
1150514,1409,新纖,是,註,註,2026-05-15
1150514,1410,南染,是,註,註,2026-05-15
1150514,1413,宏洲,是,註,註,2026-05-15
1150514,1414,東和,是,註,註,2026-05-15
1150514,1416,廣豐,是,註,註,2026-05-15
1150514,1417,嘉裕,是,註,註,2026-05-15
1150514,1418,東華,是,註,註,2026-05-15
1150514,1419,新紡,是,註,註,2026-05-15
1150514,1423,利華,是,註,註,2026-05-15
1150514,1432,大魯閣,是,註,註,2026-05-15
1150514,1434,福懋,是,註,註,2026-05-15
1150514,1435,中福,是,註,註,2026-05-15
1150514,1436,華友聯,是,註,註,2026-05-15
1150514,1437,勤益控,是,註,註,2026-05-15
1150514,1438,三地開發,是,註,註,2026-05-15
1150514,1439,雋揚,是,註,註,2026-05-15
1150514,1440,南紡,是,註,註,2026-05-15
1150514,1441,大東,是,註,註,2026-05-15
1150514,1442,名軒,是,註,註,2026-05-15
1150514,1443,立益物流,是,註,註,2026-05-15
1150514,1444,力麗,是,註,註,2026-05-15
1150514,1445,大宇,是,註,註,2026-05-15
1150514,1446,宏和,是,註,註,2026-05-15
1150514,1447,力鵬,是,註,註,2026-05-15
1150514,1449,佳和,是,註,註,2026-05-15
1150514,1451,年興,是,註,註,2026-05-15
1150514,1452,宏益,是,註,註,2026-05-15
1150514,1453,大將,是,註,註,2026-05-15
1150514,1454,台富,是,註,註,2026-05-15
1150514,1455,集盛,是,註,註,2026-05-15
1150514,1456,怡華,是,註,註,2026-05-15
1150514,1457,宜進,是,註,註,2026-05-15
1150514,1459,聯發,是,註,註,2026-05-15
1150514,1460,宏遠,是,註,註,2026-05-15
1150514,1463,強盛新,是,註,註,2026-05-15
1150514,1464,得力,是,註,註,2026-05-15
1150514,1465,偉全,是,註,註,2026-05-15
1150514,1466,聚隆,是,註,註,2026-05-15
1150514,1467,南緯,是,註,註,2026-05-15
1150514,1468,昶和,是,註,註,2026-05-15
1150514,1470,大統新創,是,註,註,2026-05-15
1150514,1471,首利,是,註,註,2026-05-15
1150514,1472,三洋實業,是,註,註,2026-05-15
1150514,1473,台南,是,註,註,2026-05-15
1150514,1474,弘裕,是,註,註,2026-05-15
1150514,1475,業旺,是,註,註,2026-05-15
1150514,1476,儒鴻,是,註,註,2026-05-15
1150514,1477,聚陽,是,註,註,2026-05-15
1150514,1503,士電,是,註,註,2026-05-15
1150514,1504,東元,是,註,註,2026-05-15
1150514,1506,正道,是,註,註,2026-05-15
1150514,1512,瑞利,是,註,註,2026-05-15
1150514,1513,中興電,是,註,註,2026-05-15
1150514,1514,亞力,是,註,註,2026-05-15
1150514,1515,力山,是,註,註,2026-05-15
1150514,1516,川飛,是,註,註,2026-05-15
1150514,1517,利奇,是,註,註,2026-05-15
1150514,1519,華城,是,註,註,2026-05-15
1150514,1521,大億,是,註,註,2026-05-15
1150514,1522,堤維西,是,註,註,2026-05-15
1150514,1524,耿鼎,是,註,註,2026-05-15
1150514,1525,江申,是,註,註,2026-05-15
1150514,1526,日馳,是,註,註,2026-05-15
1150514,1527,鑽全,是,註,註,2026-05-15
1150514,1528,恩德,是,註,註,2026-05-15
1150514,1529,樂事綠能,是,註,註,2026-05-15
1150514,1530,亞崴,是,註,註,2026-05-15
1150514,1531,高林股,是,註,註,2026-05-15
