Date,FormosaIndex,FormosaTotalReturnIndex,date
1150504,45538.12,69889.10,2026-05-15
1150505,45683.96,70112.93,2026-05-15
1150506,46090.82,70737.40,2026-05-15
1150507,46965.81,72080.27,2026-05-15
1150508,46564.42,71464.25,2026-05-15
1150511,46865.65,71926.56,2026-05-15
1150512,47009.60,72147.48,2026-05-15
1150513,46423.22,71247.54,2026-05-15
1150514,46865.55,71926.41,2026-05-15
1150504,45538.12,69889.10,2026-05-15
1150505,45683.96,70112.93,2026-05-15
1150506,46090.82,70737.40,2026-05-15
1150507,46965.81,72080.27,2026-05-15
1150508,46564.42,71464.25,2026-05-15
1150511,46865.65,71926.56,2026-05-15
1150512,47009.60,72147.48,2026-05-15
1150513,46423.22,71247.54,2026-05-15
1150514,46865.55,71926.41,2026-05-15
1150504,45538.12,69889.10,2026-05-17
1150505,45683.96,70112.93,2026-05-17
1150506,46090.82,70737.40,2026-05-17
1150507,46965.81,72080.27,2026-05-17
1150508,46564.42,71464.25,2026-05-17
1150511,46865.65,71926.56,2026-05-17
1150512,47009.60,72147.48,2026-05-17
1150513,46423.22,71247.54,2026-05-17
1150514,46865.55,71926.41,2026-05-17
1150515,46133.06,70802.22,2026-05-17
1150504,45538.12,69889.10,2026-05-17
1150505,45683.96,70112.93,2026-05-17
1150506,46090.82,70737.40,2026-05-17
1150507,46965.81,72080.27,2026-05-17
1150508,46564.42,71464.25,2026-05-17
1150511,46865.65,71926.56,2026-05-17
1150512,47009.60,72147.48,2026-05-17
1150513,46423.22,71247.54,2026-05-17
1150514,46865.55,71926.41,2026-05-17
1150515,46133.06,70802.22,2026-05-17
1150504,45538.12,69889.10,2026-05-18
1150505,45683.96,70112.93,2026-05-18
1150506,46090.82,70737.40,2026-05-18
1150507,46965.81,72080.27,2026-05-18
1150508,46564.42,71464.25,2026-05-18
1150511,46865.65,71926.56,2026-05-18
1150512,47009.60,72147.48,2026-05-18
1150513,46423.22,71247.54,2026-05-18
1150514,46865.55,71926.41,2026-05-18
1150515,46133.06,70802.22,2026-05-18
