Date,TAIEXTotalReturnIndex,date
1150504,92860.88,2026-05-15
1150505,93007.22,2026-05-15
1150506,93850.32,2026-05-15
1150507,95663.79,2026-05-15
1150508,94911.32,2026-05-15
1150511,95335.91,2026-05-15
1150512,95582.88,2026-05-15
1150513,94387.91,2026-05-15
1150514,95248.52,2026-05-15
1150504,92860.88,2026-05-15
1150505,93007.22,2026-05-15
1150506,93850.32,2026-05-15
1150507,95663.79,2026-05-15
1150508,94911.32,2026-05-15
1150511,95335.91,2026-05-15
1150512,95582.88,2026-05-15
1150513,94387.91,2026-05-15
1150514,95248.52,2026-05-15
1150504,92860.88,2026-05-17
1150505,93007.22,2026-05-17
1150506,93850.32,2026-05-17
1150507,95663.79,2026-05-17
1150508,94911.32,2026-05-17
1150511,95335.91,2026-05-17
1150512,95582.88,2026-05-17
1150513,94387.91,2026-05-17
1150514,95248.52,2026-05-17
1150515,93926.76,2026-05-17
1150504,92860.88,2026-05-17
1150505,93007.22,2026-05-17
1150506,93850.32,2026-05-17
1150507,95663.79,2026-05-17
1150508,94911.32,2026-05-17
1150511,95335.91,2026-05-17
1150512,95582.88,2026-05-17
1150513,94387.91,2026-05-17
1150514,95248.52,2026-05-17
1150515,93926.76,2026-05-17
1150504,92860.88,2026-05-18
1150505,93007.22,2026-05-18
1150506,93850.32,2026-05-18
1150507,95663.79,2026-05-18
1150508,94911.32,2026-05-18
1150511,95335.91,2026-05-18
1150512,95582.88,2026-05-18
1150513,94387.91,2026-05-18
1150514,95248.52,2026-05-18
1150515,93926.76,2026-05-18
