Date,OpeningIndex,HighestIndex,LowestIndex,ClosingIndex,date
1150504,39228.39,40755.52,39228.39,40705.14,2026-05-15
1150505,40708.40,40885.05,40522.78,40769.29,2026-05-15
1150506,40983.04,41575.84,40616.28,41138.85,2026-05-15
1150507,41259.96,42156.06,41259.96,41933.78,2026-05-15
1150508,41886.03,42038.60,41132.25,41603.94,2026-05-15
1150511,41714.00,42021.78,41529.25,41790.06,2026-05-15
1150512,41880.66,42253.42,41471.57,41898.32,2026-05-15
1150513,41795.92,41795.92,41014.53,41374.50,2026-05-15
1150514,41496.23,42205.62,41496.23,41751.75,2026-05-15
1150504,39228.39,40755.52,39228.39,40705.14,2026-05-15
1150505,40708.40,40885.05,40522.78,40769.29,2026-05-15
1150506,40983.04,41575.84,40616.28,41138.85,2026-05-15
1150507,41259.96,42156.06,41259.96,41933.78,2026-05-15
1150508,41886.03,42038.60,41132.25,41603.94,2026-05-15
1150511,41714.00,42021.78,41529.25,41790.06,2026-05-15
1150512,41880.66,42253.42,41471.57,41898.32,2026-05-15
1150513,41795.92,41795.92,41014.53,41374.50,2026-05-15
1150514,41496.23,42205.62,41496.23,41751.75,2026-05-15
1150504,39228.39,40755.52,39228.39,40705.14,2026-05-17
1150505,40708.40,40885.05,40522.78,40769.29,2026-05-17
1150506,40983.04,41575.84,40616.28,41138.85,2026-05-17
1150507,41259.96,42156.06,41259.96,41933.78,2026-05-17
1150508,41886.03,42038.60,41132.25,41603.94,2026-05-17
1150511,41714.00,42021.78,41529.25,41790.06,2026-05-17
1150512,41880.66,42253.42,41471.57,41898.32,2026-05-17
1150513,41795.92,41795.92,41014.53,41374.50,2026-05-17
1150514,41496.23,42205.62,41496.23,41751.75,2026-05-17
1150515,41830.42,42408.66,41016.73,41172.36,2026-05-17
1150504,39228.39,40755.52,39228.39,40705.14,2026-05-17
1150505,40708.40,40885.05,40522.78,40769.29,2026-05-17
1150506,40983.04,41575.84,40616.28,41138.85,2026-05-17
1150507,41259.96,42156.06,41259.96,41933.78,2026-05-17
1150508,41886.03,42038.60,41132.25,41603.94,2026-05-17
1150511,41714.00,42021.78,41529.25,41790.06,2026-05-17
1150512,41880.66,42253.42,41471.57,41898.32,2026-05-17
1150513,41795.92,41795.92,41014.53,41374.50,2026-05-17
1150514,41496.23,42205.62,41496.23,41751.75,2026-05-17
1150515,41830.42,42408.66,41016.73,41172.36,2026-05-17
1150504,39228.39,40755.52,39228.39,40705.14,2026-05-18
1150505,40708.40,40885.05,40522.78,40769.29,2026-05-18
1150506,40983.04,41575.84,40616.28,41138.85,2026-05-18
1150507,41259.96,42156.06,41259.96,41933.78,2026-05-18
1150508,41886.03,42038.60,41132.25,41603.94,2026-05-18
1150511,41714.00,42021.78,41529.25,41790.06,2026-05-18
1150512,41880.66,42253.42,41471.57,41898.32,2026-05-18
1150513,41795.92,41795.92,41014.53,41374.50,2026-05-18
1150514,41496.23,42205.62,41496.23,41751.75,2026-05-18
1150515,41830.42,42408.66,41016.73,41172.36,2026-05-18
