Date,TradeValue,FormosaIndex,Change,date
1150504,1324505668378,45538.12,1957.34,2026-05-15
1150505,1364829234222,45683.96,145.84,2026-05-15
1150506,1966955339473,46090.82,406.86,2026-05-15
1150507,1613263184961,46965.81,874.99,2026-05-15
1150508,1700680634375,46564.42,-401.39,2026-05-15
1150511,1487374255199,46865.65,301.23,2026-05-15
1150512,1818320159231,47009.60,143.95,2026-05-15
1150513,1558841861754,46423.22,-586.38,2026-05-15
1150514,1592467993427,46865.55,442.33,2026-05-15
1150504,1324505668378,45538.12,1957.34,2026-05-15
1150505,1364829234222,45683.96,145.84,2026-05-15
1150506,1966955339473,46090.82,406.86,2026-05-15
1150507,1613263184961,46965.81,874.99,2026-05-15
1150508,1700680634375,46564.42,-401.39,2026-05-15
1150511,1487374255199,46865.65,301.23,2026-05-15
1150512,1818320159231,47009.60,143.95,2026-05-15
1150513,1558841861754,46423.22,-586.38,2026-05-15
1150514,1592467993427,46865.55,442.33,2026-05-15
1150504,1324505668378,45538.12,1957.34,2026-05-17
1150505,1364829234222,45683.96,145.84,2026-05-17
1150506,1966955339473,46090.82,406.86,2026-05-17
1150507,1613263184961,46965.81,874.99,2026-05-17
1150508,1700680634375,46564.42,-401.39,2026-05-17
1150511,1487374255199,46865.65,301.23,2026-05-17
1150512,1818320159231,47009.60,143.95,2026-05-17
1150513,1558841861754,46423.22,-586.38,2026-05-17
1150514,1592467993427,46865.55,442.33,2026-05-17
1150515,1707054308628,46133.06,-732.49,2026-05-17
1150504,1324505668378,45538.12,1957.34,2026-05-17
1150505,1364829234222,45683.96,145.84,2026-05-17
1150506,1966955339473,46090.82,406.86,2026-05-17
1150507,1613263184961,46965.81,874.99,2026-05-17
1150508,1700680634375,46564.42,-401.39,2026-05-17
1150511,1487374255199,46865.65,301.23,2026-05-17
1150512,1818320159231,47009.60,143.95,2026-05-17
1150513,1558841861754,46423.22,-586.38,2026-05-17
1150514,1592467993427,46865.55,442.33,2026-05-17
1150515,1707054308628,46133.06,-732.49,2026-05-17
1150504,1324505668378,45538.12,1957.34,2026-05-18
1150505,1364829234222,45683.96,145.84,2026-05-18
1150506,1966955339473,46090.82,406.86,2026-05-18
1150507,1613263184961,46965.81,874.99,2026-05-18
1150508,1700680634375,46564.42,-401.39,2026-05-18
1150511,1487374255199,46865.65,301.23,2026-05-18
1150512,1818320159231,47009.60,143.95,2026-05-18
1150513,1558841861754,46423.22,-586.38,2026-05-18
1150514,1592467993427,46865.55,442.33,2026-05-18
1150515,1707054308628,46133.06,-732.49,2026-05-18
