Date,Taiwan50Index,Taiwan50TotalReturnIndex,date
1150504,37846.17,86656.80,2026-05-15
1150505,37805.31,86563.25,2026-05-15
1150506,38209.94,87489.74,2026-05-15
1150507,39045.24,89402.32,2026-05-15
1150508,38730.20,88680.96,2026-05-15
1150511,38617.12,88422.05,2026-05-15
1150512,38738.32,88699.57,2026-05-15
1150513,38162.70,87381.56,2026-05-15
1150514,38681.02,88568.37,2026-05-15
1150504,37846.17,86656.80,2026-05-15
1150505,37805.31,86563.25,2026-05-15
1150506,38209.94,87489.74,2026-05-15
1150507,39045.24,89402.32,2026-05-15
1150508,38730.20,88680.96,2026-05-15
1150511,38617.12,88422.05,2026-05-15
1150512,38738.32,88699.57,2026-05-15
1150513,38162.70,87381.56,2026-05-15
1150514,38681.02,88568.37,2026-05-15
1150504,37846.17,86656.80,2026-05-17
1150505,37805.31,86563.25,2026-05-17
1150506,38209.94,87489.74,2026-05-17
1150507,39045.24,89402.32,2026-05-17
1150508,38730.20,88680.96,2026-05-17
1150511,38617.12,88422.05,2026-05-17
1150512,38738.32,88699.57,2026-05-17
1150513,38162.70,87381.56,2026-05-17
1150514,38681.02,88568.37,2026-05-17
1150515,38269.32,87625.69,2026-05-17
1150504,37846.17,86656.80,2026-05-17
1150505,37805.31,86563.25,2026-05-17
1150506,38209.94,87489.74,2026-05-17
1150507,39045.24,89402.32,2026-05-17
1150508,38730.20,88680.96,2026-05-17
1150511,38617.12,88422.05,2026-05-17
1150512,38738.32,88699.57,2026-05-17
1150513,38162.70,87381.56,2026-05-17
1150514,38681.02,88568.37,2026-05-17
1150515,38269.32,87625.69,2026-05-17
1150504,37846.17,86656.80,2026-05-18
1150505,37805.31,86563.25,2026-05-18
1150506,38209.94,87489.74,2026-05-18
1150507,39045.24,89402.32,2026-05-18
1150508,38730.20,88680.96,2026-05-18
1150511,38617.12,88422.05,2026-05-18
1150512,38738.32,88699.57,2026-05-18
1150513,38162.70,87381.56,2026-05-18
1150514,38681.02,88568.37,2026-05-18
1150515,38269.32,87625.69,2026-05-18
