Code,Name,IssuedDate,StartingDate,CouponRate,DailyAccInterest,date
A92106,92央債甲06,20030715,20030715,1.500,4.1096,2026-05-15
A92107,92央債甲07,20030919,20030919,2.750,7.5342,2026-05-15
A92108,92央債甲08,20031030,20031030,2.000,5.4794,2026-05-15
A92109,92央債甲09,20031117,20031117,1.375,3.7671,2026-05-15
A92110,92央債甲10,20031205,20031205,2.875,7.8767,2026-05-15
A93101,93央債甲01,20040109,20040109,1.250,3.4246,2026-05-15
A93102,93央債甲02,20040130,20040130,1.875,5.1369,2026-05-15
A93103,93央債甲03,20040210,20040210,3.000,8.2191,2026-05-15
A93104,93央債甲04,20040304,20040304,2.375,6.5068,2026-05-15
A93105,93央債甲05,20040415,20040415,1.125,3.0821,2026-05-15
A93106,93央債甲06,20040527,20040527,3.875,10.6164,2026-05-15
A93107,93央債甲07,20040722,20040722,2.125,5.8219,2026-05-15
A93108,93央債甲08,20040915,20040915,2.625,7.1917,2026-05-15
A93109,93央債甲09,20041118,20041118,3.000,8.2191,2026-05-15
A94101,94央債甲01,20050107,20050107,1.375,3.7671,2026-05-15
A94102,94央債甲02,20050124,20050124,1.875,5.1369,2026-05-15
A94103,94央債甲03,20050225,20050225,2.375,6.5068,2026-05-15
A94104,94央債甲04,20050316,20050316,2.250,6.1643,2026-05-15
A94105,94央債甲05,20050513,20050513,2.250,6.1643,2026-05-15
A94106,94央債甲06,20050720,20050720,2.000,5.4794,2026-05-15
A94107,94央債甲07,20050912,20050912,1.625,4.4520,2026-05-15
A94108,94央債甲08,20051116,20051116,2.000,5.4794,2026-05-15
A95101,95央債甲01,20060106,20060106,1.750,4.7945,2026-05-15
A95102,95央債甲02,20060224,20060224,1.875,5.1369,2026-05-15
A95103,95央債甲03,20060331,20060331,1.750,4.7945,2026-05-15
A95104,95央債甲04,20060512,20060512,1.875,5.1370,2026-05-15
A95105,95央債甲05,20060720,20060720,2.000,5.4794,2026-05-15
A95106,95央債甲06,20060908,20060908,1.875,5.1369,2026-05-15
A95107,95央債甲07,20061110,20061110,2.125,5.8219,2026-05-15
A96101,96央債甲01,20070126,20070126,1.875,5.1369,2026-05-15
A96102,96央債甲02,20070214,20070214,2.000,5.4794,2026-05-15
A96103,96央債甲03,20070316,20070316,1.875,5.1369,2026-05-15
A96104,96央債甲04,20070518,20070518,1.875,5.1369,2026-05-15
A96105,96央債甲05,20070720,20070720,2.000,5.4794,2026-05-15
A96106,96央債甲06,20070921,20070921,2.375,6.5068,2026-05-15
A96107,96央債甲07,20071116,20071116,3.000,8.2191,2026-05-15
A96201,96央債乙01,20071019,20071019,2.625,7.1917,2026-05-15
A97101,97央債甲01,20080116,20080116,2.375,6.5068,2026-05-15
A97102,97央債甲02,20080214,20080214,2.500,6.8493,2026-05-15
A97103,97央債甲03,20080314,20080314,2.375,6.5068,2026-05-15
A97104,97央債甲04,20080720,20080720,2.000,5.4794,2026-05-15
A97105,97央債甲05,20080814,20080814,2.625,7.1917,2026-05-15
A97106,97央債甲06,20080924,20080924,2.125,5.8219,2026-05-15
A98101,98央債甲01,20090121,20090121,0.875,2.3972,2026-05-15
A98102,98央債甲02,20090216,20090216,2.125,5.8219,2026-05-15
A98103,98央債甲03,20090305,20090305,1.375,3.7671,2026-05-15
A98104,98央債甲04,20090720,20090720,2.000,5.4794,2026-05-15
A98105,98央債甲05,20090813,20090813,2.125,5.8219,2026-05-15
A98106,98央債甲06,20090909,20090909,1.375,3.7671,2026-05-15
A98107,98央債甲07,20091021,20091021,0.250,0.6849,2026-05-15
A99101,99央債甲01,20100112,20100112,0.875,2.3972,2026-05-15
A99102,99央債甲02,20100128,20100128,2.250,6.1643,2026-05-15
A99103,99央債甲03,20100210,20100210,0.250,0.6849,2026-05-15
A99104,99央債甲04,20100222,20100222,1.875,5.1369,2026-05-15
A99105,99央債甲05,20100310,20100310,1.375,3.7671,2026-05-15
A99106,99央債甲06,20100720,20100720,2.000,5.4794,2026-05-15
A99107,99央債甲07,20100812,20100812,1.750,4.7945,2026-05-15
A99108,99央債甲08,20100921,20100921,1.125,3.0821,2026-05-15
A99109,99央債甲09,20101228,20101228,2.125,5.8219,2026-05-15
A09102,109央債甲02,20200117,20200117,0.750,2.1780,2026-05-15
A09103,109央債甲03,20200221,20200221,0.500,1.3698,2026-05-15
A09104,109央債甲04,20200309,20200309,0.500,1.3698,2026-05-15
A09105,109央債甲05,20200512,20200512,0.750,2.0547,2026-05-15
A09106,109央債甲06,20200611,20200611,0.375,1.0273,2026-05-15
A09107,109央債甲07,20200717,20200717,0.250,0.6849,2026-05-15
A09108,109央債甲08,20200918,20200918,0.500,1.3698,2026-05-15
A09109,109央債甲09,20201014,20201014,0.250,0.6849,2026-05-15
A09110,109央債甲10,20201113,20201113,0.125,0.3424,2026-05-15
A09111,109央債甲11,20201127,20201127,0.375,1.0273,2026-05-15
A09112,109央債甲12,20201208,20201208,0.125,0.3424,2026-05-15
A09113,109央債甲13,20201229,20201229,0.375,1.0273,2026-05-15
A10101,110央債甲01,20210113,20210113,0.250,0.6849,2026-05-15
A10102,110央債甲02,20210129,20210129,0.500,1.3698,2026-05-15
A10103,110央債甲03,20210222,20210222,0.250,0.6849,2026-05-15
A10104,110央債甲04,20210225,20210225,0.625,1.9698,2026-05-15
A10105,10央債甲05,20210521,20210521,0.625,1.7123,2026-05-15
A10106,110央債甲06,20210618,20210618,0.125,0.3424,2026-05-15
A10107,110央債甲07,20210623,20210623,0.375,1.0273,2026-05-15
A10108,110央債甲08,20210729,20210729,0.250,0.6849,2026-05-15
A10109,110央債甲09,20210826,20210826,0.250,0.7123,2026-05-15
A10110,110央債甲10,20210929,20210929,0.500,1.3698,2026-05-15
A10111,110央債甲11,20211022,20211022,0.500,1.3698,2026-05-15
A10112,110央債甲12,20211112,20211112,0.625,1.7123,2026-05-15
A10113,110央債甲13,20211223,20211223,1.125,3.0821,2026-05-15
A10201,10央債乙01,20210507,20210507,0.375,1.0273,2026-05-15
A10202,110央債乙02,20210820,20210820,0.250,1.0219,2026-05-15
A11101,111央債甲01,20220118,20220118,1.000,2.7397,2026-05-15
A11102,111央債甲02,20220218,20220218,0.625,1.7123,2026-05-15
A11103,111央債甲03,20220224,20220224,0.500,1.3698,2026-05-15
A11104,111央債甲04,20220304,20220304,0.875,2.3972,2026-05-15
A11105,111央債甲05,20220520,20220520,2.000,5.4794,2026-05-15
A11106,111央債甲06,20220623,20220623,1.000,2.7397,2026-05-15
A11107,111央債甲07,20220630,20220630,1.250,3.4246,2026-05-15
A11108,111央債甲08,20220923,20220923,1.250,3.4246,2026-05-15
A11109,111央債甲09,20220930,20220930,1.875,5.1369,2026-05-15
A11110,111央債甲10,20221017,20221017,1.750,4.7945,2026-05-15
A11111,111央債甲11,20221111,20221111,2.375,6.5753,2026-05-15
A11201,111央債乙01,20220110,20220110,0.750,2.0547,2026-05-15
A11202,111央債乙02,20220331,20220331,0.750,2.0547,2026-05-15
A12101,112央債甲01,20230117,20230117,1.000,2.7397,2026-05-15
A12102,112央債甲02,20230217,20230217,1.125,3.0820,2026-05-15
A12103,112央債甲03,20230223,20230223,1.000,2.7397,2026-05-15
A12104,112央債甲04,20230303,20230303,1.375,3.7671,2026-05-15
A12105,112央債甲05,20230512,20230512,1.500,4.1095,2026-05-15
A12106,112央債甲06,20230526,20230526,1.000,2.7397,2026-05-15
A12107,112央債甲07,20230609,20230609,1.125,3.0821,2026-05-15
A12108,112央債甲08,20230915,20230915,1.125,3.0821,2026-05-15
A12109,112央債甲09,20230922,20230922,1.375,3.7671,2026-05-15
A12110,112央債甲10,20231005,20231005,1.250,3.4246,2026-05-15
A12111,112央債甲11,20231122,20231122,1.750,4.7945,2026-05-15
A12201,112央債乙01,20230110,20230110,1.250,3.4246,2026-05-15
A13101,113央債甲01,20240105,20240105,1.125,3.0821,2026-05-15
A13102,113央債甲02,20240118,20240118,1.375,3.7568,2026-05-15
A13103,113央債甲03,20240129,20240129,1.125,3.0737,2026-05-15
A13104,113央債甲04,20240223,20240223,1.125,3.0737,2026-05-15
A13105,113央債甲05,20240425,20240425,1.625,4.4520,2026-05-15
A13106,113央債甲06,20240524,20240524,1.875,5.1369,2026-05-15
A13107,113央債甲07,20240621,20240621,1.625,4.4520,2026-05-15
A13108,113央債甲08,20240913,20240913,1.375,3.7671,2026-05-15
A13109,113央債甲09,20240925,20240925,1.500,4.1096,2026-05-15
A13110,113央債甲10,20241018,20241018,1.500,4.1095,2026-05-15
A13111,113央債甲11,20241115,20241115,1.750,4.7945,2026-05-15
A13201,113央債乙01,20240315,20240315,1.125,3.0821,2026-05-15
A13202,113央債乙02,20240510,20240510,1.625,4.4520,2026-05-15
A14101,114央債甲01,20250109,20250109,1.500,4.1095,2026-05-15
A14102,114央債甲02,20250122,20250122,1.250,3.4246,2026-05-15
A14103,114央債甲03,20250213,20250213,1.500,4.1095,2026-05-15
A14104,114央債甲04,20250312,20250312,1.500,4.1095,2026-05-15
A14105,114央債甲05,20250327,20250327,1.750,4.7945,2026-05-15
A14106,114央債甲06,20250516,20250516,1.875,5.1369,2026-05-15
A14107,114央債甲07,20250613,20250613,1.500,4.1095,2026-05-15
A14108,114央債甲08,20250716,20250716,1.250,3.4246,2026-05-15
A14109,114央債甲09,20250910,20250910,1.500,4.1096,2026-05-15
A14110,114央債甲10,20251017,20251017,1.250,3.4246,2026-05-15
