出表日期,基金代號,基金簡稱,基金類型,基金中文名稱,基金英文名稱,標的指數/追蹤指數名稱,標的指數是否為客製化或需揭露相關資訊之指數,股票及債券投資比例說明,是否設有績效指標,績效指標中文名稱,績效指標英文名稱,是否包含國外成分股,基金統一編號,成立日期,上市日期,基金經理人,經理公司總機,經理公司地址,經理公司董事長,經理公司發言人,經理公司總經理,經理公司代理發言人,總代理人,發行單位數/轉換數,保管機構,保管機構電話,保管機構地址,備註,date
1150514,00400A,主動國泰動能高息,國內成分證券主動式交易所交易基金(股票),國泰台股動能高息主動式ETF證券投資信託基金,Cathay High Dividend Momentum Active ETF,不適用,不適用,不適用,否,,,否,00669040,1150330,1150409,梁恩溢,(02)2700-8399,台北市大安區敦化南路2段39號6樓,李偉正,鄭立誠,張雍川,陳麗萍,,1543640000,台灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,00401A,主動摩根台灣鑫收,國內成分證券主動式交易所交易基金(股票),摩根台灣鑫收益主動式ETF證券投資信託基金,JPMorgan (Taiwan) Taiwan Equity High Income Active ETF,不適用,不適用,不適用,否,,,否,00668844,1150331,1150410,沈馨,(02)8726-8686,台北市信義區松智路1號20樓,唐德瑜,唐德瑜,潘怡如,潘怡如,,273395000,國泰世華商業銀行股份有限公司,(02)8722-6666,台北市松仁路7號1樓,,2026-05-15
1150514,00403A,主動統一升級50,國內成分證券主動式交易所交易基金(股票),統一台股升級50主動式ETF證券投資信託基金,UPAMC Taiwan Elite 50 Active ETF,不適用,不適用,不適用,是,臺灣證券交易所發行量加權股價指數,Taiwan Stock Exchange Capitalization Weighted Stock Index,否,00670969,1150428,1150512,張哲偉,(02)2747-8388,台北市松山區東興路8號8樓,鄧潤澤,董永寬,董永寬,董永寬,,14198019000,彰化商業銀行股份有限公司,(02)2536-2951,台北市中山北路2段57號13樓,,2026-05-15
1150514,0050,元大台灣50,國內成分證券指數股票型基金,元大台灣卓越50證券投資信託基金,Yuanta/P-shares Taiwan Top 50 ETF,臺灣50指數,否,不適用,不適用,不適用,不適用,否,98764389,0920625,0920630,陳重銓,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,18597000000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,0051,元大中型100,國內成分證券指數股票型基金,元大台灣中型100證券投資信託基金,Yuanta/P-shares Taiwan Mid-Cap 100 ETF,臺灣中型100指數,否,不適用,不適用,不適用,不適用,否,48772770,0950824,0950831,邱鉦淵,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,24500000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,0052,富邦科技,國內成分證券指數股票型基金,富邦台灣科技指數證券投資信託基金,Fubon Taiwan Technology Tracker Fund,臺灣資訊科技指數,否,不適用,不適用,不適用,不適用,否,48790067,0950828,0950912,洪珮甄,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,2514000000,台新國際商業銀行股份有限公司,(02)2326-8899,臺北市大安區仁愛路四段118號12樓,,2026-05-15
1150514,0053,元大電子,國內成分證券指數股票型基金,元大台灣ETF傘型證券投資信託基金之電子科技證券投資信託基金,Yuanta/P-shares Taiwan Electronics Tech ETF,電子類加權股價指數,否,不適用,不適用,不適用,不適用,否,48903196,0960704,0960716,蔡宗勳,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,4988000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,0054,元大台商50,國內成分證券指數股票型基金,元大台灣ETF傘型證券投資信託基金之台商收成證券投資信託基金,Yuanta/P-shares S&amp;P Custom China Play 50 ETF,S&amp;P台商收成指數,,不適用,不適用,不適用,不適用,否,48903180,0960704,0960716,陳威志,(02)27175555,臺北市大安區敦化南路二段67號地下一層,劉宗聖,陳沛宇,陳沛宇,林瑞源,,4124000,臺灣集中保管結算所股份有限公司,(02)27195805,台北市復興北路363號11樓,,2026-05-15
1150514,0055,元大MSCI金融,國內成分證券指數股票型基金,元大台灣ETF傘型證券投資信託基金之金融證券投資信託基金,Yuanta/P-shares MSCI Taiwan Financials ETF,MSCI台灣金融指數,否,不適用,不適用,不適用,不適用,否,48903175,0960704,0960716,程惇亞,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,81154000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,0056,元大高股息,國內成分證券指數股票型基金,元大台灣高股息證券投資信託基金,Yuanta/P-shares Taiwan Dividend Plus ETF,臺灣高股息指數,否,不適用,不適用,不適用,不適用,否,48966213,0961213,0961226,陳威志,(02)2717-5555,臺北市松山區敦化南路1段66號4樓、5樓及68號2樓之1,劉宗聖,陳沛宇,陳沛宇,張士桓,,13789534000,臺灣集中保管結算所股份有限公司,(02)2719-5805,台北市復興北路363號11樓,,2026-05-15
1150514,0057,富邦摩台,國內成分證券指數股票型基金,富邦台灣ETF傘型證券投資信託基金之富邦台灣摩根指數股票型證券投資信託基金,FUBON MSCI  TAIWAN ETF,MSCI臺灣指數,否,不適用,不適用,不適用,不適用,否,48975156,0970214,0970227,陳又又吉,(02)8771-6688,台北市敦化南路一段108號8樓,黃昭棠,黃昭棠,呂其倫,呂其倫,,1527000,台新國際商業銀行股份有限公司,(02)2326-8899,臺北市大安區仁愛路四段118號12樓,,2026-05-15
1150514,0058,富邦發達,國內成分證券指數股票型基金,富邦台灣ETF傘型證券投資信託基金之富邦台灣發達指數股票型證券投資信託基金,FUBON TAIWAN EIGHT INDUSTRIES ETF,臺灣發達指數,,不適用,不適用,不適用,不適用,否,48977083,0970214,0970227,簡伯容,((02)8771)6688,台北市敦化南路一段108號8樓,胡德興,胡德興,李明州,李明州,,696000,富邦證券投資信託股份有限公司,((02)8771)6688,台北市敦化南路一段108號8樓,,2026-05-15
1150514,0059,富邦金融,國內成分證券指數股票型基金,富邦台灣ETF傘型證券投資信託基金之富邦台灣金融指數股票型證券投資信託基金,FUBON TAIWAN FINANCE  ETF,金融保險類股指數,,不適用,不適用,不適用,不適用,否,48975162,0970214,0970227,楊貽甯,((02)8771)6688,台北市敦化南路一段108號8樓,胡德興,胡德興,李明州,李明州,,973000,富邦證券投資信託股份有限公司,((02)8771)6688,台北市敦化南路一段108號8樓,,2026-05-15
