Month,Class,TradeVolume,MarketSharePer,TradeValue,date
11501,逐筆交易,5436000,0.00,476017600.0000,2026-05-15
11501,配對交易,279212548,0.67,111169708432.2800,2026-05-15
11502,逐筆交易,4675000,0.00,435688250.0000,2026-05-15
11502,配對交易,272011974,1.00,98165235193.8800,2026-05-15
11503,逐筆交易,41724000,0.02,3344725750.0000,2026-05-15
11503,配對交易,562154115,0.88,158233948797.6800,2026-05-15
11504,逐筆交易,5687424,0.00,245035988.0000,2026-05-15
11504,配對交易,420700434,0.95,181559663636.4500,2026-05-15
11505,逐筆交易,903800,0.00,80438200.0000,2026-05-15
11505,配對交易,199244460,1.02,116156071937.1300,2026-05-15
11501,逐筆交易,5436000,0.00,476017600.0000,2026-05-15
11501,配對交易,279212548,0.67,111169708432.2800,2026-05-15
11502,逐筆交易,4675000,0.00,435688250.0000,2026-05-15
11502,配對交易,272011974,1.00,98165235193.8800,2026-05-15
11503,逐筆交易,41724000,0.02,3344725750.0000,2026-05-15
11503,配對交易,562154115,0.88,158233948797.6800,2026-05-15
11504,逐筆交易,5687424,0.00,245035988.0000,2026-05-15
11504,配對交易,420700434,0.95,181559663636.4500,2026-05-15
11505,逐筆交易,903800,0.00,80438200.0000,2026-05-15
11505,配對交易,199244460,1.02,116156071937.1300,2026-05-15
11501,逐筆交易,5436000,0.00,476017600.0000,2026-05-17
11501,配對交易,279212548,0.67,111169708432.2800,2026-05-17
11502,逐筆交易,4675000,0.00,435688250.0000,2026-05-17
11502,配對交易,272011974,1.00,98165235193.8800,2026-05-17
11503,逐筆交易,41724000,0.02,3344725750.0000,2026-05-17
11503,配對交易,562154115,0.88,158233948797.6800,2026-05-17
11504,逐筆交易,5687424,0.00,245035988.0000,2026-05-17
11504,配對交易,420700434,0.95,181559663636.4500,2026-05-17
11505,逐筆交易,903800,0.00,80438200.0000,2026-05-17
11505,配對交易,213100725,0.99,125710614749.7300,2026-05-17
11501,逐筆交易,5436000,0.00,476017600.0000,2026-05-17
11501,配對交易,279212548,0.67,111169708432.2800,2026-05-17
11502,逐筆交易,4675000,0.00,435688250.0000,2026-05-17
11502,配對交易,272011974,1.00,98165235193.8800,2026-05-17
11503,逐筆交易,41724000,0.02,3344725750.0000,2026-05-17
11503,配對交易,562154115,0.88,158233948797.6800,2026-05-17
11504,逐筆交易,5687424,0.00,245035988.0000,2026-05-17
11504,配對交易,420700434,0.95,181559663636.4500,2026-05-17
11505,逐筆交易,903800,0.00,80438200.0000,2026-05-17
11505,配對交易,213100725,0.99,125710614749.7300,2026-05-17
11501,逐筆交易,5436000,0.00,476017600.0000,2026-05-18
11501,配對交易,279212548,0.67,111169708432.2800,2026-05-18
11502,逐筆交易,4675000,0.00,435688250.0000,2026-05-18
11502,配對交易,272011974,1.00,98165235193.8800,2026-05-18
11503,逐筆交易,41724000,0.02,3344725750.0000,2026-05-18
11503,配對交易,562154115,0.88,158233948797.6800,2026-05-18
11504,逐筆交易,5687424,0.00,245035988.0000,2026-05-18
11504,配對交易,420700434,0.95,181559663636.4500,2026-05-18
11505,逐筆交易,903800,0.00,80438200.0000,2026-05-18
11505,配對交易,213100725,0.99,125710614749.7300,2026-05-18
