Month,TradeVolume,MarketSharePer,TradeValue,date
094,2912121423,0.91,135425777263.1500,2026-05-15
095,827500897,0.07,17422428762.7900,2026-05-15
096,2918009882,0.35,117112687115.7200,2026-05-15
097,4832497583,0.66,176846413021.9100,2026-05-15
098,4446199744,0.54,163034053504.7700,2026-05-15
099,4958486505,0.82,238156265284.0200,2026-05-15
100,4862692389,0.88,238283835965.3000,2026-05-15
101,7819483391,1.30,269894469510.0700,2026-05-15
102,7354560648,1.50,294919896780.2000,2026-05-15
103,8728728225,1.61,370407204323.2700,2026-05-15
104,5223808173,1.25,280333969893.6000,2026-05-15
105,6187130032,1.53,289558198014.0100,2026-05-15
106,7836989489,1.86,481052846989.2800,2026-05-15
107,8964319669,1.52,488443715754.8700,2026-05-15
108,6684213298,1.40,406259395221.3600,2026-05-15
109,7153875990,1.10,542603422961.4800,2026-05-15
110,8156110203,0.81,769505600658.6400,2026-05-15
111,7619875365,1.02,606939231499.4500,2026-05-15
112,6730188445,0.95,636628357614.3900,2026-05-15
113,6262738666,0.97,970557755415.2700,2026-05-15
114,6664472361,1.03,1041110888018.6600,2026-05-15
115,1791749755,0.89,669866533785.4200,2026-05-15
094,2912121423,0.91,135425777263.1500,2026-05-15
095,827500897,0.07,17422428762.7900,2026-05-15
096,2918009882,0.35,117112687115.7200,2026-05-15
097,4832497583,0.66,176846413021.9100,2026-05-15
098,4446199744,0.54,163034053504.7700,2026-05-15
099,4958486505,0.82,238156265284.0200,2026-05-15
100,4862692389,0.88,238283835965.3000,2026-05-15
101,7819483391,1.30,269894469510.0700,2026-05-15
102,7354560648,1.50,294919896780.2000,2026-05-15
103,8728728225,1.61,370407204323.2700,2026-05-15
104,5223808173,1.25,280333969893.6000,2026-05-15
105,6187130032,1.53,289558198014.0100,2026-05-15
106,7836989489,1.86,481052846989.2800,2026-05-15
107,8964319669,1.52,488443715754.8700,2026-05-15
108,6684213298,1.40,406259395221.3600,2026-05-15
109,7153875990,1.10,542603422961.4800,2026-05-15
