Code,Name,TradeVolume,Transaction,TradeValue,TradePrice,BidVolume,AskVolume,date
00400A,主動國泰動能高息,62,38,854980,13.79,451,,2026-05-15
00401A,主動摩根台灣鑫收,,,,12.78,46,,2026-05-15
00403A,主動統一升級50,6805,1206,69683200,10.24,,208,2026-05-15
0050,元大台灣50,257,160,24684850,96.05,,7,2026-05-15
0051,元大中型100,,,,132.45,1,,2026-05-15
0052,富邦科技,64,23,3622400,56.60,2268,,2026-05-15
0053,元大電子,,,,223.80,,,2026-05-15
0055,元大MSCI金融,,,,33.66,,,2026-05-15
0056,元大高股息,124,72,5598600,45.15,,124,2026-05-15
0057,富邦摩台,,,,287.10,,,2026-05-15
0061,元大寶滬深,,,,25.34,,,2026-05-15
006203,元大MSCI台灣,,,,175.15,,,2026-05-15
006204,永豐臺灣加權,,,,208.40,,,2026-05-15
006205,富邦上証,3,1,126060,42.02,47,,2026-05-15
006206,元大上證50,,,,38.04,1,,2026-05-15
006207,復華滬深,,,,34.04,,1,2026-05-15
006208,富邦台50,28,10,6230000,222.50,1289,,2026-05-15
00631L,元大台灣50正2,1201,270,38383960,31.96,,4149,2026-05-15
00632R,元大台灣50反1,92,15,1041440,11.32,,673,2026-05-15
00633L,富邦上証正2,,,,54.15,52,,2026-05-15
00634R,富邦上証反1,,,,3.02,,,2026-05-15
00635U,期元大S&P黃金,5,5,246100,49.22,,8,2026-05-15
00636,國泰中國A50,,,,29.07,3,,2026-05-15
00636K,國泰中國A50+U,,,,9.23,,,2026-05-15
00637L,元大滬深300正2,34,14,759220,22.33,28,,2026-05-15
00638R,元大滬深300反1,,,,6.45,,,2026-05-15
00639,富邦深100,,,,18.15,1,,2026-05-15
00640L,富邦日本正2,,,,99.15,,,2026-05-15
00641R,富邦日本反1,,,,3.90,,,2026-05-15
00642U,期元大S&P石油,2,2,61380,30.69,,4062,2026-05-15
00643,群益深証中小,,,,20.61,5,,2026-05-15
00645,富邦日本,,,,54.75,,,2026-05-15
00646,元大S&P500,1,1,73850,73.85,6,,2026-05-15
00647L,元大S&P500正2,,,,133.15,1,,2026-05-15
00648R,元大S&P500反1,,,,4.02,1,,2026-05-15
00650L,復華香港正2,,,,18.34,,7935,2026-05-15
00651R,復華香港反1,,,,5.08,,,2026-05-15
00652,富邦印度,,,,31.96,2,,2026-05-15
00653L,富邦印度正2,,,,44.39,1221,,2026-05-15
00654R,富邦印度反1,,,,6.94,,500,2026-05-15
00655L,國泰中國A50正2,,,,37.74,,3001,2026-05-15
00656R,國泰中國A50反1,1,1,5750,5.75,,3399,2026-05-15
00657,國泰日經225,,,,74.10,,,2026-05-15
00657K,國泰日經225+U,,,,23.77,,,2026-05-15
00660,元大歐洲50,,,,42.70,,,2026-05-15
00661,元大日經225,,,,81.20,,,2026-05-15
00662,富邦NASDAQ,1,1,119450,119.45,30,,2026-05-15
00663L,國泰臺灣加權正2,31,17,2853550,92.05,,1183,2026-05-15
00664R,國泰臺灣加權反1,40,4,72800,1.82,103,,2026-05-15
00665L,富邦恒生國企正2,18,8,187020,10.39,,4983,2026-05-15
00666R,富邦恒生國企反1,,,,8.75,200,,2026-05-15
00668,國泰美國道瓊,,,,57.30,,,2026-05-15
00668K,國泰美國道瓊+U,,,,18.16,,,2026-05-15
00669R,國泰美國道瓊反1,,,,5.51,,100,2026-05-15
00670L,富邦NASDAQ正2,,,,208.85,54,,2026-05-15
00671R,富邦NASDAQ反1,1,1,2450,2.45,10,,2026-05-15
00673R,期元大S&P原油反1,25,4,299250,11.97,76,,2026-05-15
00674R,期元大S&P黃金反1,,,,26.30,,,2026-05-15
00675L,富邦臺灣加權正2,11,9,3062400,278.40,,732,2026-05-15
00676R,富邦臺灣加權反1,6,2,37260,6.21,,13,2026-05-15
00678,群益那斯達克生技,,,,36.33,,,2026-05-15
00680L,元大美債20正2,43,10,292400,6.80,2,,2026-05-15
00681R,元大美債20反1,,,,21.26,4,,2026-05-15
00682U,期元大美元指數,,,,20.23,,,2026-05-15
00683L,期元大美元指正2,,,,20.95,,,2026-05-15
00684R,期元大美元指反1,,,,15.34,100,,2026-05-15
00685L,群益臺灣加權正2,3,3,755550,251.85,,990,2026-05-15
00686R,群益臺灣加權反1,1,1,1120,1.12,,1,2026-05-15
00688L,國泰20年美債正2,17,7,115260,6.78,,304,2026-05-15
00689R,國泰20年美債反1,,,,22.15,2,,2026-05-15
00690,兆豐藍籌30,3,3,220500,73.50,,8,2026-05-15
00692,富邦公司治理,9,3,754200,83.80,1982,,2026-05-15
00693U,期街口S&P黃豆,,,,22.72,1,,2026-05-15
00700,富邦恒生國企,,,,17.90,,,2026-05-15
00701,國泰股利精選30,,,,31.84,3,,2026-05-15
00702,國泰標普低波高息,,,,23.77,,,2026-05-15
00703,台新MSCI中國,,,,20.65,,,2026-05-15
00706L,期元大S&P日圓正2,,,,19.58,,,2026-05-15
00707R,期元大S&P日圓反1,,,,31.65,,,2026-05-15
00708L,期元大S&P黃金正2,1,1,97400,97.40,,800,2026-05-15
00709,富邦歐洲,,,,38.33,,,2026-05-15
00710B,復華彭博非投等債,,,,18.86,,2,2026-05-15
00711B,復華彭博新興債,,,,15.99,,,2026-05-15
00712,復華富時不動產,60,7,533400,8.89,233,,2026-05-15
