Date,stock_id,stock_name,pe,div_yield,pb,date
1150514,1101,台泥,,3.26,0.78,2026-05-15
1150514,1102,亞泥,11.81,6.53,0.7,2026-05-15
1150514,1103,嘉泥,16.31,4.21,0.47,2026-05-15
1150514,1104,環泥,10.9,6.63,0.79,2026-05-15
1150514,1108,幸福,6.91,7.17,1.04,2026-05-15
1150514,1109,信大,19.24,5.92,0.61,2026-05-15
1150514,1110,東泥,40.0,2.08,0.87,2026-05-15
1150514,1201,味全,31.97,1.73,0.79,2026-05-15
1150514,1203,味王,24.8,2.34,1.56,2026-05-15
1150514,1210,大成,12.15,5.7,1.65,2026-05-15
1150514,1213,大飲,,3.91,0.8,2026-05-15
1150514,1215,卜蜂,14.92,5.05,3.85,2026-05-15
1150514,1216,統一,20.22,4.01,2.94,2026-05-15
1150514,1217,愛之味,20.02,2.6,0.64,2026-05-15
1150514,1218,泰山,11.79,7.04,0.7,2026-05-15
1150514,1219,福壽,27.55,3.86,0.95,2026-05-15
1150514,1220,台榮,605.0,1.65,0.92,2026-05-15
1150514,1225,福懋油,18.67,3.31,1.88,2026-05-15
1150514,1227,佳格,21.47,4.69,1.4,2026-05-15
1150514,1229,聯華,15.54,5.01,1.25,2026-05-15
1150514,1231,聯華食,19.5,2.91,3.39,2026-05-15
1150514,1232,大統益,17.05,4.88,3.76,2026-05-15
1150514,1233,天仁,35.12,0.69,1.87,2026-05-15
1150514,1234,黑松,20.36,4.85,0.75,2026-05-15
1150514,1235,興泰,,2.5,0.63,2026-05-15
1150514,1236,宏亞,,6.73,0.87,2026-05-15
1150514,1256,鮮活果汁-KY,13.97,3.57,1.58,2026-05-15
1150514,1301,台塑,,1.08,0.75,2026-05-15
1150514,1303,南亞,36.93,0.94,1.76,2026-05-15
1150514,1304,台聚,,1.18,0.78,2026-05-15
1150514,1305,華夏,,0.79,0.96,2026-05-15
1150514,1307,三芳,11.64,6.9,1.3,2026-05-15
1150514,1308,亞聚,,1.5,0.72,2026-05-15
1150514,1309,台達化,,0.93,1.11,2026-05-15
1150514,1310,台苯,,,0.58,2026-05-15
1150514,1312,國喬,,,0.42,2026-05-15
1150514,1313,聯成,,0.95,0.49,2026-05-15
1150514,1314,中石化,,,0.34,2026-05-15
1150514,1315,達新,39.68,7.36,0.57,2026-05-15
1150514,1316,上曜,,,0.9,2026-05-15
1150514,1319,東陽,14.22,6.31,1.61,2026-05-15
1150514,1321,大洋,,1.29,1.12,2026-05-15
1150514,1323,永裕,34.55,4.65,0.69,2026-05-15
1150514,1324,地球,,1.94,0.87,2026-05-15
1150514,1325,恆大,,1.11,0.89,2026-05-15
1150514,1326,台化,299.67,1.33,0.7,2026-05-15
1150514,1337,再生-KY,,,0.36,2026-05-15
1150514,1338,廣華-KY,,1.94,0.21,2026-05-15
1150514,1339,昭輝,9.56,6.18,0.74,2026-05-15
1150514,1340,勝悅-KY,,,0.32,2026-05-15
1150514,1341,富林-KY,14.88,6.59,2.7,2026-05-15
1150514,1342,八貫,15.71,6.42,3.49,2026-05-15
1150514,1402,遠東新,18.32,4.67,0.62,2026-05-15
1150514,1409,新纖,14.38,5.22,0.67,2026-05-15
1150514,1410,南染,50.19,0.74,1.61,2026-05-15
1150514,1413,宏洲,22.55,,1.12,2026-05-15
1150514,1414,東和,54.31,1.27,1.09,2026-05-15
1150514,1416,廣豐,13.08,5.07,0.46,2026-05-15
1150514,1417,嘉裕,18.44,3.01,0.67,2026-05-15
1150514,1418,東華,,,0.84,2026-05-15
1150514,1419,新紡,15.26,2.87,1.07,2026-05-15
1150514,1423,利華,10.76,8.88,1.09,2026-05-15
1150514,1432,大魯閣,2.74,12.12,1.07,2026-05-15
1150514,1434,福懋,25.58,3.26,0.57,2026-05-15
1150514,1436,華友聯,11.17,10.51,1.71,2026-05-15
1150514,1437,勤益控,10.18,3.4,0.69,2026-05-15
1150514,1438,三地開發,7.55,,0.72,2026-05-15
1150514,1439,雋揚,8.31,1.95,0.79,2026-05-15
1150514,1440,南紡,,2.58,0.7,2026-05-15
1150514,1441,大東,,,1.63,2026-05-15
1150514,1442,名軒,8.7,9.11,1.21,2026-05-15
1150514,1443,立益物流,23.95,,1.56,2026-05-15
1150514,1444,力麗,,,0.61,2026-05-15
1150514,1445,大宇,,4.24,0.74,2026-05-15
1150514,1446,宏和,8.94,9.87,0.74,2026-05-15
1150514,1447,力鵬,,,0.59,2026-05-15
1150514,1449,佳和,,,0.71,2026-05-15
1150514,1451,年興,19.04,5.9,0.46,2026-05-15
1150514,1452,宏益,,1.82,0.55,2026-05-15
1150514,1453,大將,103.18,2.64,0.9,2026-05-15
1150514,1454,台富,,0.77,1.19,2026-05-15
1150514,1455,集盛,,1.98,0.75,2026-05-15
1150514,1456,怡華,3.84,,0.65,2026-05-15
1150514,1457,宜進,15.6,7.04,0.64,2026-05-15
1150514,1459,聯發,7.65,1.69,1.06,2026-05-15
1150514,1460,宏遠,,,0.83,2026-05-15
1150514,1463,強盛新,,0.72,1.18,2026-05-15
1150514,1464,得力,27.43,2.46,0.78,2026-05-15
1150514,1465,偉全,,2.51,0.79,2026-05-15
1150514,1466,聚隆,,1.39,1.02,2026-05-15
1150514,1467,南緯,,,0.58,2026-05-15
1150514,1468,昶和,102.08,,1.35,2026-05-15
1150514,1470,大統新創,24.6,3.04,1.86,2026-05-15
1150514,1471,首利,,,1.11,2026-05-15
1150514,1472,三洋實業,13.87,6.73,1.97,2026-05-15
1150514,1473,台南,,2.47,0.75,2026-05-15
1150514,1474,弘裕,41.25,2.53,0.58,2026-05-15
1150514,1475,業旺,10.57,5.57,1.17,2026-05-15
1150514,1476,儒鴻,16.52,4.39,3.41,2026-05-15
1150514,1477,聚陽,16.1,6.73,4.23,2026-05-15
1150514,1503,士電,31.42,2.54,2.83,2026-05-15
1150514,1504,東元,32.18,2.76,2.02,2026-05-15
1150514,1506,正道,145.71,,1.09,2026-05-15
1150514,1512,瑞利,36.63,,1.05,2026-05-15
1150514,1513,中興電,18.59,3.92,3.51,2026-05-15
1150514,1514,亞力,33.97,1.89,4.83,2026-05-15
1150514,1515,力山,22.6,2.71,1.03,2026-05-15
1150514,1516,川飛,1090.0,,4.27,2026-05-15
1150514,1517,利奇,,1.98,0.65,2026-05-15
1150514,1519,華城,59.79,1.38,33.36,2026-05-15
1150514,1521,大億,34.51,3.06,1.01,2026-05-15
1150514,1522,堤維西,97.26,3.98,1.02,2026-05-15
1150514,1524,耿鼎,19.2,4.86,1.65,2026-05-15
1150514,1525,江申,37.38,4.68,0.86,2026-05-15
1150514,1526,日馳,,,0.66,2026-05-15
1150514,1527,鑽全,35.71,4.62,0.92,2026-05-15
1150514,1528,恩德,,0.4,2.25,2026-05-15
1150514,1529,樂事綠能,20.64,4.8,1.78,2026-05-15
1150514,1530,亞崴,,3.79,0.78,2026-05-15
1150514,1531,高林股,,7.97,0.63,2026-05-15
1150514,1532,勤美,20.4,3.96,0.56,2026-05-15
1150514,1533,車王電,21.29,,1.42,2026-05-15
1150514,1535,中宇,12.7,6.07,1.54,2026-05-15
1150514,1536,和大,,1.56,1.85,2026-05-15
1150514,1537,廣隆,16.58,5.71,2.24,2026-05-15
1150514,1538,正峰,,,3.14,2026-05-15
1150514,1539,巨庭,388.75,5.47,0.63,2026-05-15
1150514,1540,喬福,22.04,4.88,1.16,2026-05-15
1150514,1541,錩泰,9.6,2.29,0.8,2026-05-15
1150514,1558,伸興,16.1,5.52,1.1,2026-05-15
1150514,1560,中砂,64.1,0.77,11.75,2026-05-15
1150514,1563,巧新,103.18,4.41,1.2,2026-05-15
1150514,1568,倉佑,21.16,3.53,1.58,2026-05-15
1150514,1582,信錦,35.56,3.07,1.88,2026-05-15
1150514,1583,程泰,,2.14,0.9,2026-05-15
1150514,1587,吉茂,70.98,1.72,1.45,2026-05-15
1150514,1590,亞德客-KY,32.07,1.95,5.76,2026-05-15
1150514,1597,直得,151.26,0.39,6.56,2026-05-15
1150514,1598,岱宇,,2.48,0.8,2026-05-15
1150514,1603,華電,11.91,6.24,0.67,2026-05-15
1150514,1604,聲寶,13.85,6.56,0.98,2026-05-15
1150514,1605,華新,25.99,1.4,0.96,2026-05-15
1150514,1608,華榮,5.98,6.07,1.44,2026-05-15
1150514,1609,大亞,20.67,2.05,1.56,2026-05-15
1150514,1611,中電,373.33,7.14,0.86,2026-05-15
1150514,1612,宏泰,12.05,6.92,1.4,2026-05-15
1150514,1614,三洋電,23.6,3.11,1.45,2026-05-15
1150514,1615,大山,9.09,5.8,1.74,2026-05-15
1150514,1616,億泰,17.52,6.31,1.8,2026-05-15
1150514,1617,榮星,16.82,4.05,1.1,2026-05-15
1150514,1618,合機,9.1,4.44,1.12,2026-05-15
1150514,1623,大東電,17.93,3.6,3.66,2026-05-15
1150514,1626,艾美特-KY,,,0.55,2026-05-15
1150514,1702,南僑,29.91,4.78,0.69,2026-05-15
1150514,1707,葡萄王,13.56,5.53,1.61,2026-05-15
1150514,1708,東鹼,12.02,3.95,1.36,2026-05-15
1150514,1709,和益,14.96,5.43,0.98,2026-05-15
1150514,1710,東聯,,,0.95,2026-05-15
1150514,1711,永光,,0.59,3.37,2026-05-15
1150514,1712,興農,16.63,6.06,2.21,2026-05-15
1150514,1713,國化,10.56,6.55,1.77,2026-05-15
1150514,1714,和桐,15.63,1.8,0.77,2026-05-15
1150514,1717,長興,53.78,1.26,3.24,2026-05-15
1150514,1718,中纖,74.22,,0.41,2026-05-15
1150514,1720,生達,11.44,4.85,1.83,2026-05-15
1150514,1721,三晃,,,3.74,2026-05-15
1150514,1722,台肥,45.19,4.26,0.84,2026-05-15
1150514,1723,中碳,32.54,2.29,2.33,2026-05-15
1150514,1725,元禎,19.41,3.4,0.85,2026-05-15
1150514,1726,永記,13.02,4.79,1.15,2026-05-15
1150514,1727,中華化,214.86,0.19,4.82,2026-05-15
1150514,1730,花仙子,11.4,5.68,1.55,2026-05-15
1150514,1731,美吾華,15.39,5.66,1.29,2026-05-15
1150514,1732,毛寶,29.22,2.28,2.26,2026-05-15
1150514,1733,五鼎,15.82,4.51,1.58,2026-05-15
1150514,1734,杏輝,15.96,5.22,1.69,2026-05-15
1150514,1735,日勝化,32.96,2.43,1.67,2026-05-15
1150514,1736,喬山,14.16,3.43,2.51,2026-05-15
1150514,1737,臺鹽,15.83,4.44,0.91,2026-05-15
1150514,1752,南光,16.26,4.85,1.42,2026-05-15
1150514,1760,寶齡富錦,24.82,3.24,2.89,2026-05-15
1150514,1762,中化生,,0.51,0.9,2026-05-15
1150514,1773,勝一,24.48,2.25,4.49,2026-05-15
1150514,1776,展宇,38.16,3.21,1.3,2026-05-15
1150514,1783,和康生,12.68,5.22,2.11,2026-05-15
1150514,1786,科妍,30.29,3.71,2.07,2026-05-15
1150514,1789,神隆,136.79,1.51,1.47,2026-05-15
1150514,1795,美時,13.54,1.36,2.17,2026-05-15
1150514,1802,台玻,514.62,,3.92,2026-05-15
1150514,1805,寶徠,78.85,,0.84,2026-05-15
1150514,1806,冠軍,57.79,1.85,0.6,2026-05-15
1150514,1808,潤隆,10.99,5.09,1.92,2026-05-15
1150514,1809,中釉,206.58,0.64,2.22,2026-05-15
1150514,1810,和成,4.96,1.07,0.7,2026-05-15
1150514,1817,凱撒衛,9.4,5.58,1.21,2026-05-15
1150514,1903,士紙,36.86,,2.27,2026-05-15
1150514,1904,正隆,16.35,2.26,0.74,2026-05-15
1150514,1905,華紙,,,0.83,2026-05-15
1150514,1906,寶隆,,0.93,0.52,2026-05-15
1150514,1907,永豐餘,20.55,4.09,0.54,2026-05-15
1150514,1909,榮成,,,0.56,2026-05-15
1150514,2002,中鋼,,0.82,0.94,2026-05-15
1150514,2006,東和鋼鐵,9.97,6.51,1.49,2026-05-15
1150514,2007,燁興,,,0.94,2026-05-15
1150514,2008,高興昌,36.67,3.64,1.39,2026-05-15
1150514,2009,第一銅,71.23,0.99,1.76,2026-05-15
1150514,2010,春源,10.02,8.57,1.25,2026-05-15
1150514,2012,春雨,,2.03,1.08,2026-05-15
1150514,2013,中鋼構,13.16,5.65,1.46,2026-05-15
1150514,2014,中鴻,,,2.15,2026-05-15
1150514,2015,豐興,15.89,5.23,1.73,2026-05-15
1150514,2017,官田鋼,,,0.79,2026-05-15
1150514,2020,美亞,11.24,8.26,1.42,2026-05-15
1150514,2022,聚亨,,,0.79,2026-05-15
1150514,2023,燁輝,,,0.81,2026-05-15
1150514,2024,志聯,191.43,,1.16,2026-05-15
1150514,2025,千興,76.25,,1.27,2026-05-15
1150514,2027,大成鋼,14.01,3.77,1.25,2026-05-15
1150514,2028,威致,47.57,1.2,1.13,2026-05-15
1150514,2029,盛餘,32.5,2.98,0.65,2026-05-15
1150514,2030,彰源,27.2,2.79,0.99,2026-05-15
1150514,2031,新光鋼,8.46,6.47,1.18,2026-05-15
1150514,2032,新鋼,19.65,2.96,1.26,2026-05-15
1150514,2033,佳大,45.45,1.33,1.14,2026-05-15
1150514,2034,允強,,5.01,1.1,2026-05-15
1150514,2038,海光,,1.48,0.68,2026-05-15
1150514,2049,上銀,81.59,0.53,3.53,2026-05-15
1150514,2059,川湖,44.16,1.02,15.14,2026-05-15
1150514,2062,橋椿,93.33,5.1,0.52,2026-05-15
1150514,2069,運錩,10.87,5.0,0.76,2026-05-15
