Date,Code,Name,ClosePrice,DividendYield,DividendYear,PEratio,PBratio,FiscalYearQuarter,date
20260514,1101,台泥,24.55,3.26,114,,0.78,2026Q1,2026-05-15
20260514,1102,亞泥,35.20,6.53,114,11.81,0.70,2026Q1,2026-05-15
20260514,1103,嘉泥,13.05,4.21,114,16.31,0.47,2026Q1,2026-05-15
20260514,1104,環泥,27.90,6.63,114,10.90,0.79,2025Q4,2026-05-15
20260514,1108,幸福,13.95,7.17,114,6.91,1.04,2026Q1,2026-05-15
20260514,1109,信大,15.20,5.92,114,19.24,0.61,2026Q1,2026-05-15
20260514,1110,東泥,14.40,2.08,114,40.00,0.87,2025Q4,2026-05-15
20260514,1201,味全,12.15,1.73,114,31.97,0.79,2026Q1,2026-05-15
20260514,1203,味王,42.65,2.34,114,24.80,1.56,2026Q1,2026-05-15
20260514,1210,大成,52.60,5.70,114,12.15,1.65,2025Q4,2026-05-15
20260514,1213,大飲,8.95,3.91,113,,0.80,2026Q1,2026-05-15
20260514,1215,卜蜂,138.50,5.05,114,14.92,3.85,2026Q1,2026-05-15
20260514,1216,統一,74.80,4.01,114,20.22,2.94,2026Q1,2026-05-15
20260514,1217,愛之味,9.61,2.60,114,20.02,0.64,2026Q1,2026-05-15
20260514,1218,泰山,18.75,7.04,114,11.79,0.70,2025Q4,2026-05-15
20260514,1219,福壽,12.95,3.86,114,27.55,0.95,2026Q1,2026-05-15
20260514,1220,台榮,12.10,1.65,114,605.00,0.92,2026Q1,2026-05-15
20260514,1225,福懋油,30.25,3.31,114,18.67,1.88,2025Q4,2026-05-15
20260514,1227,佳格,28.55,4.69,114,21.47,1.40,2025Q4,2026-05-15
20260514,1229,聯華,39.95,5.01,114,15.54,1.25,2025Q4,2026-05-15
20260514,1231,聯華食,85.80,2.91,114,19.50,3.39,2026Q1,2026-05-15
20260514,1232,大統益,147.50,4.88,114,17.05,3.76,2026Q1,2026-05-15
20260514,1233,天仁,28.80,0.69,114,35.12,1.87,2026Q1,2026-05-15
20260514,1234,黑松,34.00,4.85,114,20.36,0.75,2026Q1,2026-05-15
20260514,1235,興泰,40.00,2.50,114,,0.63,2025Q4,2026-05-15
20260514,1236,宏亞,24.50,6.73,114,,0.87,2026Q1,2026-05-15
20260514,1256,鮮活果汁-KY,185.00,3.57,114,13.97,1.58,2026Q1,2026-05-15
20260514,1301,台塑,46.10,1.08,114,,0.75,2026Q1,2026-05-15
20260514,1303,南亞,85.30,0.94,114,36.93,1.76,2026Q1,2026-05-15
20260514,1304,台聚,12.75,1.18,114,,0.78,2026Q1,2026-05-15
20260514,1305,華夏,12.65,0.79,114,,0.96,2026Q1,2026-05-15
20260514,1307,三芳,31.90,6.90,114,11.64,1.30,2026Q1,2026-05-15
20260514,1308,亞聚,13.30,1.50,114,,0.72,2026Q1,2026-05-15
20260514,1309,台達化,16.10,0.93,114,,1.11,2026Q1,2026-05-15
20260514,1310,台苯,8.04,,113,,0.58,2026Q1,2026-05-15
20260514,1312,國喬,10.65,,113,,0.42,2025Q4,2026-05-15
20260514,1313,聯成,10.55,0.95,114,,0.49,2026Q1,2026-05-15
20260514,1314,中石化,6.91,,113,,0.34,2025Q4,2026-05-15
20260514,1315,達新,61.10,7.36,114,39.68,0.57,2026Q1,2026-05-15
20260514,1316,上曜,11.15,,113,,0.90,2026Q1,2026-05-15
20260514,1319,東陽,79.20,6.31,114,14.22,1.61,2026Q1,2026-05-15
20260514,1321,大洋,29.50,1.29,113,,1.12,2026Q1,2026-05-15
20260514,1323,永裕,19.35,4.65,114,34.55,0.69,2026Q1,2026-05-15
20260514,1324,地球,10.30,1.94,113,,0.87,2025Q4,2026-05-15
20260514,1325,恆大,27.00,1.11,113,,0.89,2025Q4,2026-05-15
20260514,1326,台化,44.95,1.33,114,299.67,0.70,2026Q1,2026-05-15
20260514,1337,再生-KY,4.90,,113,,0.36,2026Q1,2026-05-15
20260514,1338,廣華-KY,15.45,1.94,114,,0.21,2026Q1,2026-05-15
20260514,1339,昭輝,40.45,6.18,114,9.56,0.74,2026Q1,2026-05-15
20260514,1340,勝悅-KY,5.55,,113,,0.32,2026Q1,2026-05-15
20260514,1341,富林-KY,60.70,6.59,114,14.88,2.70,2026Q1,2026-05-15
20260514,1342,八貫,93.50,6.42,114,15.71,3.49,2026Q1,2026-05-15
20260514,1402,遠東新,26.75,4.67,114,18.32,0.62,2025Q4,2026-05-15
20260514,1409,新纖,17.25,5.22,114,14.38,0.67,2025Q4,2026-05-15
20260514,1410,南染,27.10,0.74,114,50.19,1.61,2026Q1,2026-05-15
20260514,1413,宏洲,9.47,,113,22.55,1.12,2026Q1,2026-05-15
20260514,1414,東和,15.75,1.27,114,54.31,1.09,2026Q1,2026-05-15
20260514,1416,廣豐,11.25,5.07,114,13.08,0.46,2026Q1,2026-05-15
20260514,1417,嘉裕,8.30,3.01,114,18.44,0.67,2026Q1,2026-05-15
20260514,1418,東華,18.35,,113,,0.84,2026Q1,2026-05-15
20260514,1419,新紡,62.70,2.87,114,15.26,1.07,2025Q4,2026-05-15
20260514,1423,利華,40.55,8.88,114,10.76,1.09,2026Q1,2026-05-15
20260514,1432,大魯閣,16.50,12.12,114,2.74,1.07,2025Q4,2026-05-15
20260514,1434,福懋,15.35,3.26,114,25.58,0.57,2026Q1,2026-05-15
20260514,1436,華友聯,48.05,10.51,114,11.17,1.71,2026Q1,2026-05-15
20260514,1437,勤益控,28.20,3.40,114,10.18,0.69,2026Q1,2026-05-15
20260514,1438,三地開發,20.85,,113,7.55,0.72,2026Q1,2026-05-15
20260514,1439,雋揚,25.60,1.95,114,8.31,0.79,2026Q1,2026-05-15
20260514,1440,南紡,11.65,2.58,114,,0.70,2026Q1,2026-05-15
20260514,1441,大東,9.64,,113,,1.63,2026Q1,2026-05-15
20260514,1442,名軒,26.35,9.11,114,8.70,1.21,2025Q4,2026-05-15
20260514,1443,立益物流,26.35,,113,23.95,1.56,2026Q1,2026-05-15
20260514,1444,力麗,5.95,,113,,0.61,2026Q1,2026-05-15
20260514,1445,大宇,11.80,4.24,114,,0.74,2026Q1,2026-05-15
20260514,1446,宏和,15.20,9.87,114,8.94,0.74,2026Q1,2026-05-15
20260514,1447,力鵬,5.22,,113,,0.59,2025Q4,2026-05-15
20260514,1449,佳和,12.90,,114,,0.71,2026Q1,2026-05-15
20260514,1451,年興,16.95,5.90,114,19.04,0.46,2026Q1,2026-05-15
20260514,1452,宏益,11.00,1.82,114,,0.55,2026Q1,2026-05-15
20260514,1453,大將,11.35,2.64,114,103.18,0.90,2026Q1,2026-05-15
20260514,1454,台富,12.95,0.77,114,,1.19,2026Q1,2026-05-15
20260514,1455,集盛,8.10,1.98,114,,0.75,2026Q1,2026-05-15
20260514,1456,怡華,13.25,,113,3.84,0.65,2026Q1,2026-05-15
20260514,1457,宜進,14.20,7.04,114,15.60,0.64,2026Q1,2026-05-15
20260514,1459,聯發,11.85,1.69,114,7.65,1.06,2026Q1,2026-05-15
20260514,1460,宏遠,7.05,,113,,0.83,2026Q1,2026-05-15
20260514,1463,強盛新,18.00,0.72,114,,1.18,2026Q1,2026-05-15
20260514,1464,得力,10.15,2.46,114,27.43,0.78,2026Q1,2026-05-15
20260514,1465,偉全,11.95,2.51,114,,0.79,2026Q1,2026-05-15
20260514,1466,聚隆,14.35,1.39,114,,1.02,2026Q1,2026-05-15
20260514,1467,南緯,7.11,,113,,0.58,2026Q1,2026-05-15
20260514,1468,昶和,12.25,,113,102.08,1.35,2026Q1,2026-05-15
20260514,1470,大統新創,21.40,3.04,114,24.60,1.86,2026Q1,2026-05-15
20260514,1471,首利,10.60,,113,,1.11,2026Q1,2026-05-15
20260514,1472,三洋實業,89.20,6.73,114,13.87,1.97,2026Q1,2026-05-15
20260514,1473,台南,20.25,2.47,114,,0.75,2026Q1,2026-05-15
20260514,1474,弘裕,9.90,2.53,114,41.25,0.58,2026Q1,2026-05-15
20260514,1475,業旺,26.95,5.57,114,10.57,1.17,2026Q1,2026-05-15
20260514,1476,儒鴻,341.50,4.39,114,16.52,3.41,2026Q1,2026-05-15
20260514,1477,聚陽,223.00,6.73,114,16.10,4.23,2026Q1,2026-05-15
20260514,1503,士電,197.00,2.54,114,31.42,2.83,2025Q4,2026-05-15
20260514,1504,東元,72.40,2.76,114,32.18,2.02,2026Q1,2026-05-15
20260514,1506,正道,10.20,,113,145.71,1.09,2026Q1,2026-05-15
20260514,1512,瑞利,6.96,,113,36.63,1.05,2025Q4,2026-05-15
20260514,1513,中興電,153.00,3.92,114,18.59,3.51,2026Q1,2026-05-15
20260514,1514,亞力,116.50,1.89,114,33.97,4.83,2026Q1,2026-05-15
20260514,1515,力山,22.15,2.71,114,22.60,1.03,2026Q1,2026-05-15
20260514,1516,川飛,21.80,,113,1090.00,4.27,2026Q1,2026-05-15
20260514,1517,利奇,10.10,1.98,114,,0.65,2026Q1,2026-05-15
20260514,1519,華城,870.00,1.38,114,59.79,33.36,2026Q1,2026-05-15
20260514,1521,大億,24.50,3.06,114,34.51,1.01,2026Q1,2026-05-15
20260514,1522,堤維西,30.15,3.98,114,97.26,1.02,2026Q1,2026-05-15
20260514,1524,耿鼎,28.80,4.86,114,19.20,1.65,2026Q1,2026-05-15
20260514,1525,江申,59.80,4.68,114,37.38,0.86,2026Q1,2026-05-15
20260514,1526,日馳,14.70,,113,,0.66,2026Q1,2026-05-15
20260514,1527,鑽全,32.50,4.62,114,35.71,0.92,2026Q1,2026-05-15
20260514,1528,恩德,25.25,0.40,113,,2.25,2026Q1,2026-05-15
