Date,TradeVolume,TradeValue,Transaction,TAIEX,Change,date
1150504,12395796663,1051315643566,5275383,40705.14,1778.51,2026-05-15
1150505,12853494887,1049334722789,5728961,40769.29,64.15,2026-05-15
1150506,16678201403,1524012557672,7380148,41138.85,369.56,2026-05-15
1150507,15231110299,1246902674041,6327519,41933.78,794.93,2026-05-15
1150508,15497124214,1305390328230,7375237,41603.94,-329.84,2026-05-15
1150511,13141091504,1170487539244,6059186,41790.06,186.12,2026-05-15
1150512,19487297206,1446228503722,7362653,41898.32,108.26,2026-05-15
1150513,18632210693,1265792083975,7535107,41374.50,-523.82,2026-05-15
1150514,14422244219,1275384785248,6367418,41751.75,377.25,2026-05-15
1150504,12395796663,1051315643566,5275383,40705.14,1778.51,2026-05-15
1150505,12853494887,1049334722789,5728961,40769.29,64.15,2026-05-15
1150506,16678201403,1524012557672,7380148,41138.85,369.56,2026-05-15
1150507,15231110299,1246902674041,6327519,41933.78,794.93,2026-05-15
1150508,15497124214,1305390328230,7375237,41603.94,-329.84,2026-05-15
1150511,13141091504,1170487539244,6059186,41790.06,186.12,2026-05-15
1150512,19487297206,1446228503722,7362653,41898.32,108.26,2026-05-15
1150513,18632210693,1265792083975,7535107,41374.50,-523.82,2026-05-15
1150514,14422244219,1275384785248,6367418,41751.75,377.25,2026-05-15
1150504,12395796663,1051315643566,5275383,40705.14,1778.51,2026-05-17
1150505,12853494887,1049334722789,5728961,40769.29,64.15,2026-05-17
1150506,16678201403,1524012557672,7380148,41138.85,369.56,2026-05-17
1150507,15231110299,1246902674041,6327519,41933.78,794.93,2026-05-17
1150508,15497124214,1305390328230,7375237,41603.94,-329.84,2026-05-17
1150511,13141091504,1170487539244,6059186,41790.06,186.12,2026-05-17
1150512,19487297206,1446228503722,7362653,41898.32,108.26,2026-05-17
1150513,18632210693,1265792083975,7535107,41374.50,-523.82,2026-05-17
1150514,14422244219,1275384785248,6367418,41751.75,377.25,2026-05-17
1150515,17355987461,1374865492241,7885731,41172.36,-579.39,2026-05-17
1150504,12395796663,1051315643566,5275383,40705.14,1778.51,2026-05-17
1150505,12853494887,1049334722789,5728961,40769.29,64.15,2026-05-17
1150506,16678201403,1524012557672,7380148,41138.85,369.56,2026-05-17
1150507,15231110299,1246902674041,6327519,41933.78,794.93,2026-05-17
1150508,15497124214,1305390328230,7375237,41603.94,-329.84,2026-05-17
1150511,13141091504,1170487539244,6059186,41790.06,186.12,2026-05-17
1150512,19487297206,1446228503722,7362653,41898.32,108.26,2026-05-17
1150513,18632210693,1265792083975,7535107,41374.50,-523.82,2026-05-17
1150514,14422244219,1275384785248,6367418,41751.75,377.25,2026-05-17
1150515,17355987461,1374865492241,7885731,41172.36,-579.39,2026-05-17
1150504,12395796663,1051315643566,5275383,40705.14,1778.51,2026-05-18
1150505,12853494887,1049334722789,5728961,40769.29,64.15,2026-05-18
1150506,16678201403,1524012557672,7380148,41138.85,369.56,2026-05-18
1150507,15231110299,1246902674041,6327519,41933.78,794.93,2026-05-18
1150508,15497124214,1305390328230,7375237,41603.94,-329.84,2026-05-18
1150511,13141091504,1170487539244,6059186,41790.06,186.12,2026-05-18
1150512,19487297206,1446228503722,7362653,41898.32,108.26,2026-05-18
1150513,18632210693,1265792083975,7535107,41374.50,-523.82,2026-05-18
1150514,14422244219,1275384785248,6367418,41751.75,377.25,2026-05-18
1150515,17355987461,1374865492241,7885731,41172.36,-579.39,2026-05-18
