Time,AccBidOrders,AccBidVolume,AccAskOrders,AccAskVolume,AccTransaction,AccTradeVolume,AccTradeValue,date
090000,570785,4185177,517412,2171011,,,,2026-05-15
090005,584289,4385136,525870,2210280,46480,165223,18460,2026-05-15
090010,597478,4767901,535255,2399356,64851,218484,30881,2026-05-15
090015,611929,5226115,546735,2606148,82968,265687,40311,2026-05-15
090020,628984,5652532,558941,2848071,101174,312914,46999,2026-05-15
090025,645647,5839689,570468,2983490,107756,335934,49632,2026-05-15
090030,660309,5898784,582260,3008153,114061,353267,51845,2026-05-15
090035,678324,6300791,595726,3240357,120289,370540,54090,2026-05-15
090040,697008,6636001,610036,3282754,127638,389205,57034,2026-05-15
090045,718771,7455777,626356,3566859,133417,405184,59359,2026-05-15
090050,737022,7761120,640735,3681191,139651,423928,61332,2026-05-15
090055,755289,7918282,655034,3728566,145016,438698,63389,2026-05-15
090100,775936,8487414,672189,4012059,150028,452539,65050,2026-05-15
090105,797222,8811180,689873,4184999,156456,472094,67100,2026-05-15
090110,818372,9137089,705121,4212011,161278,488458,68503,2026-05-15
090115,839036,9227590,721213,4301357,166629,504743,70344,2026-05-15
090120,859941,9403935,737539,4461669,171374,521727,71980,2026-05-15
090125,880796,9801500,754913,4742385,177338,542504,73636,2026-05-15
090130,900527,9982580,771148,4827804,182183,558287,75535,2026-05-15
090135,923154,10353366,790414,5115682,189452,581544,77913,2026-05-15
090140,945593,10526716,809043,5173361,194780,600781,79422,2026-05-15
090145,966229,10594551,826177,5183821,200603,620336,80863,2026-05-15
090150,987843,10437175,846025,5125295,208717,646796,83312,2026-05-15
090155,1009409,10629670,864792,5212275,214738,665314,85123,2026-05-15
090200,1030637,10747303,882994,5333606,219466,682121,87680,2026-05-15
090205,1055714,11025908,905626,5392922,232243,732144,91046,2026-05-15
090210,1079091,11548092,925932,5638871,241412,764321,93316,2026-05-15
090215,1101419,11894927,945497,5863449,247524,788239,95192,2026-05-15
090220,1124848,12126822,965567,5930493,254648,811702,97124,2026-05-15
090225,1146403,12501979,983643,6076672,259281,826082,98413,2026-05-15
090230,1166404,12667307,1000283,6183630,263486,839467,99701,2026-05-15
090235,1189889,13668751,1016856,6544568,267270,851542,101032,2026-05-15
090240,1211007,14214571,1031879,6700734,271608,864743,102149,2026-05-15
090245,1230511,14200162,1046994,6660876,275413,876280,103345,2026-05-15
090250,1253138,15135109,1062964,7126896,278531,885625,104603,2026-05-15
090255,1273398,15241974,1078628,7205031,283258,899948,106002,2026-05-15
090300,1299096,15257579,1097118,7141762,287647,913390,108089,2026-05-15
090305,1323862,15588817,1116264,7269773,293009,930698,109751,2026-05-15
090310,1349870,15681127,1136467,7264040,298117,950845,112033,2026-05-15
090315,1371427,15776781,1155363,7376422,303868,970565,114300,2026-05-15
090320,1390746,16158168,1171608,7541160,307189,980585,115153,2026-05-15
090325,1409015,16293948,1185991,7627178,310377,989851,116329,2026-05-15
090330,1427123,16511544,1200111,7668760,313771,1000265,117709,2026-05-15
090335,1447849,16792100,1215891,7850197,317596,1014449,119008,2026-05-15
090340,1467506,16857928,1230514,7881529,320909,1025599,120290,2026-05-15
090345,1486367,17068180,1245109,7955621,324748,1037556,121403,2026-05-15
090350,1506466,17270661,1260946,8038858,328901,1052134,122441,2026-05-15
090355,1527448,17428146,1277258,8195319,332698,1063956,123657,2026-05-15
090400,1545791,17475329,1291218,8231144,336086,1075425,124560,2026-05-15
090405,1569868,17584050,1310793,8289099,341937,1097294,126120,2026-05-15
090410,1591674,17714126,1329099,8365442,347045,1115398,127612,2026-05-15
090415,1614133,17629153,1347020,8295471,351471,1128343,128947,2026-05-15
090420,1635468,18054317,1364949,8524549,355216,1140066,129970,2026-05-15
090425,1657083,18159242,1383522,8576164,359664,1154137,131357,2026-05-15
090430,1676276,18213849,1399689,8618185,367607,1179626,132783,2026-05-15
090435,1700476,18244039,1417534,8653301,371227,1192309,133749,2026-05-15
090440,1721964,18382935,1434462,8751761,375366,1208471,134716,2026-05-15
090445,1742001,18566149,1450586,8787877,379319,1223167,135982,2026-05-15
090450,1761195,18639919,1466198,8835202,382922,1234100,136921,2026-05-15
090455,1779906,18726844,1481172,8910958,386720,1246287,137972,2026-05-15
090500,1798701,18757024,1496099,8891369,390920,1260769,138986,2026-05-15
090505,1824974,18742075,1516645,8776331,397160,1283038,140883,2026-05-15
090510,1848885,19066658,1535248,8999956,401622,1299766,142852,2026-05-15
090515,1870230,19413790,1552247,9169748,405646,1312191,144077,2026-05-15
090520,1890671,19296529,1568550,9154094,410011,1325011,145195,2026-05-15
090525,1910959,19276030,1585459,9135796,414107,1337764,146125,2026-05-15
090530,1930280,19587984,1601694,9250790,417829,1350101,147013,2026-05-15
090535,1951988,19586668,1618727,9227748,423931,1370880,148624,2026-05-15
090540,1972375,19708474,1635357,9246519,428701,1387018,149899,2026-05-15
090545,1994099,19523146,1651788,9197047,433686,1404178,151914,2026-05-15
090550,2013499,19775144,1667222,9330155,437308,1416149,153093,2026-05-15
090555,2034415,19923563,1685338,9333290,441878,1432768,154360,2026-05-15
090600,2054304,19730692,1702781,9316450,447104,1452207,155759,2026-05-15
090605,2075908,19968402,1720518,9396191,452360,1470389,157139,2026-05-15
090610,2098644,19616993,1737289,9210802,457444,1487972,158554,2026-05-15
090615,2120548,19820839,1754396,9333084,461340,1501478,159546,2026-05-15
090620,2141740,20064836,1770921,9422031,465204,1514883,160730,2026-05-15
090625,2163221,19855701,1787323,9279677,469816,1530149,162059,2026-05-15
090630,2184694,19503229,1804419,9329073,473675,1544248,163273,2026-05-15
090635,2208433,19917294,1823808,9477438,477948,1558745,164434,2026-05-15
090640,2229076,20034064,1841005,9548463,482071,1571331,165474,2026-05-15
090645,2248337,19786289,1857319,9448354,485972,1583214,166410,2026-05-15
090650,2267491,19901238,1873543,9527500,489394,1593983,167383,2026-05-15
090655,2287765,20176621,1891158,9658957,493256,1608528,168349,2026-05-15
090700,2305692,20079658,1907362,9667355,497751,1626139,169418,2026-05-15
090705,2324807,20305288,1924259,9687375,501293,1641196,170348,2026-05-15
090710,2343510,20281866,1941421,9787887,505285,1652362,171441,2026-05-15
090715,2363740,20260885,1960012,9788512,509946,1668608,172728,2026-05-15
090720,2382089,20507558,1976588,9876501,513389,1679304,173423,2026-05-15
090725,2400151,20550046,1992200,9891497,517391,1691798,174925,2026-05-15
090730,2416763,20544393,2006325,9911666,520548,1702485,175858,2026-05-15
090735,2436495,20617760,2022256,9964150,524435,1715599,176890,2026-05-15
090740,2452822,20652334,2036351,9951946,528156,1728191,177976,2026-05-15
090745,2470246,20705732,2050615,9928982,531536,1741278,178742,2026-05-15
090750,2489257,20310612,2065052,9902518,536744,1760543,180303,2026-05-15
090755,2512460,20529567,2081299,10021118,540791,1775863,181770,2026-05-15
090800,2532398,20497869,2096771,9930729,543763,1787266,182626,2026-05-15
090805,2553912,20882578,2113907,10053815,547373,1799342,183517,2026-05-15
090810,2572195,20765342,2129234,10061185,552758,1818059,185008,2026-05-15
090815,2591763,20810418,2145880,10079544,558556,1834599,186503,2026-05-15
090820,2608932,20803926,2160788,10006454,562536,1847496,187503,2026-05-15
090825,2630334,20460232,2176659,9870417,567370,1865216,188842,2026-05-15
090830,2652320,20790576,2193645,10007190,571557,1884473,189945,2026-05-15
090835,2672108,21048315,2209372,10111632,575034,1897968,190861,2026-05-15
090840,2690652,20716912,2224104,10064303,579012,1912043,191997,2026-05-15
090845,2712332,20726805,2241662,10066281,583219,1928305,193563,2026-05-15
090850,2734085,20712443,2259973,10054527,586935,1939920,194871,2026-05-15
090855,2755635,21004866,2278141,10245187,590902,1956494,195971,2026-05-15
090900,2775434,20885429,2295093,10200230,594874,1968316,197204,2026-05-15
090905,2798019,20711185,2313336,10173756,598550,1982125,198316,2026-05-15
090910,2824448,20934308,2332626,10250898,602731,1996353,199403,2026-05-15
090915,2847745,21127968,2349472,10323768,605379,2006717,200079,2026-05-15
090920,2869510,21129230,2366213,10353817,607859,2015267,200909,2026-05-15
090925,2888682,21474323,2382177,10565034,610865,2026275,201594,2026-05-15
090930,2905029,21377122,2395674,10487039,614948,2042425,202638,2026-05-15
090935,2924402,21972334,2411036,10611113,618099,2052454,203526,2026-05-15
090940,2941834,22137479,2426063,10653964,621608,2064129,204504,2026-05-15
090945,2962541,22073884,2442049,10652844,624507,2073825,205280,2026-05-15
090950,2979850,22103215,2455831,10651119,627328,2083422,206113,2026-05-15
090955,2997128,22252774,2469696,10737605,630506,2094505,206942,2026-05-15
091000,3015391,22510853,2483647,10808230,633580,2105152,207819,2026-05-15
091005,3035901,22307913,2499916,10789276,637349,2118572,209219,2026-05-15
091010,3056722,22351229,2516713,10785960,641671,2133579,210976,2026-05-15
091015,3075364,22602212,2531593,10849422,644623,2142886,211917,2026-05-15
091020,3095488,22484692,2546334,10914682,648568,2154833,213112,2026-05-15
091025,3115351,22614142,2560462,10921255,651400,2164394,213745,2026-05-15
091030,3133740,22668713,2574685,10979802,654136,2173928,214490,2026-05-15
091035,3149735,22762893,2587565,10932065,656709,2182044,215100,2026-05-15
091040,3166972,22733855,2601550,10931333,659829,2192258,215983,2026-05-15
091045,3187713,22701331,2617726,10899372,662810,2202969,216844,2026-05-15
091050,3204715,22779333,2632148,10935226,665666,2211719,217653,2026-05-15
091055,3221753,22826006,2646781,10983104,668837,2223570,218525,2026-05-15
091100,3237010,22801750,2660345,11015002,671105,2230995,219066,2026-05-15
091105,3255621,22922132,2676055,11003397,673938,2239799,219702,2026-05-15
091110,3272162,23049593,2689918,11117002,676418,2247990,220229,2026-05-15
091115,3288726,22806908,2703260,10993623,680143,2261322,221385,2026-05-15
091120,3309612,23009344,2717830,11066361,685666,2278074,223272,2026-05-15
091125,3325680,23128893,2731218,11184092,688343,2287851,223976,2026-05-15
091130,3340692,23228437,2743794,11212532,691327,2297283,224662,2026-05-15
091135,3357621,23294792,2758043,11254717,694475,2307160,225339,2026-05-15
091140,3374750,23240315,2772707,11196878,697412,2317080,226050,2026-05-15
091145,3391653,23405025,2786715,11295521,700111,2327306,226742,2026-05-15
091150,3408188,23352294,2802756,11298364,703069,2338346,227662,2026-05-15
091155,3426013,23429826,2817703,11332856,708521,2354411,230277,2026-05-15
091200,3443604,23168689,2831441,11296181,712688,2365637,231434,2026-05-15
091205,3461916,23645303,2845195,11367352,716496,2377046,232628,2026-05-15
091210,3482063,23556288,2860587,11324563,722972,2396330,235264,2026-05-15
091215,3499029,23683626,2874142,11372772,727887,2411710,236719,2026-05-15
091220,3515525,23827083,2887211,11443155,732442,2425457,238277,2026-05-15
091225,3530050,23780321,2899700,11407502,735963,2434956,239173,2026-05-15
091230,3546005,23815645,2913130,11470725,739389,2445520,240197,2026-05-15
091235,3563256,23731152,2927700,11488279,743037,2456351,241247,2026-05-15
091240,3578087,24010682,2940849,11598149,746590,2466577,242030,2026-05-15
091245,3593953,23828667,2954231,11552528,749519,2475313,242886,2026-05-15
091250,3610068,23803184,2968371,11575981,752849,2485756,243723,2026-05-15
091255,3626348,23936115,2982481,11571344,756679,2496484,244937,2026-05-15
091300,3644765,23910515,2996379,11607431,760131,2507259,245915,2026-05-15
091305,3662122,23958349,3010130,11605641,763744,2517227,246888,2026-05-15
091310,3680625,24038186,3024644,11605630,768350,2530449,250070,2026-05-15
091315,3696053,24124844,3036940,11653758,771179,2538428,250794,2026-05-15
091320,3712154,23934445,3050794,11535271,775147,2553006,251846,2026-05-15
091325,3729712,24034638,3064888,11640159,778171,2565879,252889,2026-05-15
091330,3745647,24097253,3078201,11652350,781483,2576606,253901,2026-05-15
091335,3763025,22947759,3090559,11573966,784254,2585579,254678,2026-05-15
091340,3780217,24085877,3103425,11722591,787189,2595152,255401,2026-05-15
091345,3796334,24179608,3117682,11730008,791402,2607857,256441,2026-05-15
091350,3812810,24258958,3132272,11809711,794120,2617271,257069,2026-05-15
091355,3827292,24315822,3144716,11824061,797364,2626412,257952,2026-05-15
091400,3839877,24402226,3156580,11830047,799997,2634553,258608,2026-05-15
091405,3856795,24537696,3170639,11884478,804562,2647430,259815,2026-05-15
091410,3873072,24915447,3184484,12050083,807421,2657842,260622,2026-05-15
091415,3886943,24879849,3197641,12080875,810507,2670653,261579,2026-05-15
